# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2313846422011
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997314
# Detector.I1.voltage: -1649.998535
# Detector.I2.voltage: -1649.998169
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370908
# Scan.uid: 5964073c-8760-4a57-91d3-4499bb1364cb
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:19:21.052907
# Scan.end_time: 06/23/2023  02:19:55.664600
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 397.8
# SampleHeater.voltage.setpoint: 1.00526931552429
# SampleHeater.voltage.readback: 1.006
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.31
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.14704e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30308e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.8474e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.7396e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7114e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.90241e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.480771e-05 -3.942471e-07 -2.608163e-07 -2.920744e-07 2.622884e-05 -3.052494e-04 -6.454789e-05 2.262797e-05
 8784.000000 -3.487947e-05 -3.954375e-07 -2.618647e-07 -2.936352e-07 2.537438e-05 -3.127442e-04 -7.105051e-05 2.241420e-05
 8789.000000 -3.483104e-05 -3.963612e-07 -2.625614e-07 -2.940480e-07 2.833054e-05 -3.005243e-04 -7.622736e-05 2.810978e-05
 8794.000000 -3.459748e-05 -3.942133e-07 -2.612469e-07 -2.928573e-07 2.364805e-05 -2.983840e-04 -7.584444e-05 3.309861e-05
 8799.000000 -3.427458e-05 -3.935822e-07 -2.611767e-07 -2.908456e-07 2.945869e-05 -3.107241e-04 -6.727259e-05 3.730372e-05
 8804.000000 -3.454262e-05 -3.984081e-07 -2.644789e-07 -2.937852e-07 2.608546e-05 -3.083371e-04 -6.680079e-05 3.491722e-05
 8809.000000 -3.450816e-05 -4.007105e-07 -2.661162e-07 -2.939546e-07 1.810903e-05 -3.152118e-04 -7.456005e-05 3.505354e-05
 8814.000000 -3.431241e-05 -3.997518e-07 -2.659292e-07 -2.925618e-07 2.937908e-05 -3.106562e-04 -7.003645e-05 4.668905e-05
 8819.000000 -3.428802e-05 -4.014099e-07 -2.670039e-07 -2.926898e-07 3.162497e-05 -2.933318e-04 -7.777594e-05 3.800505e-05
 8824.000000 -3.427274e-05 -4.035850e-07 -2.685425e-07 -2.932117e-07 3.167007e-05 -2.843951e-04 -7.788759e-05 3.719919e-05
 8829.000000 -3.415484e-05 -4.041011e-07 -2.692737e-07 -2.933003e-07 3.839615e-05 -2.914307e-04 -7.721454e-05 3.097034e-05
 8834.000000 -3.404415e-05 -4.048534e-07 -2.699091e-07 -2.933543e-07 3.374664e-05 -2.846190e-04 -7.226785e-05 3.469375e-05
 8839.000000 -3.393981e-05 -4.054371e-07 -2.704189e-07 -2.935149e-07 3.273006e-05 -2.940094e-04 -7.781173e-05 2.259005e-05
 8844.000000 -3.382967e-05 -4.068446e-07 -2.718968e-07 -2.936610e-07 3.751867e-05 -3.182714e-04 -8.240179e-05 1.787014e-05
 8849.000000 -3.375395e-05 -4.086542e-07 -2.732566e-07 -2.939681e-07 3.858292e-05 -3.227599e-04 -9.402454e-05 1.976059e-05
 8854.000000 -3.366968e-05 -4.099080e-07 -2.741654e-07 -2.944654e-07 3.892387e-05 -3.096744e-04 -8.899067e-05 2.812028e-05
 8859.000000 -3.359146e-05 -4.115920e-07 -2.752382e-07 -2.948398e-07 3.827835e-05 -2.665786e-04 -9.041855e-05 1.812144e-05
 8864.000000 -3.349009e-05 -4.122580e-07 -2.761264e-07 -2.950125e-07 4.212403e-05 -2.487683e-04 -9.357093e-05 2.634179e-05
 8869.000000 -3.329660e-05 -4.112002e-07 -2.753507e-07 -2.942832e-07 3.222051e-05 -2.389290e-04 -9.394760e-05 3.175742e-05
 8874.000000 -3.323314e-05 -4.132875e-07 -2.769626e-07 -2.944363e-07 3.442152e-05 -2.334411e-04 -9.069550e-05 2.712479e-05
 8879.000000 -3.314105e-05 -4.147866e-07 -2.781657e-07 -2.944467e-07 4.631454e-05 -2.518365e-04 -8.890324e-05 2.158507e-05
 8884.000000 -3.289364e-05 -4.138182e-07 -2.779021e-07 -2.933561e-07 5.410606e-05 -2.429155e-04 -7.655976e-05 1.701865e-05
 8889.000000 -3.262068e-05 -4.129359e-07 -2.773816e-07 -2.921386e-07 5.803094e-05 -2.383445e-04 -8.063592e-05 2.122639e-05
 8894.000000 -3.283607e-05 -4.188505e-07 -2.814240e-07 -2.945232e-07 5.404987e-05 -2.166804e-04 -7.651065e-05 1.135624e-05
 8899.000000 -3.274074e-05 -4.198188e-07 -2.820474e-07 -2.943153e-07 3.722402e-05 -2.257178e-04 -8.333880e-05 1.619527e-05
 8904.000000 -3.261490e-05 -4.205761e-07 -2.828055e-07 -2.940839e-07 2.787277e-05 -2.466191e-04 -8.209202e-05 2.799669e-05
 8909.000000 -3.248141e-05 -4.213207e-07 -2.834737e-07 -2.934755e-07 3.604938e-05 -2.511326e-04 -8.511556e-05 2.313478e-05
 8914.000000 -3.221742e-05 -4.203694e-07 -2.830381e-07 -2.919976e-07 3.524026e-05 -2.763479e-04 -8.389569e-05 1.972663e-05
 8919.000000 -3.213179e-05 -4.218057e-07 -2.837382e-07 -2.922866e-07 3.284621e-05 -2.540246e-04 -8.537836e-05 1.724674e-05
 8924.000000 -3.183940e-05 -4.181420e-07 -2.813922e-07 -2.908762e-07 3.105739e-05 -2.517946e-04 -7.985614e-05 2.119422e-05
 8929.000000 -3.190806e-05 -4.225622e-07 -2.846504e-07 -2.927552e-07 4.098963e-05 -2.617585e-04 -8.909732e-05 2.535570e-05
 8934.000000 -3.186682e-05 -4.253207e-07 -2.866043e-07 -2.935067e-07 4.378167e-05 -2.676506e-04 -9.155915e-05 3.177814e-05
 8939.000000 -3.174721e-05 -4.262961e-07 -2.871161e-07 -2.932764e-07 3.608873e-05 -2.332170e-04 -8.435592e-05 3.268355e-05
 8944.000000 -3.161875e-05 -4.272850e-07 -2.877554e-07 -2.928436e-07 4.508253e-05 -2.476648e-04 -8.071036e-05 3.625076e-05
 8949.000000 -3.147040e-05 -4.280690e-07 -2.880475e-07 -2.922932e-07 4.966489e-05 -2.345418e-04 -7.519314e-05 4.436188e-05
 8953.000000 -3.135262e-05 -4.274877e-07 -2.872980e-07 -2.922090e-07 3.828363e-05 -2.450041e-04 -6.928579e-05 4.352453e-05
 8956.000000 -3.129904e-05 -4.281352e-07 -2.874068e-07 -2.924020e-07 3.510220e-05 -2.675752e-04 -6.671983e-05 4.226525e-05
 8958.000000 -3.125442e-05 -4.283499e-07 -2.874341e-07 -2.926107e-07 3.000663e-05 -2.433280e-04 -7.434779e-05 4.498095e-05
 8959.000000 -3.122115e-05 -4.284201e-07 -2.872901e-07 -2.926154e-07 3.216204e-05 -2.240092e-04 -8.272904e-05 4.153130e-05
 8959.200000 -3.123557e-05 -4.292890e-07 -2.879529e-07 -2.927321e-07 3.078010e-05 -2.189870e-04 -7.394281e-05 4.696310e-05
 8959.400000 -3.123022e-05 -4.288185e-07 -2.874947e-07 -2.929125e-07 3.252210e-05 -2.062822e-04 -6.933908e-05 5.557739e-05
