# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7617926679083
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998047
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370914
# Scan.uid: a9cb9655-d37d-435b-8bec-2f04d863e3df
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:25:18.536303
# Scan.end_time: 06/23/2023  02:25:55.311769
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 402.20000000000005
# SampleHeater.voltage.setpoint: 0.8943938108507022
# SampleHeater.voltage.readback: 0.937
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.51
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.04646e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.3263e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.80958e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.847e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.72e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.37549e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.482388e-05 -3.873580e-07 -2.564349e-07 -2.921517e-07 5.277860e-05 -2.665742e-04 -5.388439e-05 5.249293e-05
 8784.000000 -3.496035e-05 -3.892098e-07 -2.578044e-07 -2.943176e-07 5.765281e-05 -2.746169e-04 -6.270650e-05 5.869902e-05
 8789.000000 -3.490192e-05 -3.895007e-07 -2.580388e-07 -2.943974e-07 5.520837e-05 -2.711471e-04 -4.906533e-05 5.408182e-05
 8794.000000 -3.472993e-05 -3.890814e-07 -2.580677e-07 -2.933973e-07 5.249592e-05 -2.590793e-04 -3.344293e-05 5.496832e-05
 8799.000000 -3.434470e-05 -3.875175e-07 -2.572726e-07 -2.907639e-07 4.912438e-05 -2.457695e-04 -4.287260e-05 5.057197e-05
 8804.000000 -3.457875e-05 -3.910131e-07 -2.596479e-07 -2.939603e-07 5.466196e-05 -2.235119e-04 -3.435778e-05 3.834080e-05
 8809.000000 -3.459166e-05 -3.940964e-07 -2.618364e-07 -2.947678e-07 5.927271e-05 -2.173248e-04 -2.957631e-05 3.717247e-05
 8814.000000 -3.416681e-05 -3.882664e-07 -2.580297e-07 -2.917395e-07 6.663395e-05 -2.387469e-04 -3.378724e-05 4.044483e-05
 8819.000000 -3.430771e-05 -3.934805e-07 -2.616698e-07 -2.931723e-07 6.052226e-05 -2.554543e-04 -4.189636e-05 4.268633e-05
 8824.000000 -3.436143e-05 -3.977977e-07 -2.649219e-07 -2.941485e-07 5.997133e-05 -2.494576e-04 -4.777224e-05 4.701480e-05
 8829.000000 -3.431579e-05 -3.999729e-07 -2.666808e-07 -2.946582e-07 6.248434e-05 -2.640400e-04 -4.011987e-05 4.919709e-05
 8834.000000 -3.421391e-05 -4.005568e-07 -2.670501e-07 -2.949196e-07 6.511423e-05 -2.632851e-04 -4.234171e-05 4.605810e-05
 8839.000000 -3.410075e-05 -4.016885e-07 -2.680732e-07 -2.953319e-07 6.782347e-05 -2.837540e-04 -5.585922e-05 4.147806e-05
 8844.000000 -3.397893e-05 -4.026012e-07 -2.686539e-07 -2.956378e-07 6.505039e-05 -2.742983e-04 -6.349775e-05 4.589861e-05
 8849.000000 -3.391028e-05 -4.046587e-07 -2.701340e-07 -2.962556e-07 5.911018e-05 -2.712580e-04 -5.144358e-05 4.972090e-05
 8854.000000 -3.379592e-05 -4.055360e-07 -2.709763e-07 -2.962433e-07 6.568673e-05 -2.659162e-04 -4.560284e-05 4.528200e-05
 8859.000000 -3.368199e-05 -4.065852e-07 -2.719668e-07 -2.962293e-07 6.337783e-05 -2.557475e-04 -4.395024e-05 5.098331e-05
 8864.000000 -3.358700e-05 -4.078241e-07 -2.728777e-07 -2.960078e-07 6.797118e-05 -2.710966e-04 -4.328883e-05 4.880356e-05
 8869.000000 -3.343586e-05 -4.073583e-07 -2.729199e-07 -2.953646e-07 7.440670e-05 -2.676493e-04 -3.645662e-05 4.888951e-05
 8874.000000 -3.335449e-05 -4.089286e-07 -2.741136e-07 -2.955046e-07 7.355974e-05 -2.717872e-04 -3.530201e-05 5.042799e-05
 8879.000000 -3.313845e-05 -4.068759e-07 -2.727986e-07 -2.944774e-07 7.054505e-05 -2.739894e-04 -4.375813e-05 4.168235e-05
 8884.000000 -3.283885e-05 -4.038993e-07 -2.710932e-07 -2.931936e-07 7.327823e-05 -2.768432e-04 -6.092134e-05 3.648881e-05
 8889.000000 -3.269982e-05 -4.064459e-07 -2.729420e-07 -2.933436e-07 7.601308e-05 -2.699967e-04 -5.020258e-05 4.289973e-05
 8894.000000 -3.284091e-05 -4.099247e-07 -2.754829e-07 -2.953019e-07 6.608519e-05 -2.797300e-04 -5.336503e-05 5.079382e-05
 8899.000000 -3.277178e-05 -4.119156e-07 -2.770499e-07 -2.953941e-07 7.193278e-05 -2.896280e-04 -4.315403e-05 4.750993e-05
 8904.000000 -3.260560e-05 -4.114441e-07 -2.766804e-07 -2.943170e-07 7.630429e-05 -2.892616e-04 -4.102664e-05 4.316187e-05
 8909.000000 -3.252949e-05 -4.146065e-07 -2.789335e-07 -2.936477e-07 7.356807e-05 -2.956433e-04 -4.563183e-05 4.286572e-05
 8914.000000 -3.213766e-05 -4.100673e-07 -2.759545e-07 -2.905842e-07 7.114058e-05 -3.032645e-04 -6.183899e-05 4.629119e-05
 8919.000000 -3.214311e-05 -4.141059e-07 -2.787516e-07 -2.911519e-07 6.845094e-05 -3.087280e-04 -5.738607e-05 5.673145e-05
 8924.000000 -3.200413e-05 -4.150616e-07 -2.796230e-07 -2.909768e-07 6.323799e-05 -2.936295e-04 -4.587652e-05 5.202922e-05
 8929.000000 -3.200412e-05 -4.175900e-07 -2.812947e-07 -2.923001e-07 5.958050e-05 -2.612220e-04 -4.211265e-05 5.649023e-05
 8934.000000 -3.195038e-05 -4.202933e-07 -2.830557e-07 -2.932285e-07 6.190282e-05 -2.705650e-04 -4.649794e-05 5.708807e-05
 8939.000000 -3.182708e-05 -4.214627e-07 -2.838107e-07 -2.935678e-07 5.702032e-05 -2.563114e-04 -4.763896e-05 5.423989e-05
 8944.000000 -3.168375e-05 -4.225474e-07 -2.845372e-07 -2.933578e-07 4.217966e-05 -2.510676e-04 -4.259312e-05 5.708348e-05
 8949.000000 -3.155029e-05 -4.241609e-07 -2.854398e-07 -2.926006e-07 5.674655e-05 -2.540503e-04 -4.084521e-05 5.906512e-05
 8953.000000 -3.143369e-05 -4.231831e-07 -2.846328e-07 -2.926603e-07 5.914999e-05 -2.505907e-04 -3.558996e-05 5.506455e-05
 8956.000000 -3.128241e-05 -4.209171e-07 -2.828392e-07 -2.918904e-07 5.065007e-05 -2.723315e-04 -4.122273e-05 5.102965e-05
 8958.000000 -3.135353e-05 -4.249365e-07 -2.852751e-07 -2.930564e-07 5.287337e-05 -2.647987e-04 -5.072594e-05 4.902060e-05
 8959.000000 -3.134091e-05 -4.254884e-07 -2.856585e-07 -2.927983e-07 4.662015e-05 -2.519701e-04 -6.192872e-05 4.897699e-05
 8959.200000 -3.137116e-05 -4.271811e-07 -2.868117e-07 -2.931523e-07 4.063985e-05 -2.592336e-04 -5.464976e-05 5.052300e-05
 8959.400000 -3.134574e-05 -4.264469e-07 -2.862206e-07 -2.932229e-07 4.115166e-05 -2.656552e-04 -4.465819e-05 4.131842e-05
