# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6344879192986
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004639
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370920
# Scan.uid: d67a4734-2b62-46f0-8757-65b5da0aa4fd
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  02:31:18.638326
# Scan.end_time: 06/23/2023  02:31:53.683184
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 224.43661533196766
# SampleHeater.temperature2.readback: 226.70000000000002
# SampleHeater.voltage.setpoint: 0.4450450036783394
# SampleHeater.voltage.readback: 0.48
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 12.13
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.86519e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32028e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.81166e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.66884e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7157e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.05876e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.490935e-05 -4.108774e-07 -2.720422e-07 -2.883825e-07 6.174447e-05 -3.571861e-04 -5.787555e-05 1.973234e-06
 8784.000000 -3.496767e-05 -4.114525e-07 -2.724618e-07 -2.892576e-07 6.890613e-05 -3.544646e-04 -5.934733e-05 1.850235e-05
 8789.000000 -3.493641e-05 -4.124080e-07 -2.733198e-07 -2.900096e-07 6.522214e-05 -3.461071e-04 -5.712401e-05 -2.546586e-06
 8794.000000 -3.484694e-05 -4.134729e-07 -2.741356e-07 -2.898261e-07 5.526992e-05 -3.311969e-04 -5.823035e-05 -9.917407e-06
 8799.000000 -3.448822e-05 -4.116940e-07 -2.732333e-07 -2.875316e-07 4.838444e-05 -3.154904e-04 -6.330169e-05 -4.357300e-06
 8804.000000 -3.473888e-05 -4.162197e-07 -2.765627e-07 -2.901237e-07 4.681028e-05 -3.239622e-04 -6.277977e-05 1.264742e-06
 8809.000000 -3.460617e-05 -4.153457e-07 -2.762671e-07 -2.897518e-07 5.817525e-05 -3.039299e-04 -5.798017e-05 1.261877e-06
 8814.000000 -3.442111e-05 -4.146664e-07 -2.759227e-07 -2.889921e-07 5.728119e-05 -3.346694e-04 -6.054725e-05 -7.437070e-06
 8819.000000 -3.450376e-05 -4.185339e-07 -2.784194e-07 -2.903023e-07 5.709125e-05 -3.532640e-04 -6.585378e-05 -1.034842e-05
 8824.000000 -3.436872e-05 -4.189314e-07 -2.789468e-07 -2.898629e-07 6.862656e-05 -3.662832e-04 -5.694765e-05 -6.813939e-06
 8829.000000 -3.417267e-05 -4.181885e-07 -2.787317e-07 -2.892473e-07 5.991037e-05 -3.570537e-04 -5.499092e-05 -1.021884e-05
 8834.000000 -3.416470e-05 -4.208398e-07 -2.805217e-07 -2.904481e-07 6.031847e-05 -3.496386e-04 -5.098504e-05 -3.737212e-06
 8839.000000 -3.402710e-05 -4.209591e-07 -2.806240e-07 -2.902022e-07 7.465767e-05 -3.433568e-04 -5.691473e-05 -1.246817e-07
 8844.000000 -3.395787e-05 -4.230658e-07 -2.821879e-07 -2.905200e-07 7.595234e-05 -3.382963e-04 -5.751343e-05 -3.070639e-06
 8849.000000 -3.386354e-05 -4.243765e-07 -2.837310e-07 -2.908141e-07 7.299254e-05 -3.286593e-04 -5.727014e-05 -6.840544e-07
 8854.000000 -3.382287e-05 -4.265991e-07 -2.853956e-07 -2.913627e-07 7.452432e-05 -3.198655e-04 -5.850981e-05 -3.071854e-06
 8859.000000 -3.370239e-05 -4.275479e-07 -2.861274e-07 -2.914148e-07 6.513673e-05 -3.329643e-04 -6.184630e-05 -4.020817e-06
 8864.000000 -3.362157e-05 -4.289650e-07 -2.871660e-07 -2.920217e-07 6.623736e-05 -3.579997e-04 -5.972673e-05 5.064236e-06
 8869.000000 -3.349907e-05 -4.290118e-07 -2.875455e-07 -2.922383e-07 6.741831e-05 -3.646560e-04 -6.319835e-05 -5.700822e-07
 8874.000000 -3.341115e-05 -4.304410e-07 -2.884333e-07 -2.925143e-07 6.479871e-05 -3.636031e-04 -5.755975e-05 -5.186570e-06
 8879.000000 -3.327148e-05 -4.304953e-07 -2.889137e-07 -2.923985e-07 6.796318e-05 -3.655622e-04 -5.874257e-05 -3.116821e-06
 8884.000000 -3.302052e-05 -4.298792e-07 -2.884422e-07 -2.913662e-07 6.183966e-05 -3.455248e-04 -6.001607e-05 -2.738957e-06
 8889.000000 -3.273483e-05 -4.289843e-07 -2.881800e-07 -2.898547e-07 5.264977e-05 -3.323934e-04 -6.569480e-05 -7.778971e-06
 8894.000000 -3.290126e-05 -4.339462e-07 -2.918140e-07 -2.913731e-07 5.563249e-05 -3.423320e-04 -6.114876e-05 -3.156357e-06
 8899.000000 -3.276784e-05 -4.347408e-07 -2.923188e-07 -2.907788e-07 6.262502e-05 -3.347696e-04 -6.630022e-05 -1.254435e-05
 8904.000000 -3.268200e-05 -4.369632e-07 -2.940730e-07 -2.904536e-07 6.677951e-05 -3.090007e-04 -6.182993e-05 -4.078709e-06
 8909.000000 -3.252474e-05 -4.374605e-07 -2.943863e-07 -2.897866e-07 7.121597e-05 -2.878609e-04 -6.098708e-05 4.999606e-06
 8914.000000 -3.228176e-05 -4.370493e-07 -2.940446e-07 -2.882847e-07 6.491550e-05 -2.763556e-04 -6.755657e-05 -5.854267e-07
 8919.000000 -3.216013e-05 -4.378714e-07 -2.948805e-07 -2.881905e-07 7.460870e-05 -2.663761e-04 -7.042455e-05 -1.038664e-05
 8924.000000 -3.198896e-05 -4.386258e-07 -2.955206e-07 -2.876806e-07 7.850236e-05 -2.854436e-04 -7.184094e-05 -5.550641e-06
 8929.000000 -3.208632e-05 -4.442871e-07 -2.993195e-07 -2.896507e-07 7.050057e-05 -2.901182e-04 -7.203905e-05 -3.302579e-06
 8934.000000 -3.200536e-05 -4.461726e-07 -3.004971e-07 -2.901882e-07 6.434958e-05 -3.021660e-04 -7.343204e-05 1.077727e-06
 8939.000000 -3.185743e-05 -4.467568e-07 -3.009266e-07 -2.900334e-07 6.259145e-05 -3.037582e-04 -7.398098e-05 -1.611095e-05
 8944.000000 -3.173098e-05 -4.484721e-07 -3.020243e-07 -2.899498e-07 6.477405e-05 -2.893495e-04 -7.365548e-05 -9.375915e-06
 8949.000000 -3.158464e-05 -4.486233e-07 -3.019856e-07 -2.892804e-07 6.976397e-05 -3.009214e-04 -7.370262e-05 -1.457800e-05
 8953.000000 -3.151749e-05 -4.496990e-07 -3.024191e-07 -2.895613e-07 6.175792e-05 -3.288585e-04 -6.219179e-05 -2.146972e-05
 8956.000000 -3.146121e-05 -4.503100e-07 -3.024857e-07 -2.896358e-07 7.017229e-05 -3.104139e-04 -6.441327e-05 -1.570463e-05
 8958.000000 -3.140135e-05 -4.500778e-07 -3.018785e-07 -2.895554e-07 6.429405e-05 -2.972407e-04 -7.255814e-05 -1.989237e-05
 8959.000000 -3.133904e-05 -4.490493e-07 -3.012439e-07 -2.891856e-07 5.752416e-05 -3.014651e-04 -6.565730e-05 -2.319381e-05
 8959.200000 -3.127336e-05 -4.474558e-07 -3.002481e-07 -2.886706e-07 5.464346e-05 -3.044635e-04 -6.758398e-05 -3.180235e-05
 8959.400000 -3.125214e-05 -4.477078e-07 -3.003228e-07 -2.885316e-07 5.370172e-05 -3.066501e-04 -6.065530e-05 -2.574213e-05
