# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2824506920121
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998901
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370870
# Scan.uid: db433d8f-27c5-438a-9c84-35a878a4125d
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  01:41:20.544823
# Scan.end_time: 06/23/2023  01:41:55.291630
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 39.93650609314979
# SampleHeater.temperature2.readback: 36.2
# SampleHeater.voltage.setpoint: 0.29605726256396114
# SampleHeater.voltage.readback: 0.298
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.370000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.06103515625
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 5.68654e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.34307e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 4.50277e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 3.35144e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.5222e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.70656e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.490660e-05 -4.266498e-07 -2.823315e-07 -2.874398e-07 5.148418e-05 -5.224150e-05 -2.674214e-05 2.603007e-05
 8784.000000 -3.503309e-05 -4.282342e-07 -2.836550e-07 -2.890198e-07 4.286343e-05 -2.742929e-05 -2.179569e-05 -1.214788e-05
 8789.000000 -3.495753e-05 -4.289011e-07 -2.841757e-07 -2.891232e-07 4.278814e-05 -3.170148e-05 -2.842939e-05 -1.993913e-05
 8794.000000 -3.490360e-05 -4.300296e-07 -2.850605e-07 -2.892784e-07 5.017379e-05 -4.216949e-05 -3.528224e-05 -9.512537e-06
 8799.000000 -3.448389e-05 -4.266157e-07 -2.830544e-07 -2.866018e-07 5.753682e-05 -5.181307e-05 -2.805989e-05 -6.636319e-09
 8804.000000 -3.471509e-05 -4.312128e-07 -2.863558e-07 -2.889887e-07 5.633849e-05 -3.303261e-05 -3.388568e-05 -4.697653e-06
 8809.000000 -3.462706e-05 -4.318982e-07 -2.873418e-07 -2.888186e-07 5.877451e-05 -4.541207e-05 -2.941524e-05 -1.003052e-05
 8814.000000 -3.443871e-05 -4.322083e-07 -2.873691e-07 -2.876146e-07 5.534652e-05 -5.676999e-05 -3.485412e-05 -2.222698e-05
 8819.000000 -3.447646e-05 -4.351117e-07 -2.895755e-07 -2.882215e-07 6.196084e-05 -4.410691e-05 -3.567095e-05 -2.013328e-05
 8824.000000 -3.437841e-05 -4.356135e-07 -2.902529e-07 -2.881976e-07 5.593528e-05 -6.371342e-05 -4.692159e-05 -1.771428e-05
 8829.000000 -3.423847e-05 -4.359779e-07 -2.907664e-07 -2.882087e-07 4.133482e-05 -8.452998e-05 -3.279476e-05 -1.414706e-05
 8834.000000 -3.422542e-05 -4.383438e-07 -2.922802e-07 -2.891539e-07 4.251301e-05 -9.314863e-05 -2.551235e-05 -1.002040e-05
 8839.000000 -3.419209e-05 -4.401273e-07 -2.936316e-07 -2.898977e-07 3.976814e-05 -7.925916e-05 -3.339122e-05 -8.969613e-06
 8844.000000 -3.408591e-05 -4.414816e-07 -2.946423e-07 -2.902163e-07 3.747122e-05 -7.035048e-05 -3.740725e-05 -5.873306e-06
 8849.000000 -3.396391e-05 -4.421667e-07 -2.954278e-07 -2.901578e-07 3.813731e-05 -7.372031e-05 -4.914465e-05 -1.577052e-05
 8854.000000 -3.386326e-05 -4.432803e-07 -2.963422e-07 -2.904261e-07 3.909743e-05 -9.001374e-05 -4.380694e-05 -2.118625e-05
 8859.000000 -3.373375e-05 -4.437795e-07 -2.969536e-07 -2.903837e-07 4.132036e-05 -9.285694e-05 -4.981500e-05 -7.869817e-06
 8864.000000 -3.363400e-05 -4.448095e-07 -2.979605e-07 -2.904429e-07 4.686688e-05 -9.172370e-05 -5.046119e-05 -9.476201e-06
 8869.000000 -3.348464e-05 -4.456763e-07 -2.986981e-07 -2.899868e-07 4.261349e-05 -8.563393e-05 -5.188529e-05 -1.308129e-05
 8874.000000 -3.337262e-05 -4.465618e-07 -2.994671e-07 -2.900271e-07 3.218955e-05 -9.918212e-05 -3.881013e-05 -4.134796e-06
 8879.000000 -3.328343e-05 -4.478884e-07 -3.001419e-07 -2.900806e-07 3.022074e-05 -8.782065e-05 -3.499379e-05 -8.822547e-07
 8884.000000 -3.297558e-05 -4.461442e-07 -2.991048e-07 -2.888161e-07 2.965770e-05 -8.175751e-05 -3.049284e-05 -1.054704e-05
 8889.000000 -3.282518e-05 -4.474829e-07 -3.001853e-07 -2.888412e-07 3.472772e-05 -7.698937e-05 -2.444093e-05 -1.197260e-05
 8894.000000 -3.297627e-05 -4.522242e-07 -3.037017e-07 -2.904474e-07 3.539282e-05 -7.050479e-05 -2.538431e-05 -6.229028e-06
 8899.000000 -3.279591e-05 -4.521635e-07 -3.038348e-07 -2.893882e-07 2.872481e-05 -6.656664e-05 -3.650081e-05 1.725462e-05
 8904.000000 -3.274523e-05 -4.548006e-07 -3.059365e-07 -2.893188e-07 2.829132e-05 -6.263029e-05 -4.020871e-05 3.852364e-05
 8909.000000 -3.264174e-05 -4.558402e-07 -3.067889e-07 -2.888455e-07 2.854772e-05 -5.448646e-05 -4.489490e-05 3.585244e-05
 8914.000000 -3.238431e-05 -4.550766e-07 -3.063635e-07 -2.872903e-07 2.905610e-05 -5.747775e-05 -4.311960e-05 1.564586e-05
 8919.000000 -3.227419e-05 -4.566956e-07 -3.076246e-07 -2.869961e-07 2.876833e-05 -4.836446e-05 -4.002281e-05 7.685130e-06
 8924.000000 -3.212760e-05 -4.569444e-07 -3.075829e-07 -2.867401e-07 3.383416e-05 -2.108853e-05 -3.934008e-05 4.162283e-05
 8929.000000 -3.210647e-05 -4.595083e-07 -3.094484e-07 -2.878161e-07 3.877290e-05 -2.391089e-05 -3.841356e-05 4.370762e-05
 8934.000000 -3.195168e-05 -4.602343e-07 -3.099529e-07 -2.876317e-07 5.163677e-05 -3.086822e-05 -4.518043e-05 3.607459e-05
 8939.000000 -3.185308e-05 -4.614654e-07 -3.107399e-07 -2.878001e-07 5.795093e-05 -3.460829e-05 -4.472113e-05 2.712688e-05
 8944.000000 -3.164618e-05 -4.614257e-07 -3.105857e-07 -2.870389e-07 5.192509e-05 1.947511e-06 -4.496995e-05 1.634639e-06
 8949.000000 -3.162104e-05 -4.647127e-07 -3.126453e-07 -2.876611e-07 5.009860e-05 1.058355e-05 -4.292798e-05 -3.512141e-06
 8953.000000 -3.151866e-05 -4.654269e-07 -3.128575e-07 -2.876046e-07 5.259120e-05 2.485540e-06 -4.248709e-05 -1.387897e-05
 8956.000000 -3.147740e-05 -4.664912e-07 -3.133486e-07 -2.878432e-07 5.690602e-05 -7.722980e-06 -3.526580e-05 -1.891977e-05
 8958.000000 -3.142070e-05 -4.668947e-07 -3.132464e-07 -2.878187e-07 5.052219e-05 1.260698e-06 -3.099859e-05 -1.264007e-05
 8959.000000 -3.142893e-05 -4.673524e-07 -3.134815e-07 -2.881911e-07 5.732959e-05 1.236545e-06 -2.804443e-05 -2.372085e-05
 8959.200000 -3.143237e-05 -4.673972e-07 -3.134317e-07 -2.883552e-07 5.805457e-05 8.227130e-06 -3.749956e-05 -2.325334e-05
 8959.400000 -3.141904e-05 -4.674790e-07 -3.134217e-07 -2.881469e-07 6.187443e-05 -4.181704e-06 -3.744029e-05 -2.097307e-05
