# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5170042919196
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002319
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370879
# Scan.uid: 677b41c8-5255-4e76-adc7-385ba0174b0b
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:50:24.545133
# Scan.end_time: 06/23/2023  01:50:59.721595
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.0500131475
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 131.29147039718458
# SampleHeater.temperature2.readback: 130.9
# SampleHeater.voltage.setpoint: 0.437637226104421
# SampleHeater.voltage.readback: 0.43
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.98589e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.35554e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.70908e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.82487e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.72e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 1.1897e-11
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.012269e-05 -1.113228e-06 -3.262161e-07 -8.226797e-07 6.201173e-05 -5.615947e-06 -5.874668e-05 6.499487e-05
10172.000000 -3.000900e-05 -1.107268e-06 -3.226212e-07 -8.212267e-07 6.852944e-05 -5.169233e-06 -6.024970e-05 6.766841e-05
10177.000000 -2.990549e-05 -1.101242e-06 -3.177723e-07 -8.202002e-07 6.965475e-05 -3.953833e-06 -6.212977e-05 7.011611e-05
10182.000000 -2.984834e-05 -1.101152e-06 -3.118763e-07 -8.212690e-07 6.020721e-05 9.810279e-06 -6.210159e-05 5.807243e-05
10187.000000 -2.985870e-05 -1.105968e-06 -3.018191e-07 -8.240713e-07 6.134646e-05 -2.226990e-05 -5.775092e-05 4.121178e-05
10192.000000 -2.991254e-05 -1.112240e-06 -2.775480e-07 -8.276798e-07 6.457786e-05 -2.579001e-05 -5.860270e-05 4.068962e-05
10197.000000 -2.991070e-05 -1.116272e-06 -2.055926e-07 -8.298576e-07 6.882111e-05 -2.997973e-05 -5.823062e-05 4.588696e-05
10202.000000 -2.983469e-05 -1.116233e-06 -6.615657e-08 -8.306818e-07 5.701800e-05 -1.840429e-05 -6.315468e-05 3.909154e-05
10207.000000 -2.977814e-05 -1.117134e-06 -2.722203e-08 -8.318686e-07 5.800526e-05 -2.275062e-06 -5.810188e-05 3.990190e-05
10212.000000 -2.977532e-05 -1.124460e-06 -5.675783e-08 -8.341165e-07 6.134854e-05 1.756607e-05 -6.521255e-05 4.905354e-05
10217.000000 -2.974775e-05 -1.127643e-06 -7.331062e-08 -8.354069e-07 7.454912e-05 -9.793466e-07 -7.307196e-05 5.737830e-05
10222.000000 -2.971365e-05 -1.131412e-06 -8.644085e-08 -8.361961e-07 7.054046e-05 3.677340e-05 -6.492701e-05 5.155653e-05
10227.000000 -2.970592e-05 -1.137940e-06 -9.557691e-08 -8.375500e-07 6.770539e-05 2.664420e-05 -7.010935e-05 5.211872e-05
10232.000000 -2.963493e-05 -1.139986e-06 -9.910043e-08 -8.376919e-07 6.548491e-05 1.294156e-05 -7.337957e-05 4.696061e-05
10237.000000 -2.959703e-05 -1.141851e-06 -1.014800e-07 -8.395010e-07 6.440845e-05 5.281406e-06 -7.100443e-05 3.601575e-05
10242.000000 -2.958238e-05 -1.146334e-06 -1.033804e-07 -8.411421e-07 6.543121e-05 -2.485249e-06 -6.363181e-05 3.645949e-05
10247.000000 -2.951851e-05 -1.148555e-06 -1.077217e-07 -8.415936e-07 6.671084e-05 1.305870e-05 -6.193338e-05 3.692712e-05
10252.000000 -2.948599e-05 -1.151459e-06 -1.069576e-07 -8.432225e-07 6.667081e-05 1.378864e-05 -6.867556e-05 2.165117e-05
10257.000000 -2.945564e-05 -1.156688e-06 -1.031937e-07 -8.450636e-07 7.302154e-05 1.067377e-05 -6.729420e-05 3.388167e-05
10262.000000 -2.935636e-05 -1.157252e-06 -1.026154e-07 -8.448983e-07 6.124992e-05 2.932442e-05 -7.178010e-05 3.974431e-05
10267.000000 -2.931267e-05 -1.158748e-06 -1.047415e-07 -8.465762e-07 5.587533e-05 1.630869e-05 -5.969326e-05 4.983080e-05
10272.000000 -2.937950e-05 -1.169914e-06 -1.064052e-07 -8.495779e-07 6.697484e-05 1.460162e-05 -5.689706e-05 7.598255e-05
10277.000000 -2.932310e-05 -1.173853e-06 -1.060826e-07 -8.498953e-07 6.664404e-05 4.844249e-07 -5.514369e-05 7.514466e-05
10282.000000 -2.916354e-05 -1.173617e-06 -1.045902e-07 -8.473107e-07 6.427980e-05 -1.511555e-06 -5.705166e-05 7.153217e-05
10287.000000 -2.914826e-05 -1.177182e-06 -1.057729e-07 -8.489350e-07 6.332688e-05 1.838439e-05 -5.114109e-05 4.078844e-05
10292.000000 -2.916844e-05 -1.185634e-06 -1.092483e-07 -8.507538e-07 6.659453e-05 3.011645e-05 -3.825201e-05 3.456576e-05
10297.000000 -2.913273e-05 -1.190020e-06 -1.109799e-07 -8.519988e-07 6.003423e-05 3.117051e-05 -3.841886e-05 3.450328e-05
10302.000000 -2.912889e-05 -1.195471e-06 -1.109070e-07 -8.545042e-07 6.148577e-05 5.558117e-05 -3.398830e-05 3.229388e-05
10307.000000 -2.911795e-05 -1.202827e-06 -1.113635e-07 -8.562046e-07 6.016872e-05 6.572628e-05 -3.219626e-05 3.334486e-05
10312.000000 -2.908173e-05 -1.209455e-06 -1.120888e-07 -8.579798e-07 6.222192e-05 6.145424e-05 -4.610174e-05 1.775004e-05
10317.000000 -2.903397e-05 -1.213944e-06 -1.120861e-07 -8.595494e-07 6.485199e-05 7.421982e-05 -3.368668e-05 2.045448e-05
10322.000000 -2.901300e-05 -1.219452e-06 -1.114191e-07 -8.619529e-07 6.130101e-05 8.542981e-05 -2.790973e-05 1.480953e-05
10327.000000 -2.896508e-05 -1.223425e-06 -1.104972e-07 -8.635794e-07 6.157980e-05 6.652601e-05 -2.239910e-05 1.301746e-05
10332.000000 -2.884295e-05 -1.222538e-06 -1.095483e-07 -8.636093e-07 6.006429e-05 3.255275e-05 -2.697387e-05 2.537980e-05
10337.000000 -2.892072e-05 -1.227873e-06 -1.097264e-07 -8.688143e-07 6.565799e-05 2.877139e-05 -3.357646e-05 2.449226e-05
10341.000000 -2.888409e-05 -1.230416e-06 -1.105723e-07 -8.708647e-07 6.163853e-05 6.109266e-05 -2.835180e-05 2.227927e-05
10344.000000 -2.882503e-05 -1.230376e-06 -1.117557e-07 -8.723140e-07 6.649664e-05 5.521061e-05 -3.321123e-05 2.679916e-05
10346.000000 -2.873860e-05 -1.225154e-06 -1.125372e-07 -8.723137e-07 6.406572e-05 3.575061e-05 -2.524536e-05 2.136026e-05
10347.000000 -2.878202e-05 -1.229913e-06 -1.131353e-07 -8.743068e-07 5.987007e-05 2.157109e-05 -9.854682e-06 1.698228e-05
10347.200000 -2.884155e-05 -1.237391e-06 -1.139699e-07 -8.755385e-07 6.372592e-05 1.604255e-05 -7.496382e-06 2.271465e-05
10347.400000 -2.880795e-05 -1.230738e-06 -1.135596e-07 -8.758131e-07 5.944785e-05 2.085767e-05 2.162902e-06 3.060057e-05
10347.600000 -2.881028e-05 -1.236421e-06 -1.143518e-07 -8.760998e-07 5.319600e-05 4.641076e-06 -1.468921e-05 2.011153e-05
10347.800000 -2.879143e-05 -1.230832e-06 -1.137993e-07 -8.760374e-07 5.674959e-05 -7.013365e-06 -1.451963e-05 1.966529e-05
10348.000000 -2.879387e-05 -1.233314e-06 -1.141386e-07 -8.763472e-07 6.373467e-05 9.567863e-06 -3.287955e-06 2.671366e-05
10348.200000 -2.882439e-05 -1.237971e-06 -1.145236e-07 -8.770452e-07 6.363549e-05 -3.592212e-06 -3.886972e-06 2.138872e-05
10348.400000 -2.884051e-05 -1.239471e-06 -1.147307e-07 -8.775610e-07 5.954587e-05 -2.101212e-05 -2.701272e-05 2.446220e-05
10348.600000 -2.883513e-05 -1.240410e-06 -1.151190e-07 -8.770633e-07 6.205789e-05 1.618115e-06 -1.585887e-05 3.130793e-05
10348.800000 -2.882023e-05 -1.236101e-06 -1.147841e-07 -8.773700e-07 6.271036e-05 -1.572885e-06 -5.437238e-06 3.860523e-05
10349.000000 -2.879272e-05 -1.237057e-06 -1.150868e-07 -8.769905e-07 5.259452e-05 -8.354832e-06 -9.231773e-06 2.282668e-05
10349.200000 -2.876117e-05 -1.235678e-06 -1.154708e-07 -8.767636e-07 4.458670e-05 2.470363e-05 -1.478555e-05 1.537968e-05
10349.400000 -2.874523e-05 -1.232369e-06 -1.151630e-07 -8.767974e-07 5.337334e-05 3.928115e-05 -9.632869e-06 3.080711e-05
10349.600000 -2.870921e-05 -1.231555e-06 -1.155409e-07 -8.763267e-07 6.302509e-05 7.904327e-06 -1.452163e-05 2.445159e-05
10349.800000 -2.862457e-05 -1.220452e-06 -1.147293e-07 -8.744644e-07 5.543736e-05 1.790341e-05 -2.037941e-05 2.493761e-05
10350.000000 -2.852569e-05 -1.210666e-06 -1.141144e-07 -8.718856e-07 5.669310e-05 5.220350e-05 -1.161443e-05 2.558138e-05
10350.200000 -2.851560e-05 -1.209477e-06 -1.141623e-07 -8.716159e-07 6.522390e-05 5.302145e-05 -1.770580e-05 2.090852e-05
10350.400000 -2.853698e-05 -1.215095e-06 -1.146471e-07 -8.724639e-07 5.999522e-05 4.311409e-05 -1.299380e-05 3.340330e-05
10350.600000 -2.854705e-05 -1.215204e-06 -1.147541e-07 -8.731569e-07 5.338551e-05 4.266015e-05 -2.858970e-05 2.111632e-05
10350.800000 -2.854216e-05 -1.218570e-06 -1.153484e-07 -8.730219e-07 6.004179e-05 3.100843e-05 -2.481294e-05 1.634760e-05
10351.000000 -2.856140e-05 -1.220793e-06 -1.153749e-07 -8.741284e-07 4.948368e-05 3.990652e-05 -3.015155e-05 1.135630e-05
10351.200000 -2.860307e-05 -1.217707e-06 -1.148569e-07 -8.751091e-07 5.138149e-05 2.931036e-05 -2.168098e-05 2.025070e-05
10351.400000 -2.870734e-05 -1.231000e-06 -1.158449e-07 -8.784092e-07 5.968977e-05 1.839705e-05 -2.109639e-05 1.009801e-05
10351.600000 -2.871666e-05 -1.231344e-06 -1.160780e-07 -8.785891e-07 5.529792e-05 -6.505494e-06 -2.737838e-05 1.918766e-05
10351.800000 -2.868945e-05 -1.225577e-06 -1.153574e-07 -8.784864e-07 5.597532e-05 1.309492e-06 -2.794989e-05 2.695693e-05
10352.000000 -2.872209e-05 -1.234597e-06 -1.165297e-07 -8.792850e-07 6.458905e-05 6.219856e-06 -2.377547e-05 4.086224e-05
10352.200000 -2.873481e-05 -1.232210e-06 -1.164247e-07 -8.797742e-07 6.236946e-05 -5.246122e-07 -2.909243e-05 3.880632e-05
10352.400000 -2.877806e-05 -1.238721e-06 -1.171641e-07 -8.809365e-07 5.995334e-05 -1.034197e-05 -2.602423e-05 3.533170e-05
10352.600000 -2.879494e-05 -1.241062e-06 -1.175263e-07 -8.816542e-07 6.003883e-05 3.927809e-06 -3.255629e-05 3.679351e-05
10352.800000 -2.876793e-05 -1.237801e-06 -1.171555e-07 -8.812754e-07 5.113538e-05 -1.339579e-05 -4.563793e-05 2.525416e-05
10353.000000 -2.875217e-05 -1.240550e-06 -1.176186e-07 -8.817617e-07 4.911790e-05 1.642513e-05 -4.220043e-05 4.011060e-05
10353.200000 -2.872020e-05 -1.234689e-06 -1.170120e-07 -8.809404e-07 5.016577e-05 -4.611502e-06 -3.292680e-05 4.605293e-05
10353.400000 -2.872422e-05 -1.234171e-06 -1.169069e-07 -8.814566e-07 4.403794e-05 -1.775499e-05 -2.879783e-05 4.312042e-05
10353.600000 -2.872854e-05 -1.233824e-06 -1.170324e-07 -8.819935e-07 4.464635e-05 -1.895360e-05 -2.919845e-05 3.625932e-05
10353.800000 -2.866768e-05 -1.230817e-06 -1.167847e-07 -8.807232e-07 4.316508e-05 -1.596250e-05 -2.552005e-05 4.047439e-05
10354.000000 -2.867772e-05 -1.231822e-06 -1.170601e-07 -8.814434e-07 4.381710e-05 -6.686660e-06 -2.920408e-05 4.435233e-05
10354.200000 -2.863969e-05 -1.230057e-06 -1.170181e-07 -8.807229e-07 4.941712e-05 -2.516900e-05 -2.685297e-05 4.263772e-05
10354.400000 -2.860011e-05 -1.225688e-06 -1.167732e-07 -8.806005e-07 4.801158e-05 -3.857891e-05 -3.015874e-05 4.033894e-05
10354.600000 -2.854614e-05 -1.215997e-06 -1.159697e-07 -8.793004e-07 4.715235e-05 -2.926692e-05 -2.977851e-05 3.246113e-05
10354.800000 -2.853813e-05 -1.218004e-06 -1.164953e-07 -8.796032e-07 3.768103e-05 -5.325483e-05 -3.207091e-05 3.773942e-05
10355.000000 -2.856759e-05 -1.218873e-06 -1.163764e-07 -8.807034e-07 3.400986e-05 -3.058428e-05 -3.971894e-05 3.159216e-05
10355.200000 -2.862759e-05 -1.231658e-06 -1.174301e-07 -8.829406e-07 3.731129e-05 -1.875969e-05 -3.637350e-05 2.867527e-05
10355.400000 -2.868990e-05 -1.234761e-06 -1.174319e-07 -8.843705e-07 4.653413e-05 -1.099054e-05 -4.708719e-05 3.195072e-05
10355.600000 -2.872976e-05 -1.237273e-06 -1.176068e-07 -8.852981e-07 4.280948e-05 5.373117e-06 -3.668058e-05 3.032789e-05
