# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.544404355
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996338
# Detector.I1.voltage: -1650.001587
# Detector.I2.voltage: -1650.001465
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370887
# Scan.uid: 019325fa-9789-430b-9778-cc6dfffcab31
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  01:58:28.015924
# Scan.end_time: 06/23/2023  01:59:02.189427
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 212.7999744665193
# SampleHeater.temperature2.readback: 214.4
# SampleHeater.voltage.setpoint: 0.5114109425364876
# SampleHeater.voltage.readback: 0.525
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.05
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.34681e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.35554e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 3.31322e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.25351e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.72e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 9.58255e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.008215e-05 -1.099406e-06 -3.212255e-07 -8.237360e-07 1.392617e-05 -1.951909e-04 -5.231052e-05 -1.046994e-05
10172.000000 -2.996128e-05 -1.094191e-06 -3.179883e-07 -8.226927e-07 1.719149e-05 -1.714744e-04 -5.434519e-05 -8.138525e-06
10177.000000 -2.985358e-05 -1.089457e-06 -3.135853e-07 -8.222106e-07 8.297925e-06 -1.802178e-04 -6.083623e-05 -7.135456e-06
10182.000000 -2.982936e-05 -1.090242e-06 -3.080507e-07 -8.237888e-07 6.566598e-06 -1.833785e-04 -5.456295e-05 4.578297e-07
10187.000000 -2.984190e-05 -1.092632e-06 -2.975795e-07 -8.264941e-07 7.720539e-06 -1.642860e-04 -5.361863e-05 1.364881e-06
10192.000000 -2.989900e-05 -1.097645e-06 -2.732570e-07 -8.299661e-07 2.368983e-06 -1.435829e-04 -6.157305e-05 -7.574045e-06
10197.000000 -2.987898e-05 -1.101766e-06 -2.027751e-07 -8.314316e-07 3.307305e-06 -1.831724e-04 -5.686495e-05 -6.397718e-06
10202.000000 -2.975107e-05 -1.099153e-06 -6.573366e-08 -8.304965e-07 1.780209e-05 -1.747931e-04 -4.860950e-05 1.753892e-06
10207.000000 -2.959318e-05 -1.094723e-06 -2.645830e-08 -8.285371e-07 1.221359e-05 -1.661478e-04 -5.466019e-05 8.214858e-06
10212.000000 -2.971264e-05 -1.108348e-06 -5.512534e-08 -8.339914e-07 1.179950e-05 -1.486583e-04 -4.749882e-05 -1.686978e-06
10217.000000 -2.970532e-05 -1.113039e-06 -7.131725e-08 -8.358978e-07 1.027427e-05 -1.610557e-04 -5.780680e-05 -6.505652e-06
10222.000000 -2.969368e-05 -1.118399e-06 -8.433252e-08 -8.372451e-07 5.533701e-06 -1.802907e-04 -4.504835e-05 -4.431604e-06
10227.000000 -2.966229e-05 -1.121116e-06 -9.321461e-08 -8.380517e-07 1.701948e-05 -1.979925e-04 -4.593664e-05 -6.492537e-06
10232.000000 -2.957986e-05 -1.121408e-06 -9.652692e-08 -8.384248e-07 1.807849e-05 -1.808783e-04 -4.017280e-05 -4.816551e-06
10237.000000 -2.957449e-05 -1.125333e-06 -9.878201e-08 -8.410700e-07 2.030673e-05 -1.854988e-04 -4.549461e-05 -4.696900e-06
10242.000000 -2.955641e-05 -1.131074e-06 -1.007198e-07 -8.424920e-07 1.926849e-05 -2.071274e-04 -5.793012e-05 -1.080258e-05
10247.000000 -2.945933e-05 -1.132195e-06 -1.052672e-07 -8.416739e-07 1.390819e-05 -2.196802e-04 -5.262510e-05 -5.467777e-06
10252.000000 -2.945074e-05 -1.136833e-06 -1.051566e-07 -8.434035e-07 9.537235e-06 -2.292092e-04 -5.722239e-05 -3.222469e-06
10257.000000 -2.940835e-05 -1.140441e-06 -1.013565e-07 -8.441740e-07 1.145881e-05 -2.301865e-04 -6.267322e-05 -1.416367e-05
10262.000000 -2.931811e-05 -1.139993e-06 -1.003586e-07 -8.436328e-07 1.012778e-05 -2.100627e-04 -5.169107e-05 -3.756570e-06
10267.000000 -2.930865e-05 -1.142998e-06 -1.023178e-07 -8.458266e-07 1.135125e-05 -2.150096e-04 -4.607074e-05 -2.668316e-06
10272.000000 -2.933707e-05 -1.151623e-06 -1.037617e-07 -8.483823e-07 -2.996045e-06 -2.221052e-04 -4.592843e-05 -1.175754e-05
10277.000000 -2.926542e-05 -1.154831e-06 -1.034334e-07 -8.486512e-07 1.013800e-05 -1.838104e-04 -3.779890e-05 -1.652139e-05
10282.000000 -2.908538e-05 -1.154645e-06 -1.019047e-07 -8.460420e-07 1.742530e-05 -1.980571e-04 -3.167921e-05 -5.527143e-06
10287.000000 -2.913336e-05 -1.163469e-06 -1.032596e-07 -8.497523e-07 2.093339e-05 -1.710954e-04 -3.820423e-05 -2.183152e-06
10292.000000 -2.914496e-05 -1.173669e-06 -1.072896e-07 -8.518984e-07 1.919262e-05 -1.634832e-04 -4.030790e-05 -1.200180e-06
10297.000000 -2.911326e-05 -1.178918e-06 -1.090061e-07 -8.532241e-07 1.638658e-05 -1.715195e-04 -4.136934e-05 -1.233003e-05
10302.000000 -2.911186e-05 -1.186844e-06 -1.093820e-07 -8.555097e-07 2.434615e-05 -1.664152e-04 -4.494193e-05 -7.255046e-06
10307.000000 -2.905826e-05 -1.190893e-06 -1.095719e-07 -8.561022e-07 1.914714e-05 -1.400543e-04 -3.826699e-05 6.894932e-06
10312.000000 -2.900771e-05 -1.193833e-06 -1.097871e-07 -8.572006e-07 2.276066e-05 -1.298856e-04 -4.571055e-05 -1.398740e-06
10317.000000 -2.899367e-05 -1.200534e-06 -1.097946e-07 -8.595823e-07 2.467001e-05 -1.429256e-04 -4.367042e-05 -8.137389e-06
10322.000000 -2.896199e-05 -1.205925e-06 -1.092565e-07 -8.617050e-07 1.407208e-05 -1.531691e-04 -3.371596e-05 6.349616e-06
10327.000000 -2.892092e-05 -1.210603e-06 -1.086214e-07 -8.633061e-07 9.849960e-06 -1.774657e-04 -4.035386e-05 4.593708e-06
10332.000000 -2.877585e-05 -1.208194e-06 -1.074588e-07 -8.629095e-07 3.563667e-06 -1.439494e-04 -4.647796e-05 -1.714901e-06
10337.000000 -2.880916e-05 -1.212488e-06 -1.077563e-07 -8.678476e-07 1.301636e-05 -1.421326e-04 -4.534372e-05 -4.730441e-06
10341.000000 -2.885845e-05 -1.221320e-06 -1.086822e-07 -8.715527e-07 1.590365e-05 -1.548572e-04 -4.163837e-05 -2.377134e-05
10344.000000 -2.882601e-05 -1.220612e-06 -1.095837e-07 -8.730930e-07 4.402754e-06 -1.480845e-04 -4.088772e-05 -2.918635e-05
10346.000000 -2.879658e-05 -1.220153e-06 -1.106906e-07 -8.742671e-07 2.684318e-06 -1.253121e-04 -3.599351e-05 -2.931034e-05
10347.000000 -2.878799e-05 -1.221350e-06 -1.117944e-07 -8.746658e-07 3.658160e-06 -1.684804e-04 -3.094164e-05 -1.539460e-05
10347.200000 -2.878815e-05 -1.221781e-06 -1.121584e-07 -8.749191e-07 6.285804e-07 -1.642993e-04 -3.016949e-05 -1.166799e-05
10347.400000 -2.875744e-05 -1.219425e-06 -1.119496e-07 -8.744583e-07 1.322372e-08 -1.517862e-04 -2.833721e-05 -1.215698e-05
10347.600000 -2.874109e-05 -1.217473e-06 -1.118657e-07 -8.745252e-07 3.899426e-06 -1.491516e-04 -3.502254e-05 -1.100298e-05
10347.800000 -2.874787e-05 -1.218787e-06 -1.123716e-07 -8.743309e-07 6.031134e-06 -1.268381e-04 -5.277976e-05 -1.315674e-05
10348.000000 -2.875180e-05 -1.218462e-06 -1.123280e-07 -8.748900e-07 1.617808e-05 -9.902211e-05 -4.559145e-05 -4.134066e-06
10348.200000 -2.876606e-05 -1.221413e-06 -1.126050e-07 -8.755184e-07 9.231997e-06 -1.232500e-04 -3.676017e-05 -1.925865e-05
10348.400000 -2.876633e-05 -1.222495e-06 -1.129026e-07 -8.749601e-07 9.921249e-06 -1.482545e-04 -3.927105e-05 -2.995730e-05
10348.600000 -2.873941e-05 -1.218226e-06 -1.126822e-07 -8.753910e-07 1.950459e-05 -1.566865e-04 -5.176081e-05 -2.958933e-05
10348.800000 -2.875736e-05 -1.222035e-06 -1.128584e-07 -8.760418e-07 2.728765e-05 -1.550056e-04 -4.120836e-05 -3.085538e-05
10349.000000 -2.876520e-05 -1.222568e-06 -1.127280e-07 -8.764066e-07 1.973597e-05 -1.517545e-04 -3.944338e-05 -1.911518e-05
10349.200000 -2.871764e-05 -1.219438e-06 -1.128175e-07 -8.759470e-07 1.166442e-05 -1.549266e-04 -5.613595e-05 -2.793193e-05
10349.400000 -2.867955e-05 -1.217592e-06 -1.130738e-07 -8.752183e-07 7.779480e-06 -1.755655e-04 -4.372748e-05 -3.317970e-05
10349.600000 -2.869288e-05 -1.216409e-06 -1.129078e-07 -8.757143e-07 -1.308943e-06 -1.807344e-04 -4.963165e-05 -3.505403e-05
10349.800000 -2.873473e-05 -1.220474e-06 -1.131777e-07 -8.768374e-07 1.044374e-06 -1.731034e-04 -6.129968e-05 -2.958431e-05
10350.000000 -2.872934e-05 -1.219346e-06 -1.131246e-07 -8.767850e-07 5.029033e-06 -1.465916e-04 -4.865647e-05 -2.835462e-05
