# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7853376320643
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999023
# Detector.I1.voltage: -1649.998291
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370901
# Scan.uid: 761467dd-24c0-466d-ac47-9661e575a65a
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:12:24.085599
# Scan.end_time: 06/23/2023  02:12:56.768973
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 353.76653707144493
# SampleHeater.temperature2.readback: 352.5
# SampleHeater.voltage.setpoint: 0.8659114988002993
# SampleHeater.voltage.readback: 0.884
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.06
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.36816e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.34307e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.91263e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.93361e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7243e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.64011e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.997811e-05 -1.050953e-06 -3.071471e-07 -8.316595e-07 3.526531e-05 -1.734270e-04 -9.482750e-05 1.738770e-05
10172.000000 -2.987511e-05 -1.046391e-06 -3.040613e-07 -8.302948e-07 3.929293e-05 -1.421871e-04 -9.508970e-05 1.667045e-05
10177.000000 -2.977537e-05 -1.041746e-06 -2.998495e-07 -8.296121e-07 3.547763e-05 -1.193234e-04 -9.397679e-05 1.297481e-05
10182.000000 -2.973473e-05 -1.043922e-06 -2.948981e-07 -8.306691e-07 4.002816e-05 -1.378917e-04 -9.035234e-05 1.841144e-05
10187.000000 -2.972527e-05 -1.045729e-06 -2.848373e-07 -8.329254e-07 4.876320e-05 -1.207195e-04 -8.868566e-05 2.453333e-05
10192.000000 -2.972574e-05 -1.047804e-06 -2.614336e-07 -8.354532e-07 4.214502e-05 -8.591642e-05 -8.524909e-05 8.519310e-06
10197.000000 -2.972295e-05 -1.052263e-06 -1.945786e-07 -8.373601e-07 3.841207e-05 -1.071763e-04 -8.474260e-05 3.234433e-06
10202.000000 -2.969888e-05 -1.057152e-06 -6.344716e-08 -8.385792e-07 3.994025e-05 -1.061549e-04 -7.382889e-05 8.790492e-06
10207.000000 -2.967809e-05 -1.062345e-06 -2.522231e-08 -8.398011e-07 3.694779e-05 -9.719719e-05 -6.347616e-05 9.431783e-06
10212.000000 -2.958274e-05 -1.058790e-06 -5.268806e-08 -8.395289e-07 2.990873e-05 -8.346854e-05 -6.925406e-05 9.427676e-06
10217.000000 -2.964602e-05 -1.069744e-06 -6.847034e-08 -8.429505e-07 2.334169e-05 -7.490811e-05 -7.175786e-05 1.340512e-05
10222.000000 -2.961905e-05 -1.074189e-06 -8.108055e-08 -8.443951e-07 3.001594e-05 -9.581256e-05 -7.413217e-05 1.613862e-05
10227.000000 -2.958117e-05 -1.077650e-06 -8.926394e-08 -8.452779e-07 2.774742e-05 -7.390930e-05 -8.608091e-05 9.733457e-06
10232.000000 -2.950214e-05 -1.078895e-06 -9.263985e-08 -8.454490e-07 2.634248e-05 -9.210197e-05 -9.138514e-05 4.070542e-05
10237.000000 -2.947027e-05 -1.081909e-06 -9.513510e-08 -8.467556e-07 2.701613e-05 -1.266560e-04 -7.904461e-05 5.820737e-05
10242.000000 -2.945094e-05 -1.087625e-06 -9.736936e-08 -8.482708e-07 3.768725e-05 -1.371002e-04 -7.663094e-05 1.163731e-05
10247.000000 -2.938520e-05 -1.090090e-06 -1.013836e-07 -8.487428e-07 3.163253e-05 -1.287346e-04 -7.285676e-05 1.768600e-06
10252.000000 -2.938877e-05 -1.096490e-06 -1.012072e-07 -8.513130e-07 3.295313e-05 -1.496067e-04 -7.243449e-05 4.003861e-05
10257.000000 -2.933180e-05 -1.098157e-06 -9.746268e-08 -8.524934e-07 2.892304e-05 -1.619397e-04 -7.319442e-05 4.490053e-05
10262.000000 -2.916166e-05 -1.091711e-06 -9.658706e-08 -8.503489e-07 3.680101e-05 -1.618481e-04 -6.776840e-05 4.769561e-05
10267.000000 -2.928424e-05 -1.107929e-06 -9.918742e-08 -8.553921e-07 3.586769e-05 -1.606877e-04 -5.881871e-05 5.380599e-05
10272.000000 -2.926808e-05 -1.112335e-06 -1.003433e-07 -8.567555e-07 3.593591e-05 -1.649877e-04 -5.975542e-05 4.952177e-05
10277.000000 -2.917137e-05 -1.111057e-06 -9.930839e-08 -8.557713e-07 3.581313e-05 -1.645521e-04 -4.402066e-05 4.236043e-05
10282.000000 -2.898803e-05 -1.106437e-06 -9.766198e-08 -8.526106e-07 3.324836e-05 -1.709525e-04 -4.687940e-05 2.289644e-05
10287.000000 -2.909130e-05 -1.119737e-06 -9.930461e-08 -8.574317e-07 3.021934e-05 -1.585369e-04 -6.504354e-05 1.357793e-05
10292.000000 -2.905077e-05 -1.122672e-06 -1.025597e-07 -8.586764e-07 3.524951e-05 -1.688035e-04 -7.024382e-05 1.274820e-05
10297.000000 -2.899841e-05 -1.124069e-06 -1.041110e-07 -8.595322e-07 4.028889e-05 -1.688608e-04 -7.631482e-05 1.752676e-05
10302.000000 -2.903499e-05 -1.135256e-06 -1.045915e-07 -8.627817e-07 3.670229e-05 -1.640478e-04 -7.814561e-05 1.895770e-05
10307.000000 -2.896254e-05 -1.136508e-06 -1.045351e-07 -8.637487e-07 3.700036e-05 -1.746382e-04 -7.497348e-05 1.429762e-05
10312.000000 -2.894201e-05 -1.143765e-06 -1.053093e-07 -8.652625e-07 3.565597e-05 -1.842354e-04 -7.496871e-05 1.109690e-05
10317.000000 -2.887409e-05 -1.144430e-06 -1.047203e-07 -8.664494e-07 3.030354e-05 -1.792009e-04 -8.190671e-05 5.702496e-06
10322.000000 -2.886343e-05 -1.151485e-06 -1.041374e-07 -8.685620e-07 3.080953e-05 -1.526163e-04 -7.091453e-05 1.499294e-05
10327.000000 -2.882714e-05 -1.156774e-06 -1.035055e-07 -8.705035e-07 2.287883e-05 -1.212912e-04 -7.873290e-05 5.299038e-05
10332.000000 -2.869040e-05 -1.155110e-06 -1.024677e-07 -8.704904e-07 2.270168e-05 -1.127700e-04 -8.192017e-05 5.876744e-05
10337.000000 -2.875515e-05 -1.159431e-06 -1.026761e-07 -8.761862e-07 1.773222e-05 -1.058310e-04 -7.540261e-05 6.156444e-05
10341.000000 -2.872183e-05 -1.160194e-06 -1.032084e-07 -8.783479e-07 1.405088e-05 -1.220774e-04 -8.029499e-05 4.891287e-05
10344.000000 -2.863896e-05 -1.156210e-06 -1.042241e-07 -8.788516e-07 1.686502e-05 -1.412677e-04 -8.194173e-05 1.453011e-05
10346.000000 -2.863533e-05 -1.160065e-06 -1.056369e-07 -8.806520e-07 1.673690e-05 -1.104471e-04 -7.613409e-05 4.291325e-05
10347.000000 -2.866361e-05 -1.166432e-06 -1.066087e-07 -8.819031e-07 1.708151e-05 -8.757878e-05 -7.176395e-05 4.654320e-05
10347.200000 -2.866645e-05 -1.167747e-06 -1.067923e-07 -8.819968e-07 2.209354e-05 -1.016680e-04 -7.542308e-05 4.286625e-05
10347.400000 -2.864042e-05 -1.164396e-06 -1.065827e-07 -8.816408e-07 2.456111e-05 -1.107152e-04 -7.099922e-05 4.610424e-05
10347.600000 -2.863852e-05 -1.164261e-06 -1.067899e-07 -8.816828e-07 2.194338e-05 -8.694994e-05 -8.877533e-05 4.990977e-05
