# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.52361137167094
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1649.998169
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370903
# Scan.uid: 6110f6f4-146e-40b8-a538-703e85126113
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:14:23.059033
# Scan.end_time: 06/23/2023  02:14:56.547184
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 373.8343724580176
# SampleHeater.temperature2.readback: 375.20000000000005
# SampleHeater.voltage.setpoint: 0.8646209452572937
# SampleHeater.voltage.readback: 0.865
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.3351e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.32673e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.87952e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 7.6726e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7329e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.41837e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.000262e-05 -1.049328e-06 -3.063240e-07 -8.319289e-07 3.186878e-05 -1.245973e-04 -7.208212e-05 4.898585e-06
10172.000000 -2.987242e-05 -1.042641e-06 -3.028166e-07 -8.303678e-07 3.436602e-05 -1.518992e-04 -7.140760e-05 2.185037e-06
10177.000000 -2.980521e-05 -1.041028e-06 -2.992957e-07 -8.306528e-07 3.507646e-05 -1.659048e-04 -7.116362e-05 -1.203760e-06
10182.000000 -2.975013e-05 -1.042374e-06 -2.945336e-07 -8.313918e-07 4.156587e-05 -1.547049e-04 -7.905821e-05 -2.850858e-06
10187.000000 -2.972729e-05 -1.044014e-06 -2.840736e-07 -8.331418e-07 3.963009e-05 -1.411866e-04 -9.422895e-05 -7.798383e-06
10192.000000 -2.982586e-05 -1.054800e-06 -2.624269e-07 -8.374834e-07 3.254287e-05 -1.446503e-04 -8.657766e-05 -4.203546e-06
10197.000000 -2.982138e-05 -1.059912e-06 -1.944635e-07 -8.392305e-07 1.969227e-05 -1.592040e-04 -8.699024e-05 2.932967e-06
10202.000000 -2.978249e-05 -1.063041e-06 -6.289046e-08 -8.401880e-07 2.651049e-05 -1.484847e-04 -8.524232e-05 8.764221e-06
10207.000000 -2.974728e-05 -1.066122e-06 -2.554472e-08 -8.415742e-07 2.247850e-05 -1.607032e-04 -7.838218e-05 2.580909e-06
10212.000000 -2.971379e-05 -1.068099e-06 -5.287651e-08 -8.426110e-07 3.078298e-05 -1.571611e-04 -7.865574e-05 4.851958e-06
10217.000000 -2.968059e-05 -1.072641e-06 -6.867142e-08 -8.435889e-07 4.122730e-05 -1.832882e-04 -8.140012e-05 7.757481e-06
10222.000000 -2.960420e-05 -1.073138e-06 -8.085545e-08 -8.438739e-07 3.727135e-05 -1.702100e-04 -7.844103e-05 5.678613e-06
10227.000000 -2.958663e-05 -1.078863e-06 -8.911434e-08 -8.453579e-07 3.128517e-05 -1.583817e-04 -7.353356e-05 1.237798e-05
10232.000000 -2.952357e-05 -1.080088e-06 -9.261641e-08 -8.460525e-07 2.909941e-05 -1.665285e-04 -6.782457e-05 8.357592e-06
10237.000000 -2.952319e-05 -1.084098e-06 -9.524700e-08 -8.483038e-07 3.234930e-05 -1.625116e-04 -6.810316e-05 2.060777e-05
10242.000000 -2.949848e-05 -1.089164e-06 -9.713616e-08 -8.498482e-07 3.669695e-05 -1.495270e-04 -5.866398e-05 1.819761e-05
10247.000000 -2.942837e-05 -1.090970e-06 -1.009261e-07 -8.502907e-07 3.182655e-05 -1.512977e-04 -5.896847e-05 1.727181e-05
10252.000000 -2.940809e-05 -1.095482e-06 -1.009695e-07 -8.518917e-07 3.572621e-05 -1.338794e-04 -6.303317e-05 6.780275e-06
10257.000000 -2.935629e-05 -1.098219e-06 -9.732505e-08 -8.527542e-07 3.792955e-05 -1.220562e-04 -6.193321e-05 1.147184e-06
10262.000000 -2.927612e-05 -1.100477e-06 -9.663815e-08 -8.524501e-07 3.233158e-05 -1.018720e-04 -6.408681e-05 2.790784e-06
10267.000000 -2.924195e-05 -1.099522e-06 -9.816954e-08 -8.540719e-07 3.417831e-05 -1.108451e-04 -7.868000e-05 1.140140e-05
10272.000000 -2.922509e-05 -1.104079e-06 -9.944765e-08 -8.556439e-07 4.144365e-05 -1.204131e-04 -7.043609e-05 8.320543e-06
10277.000000 -2.916767e-05 -1.108326e-06 -9.887953e-08 -8.563601e-07 3.799380e-05 -1.322652e-04 -7.485263e-05 1.310092e-06
10282.000000 -2.904088e-05 -1.109381e-06 -9.766838e-08 -8.548142e-07 4.319405e-05 -1.039020e-04 -7.136937e-05 5.667839e-06
10287.000000 -2.913120e-05 -1.122560e-06 -9.960515e-08 -8.595093e-07 3.978346e-05 -1.019859e-04 -7.555575e-05 1.598731e-05
10292.000000 -2.909079e-05 -1.126829e-06 -1.027177e-07 -8.604413e-07 4.357476e-05 -6.986221e-05 -7.148364e-05 1.135927e-05
10297.000000 -2.904303e-05 -1.128936e-06 -1.044191e-07 -8.617583e-07 2.896125e-05 -7.916658e-05 -6.069142e-05 1.715496e-05
10302.000000 -2.902050e-05 -1.131994e-06 -1.040086e-07 -8.635091e-07 3.818423e-05 -1.055194e-04 -4.845054e-05 1.511096e-05
10307.000000 -2.898352e-05 -1.136194e-06 -1.041282e-07 -8.645077e-07 4.101531e-05 -9.780631e-05 -6.164722e-05 1.242560e-05
10312.000000 -2.894210e-05 -1.140454e-06 -1.048008e-07 -8.657082e-07 3.343225e-05 -9.881711e-05 -7.227425e-05 8.494846e-06
10317.000000 -2.892281e-05 -1.146573e-06 -1.047540e-07 -8.677579e-07 3.538119e-05 -8.740730e-05 -7.175263e-05 1.277908e-05
10322.000000 -2.888987e-05 -1.150498e-06 -1.038786e-07 -8.699689e-07 3.783623e-05 -7.235507e-05 -6.360973e-05 2.267673e-05
10327.000000 -2.882836e-05 -1.153005e-06 -1.031564e-07 -8.714420e-07 2.506396e-05 -7.158964e-05 -5.704374e-05 1.233277e-05
10332.000000 -2.866343e-05 -1.147029e-06 -1.017461e-07 -8.703363e-07 3.073083e-05 -4.511363e-05 -6.870506e-05 9.061247e-06
10337.000000 -2.880114e-05 -1.161959e-06 -1.026218e-07 -8.765718e-07 4.161379e-05 -4.961097e-05 -5.822695e-05 8.087204e-06
10341.000000 -2.877760e-05 -1.163701e-06 -1.033053e-07 -8.790410e-07 4.130362e-05 -6.082643e-05 -6.284837e-05 2.767375e-05
10344.000000 -2.869639e-05 -1.159407e-06 -1.041609e-07 -8.792788e-07 3.493283e-05 -8.563101e-05 -5.647937e-05 1.771897e-05
10346.000000 -2.856624e-05 -1.145148e-06 -1.041480e-07 -8.787095e-07 3.004885e-05 -9.061181e-05 -5.094282e-05 1.579830e-05
10347.000000 -2.860973e-05 -1.151721e-06 -1.053798e-07 -8.809730e-07 3.361593e-05 -7.399720e-05 -5.109218e-05 1.265962e-05
10347.200000 -2.865635e-05 -1.159469e-06 -1.061056e-07 -8.819994e-07 3.594475e-05 -6.135269e-05 -4.919793e-05 1.932627e-05
10347.400000 -2.861303e-05 -1.153493e-06 -1.057297e-07 -8.810684e-07 3.004621e-05 -5.982766e-05 -4.005244e-05 1.813718e-05
10347.600000 -2.863045e-05 -1.155259e-06 -1.058896e-07 -8.816479e-07 2.873371e-05 -4.606966e-05 -6.443936e-05 1.397836e-05
10347.800000 -2.860400e-05 -1.152161e-06 -1.055928e-07 -8.810245e-07 3.690094e-05 -8.455295e-05 -5.108972e-05 2.013071e-05
10348.000000 -2.866121e-05 -1.159633e-06 -1.062153e-07 -8.822785e-07 3.063642e-05 -9.458945e-05 -5.123686e-05 1.365390e-05
10348.200000 -2.871471e-05 -1.167800e-06 -1.069296e-07 -8.835893e-07 2.864850e-05 -1.090854e-04 -6.471563e-05 9.539550e-06
10348.400000 -2.870546e-05 -1.168706e-06 -1.072046e-07 -8.834426e-07 2.720920e-05 -1.211852e-04 -5.856358e-05 1.321103e-05
10348.600000 -2.864989e-05 -1.159779e-06 -1.069354e-07 -8.828352e-07 3.574900e-05 -1.035775e-04 -5.417919e-05 7.254065e-06
