# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.6805895765695
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1649.999512
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370907
# Scan.uid: 68dce7c2-54e1-41b1-b727-cf08348475c9
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:18:22.083965
# Scan.end_time: 06/23/2023  02:18:57.286584
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 400.3
# SampleHeater.voltage.setpoint: 0.9321792501756178
# SampleHeater.voltage.readback: 0.927
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.200000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.22095e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.3392e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.90183e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.98331e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7458e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 7.08759e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.998659e-05 -1.048667e-06 -3.060394e-07 -8.318087e-07 6.011422e-05 -2.195684e-04 -3.435013e-05 1.268528e-05
10172.000000 -2.988202e-05 -1.045517e-06 -3.036015e-07 -8.309439e-07 5.280673e-05 -2.135935e-04 -4.278368e-05 1.560658e-05
10177.000000 -2.978865e-05 -1.041631e-06 -2.995027e-07 -8.305664e-07 5.002131e-05 -2.182179e-04 -4.848804e-05 1.011022e-05
10182.000000 -2.972876e-05 -1.041590e-06 -2.940547e-07 -8.313989e-07 5.525972e-05 -2.240314e-04 -3.645721e-05 2.090406e-06
10187.000000 -2.966866e-05 -1.038692e-06 -2.825959e-07 -8.320289e-07 6.060054e-05 -2.198234e-04 -4.173383e-05 -3.443046e-06
10192.000000 -2.974778e-05 -1.047261e-06 -2.607518e-07 -8.357844e-07 5.325501e-05 -1.771525e-04 -4.804345e-05 -1.513528e-06
10197.000000 -2.973724e-05 -1.051092e-06 -1.936692e-07 -8.374487e-07 5.621328e-05 -1.777798e-04 -4.304453e-05 1.317790e-05
10202.000000 -2.975562e-05 -1.060095e-06 -6.328156e-08 -8.400972e-07 5.208498e-05 -1.833250e-04 -5.033775e-05 1.710309e-05
10207.000000 -2.972310e-05 -1.062812e-06 -2.533049e-08 -8.413901e-07 5.733523e-05 -1.799047e-04 -4.551497e-05 7.931960e-06
10212.000000 -2.968669e-05 -1.064991e-06 -5.273275e-08 -8.429621e-07 6.013472e-05 -1.885305e-04 -5.544217e-05 6.032049e-06
10217.000000 -2.962554e-05 -1.064325e-06 -6.803814e-08 -8.436530e-07 6.631567e-05 -1.744720e-04 -6.091596e-05 5.577158e-06
10222.000000 -2.957527e-05 -1.066758e-06 -8.044899e-08 -8.447082e-07 5.784217e-05 -1.745987e-04 -6.060905e-05 -1.078807e-05
10227.000000 -2.954686e-05 -1.071909e-06 -8.879633e-08 -8.457248e-07 4.731760e-05 -1.841323e-04 -6.116529e-05 -8.019821e-06
10232.000000 -2.946073e-05 -1.072114e-06 -9.182876e-08 -8.450911e-07 4.603007e-05 -1.709081e-04 -5.901847e-05 -4.860221e-06
10237.000000 -2.947992e-05 -1.079474e-06 -9.474303e-08 -8.481806e-07 5.010186e-05 -1.894181e-04 -6.239139e-05 -2.473204e-06
10242.000000 -2.943350e-05 -1.081256e-06 -9.656537e-08 -8.490054e-07 4.705784e-05 -1.765908e-04 -5.211698e-05 -7.351392e-06
10247.000000 -2.929041e-05 -1.075696e-06 -9.985369e-08 -8.475166e-07 4.423388e-05 -1.722319e-04 -5.029150e-05 -2.937597e-06
10252.000000 -2.931848e-05 -1.084727e-06 -9.989572e-08 -8.505079e-07 3.866305e-05 -1.744445e-04 -5.523886e-05 3.658858e-06
10257.000000 -2.931592e-05 -1.091501e-06 -9.650451e-08 -8.526287e-07 3.319200e-05 -1.660236e-04 -6.076159e-05 -4.003928e-06
10262.000000 -2.918896e-05 -1.088327e-06 -9.535548e-08 -8.512940e-07 3.466017e-05 -1.706469e-04 -6.024257e-05 -2.729905e-07
10267.000000 -2.921398e-05 -1.093724e-06 -9.777992e-08 -8.543271e-07 4.639541e-05 -1.766911e-04 -5.663049e-05 -1.154070e-05
10272.000000 -2.924735e-05 -1.103705e-06 -9.934361e-08 -8.575144e-07 4.531193e-05 -1.693371e-04 -5.136794e-05 -4.654856e-06
10277.000000 -2.920336e-05 -1.108819e-06 -9.885876e-08 -8.589036e-07 4.563665e-05 -1.511247e-04 -5.769478e-05 -2.147407e-06
10282.000000 -2.902988e-05 -1.104909e-06 -9.739130e-08 -8.565659e-07 4.468439e-05 -1.596409e-04 -5.430912e-05 1.919318e-06
10287.000000 -2.909194e-05 -1.115108e-06 -9.881055e-08 -8.608681e-07 4.904337e-05 -1.799402e-04 -5.673220e-05 -2.026435e-06
10292.000000 -2.906264e-05 -1.120845e-06 -1.017365e-07 -8.615491e-07 4.836432e-05 -1.596186e-04 -4.792322e-05 -4.079120e-06
10297.000000 -2.903821e-05 -1.126061e-06 -1.037758e-07 -8.627651e-07 4.834089e-05 -1.763407e-04 -4.715112e-05 -7.719823e-06
10302.000000 -2.898668e-05 -1.125602e-06 -1.033320e-07 -8.641383e-07 4.201705e-05 -1.693145e-04 -4.501600e-05 -9.144432e-06
10307.000000 -2.895841e-05 -1.131454e-06 -1.036515e-07 -8.655714e-07 4.428983e-05 -1.515424e-04 -3.769199e-05 -1.949432e-06
10312.000000 -2.884374e-05 -1.125666e-06 -1.035918e-07 -8.651901e-07 5.205211e-05 -1.641384e-04 -4.549829e-05 -6.845305e-06
10317.000000 -2.888399e-05 -1.139255e-06 -1.037220e-07 -8.688546e-07 4.073256e-05 -1.630540e-04 -6.421546e-05 -3.279296e-06
10322.000000 -2.887258e-05 -1.145916e-06 -1.034034e-07 -8.716934e-07 3.780073e-05 -1.640904e-04 -6.639995e-05 1.476413e-05
10327.000000 -2.882574e-05 -1.149560e-06 -1.027842e-07 -8.731092e-07 3.117361e-05 -1.670913e-04 -7.070066e-05 7.178729e-06
10332.000000 -2.870327e-05 -1.148818e-06 -1.018206e-07 -8.729306e-07 3.886882e-05 -1.792810e-04 -5.815158e-05 3.785868e-06
10337.000000 -2.878053e-05 -1.154545e-06 -1.020734e-07 -8.777285e-07 4.155456e-05 -1.967825e-04 -4.910645e-05 8.130553e-06
10341.000000 -2.875510e-05 -1.157340e-06 -1.026736e-07 -8.800247e-07 4.328212e-05 -2.005312e-04 -5.291057e-05 1.735147e-06
10344.000000 -2.872396e-05 -1.159155e-06 -1.037999e-07 -8.822103e-07 4.185037e-05 -2.173217e-04 -4.995377e-05 2.035498e-06
10346.000000 -2.871365e-05 -1.162727e-06 -1.052613e-07 -8.839703e-07 3.113441e-05 -2.372446e-04 -5.128627e-05 5.084257e-07
10347.000000 -2.871309e-05 -1.164067e-06 -1.057194e-07 -8.850750e-07 3.279358e-05 -2.474311e-04 -4.954628e-05 2.928173e-06
10347.200000 -2.871580e-05 -1.165056e-06 -1.058252e-07 -8.854962e-07 3.586252e-05 -2.390094e-04 -4.584374e-05 3.165782e-06
10347.400000 -2.869299e-05 -1.162173e-06 -1.059136e-07 -8.852981e-07 3.787050e-05 -2.579191e-04 -4.502416e-05 4.234015e-06
10347.600000 -2.869414e-05 -1.162884e-06 -1.062661e-07 -8.855795e-07 3.327007e-05 -2.430285e-04 -4.745979e-05 5.914801e-06
