# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2483425489246
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996826
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1649.998413
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370911
# Scan.uid: b43d3b1f-74d6-4dc3-845a-a211e5e1509f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:22:21.004459
# Scan.end_time: 06/23/2023  02:22:57.434316
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049975000499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 400.0
# SampleHeater.voltage.setpoint: 0.9665539832257084
# SampleHeater.voltage.readback: 0.998
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.48
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 2.34101e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.30222e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.86991e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.73004e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7243e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.64298e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.977763e-05 -1.014559e-06 -2.971152e-07 -8.305450e-07 7.030373e-05 -1.401690e-04 -4.831404e-05 5.568752e-05
10172.000000 -2.968268e-05 -1.012397e-06 -2.948365e-07 -8.296744e-07 8.330871e-05 -1.637644e-04 -4.976823e-05 4.950892e-05
10177.000000 -2.970812e-05 -1.021820e-06 -2.945144e-07 -8.313870e-07 8.354669e-05 -1.737376e-04 -5.166184e-05 4.800320e-05
10182.000000 -2.966809e-05 -1.024576e-06 -2.899218e-07 -8.322367e-07 8.416642e-05 -1.898133e-04 -5.311174e-05 4.277486e-05
10187.000000 -2.950388e-05 -1.012690e-06 -2.765072e-07 -8.315197e-07 8.365114e-05 -2.092854e-04 -5.246102e-05 4.228479e-05
10192.000000 -2.969086e-05 -1.030952e-06 -2.572634e-07 -8.391310e-07 8.627072e-05 -2.041210e-04 -4.582181e-05 4.961041e-05
10197.000000 -2.971399e-05 -1.036799e-06 -1.915796e-07 -8.418482e-07 8.471636e-05 -1.711028e-04 -4.323311e-05 5.483262e-05
10202.000000 -2.962167e-05 -1.034883e-06 -6.205050e-08 -8.415717e-07 8.245330e-05 -1.449775e-04 -4.234721e-05 6.240150e-05
10207.000000 -2.959816e-05 -1.039371e-06 -2.493501e-08 -8.430088e-07 9.255166e-05 -1.730687e-04 -5.314406e-05 6.684314e-05
10212.000000 -2.954972e-05 -1.039850e-06 -5.184191e-08 -8.437664e-07 9.542509e-05 -1.835684e-04 -5.218579e-05 7.009177e-05
10217.000000 -2.946651e-05 -1.038978e-06 -6.705699e-08 -8.436196e-07 8.770545e-05 -1.782016e-04 -5.594320e-05 6.305368e-05
10222.000000 -2.955913e-05 -1.056090e-06 -7.975232e-08 -8.474311e-07 8.295810e-05 -1.767435e-04 -6.185052e-05 5.506760e-05
10227.000000 -2.951694e-05 -1.058197e-06 -8.824910e-08 -8.482097e-07 8.672804e-05 -2.000867e-04 -5.660939e-05 6.737729e-05
10232.000000 -2.946934e-05 -1.062448e-06 -9.171499e-08 -8.488644e-07 8.600500e-05 -2.030910e-04 -6.144207e-05 6.049399e-05
10237.000000 -2.947411e-05 -1.067740e-06 -9.416583e-08 -8.514084e-07 8.299045e-05 -1.948854e-04 -6.507052e-05 6.083666e-05
10242.000000 -2.944456e-05 -1.072041e-06 -9.625332e-08 -8.532197e-07 8.263353e-05 -1.799529e-04 -5.504799e-05 5.891030e-05
10247.000000 -2.938018e-05 -1.075434e-06 -1.002188e-07 -8.539170e-07 7.673302e-05 -1.739610e-04 -5.767788e-05 5.410521e-05
10252.000000 -2.933891e-05 -1.077276e-06 -9.959433e-08 -8.550277e-07 7.607566e-05 -1.843360e-04 -6.273782e-05 5.339755e-05
10257.000000 -2.928667e-05 -1.079394e-06 -9.609281e-08 -8.555232e-07 8.033869e-05 -1.901375e-04 -5.954291e-05 4.891528e-05
10262.000000 -2.922506e-05 -1.083962e-06 -9.590567e-08 -8.550093e-07 7.348854e-05 -1.879607e-04 -5.306436e-05 5.046001e-05
10267.000000 -2.925672e-05 -1.089911e-06 -9.763732e-08 -8.580470e-07 7.258317e-05 -1.903632e-04 -5.519815e-05 4.890215e-05
10272.000000 -2.912742e-05 -1.081331e-06 -9.815972e-08 -8.574189e-07 7.505180e-05 -1.620348e-04 -6.908347e-05 5.217810e-05
10277.000000 -2.905628e-05 -1.083290e-06 -9.754114e-08 -8.577191e-07 8.063067e-05 -1.680775e-04 -6.797051e-05 5.742511e-05
10282.000000 -2.878272e-05 -1.068562e-06 -9.496059e-08 -8.523948e-07 7.949312e-05 -1.723821e-04 -6.650738e-05 5.638195e-05
10287.000000 -2.889025e-05 -1.081756e-06 -9.682966e-08 -8.574595e-07 8.168183e-05 -1.801916e-04 -6.383038e-05 5.329451e-05
10292.000000 -2.896509e-05 -1.099443e-06 -1.009497e-07 -8.612863e-07 8.444311e-05 -1.794094e-04 -5.885686e-05 4.793364e-05
10297.000000 -2.892242e-05 -1.102066e-06 -1.024093e-07 -8.626393e-07 9.475651e-05 -1.665485e-04 -5.695588e-05 4.783144e-05
10302.000000 -2.891541e-05 -1.106001e-06 -1.023356e-07 -8.654780e-07 1.033948e-04 -1.881588e-04 -6.612862e-05 4.825214e-05
10307.000000 -2.892422e-05 -1.115192e-06 -1.030993e-07 -8.675131e-07 1.086574e-04 -1.966410e-04 -7.555036e-05 4.895405e-05
10312.000000 -2.887880e-05 -1.118332e-06 -1.034704e-07 -8.692962e-07 1.026369e-04 -1.776039e-04 -7.394144e-05 4.865688e-05
10317.000000 -2.883997e-05 -1.121869e-06 -1.030658e-07 -8.707983e-07 9.258083e-05 -1.664659e-04 -6.813352e-05 5.698625e-05
10322.000000 -2.884410e-05 -1.130739e-06 -1.027260e-07 -8.728439e-07 8.287534e-05 -1.779902e-04 -6.477559e-05 5.459794e-05
10327.000000 -2.877128e-05 -1.130642e-06 -1.019571e-07 -8.736636e-07 7.994632e-05 -1.773766e-04 -7.270977e-05 5.001121e-05
10332.000000 -2.867470e-05 -1.133952e-06 -1.011780e-07 -8.741225e-07 8.339486e-05 -1.784849e-04 -7.375616e-05 5.387136e-05
10337.000000 -2.876586e-05 -1.142169e-06 -1.017392e-07 -8.809479e-07 8.201195e-05 -2.017966e-04 -6.698650e-05 5.293030e-05
10341.000000 -2.866455e-05 -1.134158e-06 -1.017068e-07 -8.826283e-07 7.421959e-05 -2.101097e-04 -6.516614e-05 4.963070e-05
10344.000000 -2.868367e-05 -1.142240e-06 -1.032348e-07 -8.855303e-07 7.054589e-05 -1.954385e-04 -7.206717e-05 4.267201e-05
10346.000000 -2.862990e-05 -1.139207e-06 -1.039485e-07 -8.864513e-07 7.953091e-05 -2.029539e-04 -6.379143e-05 4.570923e-05
10347.000000 -2.866075e-05 -1.144099e-06 -1.047165e-07 -8.879153e-07 8.544495e-05 -2.152703e-04 -5.624120e-05 5.790060e-05
10347.200000 -2.866306e-05 -1.144340e-06 -1.048662e-07 -8.880971e-07 8.063300e-05 -2.225300e-04 -5.978060e-05 6.008925e-05
10347.400000 -2.865916e-05 -1.143554e-06 -1.048548e-07 -8.881851e-07 8.202037e-05 -2.222200e-04 -6.570800e-05 6.385001e-05
10347.600000 -2.863690e-05 -1.141845e-06 -1.046654e-07 -8.877710e-07 8.595913e-05 -2.323246e-04 -6.670120e-05 5.755444e-05
