# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.2544479024549
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997192
# Detector.I1.voltage: -1649.999268
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370917
# Scan.uid: 8173388a-62ba-46e5-b0e8-5dda56bb1070
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:28:21.524618
# Scan.end_time: 06/23/2023  02:28:56.292542
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 400.0
# SampleHeater.temperature2.readback: 398.1
# SampleHeater.voltage.setpoint: 0.981823889685043
# SampleHeater.voltage.readback: 0.978
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.53
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.92075e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.27556e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.83807e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 6.95546e-11
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.7028e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 6.20249e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.987866e-05 -1.026800e-06 -3.001570e-07 -8.331152e-07 5.613523e-05 -2.813414e-04 -4.993683e-05 1.795469e-05
10172.000000 -2.971515e-05 -1.019798e-06 -2.967573e-07 -8.305023e-07 4.956982e-05 -2.941194e-04 -6.026726e-05 1.635560e-05
10177.000000 -2.965572e-05 -1.020695e-06 -2.940571e-07 -8.300996e-07 5.670434e-05 -3.055084e-04 -6.163071e-05 9.675294e-06
10182.000000 -2.964720e-05 -1.025495e-06 -2.899168e-07 -8.314696e-07 6.545245e-05 -3.127294e-04 -6.394444e-05 1.147211e-05
10187.000000 -2.963242e-05 -1.027046e-06 -2.798536e-07 -8.338701e-07 6.216836e-05 -2.807355e-04 -6.153004e-05 1.037954e-05
10192.000000 -2.961407e-05 -1.028168e-06 -2.565584e-07 -8.352949e-07 6.190985e-05 -2.749176e-04 -6.266637e-05 1.015885e-05
10197.000000 -2.965324e-05 -1.037135e-06 -1.909094e-07 -8.379038e-07 6.084226e-05 -2.692188e-04 -6.120903e-05 1.324778e-05
10202.000000 -2.966321e-05 -1.045621e-06 -6.203878e-08 -8.404773e-07 6.827373e-05 -2.747454e-04 -5.740148e-05 1.967884e-05
10207.000000 -2.957552e-05 -1.042588e-06 -2.493207e-08 -8.406686e-07 6.137470e-05 -2.629280e-04 -5.895863e-05 1.721468e-05
10212.000000 -2.956848e-05 -1.047379e-06 -5.207093e-08 -8.426161e-07 5.851228e-05 -2.653081e-04 -5.884650e-05 9.284576e-06
10217.000000 -2.957636e-05 -1.053406e-06 -6.753633e-08 -8.446290e-07 5.949659e-05 -2.596492e-04 -6.157200e-05 5.053690e-06
10222.000000 -2.945086e-05 -1.048046e-06 -7.926197e-08 -8.430334e-07 6.523941e-05 -2.758591e-04 -6.012462e-05 1.373538e-05
10227.000000 -2.948323e-05 -1.059539e-06 -8.791126e-08 -8.453065e-07 6.400322e-05 -3.004225e-04 -5.470085e-05 1.423454e-05
10232.000000 -2.943722e-05 -1.063124e-06 -9.160270e-08 -8.461988e-07 6.955587e-05 -2.992482e-04 -4.695549e-05 9.478749e-06
10237.000000 -2.944023e-05 -1.068626e-06 -9.424823e-08 -8.488871e-07 5.736263e-05 -2.732303e-04 -5.124974e-05 6.183613e-06
10242.000000 -2.936736e-05 -1.067845e-06 -9.559954e-08 -8.500338e-07 5.458247e-05 -2.680956e-04 -6.599511e-05 1.898867e-06
10247.000000 -2.926090e-05 -1.066029e-06 -9.937274e-08 -8.498138e-07 5.982999e-05 -2.532751e-04 -6.044397e-05 7.813044e-06
10252.000000 -2.930306e-05 -1.076702e-06 -9.959784e-08 -8.532356e-07 6.809857e-05 -2.481948e-04 -6.284537e-05 7.677394e-06
10257.000000 -2.926192e-05 -1.079251e-06 -9.561646e-08 -8.544306e-07 6.976125e-05 -2.181210e-04 -5.594054e-05 7.508125e-06
10262.000000 -2.916523e-05 -1.079384e-06 -9.496374e-08 -8.530549e-07 6.646410e-05 -2.185459e-04 -5.473796e-05 7.046207e-06
10267.000000 -2.905945e-05 -1.070683e-06 -9.630798e-08 -8.525339e-07 6.876329e-05 -2.268510e-04 -6.148522e-05 1.543534e-05
10272.000000 -2.914768e-05 -1.087397e-06 -9.841626e-08 -8.562985e-07 8.138687e-05 -2.039756e-04 -5.398493e-05 2.040859e-05
10277.000000 -2.907189e-05 -1.089272e-06 -9.783937e-08 -8.564731e-07 6.861666e-05 -1.859098e-04 -5.556153e-05 1.153079e-05
10282.000000 -2.898192e-05 -1.095222e-06 -9.695622e-08 -8.560353e-07 6.460696e-05 -2.120607e-04 -5.188842e-05 1.295506e-05
10287.000000 -2.903879e-05 -1.103608e-06 -9.829735e-08 -8.602922e-07 6.628056e-05 -2.162541e-04 -4.567202e-05 1.836508e-05
10292.000000 -2.902621e-05 -1.109191e-06 -1.013026e-07 -8.627786e-07 6.544160e-05 -2.159712e-04 -4.814363e-05 1.270193e-05
10297.000000 -2.898533e-05 -1.111140e-06 -1.027907e-07 -8.640513e-07 7.140239e-05 -2.087753e-04 -3.631774e-05 1.149664e-05
10302.000000 -2.898913e-05 -1.116752e-06 -1.030765e-07 -8.659366e-07 6.496751e-05 -2.091705e-04 -4.922080e-05 4.829046e-06
10307.000000 -2.893048e-05 -1.118075e-06 -1.031198e-07 -8.666027e-07 6.640657e-05 -2.065479e-04 -6.154253e-05 7.724897e-06
10312.000000 -2.889580e-05 -1.122925e-06 -1.035105e-07 -8.679748e-07 6.554338e-05 -2.249883e-04 -7.136432e-05 9.361279e-06
10317.000000 -2.882594e-05 -1.123216e-06 -1.029087e-07 -8.691501e-07 5.745795e-05 -2.343665e-04 -6.058428e-05 1.751874e-05
10322.000000 -2.880192e-05 -1.128832e-06 -1.024003e-07 -8.718928e-07 5.377329e-05 -2.425462e-04 -6.729344e-05 6.535781e-06
10327.000000 -2.878178e-05 -1.135238e-06 -1.019692e-07 -8.739972e-07 6.570586e-05 -2.462331e-04 -6.922430e-05 3.219973e-06
10332.000000 -2.866416e-05 -1.133042e-06 -1.008090e-07 -8.742230e-07 6.472500e-05 -2.508724e-04 -6.681009e-05 1.311150e-06
10337.000000 -2.870624e-05 -1.134035e-06 -1.006322e-07 -8.787560e-07 6.196030e-05 -2.286926e-04 -7.113667e-05 -1.437745e-05
10341.000000 -2.868427e-05 -1.138661e-06 -1.016110e-07 -8.812123e-07 5.652948e-05 -2.232712e-04 -7.532988e-05 -1.639162e-05
10344.000000 -2.867231e-05 -1.143446e-06 -1.030121e-07 -8.831780e-07 5.446737e-05 -2.249071e-04 -6.684823e-05 -2.335266e-05
10346.000000 -2.866239e-05 -1.147111e-06 -1.043322e-07 -8.847913e-07 5.359062e-05 -2.495835e-04 -6.478773e-05 -1.646056e-05
10347.000000 -2.864657e-05 -1.146895e-06 -1.049628e-07 -8.852197e-07 5.416904e-05 -2.604101e-04 -6.913756e-05 -2.951827e-05
10347.200000 -2.863102e-05 -1.143910e-06 -1.047859e-07 -8.852387e-07 5.562191e-05 -2.750776e-04 -6.302760e-05 -3.715247e-05
10347.400000 -2.860053e-05 -1.139584e-06 -1.046836e-07 -8.852881e-07 5.449500e-05 -2.902036e-04 -6.691562e-05 -3.340501e-05
10347.600000 -2.863851e-05 -1.146020e-06 -1.055602e-07 -8.860209e-07 5.528594e-05 -2.848500e-04 -7.292344e-05 -4.258397e-05
