# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 401.19097339920006
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997925
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370923
# Scan.uid: edef3cb6-3a42-4735-a301-5b6906a6726e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  02:34:17.527895
# Scan.end_time: 06/23/2023  02:34:53.193213
# Scan.name: Cu2O+Ga2O3-1st O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: Cu2O+Ga2O3-1st
# Sample.comment: 
# Sample.position.x: -66.61000258
# Sample.position.y: 30.049994074
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 30.0
# SampleHeater.temperature2.readback: 59.1
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 12.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 8.0
# SampleGasHandlingSystem.MFC1.readback: 7.999674320220947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 2.0
# SampleGasHandlingSystem.MFC6.readback: 2.001953125
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 3.48737e-10
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 2.26782e-07
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.78358e-10
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 2.53419e-10
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 1.6985e-08
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 5.91989e-12
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.995721e-05 -1.106192e-06 -3.232509e-07 -8.283199e-07 4.498427e-05 -2.628936e-04 -6.726474e-05 -3.857413e-06
10172.000000 -2.985038e-05 -1.101930e-06 -3.204107e-07 -8.275568e-07 3.552315e-05 -2.898740e-04 -5.747698e-05 1.381864e-06
10177.000000 -2.979454e-05 -1.102880e-06 -3.173375e-07 -8.276777e-07 3.403273e-05 -2.855694e-04 -5.736007e-05 6.511683e-06
10182.000000 -2.971633e-05 -1.102647e-06 -3.116117e-07 -8.279398e-07 4.958932e-05 -2.725326e-04 -6.170875e-05 3.548762e-06
10187.000000 -2.967167e-05 -1.104122e-06 -3.007254e-07 -8.296738e-07 5.274898e-05 -2.839847e-04 -7.250771e-05 -2.535603e-06
10192.000000 -2.976957e-05 -1.112415e-06 -2.771279e-07 -8.344737e-07 5.604816e-05 -2.901545e-04 -5.619054e-05 -4.494134e-06
10197.000000 -2.975634e-05 -1.116150e-06 -2.050303e-07 -8.363516e-07 5.719365e-05 -2.679489e-04 -5.596636e-05 -8.431628e-06
10202.000000 -2.975620e-05 -1.122081e-06 -6.597628e-08 -8.380469e-07 5.692144e-05 -2.626050e-04 -5.494989e-05 -7.856751e-06
10207.000000 -2.973157e-05 -1.126412e-06 -2.672000e-08 -8.397034e-07 5.352956e-05 -2.625088e-04 -5.758460e-05 -9.105153e-06
10212.000000 -2.970470e-05 -1.129378e-06 -5.611057e-08 -8.413503e-07 4.463283e-05 -2.472617e-04 -6.285573e-05 -1.344968e-05
10217.000000 -2.966655e-05 -1.131504e-06 -7.299328e-08 -8.423495e-07 4.036056e-05 -2.744470e-04 -6.500579e-05 -7.157643e-07
10222.000000 -2.961456e-05 -1.134752e-06 -8.577796e-08 -8.433065e-07 4.046594e-05 -2.811881e-04 -6.483503e-05 7.765159e-06
10227.000000 -2.956324e-05 -1.136524e-06 -9.438551e-08 -8.439882e-07 4.012567e-05 -2.585741e-04 -7.737507e-05 -2.934654e-06
10232.000000 -2.950109e-05 -1.137704e-06 -9.784527e-08 -8.444020e-07 4.909681e-05 -2.507697e-04 -7.850252e-05 4.900368e-07
10237.000000 -2.934163e-05 -1.132906e-06 -9.977549e-08 -8.430576e-07 4.937768e-05 -2.201750e-04 -7.782313e-05 -2.736791e-06
10242.000000 -2.933145e-05 -1.138395e-06 -1.020941e-07 -8.448986e-07 4.467683e-05 -2.071243e-04 -6.699719e-05 -4.901637e-06
10247.000000 -2.937000e-05 -1.146975e-06 -1.070893e-07 -8.480969e-07 5.133953e-05 -2.104526e-04 -6.769681e-05 5.698584e-06
10252.000000 -2.936066e-05 -1.152280e-06 -1.066102e-07 -8.499973e-07 6.031301e-05 -1.873601e-04 -5.653903e-05 1.497481e-05
10257.000000 -2.932454e-05 -1.157102e-06 -1.030395e-07 -8.513798e-07 5.847788e-05 -1.878662e-04 -6.005334e-05 8.188312e-06
10262.000000 -2.925256e-05 -1.158685e-06 -1.021709e-07 -8.512905e-07 5.462451e-05 -2.155862e-04 -4.738430e-05 4.323894e-06
10267.000000 -2.924853e-05 -1.163191e-06 -1.040768e-07 -8.538637e-07 5.878636e-05 -2.210073e-04 -4.874363e-05 9.399129e-06
10272.000000 -2.923266e-05 -1.167341e-06 -1.054974e-07 -8.555686e-07 4.856183e-05 -1.822039e-04 -5.056734e-05 1.067205e-05
10277.000000 -2.912831e-05 -1.167835e-06 -1.047940e-07 -8.548214e-07 4.854214e-05 -1.929886e-04 -4.975425e-05 3.161733e-06
10282.000000 -2.903360e-05 -1.170551e-06 -1.036527e-07 -8.538106e-07 4.546919e-05 -2.170368e-04 -4.927157e-05 -3.013947e-06
10287.000000 -2.904671e-05 -1.176485e-06 -1.050031e-07 -8.564108e-07 5.228583e-05 -2.413827e-04 -4.178343e-05 -8.899448e-06
10292.000000 -2.901897e-05 -1.182473e-06 -1.081837e-07 -8.575475e-07 5.344975e-05 -2.346828e-04 -4.932154e-05 -1.705413e-05
10297.000000 -2.901845e-05 -1.188424e-06 -1.102067e-07 -8.592660e-07 4.984939e-05 -2.216695e-04 -6.042013e-05 -1.773146e-05
10302.000000 -2.898606e-05 -1.193112e-06 -1.100391e-07 -8.609735e-07 5.664624e-05 -2.101505e-04 -5.823786e-05 -2.502467e-05
10307.000000 -2.889681e-05 -1.195001e-06 -1.101346e-07 -8.613098e-07 5.847776e-05 -2.159072e-04 -5.570787e-05 -1.022472e-05
10312.000000 -2.881387e-05 -1.198724e-06 -1.106647e-07 -8.613941e-07 4.962349e-05 -2.325723e-04 -5.425525e-05 -1.013065e-05
10317.000000 -2.883944e-05 -1.206426e-06 -1.104272e-07 -8.646493e-07 4.241679e-05 -2.191921e-04 -4.363203e-05 -9.894183e-07
10322.000000 -2.880814e-05 -1.210795e-06 -1.097362e-07 -8.670984e-07 4.837608e-05 -2.152237e-04 -4.902987e-05 -1.040345e-05
10327.000000 -2.878749e-05 -1.216479e-06 -1.090146e-07 -8.696282e-07 4.973647e-05 -1.784872e-04 -5.535734e-05 -1.563177e-05
10332.000000 -2.870095e-05 -1.218235e-06 -1.081623e-07 -8.706370e-07 5.704555e-05 -1.741303e-04 -5.466802e-05 -1.660062e-05
10337.000000 -2.880750e-05 -1.226545e-06 -1.085577e-07 -8.763970e-07 5.359637e-05 -1.767300e-04 -5.903615e-05 -1.492897e-05
10341.000000 -2.877517e-05 -1.228986e-06 -1.093019e-07 -8.779613e-07 4.712631e-05 -2.191657e-04 -5.176403e-05 -1.113527e-05
10344.000000 -2.873140e-05 -1.229909e-06 -1.105040e-07 -8.793238e-07 4.728807e-05 -2.588716e-04 -5.008685e-05 -1.845620e-05
10346.000000 -2.870653e-05 -1.231715e-06 -1.117509e-07 -8.806250e-07 5.257347e-05 -2.700082e-04 -5.257556e-05 -1.574387e-05
10347.000000 -2.864006e-05 -1.230016e-06 -1.125558e-07 -8.801908e-07 5.306849e-05 -2.346616e-04 -3.661026e-05 -2.383268e-06
10347.200000 -2.864340e-05 -1.228810e-06 -1.123821e-07 -8.804114e-07 5.012260e-05 -2.156426e-04 -3.288087e-05 -6.087076e-06
10347.400000 -2.860641e-05 -1.227095e-06 -1.124673e-07 -8.796598e-07 5.563003e-05 -1.971966e-04 -5.038434e-05 -1.755554e-06
