# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.82643348105324
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002197
# Detector.I1.voltage: -1650.001221
# Detector.I2.voltage: -1650.000122
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370928
# Scan.uid: 4d305232-2fc6-4197-bca8-f43164ffe00b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:14:10.547416
# Scan.end_time: 06/23/2023  03:14:44.309242
# Scan.name: CuGaO2-4th H2-RT (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 29.6
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.26
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.506026e-05 -3.616258e-07 -2.400330e-07 -3.139640e-07 1.108806e-04 9.889935e-04 -3.894583e-05 9.201593e-05
 8784.000000 -3.512996e-05 -3.594065e-07 -2.385894e-07 -3.153116e-07 1.112840e-04 9.991895e-04 -3.370450e-05 9.854776e-05
 8789.000000 -3.510399e-05 -3.571672e-07 -2.371328e-07 -3.158995e-07 1.086870e-04 1.019639e-03 -3.233585e-05 9.523470e-05
 8794.000000 -3.494394e-05 -3.559617e-07 -2.366207e-07 -3.154722e-07 1.059760e-04 1.011867e-03 -3.696031e-05 9.474272e-05
 8799.000000 -3.458298e-05 -3.522501e-07 -2.343316e-07 -3.129192e-07 1.100333e-04 9.860845e-04 -3.586167e-05 9.234360e-05
 8804.000000 -3.479628e-05 -3.585866e-07 -2.385348e-07 -3.153597e-07 1.143650e-04 9.986754e-04 -2.593310e-05 1.050728e-04
 8809.000000 -3.478634e-05 -3.595088e-07 -2.393805e-07 -3.158619e-07 1.199399e-04 9.797359e-04 -2.487036e-05 9.858063e-05
 8814.000000 -3.465444e-05 -3.587362e-07 -2.390369e-07 -3.151468e-07 1.115295e-04 9.765680e-04 -3.301458e-05 9.316814e-05
 8819.000000 -3.464752e-05 -3.605477e-07 -2.406846e-07 -3.157214e-07 1.122633e-04 9.647870e-04 -2.953578e-05 9.098415e-05
 8824.000000 -3.440636e-05 -3.633785e-07 -2.427121e-07 -3.144058e-07 1.182491e-04 9.711991e-04 -2.857113e-05 8.602648e-05
 8829.000000 -3.441500e-05 -3.629931e-07 -2.427032e-07 -3.152660e-07 1.149623e-04 9.760351e-04 -3.436743e-05 9.023563e-05
 8834.000000 -3.437188e-05 -3.628116e-07 -2.423921e-07 -3.158709e-07 1.139807e-04 9.608126e-04 -3.686465e-05 9.721534e-05
 8839.000000 -3.431998e-05 -3.625718e-07 -2.425910e-07 -3.165237e-07 1.181996e-04 9.526799e-04 -4.103352e-05 1.002692e-04
 8844.000000 -3.420331e-05 -3.628621e-07 -2.428430e-07 -3.164618e-07 1.177784e-04 9.704215e-04 -3.384149e-05 9.704023e-05
 8849.000000 -3.407215e-05 -3.629200e-07 -2.433008e-07 -3.163914e-07 1.178701e-04 9.512865e-04 -3.320015e-05 9.947563e-05
 8854.000000 -3.395589e-05 -3.636057e-07 -2.437539e-07 -3.163498e-07 1.212626e-04 9.505584e-04 -3.729928e-05 9.369850e-05
 8859.000000 -3.387811e-05 -3.645535e-07 -2.445204e-07 -3.167759e-07 1.173673e-04 9.418536e-04 -3.797531e-05 1.010668e-04
 8864.000000 -3.379753e-05 -3.650488e-07 -2.446853e-07 -3.172028e-07 1.172128e-04 9.375199e-04 -3.542529e-05 1.006815e-04
 8869.000000 -3.369590e-05 -3.662519e-07 -2.459513e-07 -3.168633e-07 1.328122e-04 9.468100e-04 -2.432260e-05 9.456225e-05
 8874.000000 -3.356401e-05 -3.671679e-07 -2.467713e-07 -3.165185e-07 1.290592e-04 9.293493e-04 -2.328019e-05 9.866880e-05
 8879.000000 -3.343988e-05 -3.687104e-07 -2.480750e-07 -3.163121e-07 1.267933e-04 9.365483e-04 -1.999214e-05 9.614697e-05
 8884.000000 -3.318607e-05 -3.687815e-07 -2.482295e-07 -3.151202e-07 1.300836e-04 9.293695e-04 -2.287081e-05 9.464314e-05
 8889.000000 -3.295894e-05 -3.690050e-07 -2.484511e-07 -3.143313e-07 1.279660e-04 9.341905e-04 -6.570197e-06 9.824482e-05
 8894.000000 -3.310310e-05 -3.728216e-07 -2.510925e-07 -3.159756e-07 1.155936e-04 9.172940e-04 -1.057626e-05 9.939289e-05
 8899.000000 -3.296482e-05 -3.738421e-07 -2.518935e-07 -3.152406e-07 1.253204e-04 9.141847e-04 -2.068332e-05 1.069098e-04
 8904.000000 -3.288678e-05 -3.762698e-07 -2.537770e-07 -3.148651e-07 1.234349e-04 8.949571e-04 -2.357549e-05 1.047456e-04
 8909.000000 -3.272055e-05 -3.776788e-07 -2.546192e-07 -3.140255e-07 1.195823e-04 8.887885e-04 -2.838584e-05 1.021436e-04
 8914.000000 -3.239638e-05 -3.782803e-07 -2.550097e-07 -3.116335e-07 1.179379e-04 8.800663e-04 -3.429687e-05 1.020458e-04
 8919.000000 -3.234801e-05 -3.800555e-07 -2.565599e-07 -3.118170e-07 1.047201e-04 8.640234e-04 -3.698080e-05 9.511237e-05
 8924.000000 -3.210939e-05 -3.802968e-07 -2.569094e-07 -3.108124e-07 1.084237e-04 8.636935e-04 -4.602183e-05 9.772339e-05
 8929.000000 -3.219837e-05 -3.837451e-07 -2.592793e-07 -3.128767e-07 1.195634e-04 8.717487e-04 -3.897165e-05 9.376288e-05
 8934.000000 -3.210369e-05 -3.852648e-07 -2.602444e-07 -3.132217e-07 1.162491e-04 8.716985e-04 -3.028722e-05 8.899196e-05
 8939.000000 -3.201820e-05 -3.869529e-07 -2.614213e-07 -3.134174e-07 1.156809e-04 8.568983e-04 -3.462835e-05 9.163005e-05
 8944.000000 -3.187095e-05 -3.883506e-07 -2.621828e-07 -3.131033e-07 1.099695e-04 8.784105e-04 -3.053192e-05 9.584636e-05
 8949.000000 -3.172534e-05 -3.881309e-07 -2.618810e-07 -3.126666e-07 1.098996e-04 8.795247e-04 -2.709919e-05 9.548540e-05
 8953.000000 -3.157050e-05 -3.880142e-07 -2.616132e-07 -3.123455e-07 1.096152e-04 8.995742e-04 -2.413588e-05 9.382708e-05
 8956.000000 -3.154004e-05 -3.871190e-07 -2.606981e-07 -3.127762e-07 1.047653e-04 9.211573e-04 -2.086706e-05 8.550215e-05
 8958.000000 -3.148575e-05 -3.858606e-07 -2.596260e-07 -3.129077e-07 1.050208e-04 8.893439e-04 -2.182917e-05 8.812451e-05
 8959.000000 -3.150830e-05 -3.852217e-07 -2.588203e-07 -3.132358e-07 9.276555e-05 9.116674e-04 -3.360442e-05 8.898973e-05
 8959.200000 -3.150659e-05 -3.847783e-07 -2.584498e-07 -3.132133e-07 9.487601e-05 9.117887e-04 -3.578056e-05 8.670988e-05
 8959.400000 -3.151941e-05 -3.841521e-07 -2.579961e-07 -3.133526e-07 9.850651e-05 9.396056e-04 -3.419600e-05 9.069361e-05
 8959.600000 -3.155193e-05 -3.868635e-07 -2.598566e-07 -3.135086e-07 8.658950e-05 9.567872e-04 -2.764316e-05 8.693015e-05
