# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.46709408795226
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004272
# Detector.I1.voltage: -1650.002197
# Detector.I2.voltage: -1650.004639
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370931
# Scan.uid: b52d966b-31d0-42cc-bf7b-992d6b694338
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:17:09.019924
# Scan.end_time: 06/23/2023  03:17:41.886039
# Scan.name: CuGaO2-4th H2-RT (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.200000000000003
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.008000000000001
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.19
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1546223908662796
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.017636e-05 -7.145811e-07 -2.082724e-07 -1.006114e-06 1.258802e-04 8.027534e-04 -4.374290e-05 1.971430e-05
10172.000000 -3.006069e-05 -7.102598e-07 -2.061190e-07 -1.004386e-06 1.213551e-04 7.955176e-04 -4.933948e-05 1.716041e-05
10177.000000 -2.998369e-05 -7.116685e-07 -2.042590e-07 -1.003474e-06 1.117578e-04 7.972800e-04 -4.684677e-05 2.415315e-05
10182.000000 -2.993529e-05 -7.124987e-07 -2.007726e-07 -1.004491e-06 1.080577e-04 8.032088e-04 -4.688112e-05 2.712920e-05
10187.000000 -2.995186e-05 -7.134346e-07 -1.937538e-07 -1.008407e-06 1.068982e-04 8.065848e-04 -3.675325e-05 1.815937e-05
10192.000000 -2.997174e-05 -7.164045e-07 -1.778401e-07 -1.011578e-06 1.029961e-04 7.956813e-04 -3.695083e-05 6.397862e-06
10197.000000 -2.996879e-05 -7.175443e-07 -1.308903e-07 -1.014093e-06 1.013638e-04 7.841534e-04 -4.023456e-05 1.254581e-05
10202.000000 -2.992430e-05 -7.184288e-07 -4.169475e-08 -1.015308e-06 1.103238e-04 7.631098e-04 -4.173887e-05 1.072304e-05
10207.000000 -2.990196e-05 -7.191436e-07 -1.713585e-08 -1.017129e-06 1.091304e-04 7.698407e-04 -5.067302e-05 1.474097e-05
10212.000000 -2.986688e-05 -7.202489e-07 -3.556309e-08 -1.018170e-06 1.071543e-04 7.790249e-04 -3.539731e-05 2.133847e-05
10217.000000 -2.983858e-05 -7.221800e-07 -4.637122e-08 -1.019682e-06 1.099455e-04 7.661912e-04 -4.145922e-05 1.963574e-05
10222.000000 -2.975388e-05 -7.226308e-07 -5.435846e-08 -1.018806e-06 1.011079e-04 7.442874e-04 -5.444435e-05 1.470351e-05
10227.000000 -2.957316e-05 -7.203080e-07 -5.961711e-08 -1.014016e-06 1.020666e-04 7.448949e-04 -6.299147e-05 4.766309e-06
10232.000000 -2.958936e-05 -7.243973e-07 -6.209517e-08 -1.017612e-06 9.520727e-05 7.444570e-04 -5.253168e-05 6.304519e-06
10237.000000 -2.958406e-05 -7.278323e-07 -6.371742e-08 -1.020354e-06 1.003220e-04 7.410566e-04 -5.214433e-05 7.450953e-06
10242.000000 -2.948131e-05 -7.287977e-07 -6.511358e-08 -1.018840e-06 1.052764e-04 7.403584e-04 -5.574614e-05 1.756296e-05
10247.000000 -2.951388e-05 -7.334029e-07 -6.795806e-08 -1.023438e-06 1.008949e-04 7.615611e-04 -4.711109e-05 1.790303e-05
10252.000000 -2.947068e-05 -7.352512e-07 -6.767062e-08 -1.024586e-06 9.585521e-05 7.683142e-04 -5.126800e-05 1.636271e-05
10257.000000 -2.952621e-05 -7.397416e-07 -6.508660e-08 -1.030128e-06 9.665518e-05 7.544975e-04 -4.712280e-05 2.560170e-05
10262.000000 -2.941574e-05 -7.410394e-07 -6.488688e-08 -1.028644e-06 1.063629e-04 7.494573e-04 -5.184370e-05 2.008726e-05
10267.000000 -2.945147e-05 -7.452268e-07 -6.623572e-08 -1.033117e-06 1.055663e-04 7.220497e-04 -4.990793e-05 2.258878e-05
10272.000000 -2.936585e-05 -7.460174e-07 -6.679367e-08 -1.032541e-06 1.100399e-04 7.177302e-04 -5.196728e-05 2.112506e-05
10277.000000 -2.920557e-05 -7.449461e-07 -6.633099e-08 -1.029027e-06 1.107062e-04 7.450350e-04 -4.090589e-05 2.535921e-05
10282.000000 -2.913950e-05 -7.470950e-07 -6.549849e-08 -1.029993e-06 1.020899e-04 7.362933e-04 -4.604641e-05 2.970541e-05
10287.000000 -2.927923e-05 -7.547650e-07 -6.661560e-08 -1.038750e-06 1.026161e-04 7.060933e-04 -4.991419e-05 2.236993e-05
10292.000000 -2.924510e-05 -7.577701e-07 -6.862539e-08 -1.040728e-06 9.804565e-05 6.946611e-04 -3.937873e-05 2.425896e-05
10297.000000 -2.922307e-05 -7.610835e-07 -6.989969e-08 -1.042745e-06 9.838507e-05 7.099296e-04 -3.773315e-05 2.595040e-05
10302.000000 -2.919280e-05 -7.624334e-07 -6.979657e-08 -1.044234e-06 1.065810e-04 7.186854e-04 -4.465012e-05 3.114463e-05
10307.000000 -2.911467e-05 -7.628946e-07 -6.972148e-08 -1.043795e-06 1.045444e-04 7.136279e-04 -4.432616e-05 3.459426e-05
10312.000000 -2.909423e-05 -7.660162e-07 -7.001641e-08 -1.045980e-06 1.004871e-04 7.250744e-04 -6.251553e-05 2.513338e-05
10317.000000 -2.906679e-05 -7.683879e-07 -6.973645e-08 -1.048313e-06 1.042375e-04 7.150418e-04 -5.138168e-05 3.069071e-05
10322.000000 -2.903948e-05 -7.714669e-07 -6.932560e-08 -1.050852e-06 1.106952e-04 7.053790e-04 -4.192416e-05 3.172337e-05
10327.000000 -2.898797e-05 -7.744499e-07 -6.879649e-08 -1.052951e-06 1.103619e-04 7.161891e-04 -4.364518e-05 2.888517e-05
10332.000000 -2.890180e-05 -7.758739e-07 -6.810610e-08 -1.054824e-06 1.102633e-04 7.603566e-04 -4.070540e-05 3.670882e-05
10337.000000 -2.897950e-05 -7.804446e-07 -6.835535e-08 -1.061450e-06 1.119649e-04 7.632191e-04 -3.016376e-05 4.030977e-05
10341.000000 -2.892262e-05 -7.787416e-07 -6.870420e-08 -1.063068e-06 1.166228e-04 7.731981e-04 -3.043319e-05 3.379360e-05
10344.000000 -2.890273e-05 -7.788011e-07 -6.943100e-08 -1.065802e-06 1.192512e-04 7.787259e-04 -3.543981e-05 2.709845e-05
10346.000000 -2.885540e-05 -7.768833e-07 -7.008925e-08 -1.066650e-06 1.184864e-04 7.754040e-04 -4.388110e-05 2.092758e-05
10347.000000 -2.884057e-05 -7.765921e-07 -7.049959e-08 -1.067371e-06 1.201916e-04 7.973218e-04 -5.479383e-05 2.297070e-05
10347.200000 -2.886848e-05 -7.787568e-07 -7.068629e-08 -1.069172e-06 1.181348e-04 7.906573e-04 -5.439566e-05 3.060733e-05
10347.400000 -2.887766e-05 -7.792124e-07 -7.058990e-08 -1.069762e-06 1.109036e-04 7.828150e-04 -4.327870e-05 3.207994e-05
10347.600000 -2.886852e-05 -7.781720e-07 -7.052104e-08 -1.069630e-06 1.125902e-04 7.748450e-04 -4.686904e-05 2.878883e-05
10347.800000 -2.885807e-05 -7.771217e-07 -7.076652e-08 -1.069800e-06 1.169371e-04 7.638638e-04 -5.617690e-05 3.622924e-05
