# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1236536469104
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997559
# Detector.I1.voltage: -1649.998047
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370952
# Scan.uid: c3c36d6e-7d9e-4bd7-a36f-2dce993d94ef
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:38:49.503996
# Scan.end_time: 06/23/2023  03:39:24.482408
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 228.37533284802868
# SampleHeater.temperature2.readback: 228.60000000000002
# SampleHeater.voltage.setpoint: 0.569060383373848
# SampleHeater.voltage.readback: 0.5740000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.016
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02034505270421505
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.489086e-05 -3.390347e-07 -2.249945e-07 -3.184515e-07 5.225096e-05 4.932862e-04 -2.748241e-05 5.764629e-05
 8784.000000 -3.497699e-05 -3.349251e-07 -2.221508e-07 -3.202328e-07 5.314157e-05 4.609410e-04 -2.630016e-05 6.360116e-05
 8789.000000 -3.492032e-05 -3.320191e-07 -2.204444e-07 -3.207802e-07 4.191667e-05 4.774825e-04 -3.157472e-05 6.339271e-05
 8794.000000 -3.478564e-05 -3.303953e-07 -2.194249e-07 -3.202590e-07 3.771761e-05 4.772104e-04 -4.048139e-05 5.862159e-05
 8799.000000 -3.428958e-05 -3.306408e-07 -2.198118e-07 -3.165652e-07 4.223762e-05 4.783844e-04 -3.758179e-05 6.357103e-05
 8804.000000 -3.462413e-05 -3.345298e-07 -2.226335e-07 -3.202795e-07 4.881434e-05 4.872823e-04 -3.125288e-05 5.923933e-05
 8809.000000 -3.455440e-05 -3.362819e-07 -2.241039e-07 -3.202748e-07 5.553823e-05 4.920330e-04 -3.549857e-05 5.969778e-05
 8814.000000 -3.442028e-05 -3.356683e-07 -2.237813e-07 -3.194105e-07 5.424088e-05 5.012877e-04 -4.014685e-05 6.270694e-05
 8819.000000 -3.440919e-05 -3.370772e-07 -2.247662e-07 -3.199887e-07 6.760615e-05 5.000125e-04 -3.757669e-05 5.836297e-05
 8824.000000 -3.431469e-05 -3.392530e-07 -2.262351e-07 -3.197404e-07 6.827372e-05 5.046579e-04 -3.646940e-05 6.347647e-05
 8829.000000 -3.415324e-05 -3.418818e-07 -2.282683e-07 -3.192538e-07 6.416002e-05 5.236816e-04 -4.354966e-05 5.646028e-05
 8834.000000 -3.423847e-05 -3.391993e-07 -2.265025e-07 -3.208332e-07 5.672937e-05 5.117950e-04 -4.618990e-05 5.576879e-05
 8839.000000 -3.416897e-05 -3.395410e-07 -2.268881e-07 -3.213465e-07 6.085244e-05 5.043181e-04 -5.231122e-05 6.396919e-05
 8844.000000 -3.404033e-05 -3.405436e-07 -2.276039e-07 -3.211625e-07 6.298464e-05 4.869170e-04 -5.317501e-05 6.309507e-05
 8849.000000 -3.393796e-05 -3.422017e-07 -2.289696e-07 -3.211605e-07 6.586163e-05 4.693277e-04 -5.013987e-05 6.189329e-05
 8854.000000 -3.385954e-05 -3.425527e-07 -2.292531e-07 -3.217448e-07 6.552328e-05 4.500066e-04 -5.532043e-05 6.309075e-05
 8859.000000 -3.374441e-05 -3.446007e-07 -2.310264e-07 -3.217152e-07 6.361067e-05 4.357085e-04 -5.281518e-05 7.118198e-05
 8864.000000 -3.362052e-05 -3.469275e-07 -2.326414e-07 -3.214638e-07 6.629763e-05 4.410800e-04 -5.683938e-05 7.202562e-05
 8869.000000 -3.351019e-05 -3.477659e-07 -2.334794e-07 -3.212929e-07 5.553394e-05 4.501268e-04 -5.250959e-05 7.694408e-05
 8874.000000 -3.339562e-05 -3.494252e-07 -2.346169e-07 -3.209162e-07 5.797966e-05 4.484675e-04 -3.839572e-05 8.286699e-05
 8879.000000 -3.330854e-05 -3.489701e-07 -2.344585e-07 -3.210689e-07 5.815078e-05 4.331127e-04 -5.005463e-05 8.059717e-05
 8884.000000 -3.306941e-05 -3.483341e-07 -2.341984e-07 -3.199897e-07 5.132934e-05 4.420583e-04 -5.015494e-05 7.283892e-05
 8889.000000 -3.277804e-05 -3.485560e-07 -2.344488e-07 -3.188191e-07 4.904333e-05 4.584001e-04 -4.936487e-05 7.456461e-05
 8894.000000 -3.281602e-05 -3.539334e-07 -2.380977e-07 -3.195926e-07 5.053145e-05 4.753207e-04 -4.138318e-05 7.231265e-05
 8899.000000 -3.276750e-05 -3.550507e-07 -2.388921e-07 -3.196265e-07 4.965916e-05 4.580972e-04 -2.814383e-05 7.511978e-05
 8904.000000 -3.271001e-05 -3.553563e-07 -2.393705e-07 -3.194658e-07 4.607368e-05 4.208955e-04 -2.375954e-05 7.392474e-05
 8909.000000 -3.253896e-05 -3.580655e-07 -2.415235e-07 -3.182629e-07 4.560948e-05 4.390076e-04 -3.296834e-05 8.000900e-05
 8914.000000 -3.230325e-05 -3.572381e-07 -2.409277e-07 -3.165735e-07 4.591065e-05 4.461794e-04 -3.229478e-05 7.222773e-05
 8919.000000 -3.223412e-05 -3.575107e-07 -2.410970e-07 -3.167827e-07 4.077385e-05 4.510600e-04 -3.994578e-05 7.364162e-05
 8924.000000 -3.202038e-05 -3.592615e-07 -2.425386e-07 -3.157611e-07 3.448023e-05 4.484176e-04 -3.984744e-05 7.424745e-05
 8929.000000 -3.208210e-05 -3.624402e-07 -2.446711e-07 -3.176305e-07 3.786377e-05 4.488648e-04 -4.199354e-05 8.101809e-05
 8934.000000 -3.199059e-05 -3.646095e-07 -2.460218e-07 -3.179762e-07 3.566551e-05 4.496830e-04 -4.958411e-05 9.246031e-05
 8939.000000 -3.186245e-05 -3.659073e-07 -2.470385e-07 -3.178729e-07 5.671226e-05 4.510070e-04 -4.506060e-05 8.674830e-05
 8944.000000 -3.169418e-05 -3.666707e-07 -2.474827e-07 -3.172854e-07 6.217170e-05 4.603392e-04 -4.808777e-05 8.584063e-05
 8949.000000 -3.157138e-05 -3.652981e-07 -2.464342e-07 -3.172050e-07 6.132220e-05 4.670140e-04 -4.508456e-05 8.291730e-05
 8953.000000 -3.143165e-05 -3.658882e-07 -2.465463e-07 -3.170177e-07 5.518337e-05 4.544859e-04 -4.802251e-05 7.410518e-05
 8956.000000 -3.140460e-05 -3.657609e-07 -2.461584e-07 -3.174284e-07 5.996769e-05 4.669207e-04 -4.507295e-05 6.451040e-05
 8958.000000 -3.137104e-05 -3.662443e-07 -2.463580e-07 -3.175944e-07 5.779434e-05 4.658578e-04 -4.414331e-05 7.092161e-05
 8959.000000 -3.139677e-05 -3.664435e-07 -2.463062e-07 -3.180773e-07 5.557750e-05 4.520942e-04 -3.721097e-05 7.860309e-05
 8959.200000 -3.140557e-05 -3.662461e-07 -2.461422e-07 -3.182254e-07 4.579278e-05 4.555046e-04 -4.108723e-05 7.262952e-05
 8959.400000 -3.138880e-05 -3.670703e-07 -2.464774e-07 -3.178989e-07 4.750089e-05 4.519213e-04 -3.693271e-05 6.889132e-05
 8959.600000 -3.139262e-05 -3.664135e-07 -2.457428e-07 -3.181078e-07 4.785559e-05 4.780314e-04 -3.464383e-05 6.811796e-05
