# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.07202999150064
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001953
# Detector.I1.voltage: -1649.999268
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370958
# Scan.uid: 758c2b33-4212-41c5-a2f2-e55b45d1c862
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:44:50.546839
# Scan.end_time: 06/23/2023  03:45:25.527461
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.0
# SampleHeater.temperature2.readback: 252.8
# SampleHeater.voltage.setpoint: 0.5331023039957227
# SampleHeater.voltage.readback: 0.545
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.491925e-05 -3.372912e-07 -2.235680e-07 -3.192491e-07 6.344220e-05 2.685936e-04 -5.110163e-05 3.989528e-05
 8784.000000 -3.489255e-05 -3.367336e-07 -2.234337e-07 -3.200715e-07 5.621621e-05 2.471626e-04 -3.853487e-05 4.728744e-05
 8789.000000 -3.494320e-05 -3.327822e-07 -2.208900e-07 -3.216475e-07 5.611224e-05 2.454067e-04 -3.949497e-05 4.291327e-05
 8794.000000 -3.482851e-05 -3.298731e-07 -2.192114e-07 -3.214037e-07 5.681109e-05 2.328288e-04 -5.494924e-05 3.210684e-05
 8799.000000 -3.444487e-05 -3.266829e-07 -2.171733e-07 -3.187297e-07 5.987182e-05 2.212424e-04 -5.719280e-05 3.171221e-05
 8804.000000 -3.470854e-05 -3.304468e-07 -2.196610e-07 -3.217805e-07 5.816013e-05 2.078857e-04 -5.226403e-05 3.681057e-05
 8809.000000 -3.463979e-05 -3.309022e-07 -2.201110e-07 -3.218611e-07 5.347392e-05 2.073907e-04 -5.965185e-05 3.884686e-05
 8814.000000 -3.442041e-05 -3.307378e-07 -2.201894e-07 -3.202382e-07 5.570602e-05 1.997830e-04 -5.339184e-05 5.170690e-05
 8819.000000 -3.444683e-05 -3.311496e-07 -2.207223e-07 -3.211006e-07 5.982536e-05 2.279143e-04 -4.317880e-05 4.584779e-05
 8824.000000 -3.442434e-05 -3.317745e-07 -2.212009e-07 -3.220345e-07 5.361172e-05 2.169015e-04 -3.566362e-05 4.945830e-05
 8829.000000 -3.429382e-05 -3.336559e-07 -2.225534e-07 -3.219672e-07 4.707557e-05 1.907212e-04 -3.917838e-05 4.331839e-05
 8834.000000 -3.416515e-05 -3.349537e-07 -2.236906e-07 -3.218705e-07 3.649982e-05 1.821733e-04 -4.851978e-05 4.468654e-05
 8839.000000 -3.411453e-05 -3.353206e-07 -2.239820e-07 -3.221463e-07 3.831348e-05 1.869705e-04 -5.000612e-05 4.504800e-05
 8844.000000 -3.400336e-05 -3.358400e-07 -2.245967e-07 -3.221659e-07 5.432527e-05 1.703279e-04 -5.731428e-05 4.151072e-05
 8849.000000 -3.390765e-05 -3.365642e-07 -2.253549e-07 -3.222488e-07 5.181948e-05 1.678905e-04 -5.546478e-05 3.877641e-05
 8854.000000 -3.381127e-05 -3.375190e-07 -2.262138e-07 -3.223293e-07 4.824661e-05 1.890259e-04 -4.591509e-05 3.971705e-05
 8859.000000 -3.366354e-05 -3.391321e-07 -2.274391e-07 -3.223871e-07 5.424251e-05 1.913127e-04 -4.595597e-05 3.226995e-05
 8864.000000 -3.362565e-05 -3.390636e-07 -2.273267e-07 -3.231406e-07 4.810835e-05 1.821408e-04 -5.768618e-05 2.830234e-05
 8869.000000 -3.352549e-05 -3.402304e-07 -2.280836e-07 -3.227773e-07 4.597397e-05 2.057711e-04 -5.992222e-05 3.743358e-05
 8874.000000 -3.337191e-05 -3.429076e-07 -2.303264e-07 -3.220060e-07 4.934919e-05 2.019754e-04 -4.906686e-05 3.523895e-05
 8879.000000 -3.321644e-05 -3.443020e-07 -2.312690e-07 -3.213764e-07 5.410278e-05 1.921494e-04 -4.318684e-05 4.082906e-05
 8884.000000 -3.302749e-05 -3.430027e-07 -2.308132e-07 -3.204568e-07 5.957121e-05 1.939899e-04 -4.232053e-05 4.952245e-05
 8889.000000 -3.274635e-05 -3.442300e-07 -2.315945e-07 -3.192599e-07 5.871841e-05 1.991274e-04 -3.731849e-05 4.726563e-05
 8894.000000 -3.288723e-05 -3.479665e-07 -2.341306e-07 -3.208520e-07 5.118360e-05 1.991116e-04 -3.827005e-05 4.161498e-05
 8899.000000 -3.279014e-05 -3.493456e-07 -2.350908e-07 -3.205643e-07 5.746704e-05 1.979761e-04 -4.761187e-05 4.480248e-05
 8904.000000 -3.274357e-05 -3.489733e-07 -2.349139e-07 -3.205451e-07 5.623747e-05 1.735362e-04 -5.786797e-05 4.240101e-05
 8909.000000 -3.261892e-05 -3.510608e-07 -2.365342e-07 -3.197829e-07 5.592622e-05 1.777370e-04 -5.389810e-05 3.638963e-05
 8914.000000 -3.235949e-05 -3.506280e-07 -2.364775e-07 -3.180075e-07 6.723473e-05 1.813043e-04 -5.081383e-05 3.662784e-05
 8919.000000 -3.226604e-05 -3.528035e-07 -2.380255e-07 -3.180347e-07 6.821899e-05 1.983570e-04 -5.633388e-05 2.937637e-05
 8924.000000 -3.209445e-05 -3.541223e-07 -2.387047e-07 -3.174284e-07 5.667616e-05 1.891957e-04 -5.451197e-05 3.365884e-05
 8929.000000 -3.205041e-05 -3.577728e-07 -2.415017e-07 -3.182855e-07 5.561126e-05 1.601635e-04 -5.672365e-05 3.195549e-05
 8934.000000 -3.195158e-05 -3.586779e-07 -2.422124e-07 -3.184785e-07 5.818341e-05 1.533891e-04 -4.667349e-05 3.634027e-05
 8939.000000 -3.182580e-05 -3.605279e-07 -2.433778e-07 -3.183510e-07 6.808992e-05 1.633752e-04 -3.932189e-05 4.209420e-05
 8944.000000 -3.168985e-05 -3.617883e-07 -2.441555e-07 -3.183750e-07 6.793753e-05 1.794852e-04 -3.628510e-05 3.726506e-05
 8949.000000 -3.158424e-05 -3.612951e-07 -2.437195e-07 -3.181869e-07 6.507345e-05 1.974917e-04 -3.241874e-05 3.016411e-05
 8953.000000 -3.151211e-05 -3.585967e-07 -2.416436e-07 -3.186180e-07 7.268922e-05 2.099055e-04 -3.189172e-05 2.673433e-05
 8956.000000 -3.138178e-05 -3.593805e-07 -2.419902e-07 -3.184022e-07 7.804674e-05 1.813900e-04 -2.919848e-05 2.718901e-05
 8958.000000 -3.128516e-05 -3.600860e-07 -2.420575e-07 -3.179026e-07 7.385478e-05 1.731361e-04 -2.328830e-05 3.548396e-05
 8959.000000 -3.106693e-05 -3.616899e-07 -2.429973e-07 -3.160930e-07 7.146942e-05 1.811461e-04 -2.229976e-05 4.383526e-05
 8959.200000 -3.117131e-05 -3.634957e-07 -2.442569e-07 -3.172031e-07 6.660076e-05 1.759494e-04 -2.282573e-05 4.140907e-05
 8959.400000 -3.135182e-05 -3.586556e-07 -2.410279e-07 -3.187038e-07 6.194078e-05 1.673856e-04 -2.998273e-05 3.778618e-05
 8959.600000 -3.137339e-05 -3.566669e-07 -2.395418e-07 -3.192494e-07 6.774364e-05 1.831928e-04 -2.768894e-05 3.966214e-05
