# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.9723813712214
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000122
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1649.99939
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370964
# Scan.uid: 8ef48616-6790-45a4-b55e-47e2e4e23a3c
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:50:47.027949
# Scan.end_time: 06/23/2023  03:51:22.488563
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.0
# SampleHeater.temperature2.readback: 251.5
# SampleHeater.voltage.setpoint: 0.5437624924124409
# SampleHeater.voltage.readback: 0.532
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.01
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.483120e-05 -3.398715e-07 -2.254377e-07 -3.183100e-07 5.983967e-05 4.088409e-04 -6.491038e-05 1.018281e-05
 8784.000000 -3.502866e-05 -3.340706e-07 -2.217188e-07 -3.213913e-07 6.118718e-05 4.173641e-04 -5.614077e-05 3.325013e-06
 8789.000000 -3.501361e-05 -3.298614e-07 -2.189857e-07 -3.224602e-07 5.853868e-05 4.207880e-04 -5.853122e-05 1.062213e-05
 8794.000000 -3.475458e-05 -3.304635e-07 -2.196271e-07 -3.206487e-07 5.263421e-05 4.070534e-04 -6.360899e-05 9.554672e-06
 8799.000000 -3.434412e-05 -3.278432e-07 -2.180438e-07 -3.174848e-07 4.872535e-05 3.923776e-04 -6.740229e-05 1.763079e-05
 8804.000000 -3.463699e-05 -3.317319e-07 -2.208733e-07 -3.207453e-07 4.900152e-05 3.973214e-04 -6.806880e-05 2.683126e-05
 8809.000000 -3.465875e-05 -3.293563e-07 -2.192735e-07 -3.218793e-07 4.496165e-05 3.968998e-04 -6.620457e-05 3.053323e-05
 8814.000000 -3.451584e-05 -3.274271e-07 -2.181746e-07 -3.211018e-07 4.466808e-05 4.164318e-04 -6.312272e-05 2.177076e-05
 8819.000000 -3.453527e-05 -3.282398e-07 -2.186678e-07 -3.217715e-07 2.819336e-05 4.010999e-04 -5.848949e-05 2.098467e-05
 8824.000000 -3.439074e-05 -3.318117e-07 -2.212762e-07 -3.211579e-07 3.062817e-05 3.938450e-04 -6.249747e-05 1.467284e-05
 8829.000000 -3.432115e-05 -3.326055e-07 -2.220104e-07 -3.213064e-07 3.564942e-05 3.828342e-04 -5.107837e-05 1.205388e-05
 8834.000000 -3.427400e-05 -3.314008e-07 -2.213219e-07 -3.220184e-07 3.148450e-05 3.926607e-04 -4.142268e-05 1.043002e-05
 8839.000000 -3.412081e-05 -3.328205e-07 -2.224312e-07 -3.216040e-07 4.062603e-05 3.976654e-04 -3.860543e-05 1.956365e-05
 8844.000000 -3.394567e-05 -3.343852e-07 -2.237512e-07 -3.212507e-07 5.075453e-05 3.834242e-04 -3.784630e-05 1.920895e-05
 8849.000000 -3.393341e-05 -3.326413e-07 -2.224180e-07 -3.222249e-07 3.853196e-05 3.844420e-04 -4.800272e-05 1.490687e-05
 8854.000000 -3.386031e-05 -3.322839e-07 -2.224310e-07 -3.228096e-07 4.109230e-05 3.871501e-04 -5.224641e-05 2.003444e-05
 8859.000000 -3.373340e-05 -3.348061e-07 -2.242838e-07 -3.226380e-07 4.431551e-05 3.876125e-04 -5.330950e-05 1.738564e-05
 8864.000000 -3.348536e-05 -3.392285e-07 -2.276044e-07 -3.213472e-07 3.332483e-05 3.942425e-04 -5.450413e-05 2.177484e-05
 8869.000000 -3.344567e-05 -3.382340e-07 -2.269882e-07 -3.218667e-07 4.021752e-05 3.750441e-04 -6.189097e-05 2.682474e-05
 8874.000000 -3.337650e-05 -3.385231e-07 -2.273209e-07 -3.219225e-07 4.066752e-05 3.763865e-04 -6.662302e-05 2.982209e-05
 8879.000000 -3.327096e-05 -3.389560e-07 -2.275243e-07 -3.217996e-07 4.641110e-05 3.725169e-04 -6.007325e-05 2.373341e-05
 8884.000000 -3.308780e-05 -3.383291e-07 -2.273753e-07 -3.210637e-07 4.859855e-05 3.689481e-04 -5.087406e-05 3.428152e-05
 8889.000000 -3.277149e-05 -3.411093e-07 -2.294443e-07 -3.193795e-07 5.010747e-05 3.597638e-04 -4.454624e-05 3.459387e-05
 8894.000000 -3.296689e-05 -3.448417e-07 -2.321735e-07 -3.215232e-07 4.618397e-05 3.534948e-04 -3.804764e-05 3.024360e-05
 8899.000000 -3.285085e-05 -3.471134e-07 -2.339420e-07 -3.210194e-07 4.157863e-05 3.444579e-04 -3.955743e-05 2.959148e-05
 8904.000000 -3.275009e-05 -3.481594e-07 -2.345157e-07 -3.206928e-07 3.991569e-05 3.640225e-04 -5.343990e-05 2.583819e-05
 8909.000000 -3.263331e-05 -3.486696e-07 -2.348611e-07 -3.200056e-07 4.969375e-05 3.457552e-04 -4.676379e-05 3.627394e-05
 8914.000000 -3.239986e-05 -3.483443e-07 -2.347792e-07 -3.184066e-07 4.640478e-05 3.640765e-04 -5.924299e-05 3.621331e-05
 8919.000000 -3.230336e-05 -3.506675e-07 -2.366330e-07 -3.182545e-07 4.110376e-05 3.750375e-04 -6.839427e-05 1.754766e-05
 8924.000000 -3.212208e-05 -3.516987e-07 -2.374362e-07 -3.175832e-07 3.608481e-05 3.566772e-04 -6.883906e-05 1.937335e-05
 8929.000000 -3.214156e-05 -3.544832e-07 -2.392029e-07 -3.192254e-07 4.082129e-05 4.079087e-04 -6.879593e-05 2.392411e-05
 8934.000000 -3.202283e-05 -3.574996e-07 -2.411712e-07 -3.192396e-07 4.059428e-05 4.077139e-04 -6.974021e-05 2.064905e-05
 8939.000000 -3.187456e-05 -3.605391e-07 -2.433431e-07 -3.190552e-07 4.572303e-05 3.827369e-04 -7.088660e-05 1.781430e-05
 8944.000000 -3.176935e-05 -3.615410e-07 -2.439145e-07 -3.189884e-07 4.712308e-05 3.451816e-04 -7.105912e-05 2.019391e-05
 8949.000000 -3.160814e-05 -3.609253e-07 -2.433826e-07 -3.183811e-07 3.958087e-05 2.702144e-04 -6.720004e-05 1.748706e-05
 8953.000000 -3.147503e-05 -3.614558e-07 -2.435851e-07 -3.183544e-07 3.086969e-05 2.591482e-04 -6.471195e-05 1.342031e-05
 8956.000000 -3.144780e-05 -3.622383e-07 -2.438412e-07 -3.187149e-07 2.896893e-05 2.602531e-04 -6.986628e-05 2.008598e-05
 8958.000000 -3.139250e-05 -3.629315e-07 -2.438452e-07 -3.186711e-07 3.507959e-05 2.651610e-04 -7.026198e-05 1.481701e-05
 8959.000000 -3.127125e-05 -3.643213e-07 -2.447091e-07 -3.179088e-07 3.740113e-05 2.684791e-04 -8.268315e-05 2.113655e-05
 8959.200000 -3.115705e-05 -3.677930e-07 -2.471215e-07 -3.168791e-07 3.972919e-05 2.707441e-04 -9.688771e-05 2.234247e-05
 8959.400000 -3.112891e-05 -3.648297e-07 -2.451890e-07 -3.170120e-07 3.798945e-05 2.842302e-04 -8.142982e-05 2.969528e-05
 8959.600000 -3.126347e-05 -3.617789e-07 -2.430266e-07 -3.181795e-07 3.270976e-05 2.964954e-04 -7.765178e-05 1.625055e-05
