# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.75230228731704
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997437
# Detector.I1.voltage: -1650.0
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370972
# Scan.uid: bae82a5b-d382-4fc0-80f5-d78c90323679
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:58:44.597992
# Scan.end_time: 06/23/2023  03:59:17.790390
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 50.0
# SampleHeater.temperature2.readback: 49.800000000000004
# SampleHeater.voltage.setpoint: 0.11826668560633212
# SampleHeater.voltage.readback: 0.115
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.15
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.09765625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.458071e-05 -3.164999e-07 -2.097488e-07 -3.133327e-07 3.606602e-05 1.506474e-04 -7.383944e-05 5.530863e-05
 8784.000000 -3.465134e-05 -3.154605e-07 -2.090244e-07 -3.146990e-07 3.625262e-05 1.611032e-04 -7.458138e-05 6.298067e-05
 8789.000000 -3.457905e-05 -3.152414e-07 -2.089749e-07 -3.146285e-07 5.102756e-05 1.368248e-04 -8.108265e-05 6.233672e-05
 8794.000000 -3.453124e-05 -3.107645e-07 -2.063517e-07 -3.149564e-07 4.869054e-05 1.124779e-04 -7.387182e-05 6.011857e-05
 8799.000000 -3.413805e-05 -3.071432e-07 -2.040632e-07 -3.121978e-07 4.280111e-05 1.037509e-04 -6.463789e-05 5.033738e-05
 8804.000000 -3.441229e-05 -3.093828e-07 -2.056870e-07 -3.152029e-07 4.562338e-05 8.607123e-05 -6.439094e-05 5.333106e-05
 8809.000000 -3.431704e-05 -3.095827e-07 -2.059631e-07 -3.149951e-07 4.357018e-05 7.650513e-05 -5.417839e-05 4.730312e-05
 8814.000000 -3.412686e-05 -3.100205e-07 -2.064504e-07 -3.137522e-07 4.527890e-05 7.783518e-05 -5.448107e-05 4.747710e-05
 8819.000000 -3.414963e-05 -3.135219e-07 -2.090527e-07 -3.142581e-07 4.863712e-05 8.826773e-05 -5.472074e-05 3.926544e-05
 8824.000000 -3.407654e-05 -3.175686e-07 -2.117744e-07 -3.142987e-07 3.306353e-05 9.988941e-05 -6.345763e-05 3.741886e-05
 8829.000000 -3.403905e-05 -3.172310e-07 -2.115435e-07 -3.150019e-07 1.872350e-05 1.072250e-04 -5.753364e-05 3.967479e-05
 8834.000000 -3.396826e-05 -3.164834e-07 -2.112035e-07 -3.155091e-07 2.578419e-05 9.942074e-05 -6.377204e-05 4.735990e-05
 8839.000000 -3.383138e-05 -3.168169e-07 -2.118126e-07 -3.153112e-07 2.532362e-05 1.021372e-04 -6.828999e-05 5.256260e-05
 8844.000000 -3.372899e-05 -3.184174e-07 -2.131095e-07 -3.154796e-07 3.666945e-05 1.251898e-04 -7.210594e-05 5.628728e-05
 8849.000000 -3.356485e-05 -3.209010e-07 -2.149505e-07 -3.149993e-07 2.574528e-05 1.235426e-04 -6.689588e-05 6.061139e-05
 8854.000000 -3.353485e-05 -3.187109e-07 -2.134053e-07 -3.159027e-07 2.713971e-05 1.113826e-04 -6.313780e-05 5.792250e-05
 8859.000000 -3.329279e-05 -3.236468e-07 -2.170271e-07 -3.149772e-07 4.228420e-05 1.050279e-04 -6.428470e-05 5.476507e-05
 8864.000000 -3.307033e-05 -3.287125e-07 -2.205094e-07 -3.139889e-07 4.661890e-05 1.127136e-04 -6.459768e-05 5.296785e-05
 8869.000000 -3.317612e-05 -3.238764e-07 -2.171681e-07 -3.156324e-07 4.329094e-05 1.109426e-04 -6.400171e-05 5.667548e-05
 8874.000000 -3.305032e-05 -3.255456e-07 -2.184666e-07 -3.151123e-07 3.863539e-05 1.337199e-04 -6.343724e-05 6.067438e-05
 8879.000000 -3.299116e-05 -3.257265e-07 -2.187141e-07 -3.153947e-07 3.788173e-05 1.423180e-04 -7.177354e-05 5.634761e-05
 8884.000000 -3.279900e-05 -3.238903e-07 -2.177038e-07 -3.147818e-07 3.943147e-05 1.321963e-04 -7.559270e-05 5.026496e-05
 8889.000000 -3.254364e-05 -3.239794e-07 -2.178347e-07 -3.136304e-07 4.329361e-05 1.243937e-04 -7.301281e-05 5.037488e-05
 8894.000000 -3.269641e-05 -3.274018e-07 -2.203089e-07 -3.152916e-07 4.562234e-05 1.293163e-04 -7.441262e-05 4.968820e-05
 8899.000000 -3.253122e-05 -3.302608e-07 -2.223846e-07 -3.144090e-07 4.444732e-05 1.179994e-04 -7.352051e-05 4.823249e-05
 8904.000000 -3.242148e-05 -3.324643e-07 -2.242082e-07 -3.138700e-07 4.061843e-05 1.517324e-04 -6.796375e-05 5.927377e-05
 8909.000000 -3.234138e-05 -3.327930e-07 -2.243658e-07 -3.137357e-07 3.422268e-05 1.440145e-04 -6.591888e-05 5.984069e-05
 8914.000000 -3.202059e-05 -3.363158e-07 -2.266563e-07 -3.113075e-07 3.191293e-05 1.209063e-04 -5.777444e-05 6.250606e-05
 8919.000000 -3.200349e-05 -3.364678e-07 -2.268686e-07 -3.119492e-07 3.455842e-05 1.255003e-04 -5.780635e-05 5.847910e-05
 8924.000000 -3.186030e-05 -3.364855e-07 -2.269578e-07 -3.117243e-07 4.087829e-05 1.437073e-04 -5.619244e-05 5.106320e-05
 8929.000000 -3.182294e-05 -3.407482e-07 -2.299226e-07 -3.125812e-07 3.930891e-05 1.394625e-04 -5.668806e-05 4.257649e-05
 8934.000000 -3.174743e-05 -3.428003e-07 -2.312919e-07 -3.129909e-07 3.511756e-05 1.327758e-04 -5.789969e-05 3.935843e-05
 8939.000000 -3.160456e-05 -3.450464e-07 -2.329489e-07 -3.127930e-07 3.263337e-05 1.264414e-04 -6.659444e-05 4.431046e-05
 8944.000000 -3.147704e-05 -3.454143e-07 -2.330105e-07 -3.124740e-07 3.304749e-05 1.614240e-04 -6.921319e-05 5.434511e-05
 8949.000000 -3.127110e-05 -3.481384e-07 -2.347155e-07 -3.113590e-07 3.439805e-05 1.577659e-04 -5.875231e-05 5.864307e-05
 8953.000000 -3.117570e-05 -3.485026e-07 -2.346324e-07 -3.116048e-07 3.583735e-05 1.694288e-04 -5.497531e-05 5.992278e-05
 8956.000000 -3.120989e-05 -3.459345e-07 -2.328140e-07 -3.126488e-07 4.010480e-05 1.524922e-04 -5.715856e-05 6.160406e-05
 8958.000000 -3.117752e-05 -3.467002e-07 -2.330262e-07 -3.128010e-07 4.369845e-05 1.569839e-04 -5.611750e-05 5.298012e-05
 8959.000000 -3.118335e-05 -3.463496e-07 -2.327404e-07 -3.130423e-07 5.255902e-05 1.324635e-04 -6.423943e-05 4.433820e-05
 8959.200000 -3.122023e-05 -3.452778e-07 -2.321103e-07 -3.133158e-07 5.624862e-05 1.247658e-04 -5.928045e-05 4.620106e-05
 8959.400000 -3.118498e-05 -3.460005e-07 -2.327341e-07 -3.132549e-07 6.335317e-05 1.420652e-04 -5.128416e-05 4.875350e-05
 8959.600000 -3.110739e-05 -3.480467e-07 -2.340133e-07 -3.125606e-07 7.028468e-05 1.219862e-04 -5.782174e-05 3.983926e-05
