# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3636920900791
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001343
# Detector.I1.voltage: -1650.003174
# Detector.I2.voltage: -1650.002441
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370934
# Scan.uid: 32ee1355-1911-4314-9f9f-74c056d6503e
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  03:20:49.518446
# Scan.end_time: 06/23/2023  03:21:21.894144
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 41.449240355579946
# SampleHeater.temperature2.readback: 37.800000000000004
# SampleHeater.voltage.setpoint: 0.30328926781825205
# SampleHeater.voltage.readback: 0.304
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.13
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.501718e-05 -3.545525e-07 -2.352110e-07 -3.142883e-07 9.373138e-05 6.180376e-04 -3.826683e-05 6.890841e-05
 8784.000000 -3.501208e-05 -3.521931e-07 -2.338030e-07 -3.149495e-07 8.983057e-05 6.233820e-04 -3.931169e-05 6.807502e-05
 8789.000000 -3.496658e-05 -3.519478e-07 -2.336772e-07 -3.153955e-07 9.089283e-05 5.969511e-04 -4.412130e-05 6.977282e-05
 8794.000000 -3.494322e-05 -3.479394e-07 -2.312430e-07 -3.160144e-07 8.173615e-05 5.816548e-04 -4.809972e-05 7.302183e-05
 8799.000000 -3.451066e-05 -3.452638e-07 -2.297235e-07 -3.128882e-07 8.905976e-05 5.903516e-04 -4.513512e-05 7.545491e-05
 8804.000000 -3.465689e-05 -3.515393e-07 -2.341445e-07 -3.147367e-07 9.836728e-05 6.196770e-04 -3.808904e-05 7.406450e-05
 8809.000000 -3.464102e-05 -3.502801e-07 -2.333400e-07 -3.153102e-07 9.471872e-05 5.910130e-04 -4.145205e-05 6.356603e-05
 8814.000000 -3.450095e-05 -3.494505e-07 -2.329645e-07 -3.146392e-07 9.111964e-05 5.821781e-04 -4.778449e-05 6.328712e-05
 8819.000000 -3.446968e-05 -3.515905e-07 -2.346224e-07 -3.148045e-07 8.917094e-05 5.808021e-04 -3.339080e-05 6.770120e-05
 8824.000000 -3.444879e-05 -3.509554e-07 -2.342497e-07 -3.152907e-07 9.941813e-05 5.957124e-04 -4.157759e-05 7.166386e-05
 8829.000000 -3.436134e-05 -3.512927e-07 -2.346611e-07 -3.155674e-07 1.008010e-04 6.198235e-04 -4.860704e-05 6.979726e-05
 8834.000000 -3.425544e-05 -3.510647e-07 -2.343710e-07 -3.158893e-07 9.374751e-05 6.429621e-04 -5.499251e-05 7.078275e-05
 8839.000000 -3.384272e-05 -3.554003e-07 -2.378565e-07 -3.131684e-07 8.874438e-05 6.459852e-04 -4.991277e-05 7.238909e-05
 8844.000000 -3.399162e-05 -3.543018e-07 -2.371764e-07 -3.152618e-07 8.814293e-05 6.376703e-04 -5.043076e-05 6.946616e-05
 8849.000000 -3.394372e-05 -3.547079e-07 -2.377668e-07 -3.159480e-07 8.312754e-05 6.377004e-04 -4.823983e-05 7.429662e-05
 8854.000000 -3.388395e-05 -3.548251e-07 -2.377559e-07 -3.165917e-07 8.849594e-05 6.441690e-04 -4.355817e-05 6.262978e-05
 8859.000000 -3.372880e-05 -3.554974e-07 -2.383793e-07 -3.163707e-07 8.756989e-05 6.410191e-04 -4.092550e-05 6.376297e-05
 8864.000000 -3.369134e-05 -3.558493e-07 -2.387926e-07 -3.168083e-07 8.690319e-05 6.041586e-04 -4.647976e-05 7.313602e-05
 8869.000000 -3.354952e-05 -3.566377e-07 -2.395847e-07 -3.163268e-07 7.541763e-05 5.966562e-04 -5.145926e-05 7.436545e-05
 8874.000000 -3.341216e-05 -3.579830e-07 -2.406510e-07 -3.161078e-07 7.399164e-05 5.923380e-04 -4.834462e-05 7.523985e-05
 8879.000000 -3.330298e-05 -3.596132e-07 -2.417521e-07 -3.160476e-07 7.386294e-05 5.970822e-04 -4.619841e-05 6.957545e-05
 8884.000000 -3.309772e-05 -3.583885e-07 -2.411218e-07 -3.150463e-07 8.723344e-05 6.220406e-04 -5.454992e-05 6.514546e-05
 8889.000000 -3.276146e-05 -3.599166e-07 -2.421426e-07 -3.134530e-07 9.136313e-05 6.261491e-04 -4.951939e-05 5.985656e-05
 8894.000000 -3.285246e-05 -3.644527e-07 -2.454784e-07 -3.147897e-07 8.598706e-05 6.357934e-04 -5.047537e-05 5.803976e-05
 8899.000000 -3.289925e-05 -3.646112e-07 -2.455127e-07 -3.156834e-07 8.306333e-05 6.433805e-04 -5.327383e-05 5.842415e-05
 8904.000000 -3.275396e-05 -3.670348e-07 -2.473551e-07 -3.146465e-07 8.095993e-05 6.215636e-04 -4.961092e-05 5.723926e-05
 8909.000000 -3.259143e-05 -3.682805e-07 -2.483126e-07 -3.136122e-07 8.359878e-05 6.135853e-04 -4.712084e-05 5.890451e-05
 8914.000000 -3.228034e-05 -3.679016e-07 -2.482406e-07 -3.113400e-07 8.453564e-05 6.414697e-04 -5.411302e-05 5.441236e-05
 8919.000000 -3.225796e-05 -3.688498e-07 -2.489949e-07 -3.119645e-07 8.201667e-05 6.294074e-04 -5.108506e-05 6.047312e-05
 8924.000000 -3.211744e-05 -3.693628e-07 -2.494538e-07 -3.114765e-07 8.078386e-05 6.328790e-04 -4.819593e-05 6.975859e-05
 8929.000000 -3.214647e-05 -3.719928e-07 -2.512358e-07 -3.131856e-07 8.764187e-05 6.436691e-04 -4.869927e-05 6.514750e-05
 8934.000000 -3.202881e-05 -3.740373e-07 -2.525177e-07 -3.134258e-07 9.054562e-05 6.430399e-04 -3.966904e-05 6.397546e-05
 8939.000000 -3.191486e-05 -3.753042e-07 -2.533703e-07 -3.134887e-07 8.786583e-05 6.447086e-04 -3.638007e-05 6.958358e-05
 8944.000000 -3.172394e-05 -3.770015e-07 -2.545150e-07 -3.128014e-07 8.442075e-05 6.546690e-04 -4.001951e-05 7.116754e-05
 8949.000000 -3.162860e-05 -3.778108e-07 -2.548796e-07 -3.127696e-07 8.811403e-05 6.577228e-04 -3.305537e-05 7.455209e-05
 8953.000000 -3.157455e-05 -3.783025e-07 -2.549424e-07 -3.131120e-07 8.792338e-05 6.683852e-04 -1.478332e-05 7.907079e-05
 8956.000000 -3.149424e-05 -3.767917e-07 -2.538240e-07 -3.132348e-07 8.981780e-05 6.868623e-04 -7.696599e-06 7.338615e-05
 8958.000000 -3.148043e-05 -3.742096e-07 -2.517667e-07 -3.137687e-07 9.286181e-05 7.173113e-04 -1.018059e-05 6.715329e-05
 8959.000000 -3.148753e-05 -3.737282e-07 -2.511973e-07 -3.140516e-07 1.069823e-04 7.247054e-04 -7.938720e-06 6.161458e-05
 8959.200000 -3.149504e-05 -3.739537e-07 -2.512490e-07 -3.143061e-07 1.052148e-04 7.460947e-04 -1.264325e-05 5.998539e-05
 8959.400000 -3.147742e-05 -3.739688e-07 -2.512393e-07 -3.141681e-07 9.879278e-05 7.436495e-04 -1.929048e-05 5.567127e-05
 8959.600000 -3.144289e-05 -3.725399e-07 -2.501803e-07 -3.138976e-07 9.936045e-05 7.307345e-04 -1.382109e-05 6.132235e-05
