# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.0469627451046
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00293
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.00061
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370937
# Scan.uid: 9982d4f2-cd2a-4a68-beb3-e5a775402648
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:23:48.521819
# Scan.end_time: 06/23/2023  03:24:22.470286
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 72.0496835421081
# SampleHeater.temperature2.readback: 73.8
# SampleHeater.voltage.setpoint: 0.2535160895146767
# SampleHeater.voltage.readback: 0.253
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.99
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -3.000283e-05 -6.909856e-07 -2.020347e-07 -1.001460e-06 9.837317e-05 6.558335e-04 -6.143030e-05 9.477034e-05
10172.000000 -2.987598e-05 -6.868114e-07 -1.999242e-07 -9.992710e-07 9.942093e-05 6.506120e-04 -6.883365e-05 1.009136e-04
10177.000000 -2.981566e-05 -6.893927e-07 -1.986857e-07 -9.989074e-07 1.045854e-04 6.543539e-04 -7.274656e-05 1.042524e-04
10182.000000 -2.972830e-05 -6.908320e-07 -1.953561e-07 -9.985190e-07 1.026591e-04 6.582179e-04 -6.715030e-05 1.001564e-04
10187.000000 -2.970717e-05 -6.916850e-07 -1.884764e-07 -1.000594e-06 1.109255e-04 6.461878e-04 -6.495642e-05 9.713197e-05
10192.000000 -2.980383e-05 -6.963711e-07 -1.732407e-07 -1.006685e-06 9.935341e-05 6.371021e-04 -6.403605e-05 9.552751e-05
10197.000000 -2.982589e-05 -6.993042e-07 -1.274805e-07 -1.010078e-06 9.704125e-05 6.659900e-04 -5.863319e-05 9.625425e-05
10202.000000 -2.979368e-05 -7.009279e-07 -4.047403e-08 -1.011642e-06 9.780661e-05 6.567204e-04 -4.901762e-05 9.812439e-05
10207.000000 -2.974437e-05 -7.024141e-07 -1.724733e-08 -1.012414e-06 9.658143e-05 6.339122e-04 -5.120914e-05 1.072601e-04
10212.000000 -2.971910e-05 -7.026269e-07 -3.522220e-08 -1.013962e-06 9.542079e-05 6.381093e-04 -6.210484e-05 1.080657e-04
10217.000000 -2.962966e-05 -7.021161e-07 -4.529947e-08 -1.013154e-06 1.006617e-04 6.434428e-04 -6.526470e-05 9.894231e-05
10222.000000 -2.959902e-05 -7.047594e-07 -5.318125e-08 -1.014633e-06 1.014190e-04 6.360375e-04 -5.471423e-05 9.336683e-05
10227.000000 -2.953492e-05 -7.063521e-07 -5.860200e-08 -1.014538e-06 1.000705e-04 6.568547e-04 -5.862782e-05 9.175526e-05
10232.000000 -2.938620e-05 -7.066379e-07 -6.096055e-08 -1.011174e-06 9.234135e-05 6.424896e-04 -6.056549e-05 8.631310e-05
10237.000000 -2.945732e-05 -7.099500e-07 -6.244716e-08 -1.017192e-06 9.338902e-05 6.406726e-04 -5.459693e-05 7.901773e-05
10242.000000 -2.940334e-05 -7.119410e-07 -6.380475e-08 -1.017586e-06 1.005679e-04 6.426945e-04 -4.421584e-05 8.547758e-05
10247.000000 -2.933659e-05 -7.134501e-07 -6.632949e-08 -1.017853e-06 9.626243e-05 6.426010e-04 -4.204461e-05 9.281263e-05
10252.000000 -2.936585e-05 -7.171200e-07 -6.594065e-08 -1.021850e-06 9.041160e-05 6.252126e-04 -4.758442e-05 8.946644e-05
10257.000000 -2.932954e-05 -7.203908e-07 -6.367942e-08 -1.023615e-06 8.887949e-05 6.325273e-04 -5.705422e-05 8.703046e-05
10262.000000 -2.929371e-05 -7.234728e-07 -6.343832e-08 -1.025455e-06 8.617567e-05 6.586108e-04 -4.926207e-05 8.463377e-05
10267.000000 -2.929149e-05 -7.269193e-07 -6.490848e-08 -1.027692e-06 8.062791e-05 6.780683e-04 -3.784758e-05 7.899306e-05
10272.000000 -2.929464e-05 -7.299569e-07 -6.591117e-08 -1.030615e-06 8.121631e-05 6.646520e-04 -4.218427e-05 7.702345e-05
10277.000000 -2.922275e-05 -7.312262e-07 -6.544503e-08 -1.031132e-06 8.222659e-05 6.560704e-04 -4.005445e-05 7.823862e-05
10282.000000 -2.908673e-05 -7.324773e-07 -6.450022e-08 -1.029062e-06 9.461720e-05 6.433556e-04 -3.908374e-05 8.157150e-05
10287.000000 -2.916733e-05 -7.379876e-07 -6.556271e-08 -1.034937e-06 9.335622e-05 6.471381e-04 -4.473916e-05 8.540522e-05
10292.000000 -2.912099e-05 -7.405435e-07 -6.763869e-08 -1.036202e-06 8.623075e-05 6.503754e-04 -4.508086e-05 9.331492e-05
10297.000000 -2.907403e-05 -7.427264e-07 -6.854230e-08 -1.037613e-06 8.888367e-05 6.477571e-04 -5.630736e-05 9.256411e-05
10302.000000 -2.904203e-05 -7.453768e-07 -6.837544e-08 -1.038549e-06 1.026877e-04 6.424414e-04 -6.313940e-05 8.363333e-05
10307.000000 -2.899236e-05 -7.473099e-07 -6.833498e-08 -1.039821e-06 8.621906e-05 6.273581e-04 -5.325148e-05 8.010198e-05
10312.000000 -2.895563e-05 -7.498573e-07 -6.851177e-08 -1.041745e-06 8.592780e-05 6.220979e-04 -5.702125e-05 9.070147e-05
10317.000000 -2.891257e-05 -7.514397e-07 -6.844350e-08 -1.042844e-06 9.539056e-05 6.147453e-04 -5.781126e-05 9.225109e-05
10322.000000 -2.889149e-05 -7.545630e-07 -6.803660e-08 -1.045651e-06 9.639829e-05 6.073178e-04 -4.185531e-05 8.859207e-05
10327.000000 -2.886269e-05 -7.566347e-07 -6.748966e-08 -1.048733e-06 9.294408e-05 6.349408e-04 -4.232935e-05 9.251427e-05
10332.000000 -2.876428e-05 -7.576760e-07 -6.686877e-08 -1.049480e-06 1.002449e-04 6.340447e-04 -4.430593e-05 8.782033e-05
10337.000000 -2.885293e-05 -7.630337e-07 -6.716829e-08 -1.056128e-06 1.029259e-04 6.552889e-04 -2.894454e-05 8.981630e-05
10341.000000 -2.881424e-05 -7.632870e-07 -6.762662e-08 -1.058745e-06 9.805468e-05 6.321745e-04 -3.374896e-05 1.092336e-04
10344.000000 -2.876722e-05 -7.621696e-07 -6.818576e-08 -1.060521e-06 8.808527e-05 6.345822e-04 -3.610796e-05 1.041953e-04
10346.000000 -2.872818e-05 -7.610408e-07 -6.873362e-08 -1.061771e-06 8.607993e-05 6.222184e-04 -3.311216e-05 9.793121e-05
10347.000000 -2.872837e-05 -7.616238e-07 -6.917241e-08 -1.063085e-06 8.826542e-05 6.190825e-04 -2.596651e-05 9.626761e-05
10347.200000 -2.871875e-05 -7.608295e-07 -6.923394e-08 -1.062997e-06 8.635203e-05 6.013815e-04 -2.120478e-05 9.656983e-05
10347.400000 -2.872867e-05 -7.631451e-07 -6.959907e-08 -1.063733e-06 9.354555e-05 5.985155e-04 -3.249185e-05 9.751218e-05
10347.600000 -2.871951e-05 -7.622431e-07 -6.974160e-08 -1.063603e-06 8.781086e-05 6.109325e-04 -4.030779e-05 1.008547e-04
10347.800000 -2.873915e-05 -7.632306e-07 -7.007291e-08 -1.064599e-06 9.295038e-05 6.152716e-04 -3.413884e-05 1.079769e-04
