# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5882987895738
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370939
# Scan.uid: 0d3169a1-0fd1-40e9-ba16-b096c5bcaa03
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:25:48.528097
# Scan.end_time: 06/23/2023  03:26:21.203069
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 92.86539696329906
# SampleHeater.temperature2.readback: 95.5
# SampleHeater.voltage.setpoint: 0.2717429168624636
# SampleHeater.voltage.readback: 0.274
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.988361e-05 -6.769678e-07 -1.994189e-07 -9.987237e-07 9.748374e-05 6.367387e-04 -3.505798e-05 6.226437e-05
10172.000000 -2.976054e-05 -6.731502e-07 -1.973891e-07 -9.971342e-07 9.090180e-05 6.691316e-04 -2.960523e-05 5.601293e-05
10177.000000 -2.971101e-05 -6.734953e-07 -1.955942e-07 -9.972679e-07 8.480476e-05 6.894477e-04 -3.730487e-05 4.688126e-05
10182.000000 -2.959861e-05 -6.726204e-07 -1.915114e-07 -9.955876e-07 9.357560e-05 6.936241e-04 -3.952131e-05 5.204964e-05
10187.000000 -2.962071e-05 -6.712084e-07 -1.843399e-07 -9.995282e-07 9.238640e-05 6.795432e-04 -3.748741e-05 4.504850e-05
10192.000000 -2.970019e-05 -6.737127e-07 -1.693009e-07 -1.004782e-06 9.750167e-05 6.893176e-04 -4.150502e-05 3.796894e-05
10197.000000 -2.969266e-05 -6.761792e-07 -1.245727e-07 -1.007381e-06 9.860723e-05 7.075558e-04 -3.489602e-05 4.028818e-05
10202.000000 -2.964529e-05 -6.788028e-07 -3.931555e-08 -1.008535e-06 9.527642e-05 6.944682e-04 -3.396136e-05 3.305403e-05
10207.000000 -2.963284e-05 -6.821247e-07 -1.674920e-08 -1.010813e-06 8.930570e-05 6.862538e-04 -3.573771e-05 4.875167e-05
10212.000000 -2.957110e-05 -6.843689e-07 -3.476284e-08 -1.010781e-06 8.826377e-05 6.755713e-04 -3.397771e-05 5.088854e-05
10217.000000 -2.947035e-05 -6.859112e-07 -4.484892e-08 -1.009224e-06 8.758338e-05 6.678150e-04 -2.623435e-05 5.405488e-05
10222.000000 -2.950840e-05 -6.866647e-07 -5.270353e-08 -1.013289e-06 9.007372e-05 6.626562e-04 -3.211893e-05 4.398740e-05
10227.000000 -2.939123e-05 -6.873766e-07 -5.793564e-08 -1.010978e-06 9.780668e-05 6.716825e-04 -3.004742e-05 4.486926e-05
10232.000000 -2.930029e-05 -6.886708e-07 -5.981726e-08 -1.010099e-06 9.628232e-05 6.706065e-04 -3.136822e-05 4.042568e-05
10237.000000 -2.936967e-05 -6.916097e-07 -6.155427e-08 -1.016270e-06 1.028316e-04 6.663741e-04 -2.516262e-05 4.128564e-05
10242.000000 -2.934785e-05 -6.938226e-07 -6.286602e-08 -1.018138e-06 1.021699e-04 6.607198e-04 -1.659777e-05 5.022392e-05
10247.000000 -2.930595e-05 -6.952797e-07 -6.538832e-08 -1.019563e-06 8.947991e-05 6.489860e-04 -2.842157e-05 4.398421e-05
10252.000000 -2.927474e-05 -6.980064e-07 -6.515278e-08 -1.021227e-06 7.859274e-05 6.374740e-04 -2.359916e-05 4.579791e-05
10257.000000 -2.927307e-05 -7.015329e-07 -6.282108e-08 -1.023973e-06 7.172674e-05 6.425274e-04 -2.767941e-05 4.813099e-05
10262.000000 -2.914957e-05 -7.031195e-07 -6.227027e-08 -1.021774e-06 7.662098e-05 6.629685e-04 -2.039443e-05 4.406572e-05
10267.000000 -2.915620e-05 -7.079513e-07 -6.382568e-08 -1.024358e-06 7.719303e-05 7.038110e-04 -2.500850e-05 4.815194e-05
10272.000000 -2.917922e-05 -7.116577e-07 -6.478498e-08 -1.028116e-06 9.173400e-05 7.150713e-04 -2.136621e-05 5.770328e-05
10277.000000 -2.906713e-05 -7.134476e-07 -6.436520e-08 -1.026782e-06 9.574347e-05 7.193856e-04 -2.671342e-05 6.059632e-05
10282.000000 -2.893296e-05 -7.138652e-07 -6.380783e-08 -1.024947e-06 9.390341e-05 7.217470e-04 -2.564729e-05 5.762723e-05
10287.000000 -2.903203e-05 -7.189997e-07 -6.442317e-08 -1.031827e-06 8.904757e-05 6.998506e-04 -3.605480e-05 5.073477e-05
10292.000000 -2.897916e-05 -7.217249e-07 -6.641285e-08 -1.032492e-06 9.089209e-05 7.063254e-04 -3.751026e-05 4.410650e-05
10297.000000 -2.897797e-05 -7.242406e-07 -6.735401e-08 -1.035075e-06 8.746486e-05 7.184501e-04 -2.765314e-05 4.488184e-05
10302.000000 -2.896954e-05 -7.284299e-07 -6.739830e-08 -1.037501e-06 8.854949e-05 6.897720e-04 -2.905450e-05 4.748875e-05
10307.000000 -2.893027e-05 -7.314874e-07 -6.778469e-08 -1.039158e-06 8.189249e-05 6.841336e-04 -3.182514e-05 4.539019e-05
10312.000000 -2.883031e-05 -7.321909e-07 -6.779146e-08 -1.038550e-06 8.275197e-05 6.710595e-04 -3.979060e-05 4.991638e-05
10317.000000 -2.885226e-05 -7.359082e-07 -6.758273e-08 -1.042591e-06 8.246933e-05 6.661965e-04 -3.921897e-05 5.581839e-05
10322.000000 -2.885932e-05 -7.401069e-07 -6.747158e-08 -1.046304e-06 7.921381e-05 6.603654e-04 -3.334196e-05 4.752033e-05
10327.000000 -2.878787e-05 -7.419141e-07 -6.693740e-08 -1.047164e-06 7.871485e-05 6.554448e-04 -4.611116e-05 4.345084e-05
10332.000000 -2.865722e-05 -7.400388e-07 -6.595987e-08 -1.046789e-06 8.447531e-05 6.557782e-04 -4.490691e-05 4.241037e-05
10337.000000 -2.871576e-05 -7.450333e-07 -6.616915e-08 -1.052516e-06 8.482978e-05 6.780690e-04 -3.278298e-05 4.622119e-05
10341.000000 -2.866851e-05 -7.465256e-07 -6.676972e-08 -1.054785e-06 9.293550e-05 7.127017e-04 -3.441908e-05 4.980994e-05
10344.000000 -2.864127e-05 -7.455037e-07 -6.732694e-08 -1.057501e-06 9.205093e-05 7.580498e-04 -3.600430e-05 4.868816e-05
10346.000000 -2.865877e-05 -7.459848e-07 -6.800914e-08 -1.061220e-06 9.795758e-05 7.483824e-04 -3.258837e-05 5.000619e-05
10347.000000 -2.865632e-05 -7.462708e-07 -6.865247e-08 -1.062427e-06 1.056868e-04 7.389333e-04 -3.104218e-05 4.981437e-05
10347.200000 -2.865482e-05 -7.473429e-07 -6.894148e-08 -1.062237e-06 1.031797e-04 7.432426e-04 -3.305795e-05 4.989401e-05
10347.400000 -2.864153e-05 -7.469310e-07 -6.879769e-08 -1.061903e-06 1.030261e-04 7.343243e-04 -3.075041e-05 4.778114e-05
10347.600000 -2.865486e-05 -7.459961e-07 -6.872486e-08 -1.063072e-06 9.799218e-05 7.427050e-04 -3.483429e-05 4.195372e-05
10347.800000 -2.866736e-05 -7.472601e-07 -6.865037e-08 -1.063741e-06 9.253441e-05 7.176516e-04 -3.033139e-05 4.750922e-05
