# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.52435574204105
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001465
# Detector.I1.voltage: -1650.001831
# Detector.I2.voltage: -1650.004761
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370943
# Scan.uid: 67065e8e-c1fe-4bb4-9c8e-0439ecf22e1c
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:29:48.591463
# Scan.end_time: 06/23/2023  03:30:23.675436
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 134.32341301443034
# SampleHeater.temperature2.readback: 135.5
# SampleHeater.voltage.setpoint: 0.36119756136211656
# SampleHeater.voltage.readback: 0.355
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.08544921875
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.989678e-05 -6.887428e-07 -2.019702e-07 -1.004390e-06 9.834248e-05 5.216807e-04 -5.878282e-05 7.739354e-05
10172.000000 -2.979762e-05 -6.853122e-07 -2.001329e-07 -1.003254e-06 9.185699e-05 5.198073e-04 -5.367747e-05 8.510231e-05
10177.000000 -2.970272e-05 -6.860697e-07 -1.983935e-07 -1.001009e-06 8.839119e-05 5.110481e-04 -5.676059e-05 8.968554e-05
10182.000000 -2.964513e-05 -6.876058e-07 -1.951523e-07 -1.001667e-06 8.372078e-05 5.059261e-04 -5.136151e-05 8.788090e-05
10187.000000 -2.964385e-05 -6.879839e-07 -1.880808e-07 -1.004887e-06 8.362643e-05 5.027151e-04 -5.174778e-05 9.030381e-05
10192.000000 -2.969810e-05 -6.908809e-07 -1.725254e-07 -1.009406e-06 8.676111e-05 5.065408e-04 -5.463451e-05 9.219947e-05
10197.000000 -2.964082e-05 -6.931870e-07 -1.267541e-07 -1.009568e-06 8.366463e-05 5.071309e-04 -5.543123e-05 8.155264e-05
10202.000000 -2.958291e-05 -6.941944e-07 -3.987884e-08 -1.010111e-06 7.782229e-05 5.131113e-04 -6.454663e-05 8.201991e-05
10207.000000 -2.959018e-05 -6.958059e-07 -1.698035e-08 -1.013579e-06 7.483785e-05 5.197543e-04 -6.636955e-05 8.229031e-05
10212.000000 -2.959125e-05 -6.982460e-07 -3.522574e-08 -1.015895e-06 8.480789e-05 5.089224e-04 -6.504164e-05 8.621942e-05
10217.000000 -2.951709e-05 -7.004763e-07 -4.533588e-08 -1.015026e-06 7.746663e-05 4.997440e-04 -5.287053e-05 8.519292e-05
10222.000000 -2.954248e-05 -7.014654e-07 -5.332012e-08 -1.019024e-06 7.344636e-05 5.040011e-04 -6.053202e-05 8.561355e-05
10227.000000 -2.950493e-05 -7.041248e-07 -5.865513e-08 -1.020108e-06 7.212448e-05 4.841399e-04 -4.965697e-05 8.932784e-05
10232.000000 -2.944904e-05 -7.056597e-07 -6.110482e-08 -1.020601e-06 7.203065e-05 4.902100e-04 -5.023150e-05 9.574312e-05
10237.000000 -2.932476e-05 -7.074170e-07 -6.257292e-08 -1.017930e-06 7.931917e-05 4.791544e-04 -5.075124e-05 9.262454e-05
10242.000000 -2.925466e-05 -7.104414e-07 -6.396923e-08 -1.017809e-06 7.975962e-05 4.696740e-04 -4.987421e-05 9.409453e-05
10247.000000 -2.930800e-05 -7.125323e-07 -6.644381e-08 -1.023935e-06 8.156353e-05 4.769191e-04 -5.553350e-05 9.051426e-05
10252.000000 -2.932002e-05 -7.150057e-07 -6.616436e-08 -1.027624e-06 7.496323e-05 4.990165e-04 -5.498067e-05 9.526120e-05
10257.000000 -2.929240e-05 -7.170569e-07 -6.356869e-08 -1.029109e-06 7.749621e-05 5.042962e-04 -5.299688e-05 9.554516e-05
10262.000000 -2.919550e-05 -7.186117e-07 -6.337428e-08 -1.028184e-06 7.042023e-05 5.008110e-04 -5.600245e-05 8.684128e-05
10267.000000 -2.921756e-05 -7.217802e-07 -6.475265e-08 -1.031916e-06 8.052366e-05 4.827175e-04 -5.912865e-05 8.571336e-05
10272.000000 -2.921715e-05 -7.240912e-07 -6.558262e-08 -1.034761e-06 8.798464e-05 4.935864e-04 -5.884393e-05 9.112903e-05
10277.000000 -2.914953e-05 -7.263470e-07 -6.510830e-08 -1.034566e-06 7.831386e-05 4.851665e-04 -5.096831e-05 8.827344e-05
10282.000000 -2.892981e-05 -7.264075e-07 -6.422687e-08 -1.028731e-06 8.018717e-05 4.725739e-04 -6.050551e-05 9.004692e-05
10287.000000 -2.905001e-05 -7.321528e-07 -6.527944e-08 -1.036379e-06 8.651093e-05 4.855106e-04 -5.938410e-05 8.994532e-05
10292.000000 -2.903591e-05 -7.344574e-07 -6.745659e-08 -1.038802e-06 7.861965e-05 4.819381e-04 -5.605618e-05 9.021420e-05
10297.000000 -2.900112e-05 -7.370006e-07 -6.838415e-08 -1.040592e-06 8.426842e-05 4.803304e-04 -5.506913e-05 8.552040e-05
10302.000000 -2.898929e-05 -7.403172e-07 -6.811288e-08 -1.043059e-06 8.543580e-05 4.723224e-04 -4.696899e-05 8.022129e-05
10307.000000 -2.891565e-05 -7.419080e-07 -6.824551e-08 -1.043084e-06 7.698071e-05 4.910716e-04 -4.736378e-05 9.385982e-05
10312.000000 -2.877407e-05 -7.425026e-07 -6.831727e-08 -1.040260e-06 8.653330e-05 4.937674e-04 -5.321184e-05 8.628542e-05
10317.000000 -2.881574e-05 -7.462184e-07 -6.807529e-08 -1.045815e-06 9.491352e-05 4.709582e-04 -4.808794e-05 9.229420e-05
10322.000000 -2.883694e-05 -7.487511e-07 -6.780373e-08 -1.050257e-06 8.375221e-05 4.839587e-04 -4.513359e-05 8.593625e-05
10327.000000 -2.875924e-05 -7.499898e-07 -6.718277e-08 -1.050313e-06 7.297726e-05 4.723453e-04 -4.862408e-05 9.086232e-05
10332.000000 -2.865651e-05 -7.498712e-07 -6.649726e-08 -1.051141e-06 7.422777e-05 4.848765e-04 -5.794372e-05 9.137718e-05
10337.000000 -2.873387e-05 -7.560724e-07 -6.689310e-08 -1.057874e-06 8.212527e-05 4.685199e-04 -6.342682e-05 8.798189e-05
10341.000000 -2.869855e-05 -7.572056e-07 -6.741518e-08 -1.061010e-06 8.662793e-05 4.816211e-04 -5.572609e-05 8.435995e-05
10344.000000 -2.868265e-05 -7.596293e-07 -6.830645e-08 -1.063535e-06 8.898466e-05 4.881358e-04 -6.598610e-05 9.666957e-05
10346.000000 -2.865537e-05 -7.595872e-07 -6.896453e-08 -1.064968e-06 9.404393e-05 4.817446e-04 -6.191115e-05 9.220578e-05
10347.000000 -2.860047e-05 -7.588938e-07 -6.936349e-08 -1.063844e-06 1.007025e-04 4.771273e-04 -5.485439e-05 8.559413e-05
10347.200000 -2.853484e-05 -7.568791e-07 -6.927783e-08 -1.060914e-06 1.037962e-04 4.668317e-04 -5.250206e-05 9.216089e-05
10347.400000 -2.851581e-05 -7.587774e-07 -6.953110e-08 -1.060303e-06 1.050907e-04 4.871716e-04 -4.400355e-05 9.047694e-05
10347.600000 -2.853069e-05 -7.564343e-07 -6.966848e-08 -1.061140e-06 9.787146e-05 4.889101e-04 -4.708888e-05 8.751723e-05
