# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.8366172548635
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.001831
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370949
# Scan.uid: 96c1cf94-38b9-4516-bf09-d71cf8a6de4e
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:35:48.562224
# Scan.end_time: 06/23/2023  03:36:22.663600
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 196.62040481788142
# SampleHeater.temperature2.readback: 196.70000000000002
# SampleHeater.voltage.setpoint: 0.5003940422610453
# SampleHeater.voltage.readback: 0.488
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.89
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.989148e-05 -6.829626e-07 -1.978282e-07 -1.007091e-06 6.107554e-05 4.170324e-04 -2.487305e-05 9.325839e-05
10172.000000 -2.981058e-05 -6.799044e-07 -1.959206e-07 -1.006775e-06 5.816000e-05 4.073672e-04 -2.813641e-05 9.408991e-05
10177.000000 -2.969733e-05 -6.806131e-07 -1.941180e-07 -1.004501e-06 6.145614e-05 4.073409e-04 -2.488558e-05 9.232813e-05
10182.000000 -2.961753e-05 -6.806554e-07 -1.904270e-07 -1.004282e-06 6.835803e-05 4.321817e-04 -2.328375e-05 8.866860e-05
10187.000000 -2.966276e-05 -6.801955e-07 -1.833075e-07 -1.009529e-06 6.193130e-05 4.276747e-04 -3.015849e-05 9.781054e-05
10192.000000 -2.969895e-05 -6.847738e-07 -1.685945e-07 -1.012910e-06 5.575236e-05 4.053547e-04 -3.409414e-05 9.064354e-05
10197.000000 -2.959624e-05 -6.867161e-07 -1.239656e-07 -1.010719e-06 6.440168e-05 4.262603e-04 -1.641464e-05 8.969111e-05
10202.000000 -2.956623e-05 -6.871632e-07 -3.902422e-08 -1.012857e-06 6.262233e-05 4.124711e-04 -1.015058e-05 8.874110e-05
10207.000000 -2.945026e-05 -6.887800e-07 -1.634093e-08 -1.009993e-06 5.594865e-05 3.552301e-04 -7.533821e-06 9.290415e-05
10212.000000 -2.956298e-05 -6.905168e-07 -3.392517e-08 -1.017816e-06 5.371750e-05 3.450898e-04 -1.194934e-05 8.861298e-05
10217.000000 -2.955710e-05 -6.912332e-07 -4.393990e-08 -1.020775e-06 5.884909e-05 3.549229e-04 -1.422657e-05 8.566674e-05
10222.000000 -2.952926e-05 -6.924142e-07 -5.161477e-08 -1.022355e-06 6.220260e-05 3.656293e-04 -1.049415e-05 7.806912e-05
10227.000000 -2.949264e-05 -6.939768e-07 -5.664001e-08 -1.023446e-06 5.633968e-05 3.911394e-04 -1.287959e-05 7.994686e-05
10232.000000 -2.939400e-05 -6.949902e-07 -5.861104e-08 -1.022542e-06 5.439860e-05 3.748290e-04 -2.776278e-06 8.740992e-05
10237.000000 -2.938309e-05 -6.973924e-07 -6.043743e-08 -1.024776e-06 6.620059e-05 3.699694e-04 -5.229088e-06 9.081156e-05
10242.000000 -2.925071e-05 -6.997258e-07 -6.179001e-08 -1.021821e-06 5.576075e-05 3.723277e-04 2.205165e-06 9.034982e-05
10247.000000 -2.927522e-05 -7.002943e-07 -6.428208e-08 -1.026845e-06 4.902601e-05 3.648607e-04 -1.020107e-05 8.651920e-05
10252.000000 -2.925512e-05 -7.025842e-07 -6.384123e-08 -1.028929e-06 5.130028e-05 3.690257e-04 -1.405059e-05 9.208620e-05
10257.000000 -2.917428e-05 -7.043311e-07 -6.149566e-08 -1.028065e-06 4.534989e-05 3.605048e-04 -3.383551e-06 1.004593e-04
10262.000000 -2.913158e-05 -7.060790e-07 -6.122220e-08 -1.029703e-06 4.721508e-05 3.742928e-04 -4.856452e-06 9.258177e-05
10267.000000 -2.920048e-05 -7.098780e-07 -6.256484e-08 -1.035058e-06 5.395656e-05 3.678208e-04 1.112415e-05 9.719452e-05
10272.000000 -2.917211e-05 -7.122901e-07 -6.316688e-08 -1.036763e-06 5.767630e-05 3.801017e-04 6.032799e-06 1.020243e-04
10277.000000 -2.911305e-05 -7.146342e-07 -6.292709e-08 -1.037357e-06 5.190033e-05 3.747874e-04 -9.970178e-07 1.049468e-04
10282.000000 -2.897305e-05 -7.150056e-07 -6.216112e-08 -1.035079e-06 5.733090e-05 3.572623e-04 -1.041235e-05 9.740258e-05
10287.000000 -2.896924e-05 -7.192071e-07 -6.311710e-08 -1.037035e-06 4.873922e-05 3.662396e-04 -1.208634e-05 9.726786e-05
10292.000000 -2.895209e-05 -7.213216e-07 -6.488500e-08 -1.039556e-06 4.359774e-05 3.492068e-04 -1.383038e-05 8.723693e-05
10297.000000 -2.897066e-05 -7.241472e-07 -6.586603e-08 -1.043949e-06 4.567917e-05 3.617614e-04 -1.154517e-05 8.816090e-05
10302.000000 -2.893599e-05 -7.283707e-07 -6.595827e-08 -1.044910e-06 4.354031e-05 3.733087e-04 -1.096654e-05 9.581014e-05
10307.000000 -2.884717e-05 -7.303445e-07 -6.625238e-08 -1.044191e-06 4.378806e-05 3.896498e-04 2.237244e-06 8.890373e-05
10312.000000 -2.877610e-05 -7.331622e-07 -6.630774e-08 -1.044491e-06 4.807674e-05 3.785006e-04 -7.832513e-06 8.684369e-05
10317.000000 -2.879363e-05 -7.373275e-07 -6.624813e-08 -1.048688e-06 4.597194e-05 3.727257e-04 -1.491102e-05 9.761045e-05
10322.000000 -2.882382e-05 -7.405541e-07 -6.604535e-08 -1.054038e-06 3.688351e-05 3.900518e-04 -8.603542e-06 9.969928e-05
10327.000000 -2.876601e-05 -7.424436e-07 -6.525101e-08 -1.055466e-06 4.363179e-05 3.858503e-04 -2.289432e-05 9.180861e-05
10332.000000 -2.867096e-05 -7.426928e-07 -6.473037e-08 -1.056240e-06 4.092832e-05 3.565839e-04 -2.474094e-05 9.114298e-05
10337.000000 -2.874142e-05 -7.468886e-07 -6.497497e-08 -1.062246e-06 4.483602e-05 3.483932e-04 -3.066395e-05 9.404045e-05
10341.000000 -2.871329e-05 -7.478982e-07 -6.536885e-08 -1.064902e-06 5.385443e-05 3.414636e-04 -2.540106e-05 9.470882e-05
10344.000000 -2.865382e-05 -7.471005e-07 -6.611374e-08 -1.065539e-06 5.017739e-05 3.641863e-04 -3.305153e-05 1.017383e-04
10346.000000 -2.864334e-05 -7.469847e-07 -6.672126e-08 -1.067504e-06 5.231754e-05 3.929006e-04 -3.469111e-05 1.005588e-04
10347.000000 -2.864341e-05 -7.467975e-07 -6.714497e-08 -1.069161e-06 4.627490e-05 3.854771e-04 -3.846032e-05 1.005852e-04
10347.200000 -2.864697e-05 -7.472178e-07 -6.733234e-08 -1.069902e-06 4.643455e-05 3.783492e-04 -5.222019e-05 9.987169e-05
10347.400000 -2.865890e-05 -7.469977e-07 -6.729844e-08 -1.070455e-06 4.701193e-05 3.912308e-04 -3.290778e-05 1.058442e-04
10347.600000 -2.865806e-05 -7.473266e-07 -6.720302e-08 -1.070809e-06 4.054430e-05 3.761542e-04 -4.064345e-05 1.054549e-04
10347.800000 -2.863408e-05 -7.464498e-07 -6.730422e-08 -1.070147e-06 3.875741e-05 3.616941e-04 -3.257266e-05 1.090737e-04
