# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.61509776396394
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001709
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1650.000244
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370951
# Scan.uid: f67e97d4-aec6-460b-ba76-fe7c53d8514b
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:37:49.082466
# Scan.end_time: 06/23/2023  03:38:25.173583
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 217.46412296574795
# SampleHeater.temperature2.readback: 216.8
# SampleHeater.voltage.setpoint: 0.5657901413906584
# SampleHeater.voltage.readback: 0.5680000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.997722e-05 -6.867231e-07 -1.979268e-07 -1.010214e-06 5.230147e-05 3.597233e-04 -4.852578e-05 8.254163e-05
10172.000000 -2.983729e-05 -6.810950e-07 -1.954052e-07 -1.007810e-06 5.079706e-05 3.580914e-04 -3.910559e-05 8.440095e-05
10177.000000 -2.976532e-05 -6.812516e-07 -1.935779e-07 -1.007368e-06 4.982841e-05 3.885367e-04 -3.191684e-05 8.378972e-05
10182.000000 -2.967816e-05 -6.814076e-07 -1.899748e-07 -1.007367e-06 5.458322e-05 3.743039e-04 -3.840830e-05 8.249758e-05
10187.000000 -2.966137e-05 -6.815228e-07 -1.832137e-07 -1.009463e-06 5.786013e-05 4.112677e-04 -2.697420e-05 8.647127e-05
10192.000000 -2.962322e-05 -6.844809e-07 -1.681134e-07 -1.009503e-06 6.827249e-05 4.247482e-04 -2.114631e-05 8.290840e-05
10197.000000 -2.968523e-05 -6.866426e-07 -1.235826e-07 -1.014642e-06 5.884604e-05 4.322513e-04 -2.872878e-05 8.009419e-05
10202.000000 -2.966831e-05 -6.877621e-07 -3.913099e-08 -1.016862e-06 5.224383e-05 4.536556e-04 -2.421172e-05 8.659688e-05
10207.000000 -2.969304e-05 -6.901852e-07 -1.613836e-08 -1.020695e-06 4.986393e-05 4.393750e-04 -3.458165e-05 8.659305e-05
10212.000000 -2.967834e-05 -6.926882e-07 -3.365623e-08 -1.022748e-06 5.373538e-05 4.307744e-04 -2.854140e-05 8.199695e-05
10217.000000 -2.965134e-05 -6.957819e-07 -4.378165e-08 -1.024589e-06 5.113275e-05 4.248236e-04 -2.857805e-05 7.768530e-05
10222.000000 -2.958749e-05 -6.981704e-07 -5.156391e-08 -1.024387e-06 5.036744e-05 4.284082e-04 -2.093692e-05 8.540459e-05
10227.000000 -2.954010e-05 -6.994836e-07 -5.680136e-08 -1.025101e-06 5.575800e-05 4.394654e-04 -2.071158e-05 8.471104e-05
10232.000000 -2.943715e-05 -7.000495e-07 -5.890442e-08 -1.023924e-06 6.311429e-05 4.238861e-04 -2.197694e-05 7.352480e-05
10237.000000 -2.943223e-05 -7.031064e-07 -6.059068e-08 -1.026300e-06 5.664954e-05 4.323421e-04 -2.265861e-05 8.117880e-05
10242.000000 -2.942112e-05 -7.064702e-07 -6.193738e-08 -1.029108e-06 5.429559e-05 4.286947e-04 -1.880454e-05 8.245024e-05
10247.000000 -2.936759e-05 -7.083165e-07 -6.475740e-08 -1.030075e-06 4.948481e-05 4.436905e-04 -2.213948e-05 7.485957e-05
10252.000000 -2.938314e-05 -7.115703e-07 -6.444916e-08 -1.033571e-06 6.636272e-05 4.360788e-04 -2.878453e-05 7.188369e-05
10257.000000 -2.922950e-05 -7.128818e-07 -6.191160e-08 -1.029458e-06 5.881603e-05 4.419288e-04 -2.641269e-05 7.303086e-05
10262.000000 -2.908290e-05 -7.130801e-07 -6.155641e-08 -1.026120e-06 5.446890e-05 4.182145e-04 -2.702075e-05 8.451310e-05
10267.000000 -2.920220e-05 -7.184402e-07 -6.293472e-08 -1.033921e-06 6.311554e-05 4.030377e-04 -3.140820e-05 8.759164e-05
10272.000000 -2.919471e-05 -7.210058e-07 -6.368508e-08 -1.036621e-06 5.673167e-05 3.876703e-04 -4.210891e-05 7.959130e-05
10277.000000 -2.916688e-05 -7.236815e-07 -6.360575e-08 -1.038768e-06 5.331170e-05 4.043154e-04 -3.686828e-05 7.728609e-05
10282.000000 -2.906198e-05 -7.243999e-07 -6.269333e-08 -1.038362e-06 4.786211e-05 3.705371e-04 -4.527654e-05 6.846312e-05
10287.000000 -2.911910e-05 -7.293257e-07 -6.341541e-08 -1.043162e-06 4.669867e-05 3.717777e-04 -3.694086e-05 6.628899e-05
10292.000000 -2.908734e-05 -7.317314e-07 -6.530154e-08 -1.045010e-06 5.855932e-05 4.034209e-04 -2.922941e-05 7.853460e-05
10297.000000 -2.906727e-05 -7.346102e-07 -6.641911e-08 -1.047322e-06 6.634471e-05 4.139950e-04 -2.782965e-05 7.355128e-05
10302.000000 -2.905393e-05 -7.379929e-07 -6.647453e-08 -1.049404e-06 6.155415e-05 3.939004e-04 -2.778974e-05 7.650446e-05
10307.000000 -2.898388e-05 -7.406998e-07 -6.672327e-08 -1.049472e-06 6.306663e-05 3.791216e-04 -2.840052e-05 9.161438e-05
10312.000000 -2.895594e-05 -7.443487e-07 -6.702067e-08 -1.051800e-06 6.628698e-05 3.487545e-04 -3.311876e-05 8.646177e-05
10317.000000 -2.892052e-05 -7.471781e-07 -6.677117e-08 -1.053608e-06 5.700901e-05 3.330870e-04 -3.053233e-05 7.674216e-05
10322.000000 -2.890165e-05 -7.485798e-07 -6.611252e-08 -1.056439e-06 5.485060e-05 3.552516e-04 -2.370844e-05 7.794602e-05
10327.000000 -2.884911e-05 -7.497064e-07 -6.561579e-08 -1.058244e-06 6.033818e-05 3.509105e-04 -2.857814e-05 8.506266e-05
10332.000000 -2.872194e-05 -7.483771e-07 -6.486615e-08 -1.057746e-06 6.608013e-05 3.402719e-04 -2.640148e-05 9.334209e-05
10337.000000 -2.880458e-05 -7.525039e-07 -6.514941e-08 -1.064542e-06 6.141891e-05 3.751650e-04 -3.153738e-05 9.333227e-05
10341.000000 -2.878519e-05 -7.532399e-07 -6.557667e-08 -1.068098e-06 5.894103e-05 4.102061e-04 -3.768779e-05 9.540384e-05
10344.000000 -2.870413e-05 -7.516059e-07 -6.609749e-08 -1.068354e-06 6.621020e-05 4.217451e-04 -2.892699e-05 8.705109e-05
10346.000000 -2.869581e-05 -7.530460e-07 -6.697838e-08 -1.070587e-06 6.096696e-05 4.115301e-04 -2.564275e-05 7.827537e-05
10347.000000 -2.871922e-05 -7.534579e-07 -6.748703e-08 -1.072890e-06 5.917217e-05 3.972381e-04 -3.100007e-05 7.428496e-05
10347.200000 -2.872801e-05 -7.536204e-07 -6.754602e-08 -1.073584e-06 6.069009e-05 3.953675e-04 -2.692491e-05 8.016125e-05
10347.400000 -2.868081e-05 -7.536401e-07 -6.782739e-08 -1.071640e-06 6.469522e-05 3.856264e-04 -2.604145e-05 6.589698e-05
10347.600000 -2.865582e-05 -7.532698e-07 -6.776890e-08 -1.071063e-06 6.238911e-05 3.816050e-04 -2.961358e-05 7.207288e-05
10347.800000 -2.868199e-05 -7.550989e-07 -6.772443e-08 -1.072147e-06 6.525438e-05 3.732269e-04 -2.680389e-05 6.592684e-05
