# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6490427395339
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002197
# Detector.I1.voltage: -1650.001953
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370957
# Scan.uid: 190b067f-ee5b-4ad3-9f87-7e60137abb6f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:43:51.000834
# Scan.end_time: 06/23/2023  03:44:26.328340
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.0
# SampleHeater.temperature2.readback: 250.8
# SampleHeater.voltage.setpoint: 0.5681622294800238
# SampleHeater.voltage.readback: 0.5690000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.1383463591337204
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.09765625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.02848307229578495
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.988882e-05 -6.793360e-07 -1.966127e-07 -1.010262e-06 6.965635e-05 3.340134e-04 -4.041554e-05 1.494467e-05
10172.000000 -2.976401e-05 -6.767048e-07 -1.950485e-07 -1.007907e-06 6.519057e-05 3.665461e-04 -3.657135e-05 2.146187e-05
10177.000000 -2.972556e-05 -6.762088e-07 -1.928644e-07 -1.009175e-06 6.956677e-05 3.739875e-04 -2.598218e-05 2.525287e-05
10182.000000 -2.968138e-05 -6.755822e-07 -1.891256e-07 -1.010426e-06 7.646374e-05 3.941058e-04 -2.915923e-05 1.525558e-05
10187.000000 -2.968652e-05 -6.755231e-07 -1.822799e-07 -1.013509e-06 7.396530e-05 3.952347e-04 -1.506669e-05 1.686696e-05
10192.000000 -2.967470e-05 -6.789160e-07 -1.673484e-07 -1.014685e-06 7.739298e-05 3.655276e-04 -2.533233e-05 2.305179e-05
10197.000000 -2.963790e-05 -6.812866e-07 -1.228461e-07 -1.015473e-06 8.131857e-05 3.617162e-04 -2.970162e-05 2.634513e-05
10202.000000 -2.967467e-05 -6.819335e-07 -3.847759e-08 -1.020408e-06 8.064295e-05 3.598802e-04 -3.164908e-05 2.533760e-05
10207.000000 -2.961258e-05 -6.848304e-07 -1.622122e-08 -1.020468e-06 7.352831e-05 3.721960e-04 -3.672086e-05 3.036663e-05
10212.000000 -2.959716e-05 -6.866478e-07 -3.349883e-08 -1.022757e-06 6.853279e-05 3.708378e-04 -3.620489e-05 3.169197e-05
10217.000000 -2.958003e-05 -6.889896e-07 -4.359901e-08 -1.024761e-06 6.601385e-05 3.512951e-04 -4.730545e-05 2.872387e-05
10222.000000 -2.953619e-05 -6.906274e-07 -5.143624e-08 -1.025607e-06 6.729413e-05 3.365174e-04 -3.532902e-05 3.032378e-05
10227.000000 -2.950934e-05 -6.920274e-07 -5.660123e-08 -1.027558e-06 6.876336e-05 3.410700e-04 -3.591497e-05 2.734524e-05
10232.000000 -2.943908e-05 -6.939375e-07 -5.865782e-08 -1.027521e-06 6.513117e-05 3.284941e-04 -3.580656e-05 2.566381e-05
10237.000000 -2.936652e-05 -6.972684e-07 -6.017958e-08 -1.026625e-06 6.907967e-05 3.198578e-04 -3.501680e-05 3.202196e-05
10242.000000 -2.938681e-05 -6.996196e-07 -6.124700e-08 -1.030753e-06 7.298163e-05 3.073343e-04 -3.068085e-05 2.470882e-05
10247.000000 -2.932141e-05 -7.032099e-07 -6.430175e-08 -1.030820e-06 7.468484e-05 3.052640e-04 -3.908915e-05 1.917526e-05
10252.000000 -2.933200e-05 -7.060751e-07 -6.407855e-08 -1.034149e-06 7.665756e-05 3.154176e-04 -3.971586e-05 2.057632e-05
10257.000000 -2.917600e-05 -7.081021e-07 -6.161476e-08 -1.030023e-06 7.181506e-05 3.077160e-04 -3.699047e-05 1.783546e-05
10262.000000 -2.909359e-05 -7.087825e-07 -6.147527e-08 -1.029807e-06 7.691490e-05 3.383813e-04 -4.551311e-05 1.778364e-05
10267.000000 -2.920014e-05 -7.132120e-07 -6.282567e-08 -1.037328e-06 6.933967e-05 3.441713e-04 -4.462093e-05 1.468981e-05
10272.000000 -2.921841e-05 -7.156643e-07 -6.338743e-08 -1.041406e-06 7.198894e-05 3.221268e-04 -4.088714e-05 1.929940e-05
10277.000000 -2.913924e-05 -7.185255e-07 -6.323638e-08 -1.041558e-06 6.970413e-05 3.426506e-04 -3.753796e-05 2.787078e-05
10282.000000 -2.901144e-05 -7.181111e-07 -6.230533e-08 -1.040213e-06 6.508625e-05 3.215953e-04 -3.725165e-05 2.986221e-05
10287.000000 -2.901547e-05 -7.217086e-07 -6.306376e-08 -1.042686e-06 6.776101e-05 3.289487e-04 -4.300384e-05 3.305974e-05
10292.000000 -2.889902e-05 -7.235562e-07 -6.517958e-08 -1.040313e-06 6.966662e-05 3.487428e-04 -3.690678e-05 3.533392e-05
10297.000000 -2.898019e-05 -7.254407e-07 -6.602094e-08 -1.047540e-06 6.466694e-05 3.254422e-04 -4.115653e-05 2.186574e-05
10302.000000 -2.894818e-05 -7.286639e-07 -6.606994e-08 -1.048528e-06 6.145006e-05 3.051472e-04 -4.260794e-05 1.849385e-05
10307.000000 -2.895102e-05 -7.293304e-07 -6.600414e-08 -1.052128e-06 6.312455e-05 3.423843e-04 -4.608340e-05 1.494308e-05
10312.000000 -2.890018e-05 -7.324516e-07 -6.619243e-08 -1.053128e-06 6.393748e-05 3.587703e-04 -4.740151e-05 1.751313e-05
10317.000000 -2.884096e-05 -7.372969e-07 -6.610794e-08 -1.054005e-06 6.651268e-05 3.412083e-04 -5.114813e-05 1.469029e-05
10322.000000 -2.880231e-05 -7.410395e-07 -6.593895e-08 -1.055794e-06 6.074196e-05 3.450136e-04 -4.513165e-05 1.299657e-05
10327.000000 -2.875849e-05 -7.413746e-07 -6.522431e-08 -1.057415e-06 5.697854e-05 3.110761e-04 -5.219928e-05 2.014689e-05
10332.000000 -2.869179e-05 -7.413559e-07 -6.452773e-08 -1.059309e-06 5.761049e-05 3.086808e-04 -5.844802e-05 1.429409e-05
10337.000000 -2.877709e-05 -7.466609e-07 -6.488648e-08 -1.065746e-06 6.486693e-05 3.215993e-04 -5.432132e-05 1.595985e-05
10341.000000 -2.874865e-05 -7.471558e-07 -6.536162e-08 -1.068828e-06 6.132895e-05 3.308717e-04 -4.180327e-05 2.518935e-05
10344.000000 -2.871761e-05 -7.486010e-07 -6.617020e-08 -1.070435e-06 7.241748e-05 3.354323e-04 -4.017618e-05 2.744859e-05
10346.000000 -2.865019e-05 -7.494791e-07 -6.712707e-08 -1.069285e-06 7.698707e-05 3.390209e-04 -5.644606e-05 2.662756e-05
10347.000000 -2.869331e-05 -7.502511e-07 -6.734667e-08 -1.072916e-06 6.771567e-05 3.135461e-04 -5.217483e-05 2.671481e-05
10347.200000 -2.870282e-05 -7.507866e-07 -6.748794e-08 -1.073921e-06 6.792007e-05 3.016832e-04 -4.900563e-05 3.180494e-05
10347.400000 -2.870387e-05 -7.498494e-07 -6.746793e-08 -1.073897e-06 6.721190e-05 2.793915e-04 -3.522741e-05 4.137384e-05
10347.600000 -2.869358e-05 -7.502336e-07 -6.765858e-08 -1.073598e-06 6.579931e-05 2.722261e-04 -3.464281e-05 3.348189e-05
