# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.5076166779712
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999023
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370965
# Scan.uid: 27c244a4-69ff-4eeb-97d7-e5e5c1df4ae5
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:51:48.529352
# Scan.end_time: 06/23/2023  03:52:22.320696
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 250.0
# SampleHeater.temperature2.readback: 251.3
# SampleHeater.voltage.setpoint: 0.546402426003789
# SampleHeater.voltage.readback: 0.543
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 9.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.990227e-05 -6.824744e-07 -1.973660e-07 -1.010557e-06 5.364788e-05 3.402707e-04 -5.981351e-05 1.810736e-05
10172.000000 -2.976428e-05 -6.784407e-07 -1.954024e-07 -1.007770e-06 4.922580e-05 3.498211e-04 -6.170740e-05 2.089198e-05
10177.000000 -2.968738e-05 -6.788131e-07 -1.935048e-07 -1.006920e-06 4.511671e-05 3.537917e-04 -5.299108e-05 5.317743e-05
10182.000000 -2.960713e-05 -6.791099e-07 -1.898583e-07 -1.006828e-06 4.452418e-05 3.395735e-04 -5.534062e-05 6.123206e-05
10187.000000 -2.961657e-05 -6.801217e-07 -1.833247e-07 -1.010289e-06 4.647552e-05 3.434925e-04 -5.931866e-05 5.565799e-05
10192.000000 -2.971788e-05 -6.832312e-07 -1.682548e-07 -1.016544e-06 5.011671e-05 3.798630e-04 -6.144866e-05 4.217658e-05
10197.000000 -2.973784e-05 -6.845303e-07 -1.232345e-07 -1.020498e-06 4.277877e-05 3.742755e-04 -6.666218e-05 4.311918e-05
10202.000000 -2.965048e-05 -6.852108e-07 -3.887726e-08 -1.019539e-06 3.889475e-05 3.691308e-04 -6.062984e-05 5.251734e-05
10207.000000 -2.960559e-05 -6.882702e-07 -1.612658e-08 -1.020477e-06 4.114203e-05 3.571605e-04 -6.299715e-05 4.675152e-05
10212.000000 -2.959786e-05 -6.903018e-07 -3.367313e-08 -1.022968e-06 4.039954e-05 3.788243e-04 -7.363404e-05 4.369747e-05
10217.000000 -2.956774e-05 -6.929145e-07 -4.393639e-08 -1.024285e-06 3.192313e-05 3.810885e-04 -5.687047e-05 4.470655e-05
10222.000000 -2.950106e-05 -6.946600e-07 -5.171234e-08 -1.023784e-06 3.236460e-05 3.802039e-04 -5.746606e-05 3.637620e-05
10227.000000 -2.951483e-05 -6.966041e-07 -5.705867e-08 -1.027080e-06 3.769350e-05 3.957810e-04 -6.526828e-05 3.676299e-05
10232.000000 -2.945764e-05 -6.983485e-07 -5.890402e-08 -1.027909e-06 3.422590e-05 4.008346e-04 -7.184471e-05 1.500973e-05
10237.000000 -2.945989e-05 -6.997746e-07 -6.013212e-08 -1.031086e-06 3.980402e-05 3.976933e-04 -6.795362e-05 1.389355e-05
10242.000000 -2.942952e-05 -7.022331e-07 -6.159959e-08 -1.032476e-06 3.522422e-05 3.877582e-04 -5.508836e-05 1.110438e-05
10247.000000 -2.936545e-05 -7.033983e-07 -6.430649e-08 -1.032861e-06 4.545096e-05 3.897905e-04 -5.441158e-05 1.762279e-05
10252.000000 -2.931812e-05 -7.060361e-07 -6.424893e-08 -1.033576e-06 4.594774e-05 3.932132e-04 -4.666331e-05 1.864858e-05
10257.000000 -2.930146e-05 -7.080319e-07 -6.184024e-08 -1.036181e-06 4.174296e-05 3.772047e-04 -4.424333e-05 1.428361e-05
10262.000000 -2.921734e-05 -7.081757e-07 -6.129777e-08 -1.035852e-06 4.882219e-05 3.694279e-04 -5.137194e-05 1.110678e-05
10267.000000 -2.925099e-05 -7.116206e-07 -6.254913e-08 -1.039563e-06 4.351852e-05 3.876290e-04 -6.429707e-05 5.625509e-06
10272.000000 -2.923556e-05 -7.131362e-07 -6.309968e-08 -1.042257e-06 3.567905e-05 4.060529e-04 -5.091647e-05 4.820538e-06
10277.000000 -2.916720e-05 -7.140484e-07 -6.266232e-08 -1.043298e-06 2.655436e-05 3.898043e-04 -4.952857e-05 1.160076e-05
10282.000000 -2.902041e-05 -7.132368e-07 -6.193846e-08 -1.040845e-06 1.850863e-05 4.009758e-04 -5.505437e-05 1.216415e-05
10287.000000 -2.906332e-05 -7.172156e-07 -6.268718e-08 -1.045264e-06 2.107417e-05 3.844948e-04 -5.186509e-05 1.274903e-05
10292.000000 -2.902076e-05 -7.187510e-07 -6.457406e-08 -1.046635e-06 1.532157e-05 3.832745e-04 -4.348207e-05 6.418246e-06
10297.000000 -2.897986e-05 -7.211198e-07 -6.559583e-08 -1.047947e-06 2.066354e-05 4.141221e-04 -4.480983e-05 2.527997e-06
10302.000000 -2.888705e-05 -7.253856e-07 -6.563385e-08 -1.045963e-06 1.628142e-05 4.245350e-04 -4.884501e-05 1.282108e-05
10307.000000 -2.887238e-05 -7.274522e-07 -6.573177e-08 -1.049349e-06 1.390531e-05 4.192895e-04 -6.037437e-05 8.835224e-06
10312.000000 -2.887855e-05 -7.310329e-07 -6.602335e-08 -1.053329e-06 1.567410e-05 4.300778e-04 -5.971280e-05 4.712728e-06
10317.000000 -2.884299e-05 -7.345549e-07 -6.589587e-08 -1.055095e-06 1.499336e-05 4.220199e-04 -5.475054e-05 -4.056157e-06
10322.000000 -2.882805e-05 -7.374599e-07 -6.550490e-08 -1.058122e-06 8.224271e-06 4.265077e-04 -5.455546e-05 -3.177143e-06
10327.000000 -2.876129e-05 -7.396132e-07 -6.503828e-08 -1.058378e-06 1.846015e-05 4.617703e-04 -4.713211e-05 1.436797e-06
10332.000000 -2.866327e-05 -7.392531e-07 -6.448957e-08 -1.058596e-06 3.425296e-05 4.785347e-04 -5.673046e-05 1.045375e-05
10337.000000 -2.874620e-05 -7.435276e-07 -6.470036e-08 -1.064908e-06 4.443098e-05 4.731912e-04 -6.476024e-05 1.306392e-05
10341.000000 -2.872027e-05 -7.442742e-07 -6.500420e-08 -1.067760e-06 3.842910e-05 4.587367e-04 -7.289230e-05 1.135195e-05
10344.000000 -2.869576e-05 -7.444477e-07 -6.586732e-08 -1.070504e-06 4.560420e-05 4.666008e-04 -7.293038e-05 6.799249e-06
10346.000000 -2.866338e-05 -7.446566e-07 -6.660027e-08 -1.072177e-06 5.287835e-05 4.694458e-04 -6.044800e-05 3.848813e-06
10347.000000 -2.865774e-05 -7.449883e-07 -6.716791e-08 -1.073516e-06 4.337170e-05 4.758361e-04 -6.815584e-05 3.240603e-06
10347.200000 -2.864388e-05 -7.442077e-07 -6.740266e-08 -1.073219e-06 4.320040e-05 4.750204e-04 -5.269389e-05 1.181688e-05
10347.400000 -2.864957e-05 -7.468125e-07 -6.758414e-08 -1.073317e-06 4.488365e-05 4.881164e-04 -4.562432e-05 2.955359e-05
10347.600000 -2.864073e-05 -7.452020e-07 -6.734054e-08 -1.073780e-06 5.325999e-05 4.860249e-04 -4.908051e-05 1.822271e-05
