# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6354094932842
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998047
# Detector.I1.voltage: -1650.003174
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370967
# Scan.uid: 2859aa2c-632f-4e02-986c-8f793a49b762
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:53:47.516769
# Scan.end_time: 06/23/2023  03:54:22.777254
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 216.09365781148276
# SampleHeater.temperature2.readback: 218.0
# SampleHeater.voltage.setpoint: 0.4335364281133949
# SampleHeater.voltage.readback: 0.438
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.07
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.09765625
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.991471e-05 -6.816809e-07 -1.973014e-07 -1.004037e-06 5.631385e-05 3.145598e-04 -2.072699e-05 4.887181e-05
10172.000000 -2.987789e-05 -6.769376e-07 -1.949466e-07 -1.005897e-06 5.313872e-05 2.798955e-04 -1.571403e-05 3.733551e-05
10177.000000 -2.981129e-05 -6.762603e-07 -1.927550e-07 -1.005972e-06 4.309470e-05 2.604024e-04 -1.564117e-05 4.325167e-05
10182.000000 -2.969159e-05 -6.760654e-07 -1.892338e-07 -1.004219e-06 4.586488e-05 2.616652e-04 -1.622809e-05 5.144364e-05
10187.000000 -2.961740e-05 -6.757701e-07 -1.825082e-07 -1.003774e-06 4.779859e-05 2.588700e-04 -2.359728e-05 5.069555e-05
10192.000000 -2.972330e-05 -6.782525e-07 -1.671390e-07 -1.010156e-06 5.599276e-05 2.519372e-04 -2.444436e-05 4.916146e-05
10197.000000 -2.977334e-05 -6.799137e-07 -1.224195e-07 -1.014712e-06 4.820856e-05 2.297885e-04 -3.005008e-05 4.727699e-05
10202.000000 -2.972006e-05 -6.819751e-07 -3.850134e-08 -1.015178e-06 5.467296e-05 2.384295e-04 -2.934751e-05 4.771256e-05
10207.000000 -2.968229e-05 -6.834515e-07 -1.631642e-08 -1.016338e-06 6.934144e-05 2.561145e-04 -2.543590e-05 5.485669e-05
10212.000000 -2.967517e-05 -6.855595e-07 -3.356752e-08 -1.018337e-06 4.755401e-05 2.617086e-04 -3.515693e-05 5.599822e-05
10217.000000 -2.965710e-05 -6.877399e-07 -4.360895e-08 -1.020396e-06 4.235772e-05 2.588140e-04 -3.824196e-05 5.808856e-05
10222.000000 -2.962448e-05 -6.889517e-07 -5.146375e-08 -1.021716e-06 5.087150e-05 2.599601e-04 -3.962377e-05 5.851603e-05
10227.000000 -2.958263e-05 -6.906624e-07 -5.649711e-08 -1.022542e-06 5.934868e-05 2.691692e-04 -3.311713e-05 4.804562e-05
10232.000000 -2.946861e-05 -6.919351e-07 -5.852386e-08 -1.020908e-06 5.798248e-05 2.552879e-04 -2.190892e-05 4.744861e-05
10237.000000 -2.942714e-05 -6.939041e-07 -5.999857e-08 -1.022318e-06 5.307981e-05 2.602652e-04 -3.066948e-05 4.023300e-05
10242.000000 -2.926008e-05 -6.948007e-07 -6.099829e-08 -1.018191e-06 5.089555e-05 2.610601e-04 -3.056322e-05 4.730554e-05
10247.000000 -2.922037e-05 -6.959132e-07 -6.383148e-08 -1.020173e-06 5.296607e-05 2.503766e-04 -2.761942e-05 4.014149e-05
10252.000000 -2.935035e-05 -6.990642e-07 -6.359598e-08 -1.028699e-06 6.429959e-05 2.390220e-04 -3.869587e-05 3.502861e-05
10257.000000 -2.920811e-05 -7.014561e-07 -6.122310e-08 -1.025462e-06 7.307747e-05 2.260843e-04 -3.765785e-05 3.666590e-05
10262.000000 -2.913222e-05 -7.029810e-07 -6.125248e-08 -1.025401e-06 5.974855e-05 2.412426e-04 -4.658172e-05 4.436861e-05
10267.000000 -2.923966e-05 -7.066732e-07 -6.241254e-08 -1.032683e-06 5.363815e-05 2.381110e-04 -3.998777e-05 5.292576e-05
10272.000000 -2.922368e-05 -7.093469e-07 -6.278493e-08 -1.035105e-06 5.102095e-05 2.471905e-04 -4.125115e-05 4.130952e-05
10277.000000 -2.908994e-05 -7.112958e-07 -6.257134e-08 -1.032314e-06 6.280119e-05 2.490585e-04 -3.490016e-05 3.830257e-05
10282.000000 -2.876143e-05 -7.097172e-07 -6.159001e-08 -1.022549e-06 6.477413e-05 2.475775e-04 -3.263324e-05 4.113322e-05
10287.000000 -2.894329e-05 -7.162563e-07 -6.254959e-08 -1.033186e-06 6.489451e-05 2.429694e-04 -2.937134e-05 4.635349e-05
10292.000000 -2.900699e-05 -7.193580e-07 -6.476733e-08 -1.039380e-06 7.000902e-05 2.303462e-04 -2.690867e-05 5.096084e-05
10297.000000 -2.894845e-05 -7.221279e-07 -6.582369e-08 -1.039735e-06 7.413639e-05 2.194126e-04 -3.853757e-05 6.698061e-05
10302.000000 -2.900620e-05 -7.261628e-07 -6.575223e-08 -1.044525e-06 6.463526e-05 2.137348e-04 -2.719507e-05 5.646786e-05
10307.000000 -2.897733e-05 -7.289128e-07 -6.607582e-08 -1.046179e-06 6.830340e-05 2.231006e-04 -1.498787e-05 3.428436e-05
10312.000000 -2.894773e-05 -7.312413e-07 -6.613844e-08 -1.048750e-06 6.381612e-05 2.095750e-04 -2.808368e-05 3.632712e-05
10317.000000 -2.892800e-05 -7.351995e-07 -6.612625e-08 -1.051712e-06 5.353363e-05 2.095306e-04 -3.480297e-05 3.840470e-05
10322.000000 -2.890128e-05 -7.385864e-07 -6.574701e-08 -1.054571e-06 5.569857e-05 2.137792e-04 -3.673895e-05 4.920712e-05
10327.000000 -2.887181e-05 -7.421225e-07 -6.531358e-08 -1.057005e-06 6.151380e-05 2.342945e-04 -2.120758e-05 3.948904e-05
10332.000000 -2.865819e-05 -7.409206e-07 -6.469298e-08 -1.052140e-06 5.651618e-05 2.306106e-04 -2.389600e-05 4.344849e-05
10337.000000 -2.879056e-05 -7.450245e-07 -6.469973e-08 -1.061466e-06 5.898934e-05 2.138442e-04 -2.280018e-05 5.927608e-05
10341.000000 -2.878729e-05 -7.458845e-07 -6.518973e-08 -1.065539e-06 6.416729e-05 2.511988e-04 -1.822362e-05 4.004714e-05
10344.000000 -2.873811e-05 -7.456939e-07 -6.586362e-08 -1.067240e-06 5.838759e-05 2.629139e-04 -3.269364e-05 4.013113e-05
10346.000000 -2.871936e-05 -7.454688e-07 -6.652470e-08 -1.069595e-06 5.195395e-05 2.437181e-04 -4.020864e-05 4.943422e-05
10347.000000 -2.870097e-05 -7.460745e-07 -6.708064e-08 -1.069947e-06 4.915889e-05 2.410531e-04 -3.961349e-05 4.188156e-05
10347.200000 -2.869395e-05 -7.455536e-07 -6.703665e-08 -1.069845e-06 4.935116e-05 2.534317e-04 -4.402334e-05 3.879975e-05
10347.400000 -2.871917e-05 -7.472897e-07 -6.719693e-08 -1.071294e-06 5.652895e-05 2.586706e-04 -5.035099e-05 3.516991e-05
10347.600000 -2.872551e-05 -7.467964e-07 -6.709011e-08 -1.071533e-06 5.833687e-05 2.548031e-04 -5.685264e-05 2.918386e-05
