# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.33337589182963
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996216
# Detector.I1.voltage: -1649.998779
# Detector.I2.voltage: -1649.999023
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370973
# Scan.uid: e4f72d01-73c1-4ad5-ada6-df2cce87533f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  03:59:45.510905
# Scan.end_time: 06/23/2023  04:00:22.529932
# Scan.name: CuGaO2-4th H2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 50.0
# SampleHeater.temperature2.readback: 47.400000000000006
# SampleHeater.voltage.setpoint: 0.26485617910943193
# SampleHeater.voltage.readback: 0.266
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 10.0
# SampleGasCart.MFC.H2.readback: 10.012
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.03
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 0.0
# SampleGasHandlingSystem.MFC1.readback: -0.146484375
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.09765625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.06103515625
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.987575e-05 -6.842882e-07 -1.982851e-07 -9.953225e-07 5.241316e-05 1.615881e-04 -3.079302e-05 3.112026e-05
10172.000000 -2.976115e-05 -6.800354e-07 -1.962522e-07 -9.926878e-07 4.997296e-05 1.662755e-04 -3.901546e-05 3.451239e-05
10177.000000 -2.972965e-05 -6.812022e-07 -1.947921e-07 -9.923227e-07 5.593235e-05 1.567859e-04 -4.214679e-05 3.578316e-05
10182.000000 -2.964391e-05 -6.815306e-07 -1.911832e-07 -9.917310e-07 4.933478e-05 1.637367e-04 -3.390774e-05 3.381528e-05
10187.000000 -2.957598e-05 -6.810675e-07 -1.841859e-07 -9.924879e-07 5.518943e-05 1.564891e-04 -3.677991e-05 3.050145e-05
10192.000000 -2.952193e-05 -6.816605e-07 -1.685284e-07 -9.928384e-07 6.070854e-05 1.599169e-04 -3.761460e-05 2.856652e-05
10197.000000 -2.947364e-05 -6.842394e-07 -1.238915e-07 -9.936946e-07 5.795778e-05 1.479236e-04 -3.364220e-05 4.331862e-05
10202.000000 -2.954019e-05 -6.878174e-07 -3.944037e-08 -9.990316e-07 4.973472e-05 1.683010e-04 -3.499143e-05 5.020483e-05
10207.000000 -2.955133e-05 -6.903888e-07 -1.651021e-08 -1.002175e-06 5.477307e-05 1.748840e-04 -4.476838e-05 4.306783e-05
10212.000000 -2.959842e-05 -6.934829e-07 -3.419684e-08 -1.006164e-06 5.711599e-05 1.796098e-04 -4.284012e-05 4.660015e-05
10217.000000 -2.959590e-05 -6.957422e-07 -4.444536e-08 -1.008075e-06 6.174140e-05 1.996336e-04 -4.377660e-05 4.579442e-05
10222.000000 -2.953348e-05 -6.967063e-07 -5.212215e-08 -1.007965e-06 6.378929e-05 1.836213e-04 -4.167233e-05 4.282978e-05
10227.000000 -2.945061e-05 -6.984321e-07 -5.736157e-08 -1.007423e-06 6.171760e-05 1.942479e-04 -3.999465e-05 3.417978e-05
10232.000000 -2.940913e-05 -6.994176e-07 -5.931478e-08 -1.008711e-06 5.406018e-05 1.905630e-04 -4.081908e-05 4.379532e-05
10237.000000 -2.942521e-05 -7.020326e-07 -6.094129e-08 -1.012642e-06 5.275935e-05 1.740810e-04 -4.108356e-05 4.199443e-05
10242.000000 -2.939831e-05 -7.048642e-07 -6.230976e-08 -1.014528e-06 5.103127e-05 1.738417e-04 -4.612759e-05 4.148798e-05
10247.000000 -2.931267e-05 -7.061169e-07 -6.507069e-08 -1.014330e-06 4.816290e-05 1.790952e-04 -5.164171e-05 3.415714e-05
10252.000000 -2.930348e-05 -7.088398e-07 -6.460564e-08 -1.016599e-06 4.578780e-05 2.028987e-04 -4.565106e-05 3.126748e-05
10257.000000 -2.927455e-05 -7.114857e-07 -6.214576e-08 -1.018460e-06 5.678244e-05 2.083093e-04 -4.632215e-05 2.578368e-05
10262.000000 -2.918758e-05 -7.131023e-07 -6.190460e-08 -1.017716e-06 6.669191e-05 2.152063e-04 -4.445078e-05 2.716300e-05
10267.000000 -2.922633e-05 -7.172619e-07 -6.340213e-08 -1.021799e-06 6.356709e-05 2.039099e-04 -4.039585e-05 2.556034e-05
10272.000000 -2.921002e-05 -7.198998e-07 -6.422552e-08 -1.024149e-06 6.286594e-05 2.181376e-04 -4.026253e-05 3.794924e-05
10277.000000 -2.914158e-05 -7.221073e-07 -6.382942e-08 -1.024438e-06 6.279841e-05 2.247975e-04 -3.404959e-05 4.466773e-05
10282.000000 -2.900313e-05 -7.229200e-07 -6.301238e-08 -1.022530e-06 6.526287e-05 2.292985e-04 -3.637727e-05 3.223936e-05
10287.000000 -2.904876e-05 -7.275192e-07 -6.381706e-08 -1.026780e-06 6.946122e-05 2.282195e-04 -3.884268e-05 2.659904e-05
10292.000000 -2.899954e-05 -7.294189e-07 -6.587498e-08 -1.027884e-06 7.236351e-05 2.314210e-04 -4.531477e-05 3.634958e-05
10297.000000 -2.894627e-05 -7.310667e-07 -6.680012e-08 -1.029167e-06 6.902480e-05 2.268409e-04 -4.764054e-05 3.000057e-05
10302.000000 -2.892086e-05 -7.336793e-07 -6.653575e-08 -1.031386e-06 6.674780e-05 2.234363e-04 -4.972223e-05 2.478140e-05
10307.000000 -2.883756e-05 -7.357745e-07 -6.660753e-08 -1.031361e-06 6.082493e-05 2.358528e-04 -4.930266e-05 2.977739e-05
10312.000000 -2.887786e-05 -7.405668e-07 -6.704719e-08 -1.036305e-06 5.240207e-05 2.205418e-04 -4.342853e-05 3.545538e-05
10317.000000 -2.884370e-05 -7.422345e-07 -6.670782e-08 -1.038640e-06 4.886995e-05 2.211050e-04 -3.561631e-05 3.865498e-05
10322.000000 -2.880804e-05 -7.431611e-07 -6.630928e-08 -1.041643e-06 4.826045e-05 2.374057e-04 -4.321591e-05 3.600647e-05
10327.000000 -2.874430e-05 -7.428447e-07 -6.537728e-08 -1.043421e-06 5.860545e-05 2.437893e-04 -5.377843e-05 3.774427e-05
10332.000000 -2.862306e-05 -7.433883e-07 -6.482858e-08 -1.043096e-06 5.820760e-05 2.619410e-04 -4.253660e-05 4.119158e-05
10337.000000 -2.873434e-05 -7.500276e-07 -6.526723e-08 -1.051012e-06 4.916645e-05 2.434404e-04 -4.018685e-05 4.175881e-05
10341.000000 -2.867931e-05 -7.507861e-07 -6.576019e-08 -1.052548e-06 4.865704e-05 2.084547e-04 -4.209977e-05 4.291900e-05
10344.000000 -2.860694e-05 -7.502219e-07 -6.635298e-08 -1.053038e-06 5.260246e-05 1.962211e-04 -4.012338e-05 3.565303e-05
10346.000000 -2.849763e-05 -7.471910e-07 -6.686143e-08 -1.051084e-06 5.650870e-05 1.871092e-04 -5.054702e-05 3.711614e-05
10347.000000 -2.858399e-05 -7.504926e-07 -6.747154e-08 -1.055992e-06 5.685988e-05 1.990242e-04 -4.955416e-05 4.820243e-05
10347.200000 -2.856538e-05 -7.492995e-07 -6.763532e-08 -1.055615e-06 5.271160e-05 1.940310e-04 -4.828145e-05 4.816486e-05
10347.400000 -2.853103e-05 -7.481401e-07 -6.761591e-08 -1.054570e-06 6.045399e-05 1.847534e-04 -5.103798e-05 3.493259e-05
10347.600000 -2.851799e-05 -7.495502e-07 -6.778163e-08 -1.053811e-06 5.950079e-05 1.594640e-04 -5.557101e-05 4.512409e-05
