# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.0995258045815
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998047
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1650.001587
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370977
# Scan.uid: a163a351-5495-4f07-b6c8-c22026f785bb
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:17:02.082317
# Scan.end_time: 06/23/2023  04:17:38.706826
# Scan.name: CuGaO2-4th PP+O2-50C (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.3
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.69
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.489659e-05 -3.512830e-07 -2.329778e-07 -3.139473e-07 9.035995e-05 5.899083e-04 -2.835659e-05 3.859476e-05
 8784.000000 -3.497985e-05 -3.478040e-07 -2.307391e-07 -3.152916e-07 9.171580e-05 6.107155e-04 -2.432785e-05 5.120491e-05
 8789.000000 -3.485434e-05 -3.473845e-07 -2.307383e-07 -3.151302e-07 8.144106e-05 6.134457e-04 -2.373454e-05 5.532651e-05
 8794.000000 -3.469794e-05 -3.464854e-07 -2.303494e-07 -3.145215e-07 8.515124e-05 6.269158e-04 -3.218171e-05 5.507640e-05
 8799.000000 -3.435205e-05 -3.414978e-07 -2.270428e-07 -3.121200e-07 8.952515e-05 6.344718e-04 -3.931533e-05 5.555159e-05
 8804.000000 -3.470681e-05 -3.434143e-07 -2.285343e-07 -3.157590e-07 8.336050e-05 6.475369e-04 -2.711791e-05 4.954224e-05
 8809.000000 -3.464196e-05 -3.434120e-07 -2.286988e-07 -3.158351e-07 8.333927e-05 6.178627e-04 -2.005992e-05 4.971643e-05
 8814.000000 -3.438546e-05 -3.436399e-07 -2.288319e-07 -3.140806e-07 8.270029e-05 6.050846e-04 -1.984055e-05 4.343368e-05
 8819.000000 -3.429624e-05 -3.459177e-07 -2.305986e-07 -3.138525e-07 8.023207e-05 5.976028e-04 -2.417805e-05 4.250297e-05
 8824.000000 -3.422614e-05 -3.447826e-07 -2.300449e-07 -3.141973e-07 8.456524e-05 5.977030e-04 -2.515760e-05 4.745844e-05
 8829.000000 -3.426518e-05 -3.430840e-07 -2.291507e-07 -3.154586e-07 8.218601e-05 5.928372e-04 -2.412898e-05 4.203244e-05
 8834.000000 -3.404990e-05 -3.461813e-07 -2.313081e-07 -3.146174e-07 8.596414e-05 5.951747e-04 -1.573681e-05 3.807975e-05
 8839.000000 -3.401050e-05 -3.450088e-07 -2.306576e-07 -3.153213e-07 8.061613e-05 5.962677e-04 -1.344415e-05 2.836997e-05
 8844.000000 -3.402177e-05 -3.438005e-07 -2.299912e-07 -3.163863e-07 8.387930e-05 6.096313e-04 -1.679590e-05 4.378446e-05
 8849.000000 -3.390751e-05 -3.446291e-07 -2.308335e-07 -3.165483e-07 9.210066e-05 6.361556e-04 -1.764863e-05 5.423858e-05
 8854.000000 -3.380092e-05 -3.446518e-07 -2.307136e-07 -3.168321e-07 8.921452e-05 6.492370e-04 -1.446669e-05 5.334569e-05
 8859.000000 -3.368974e-05 -3.455623e-07 -2.316880e-07 -3.168253e-07 9.177989e-05 6.522625e-04 -1.686552e-05 4.761765e-05
 8864.000000 -3.357052e-05 -3.465036e-07 -2.323309e-07 -3.167643e-07 9.629516e-05 6.453791e-04 -1.590979e-05 3.899389e-05
 8869.000000 -3.342723e-05 -3.487632e-07 -2.339218e-07 -3.162322e-07 9.940904e-05 6.082286e-04 -8.746306e-06 4.384626e-05
 8874.000000 -3.338060e-05 -3.482747e-07 -2.338220e-07 -3.166039e-07 9.558007e-05 6.092857e-04 -3.687406e-06 4.205066e-05
 8879.000000 -3.324125e-05 -3.494886e-07 -2.347234e-07 -3.161115e-07 9.284204e-05 6.180712e-04 -2.707358e-06 4.290369e-05
 8884.000000 -3.292781e-05 -3.506661e-07 -2.357978e-07 -3.144416e-07 9.304485e-05 6.073692e-04 -8.653778e-06 4.401445e-05
 8889.000000 -3.273852e-05 -3.494341e-07 -2.352779e-07 -3.141154e-07 8.987227e-05 6.008337e-04 3.016334e-06 4.375741e-05
 8894.000000 -3.292050e-05 -3.528100e-07 -2.376505e-07 -3.160918e-07 8.881731e-05 5.974969e-04 -5.665639e-06 3.738020e-05
 8899.000000 -3.278772e-05 -3.541294e-07 -2.384442e-07 -3.154018e-07 8.475927e-05 5.862568e-04 -1.146122e-05 3.568130e-05
 8904.000000 -3.267731e-05 -3.560705e-07 -2.399077e-07 -3.147641e-07 8.455878e-05 6.076178e-04 -4.481883e-06 4.429100e-05
 8909.000000 -3.250555e-05 -3.572732e-07 -2.409042e-07 -3.138028e-07 8.640154e-05 5.932850e-04 -1.070565e-05 3.477518e-05
 8914.000000 -3.225904e-05 -3.578635e-07 -2.415547e-07 -3.119604e-07 9.438215e-05 5.699593e-04 -1.756682e-05 3.821420e-05
 8919.000000 -3.214712e-05 -3.606678e-07 -2.436325e-07 -3.117477e-07 9.414014e-05 5.707612e-04 -1.406254e-05 3.575314e-05
 8924.000000 -3.199524e-05 -3.620086e-07 -2.443504e-07 -3.113799e-07 9.673508e-05 5.535094e-04 -9.469260e-06 3.529441e-05
 8929.000000 -3.205490e-05 -3.640418e-07 -2.456379e-07 -3.134011e-07 9.970430e-05 5.289524e-04 -1.012177e-05 4.342562e-05
 8934.000000 -3.196386e-05 -3.659384e-07 -2.471245e-07 -3.138384e-07 1.029622e-04 5.303213e-04 -1.000801e-05 4.587288e-05
 8939.000000 -3.182104e-05 -3.670949e-07 -2.476964e-07 -3.135929e-07 9.798097e-05 5.345781e-04 -1.508476e-06 3.747920e-05
 8944.000000 -3.166859e-05 -3.682144e-07 -2.486000e-07 -3.129841e-07 9.606831e-05 5.349297e-04 -1.286836e-05 3.875662e-05
 8949.000000 -3.153930e-05 -3.690454e-07 -2.490158e-07 -3.126921e-07 9.031589e-05 5.272019e-04 -1.730111e-05 3.936090e-05
 8953.000000 -3.145663e-05 -3.713400e-07 -2.504135e-07 -3.128822e-07 9.352330e-05 5.136022e-04 -1.997283e-05 3.307212e-05
 8956.000000 -3.142286e-05 -3.712064e-07 -2.499196e-07 -3.133741e-07 9.270106e-05 4.844154e-04 -1.683534e-05 3.107387e-05
 8958.000000 -3.138441e-05 -3.701214e-07 -2.488354e-07 -3.134571e-07 8.728545e-05 4.745347e-04 -1.911920e-05 2.458977e-05
 8959.000000 -3.135649e-05 -3.696223e-07 -2.484305e-07 -3.136621e-07 8.981993e-05 5.006754e-04 -1.968265e-05 2.066001e-05
 8959.200000 -3.136199e-05 -3.694294e-07 -2.483130e-07 -3.138421e-07 9.686707e-05 5.012920e-04 -1.262350e-05 2.553476e-05
 8959.400000 -3.135116e-05 -3.689402e-07 -2.479506e-07 -3.140052e-07 9.404431e-05 5.021652e-04 -3.059940e-05 2.707047e-05
 8959.600000 -3.133111e-05 -3.711822e-07 -2.492822e-07 -3.137951e-07 8.220383e-05 4.959461e-04 -1.717366e-05 2.553713e-05
 8959.800000 -3.127162e-05 -3.714081e-07 -2.493168e-07 -3.132949e-07 7.410129e-05 4.757767e-04 -1.684677e-05 3.557942e-05
 8960.000000 -3.122239e-05 -3.709614e-07 -2.490334e-07 -3.134005e-07 8.216908e-05 4.841323e-04 -1.448041e-05 4.836586e-05
 8960.200000 -3.124661e-05 -3.705116e-07 -2.487064e-07 -3.132764e-07 8.524367e-05 4.886176e-04 -1.400373e-05 3.294893e-05
 8960.400000 -3.130097e-05 -3.681199e-07 -2.471316e-07 -3.137443e-07 9.019640e-05 4.922782e-04 -5.679268e-06 4.028781e-05
 8960.600000 -3.131193e-05 -3.704080e-07 -2.487910e-07 -3.136504e-07 9.247666e-05 4.827965e-04 -1.636197e-05 3.993083e-05
 8960.800000 -3.135529e-05 -3.681652e-07 -2.469045e-07 -3.140346e-07 8.546786e-05 5.095793e-04 -2.272551e-05 3.560929e-05
 8961.000000 -3.133785e-05 -3.683080e-07 -2.469923e-07 -3.137425e-07 8.736833e-05 5.132389e-04 -8.480073e-06 2.970763e-05
 8961.200000 -3.128543e-05 -3.697583e-07 -2.477088e-07 -3.137132e-07 8.877187e-05 4.923117e-04 -4.528799e-06 1.824054e-05
 8961.400000 -3.129128e-05 -3.685824e-07 -2.472308e-07 -3.139756e-07 8.383778e-05 4.981007e-04 -9.786874e-06 2.104147e-05
 8961.600000 -3.125114e-05 -3.692628e-07 -2.477524e-07 -3.138644e-07 7.784866e-05 5.129849e-04 -1.669356e-05 2.745432e-05
 8961.800000 -3.119740e-05 -3.687844e-07 -2.472598e-07 -3.134152e-07 8.141255e-05 5.050619e-04 -2.621636e-05 2.825624e-05
 8962.000000 -3.124516e-05 -3.699072e-07 -2.482800e-07 -3.138226e-07 8.593348e-05 5.019895e-04 -2.021255e-05 3.229344e-05
 8962.200000 -3.128716e-05 -3.692692e-07 -2.477609e-07 -3.140837e-07 9.725249e-05 5.039556e-04 -2.313438e-05 3.529432e-05
 8962.400000 -3.128248e-05 -3.693539e-07 -2.475627e-07 -3.142805e-07 9.758641e-05 4.991813e-04 -2.697021e-05 3.043438e-05
 8962.600000 -3.124771e-05 -3.704214e-07 -2.483982e-07 -3.140443e-07 9.519315e-05 5.020823e-04 -2.535931e-05 3.209818e-05
 8962.800000 -3.128601e-05 -3.689409e-07 -2.472319e-07 -3.142643e-07 8.787811e-05 5.181593e-04 -2.357767e-05 2.884062e-05
 8963.000000 -3.130119e-05 -3.695310e-07 -2.475153e-07 -3.143694e-07 8.638483e-05 5.053811e-04 -2.257263e-05 1.859461e-05
 8963.200000 -3.130622e-05 -3.693799e-07 -2.475153e-07 -3.145781e-07 7.690732e-05 5.120650e-04 -1.493264e-05 3.184422e-05
 8963.400000 -3.130825e-05 -3.693572e-07 -2.472752e-07 -3.145778e-07 8.684854e-05 5.055117e-04 -1.082728e-05 4.284923e-05
 8963.600000 -3.130474e-05 -3.686785e-07 -2.466796e-07 -3.148221e-07 8.946370e-05 5.020462e-04 -2.728837e-05 2.463120e-05
 8963.800000 -3.128230e-05 -3.694743e-07 -2.471107e-07 -3.147599e-07 7.763706e-05 4.946660e-04 -2.672462e-05 3.009821e-05
 8964.000000 -3.127903e-05 -3.696250e-07 -2.471449e-07 -3.145917e-07 9.090321e-05 4.957269e-04 -2.870914e-05 3.130408e-05
 8964.200000 -3.127395e-05 -3.691735e-07 -2.468631e-07 -3.146024e-07 8.535934e-05 4.940156e-04 -4.447794e-05 3.515498e-05
 8964.400000 -3.126201e-05 -3.695111e-07 -2.471198e-07 -3.146873e-07 8.713044e-05 5.187516e-04 -3.932310e-05 3.145488e-05
 8964.600000 -3.121556e-05 -3.698311e-07 -2.473807e-07 -3.144474e-07 8.872550e-05 5.078434e-04 -2.443828e-05 4.627190e-05
 8964.800000 -3.118559e-05 -3.713414e-07 -2.483871e-07 -3.140919e-07 9.556465e-05 5.085353e-04 -3.039083e-05 3.604902e-05
 8965.000000 -3.119857e-05 -3.707577e-07 -2.478435e-07 -3.143241e-07 9.214190e-05 4.984429e-04 -2.941275e-05 3.628781e-05
 8965.200000 -3.119078e-05 -3.709049e-07 -2.477906e-07 -3.143950e-07 9.884642e-05 4.938969e-04 -2.552861e-05 3.540991e-05
 8965.400000 -3.115311e-05 -3.697212e-07 -2.470972e-07 -3.143334e-07 9.624121e-05 5.024379e-04 -7.074259e-06 4.524099e-05
 8965.600000 -3.114493e-05 -3.702165e-07 -2.474142e-07 -3.140940e-07 9.304772e-05 5.117459e-04 4.503549e-06 4.518941e-05
 8965.800000 -3.117443e-05 -3.689314e-07 -2.463123e-07 -3.144364e-07 9.656632e-05 4.980689e-04 6.818526e-06 4.231650e-05
 8966.000000 -3.118803e-05 -3.690625e-07 -2.462288e-07 -3.146032e-07 9.831502e-05 5.068781e-04 -1.410550e-06 3.969297e-05
 8966.200000 -3.116664e-05 -3.696436e-07 -2.464873e-07 -3.145826e-07 9.647392e-05 5.098338e-04 -1.256252e-05 4.390547e-05
 8966.400000 -3.115157e-05 -3.699743e-07 -2.466239e-07 -3.145269e-07 1.011323e-04 4.923819e-04 -1.726292e-05 5.359233e-05
 8966.600000 -3.110592e-05 -3.706508e-07 -2.469825e-07 -3.141678e-07 8.974572e-05 4.870361e-04 -2.816691e-06 5.520785e-05
 8966.800000 -3.108256e-05 -3.702855e-07 -2.469198e-07 -3.141286e-07 8.978979e-05 4.789261e-04 1.584714e-06 5.947395e-05
 8967.000000 -3.111361e-05 -3.689701e-07 -2.460520e-07 -3.144017e-07 9.068491e-05 4.946313e-04 -5.938957e-07 5.637958e-05
 8967.200000 -3.112700e-05 -3.687430e-07 -2.459318e-07 -3.145902e-07 8.335375e-05 5.062533e-04 -5.028056e-06 4.940137e-05
 8967.400000 -3.114282e-05 -3.690412e-07 -2.459811e-07 -3.148530e-07 7.779028e-05 4.875168e-04 -9.396745e-06 4.278704e-05
 8967.600000 -3.110725e-05 -3.681234e-07 -2.451132e-07 -3.146433e-07 7.360733e-05 4.754117e-04 4.494172e-06 4.418728e-05
 8967.800000 -3.112290e-05 -3.687414e-07 -2.452593e-07 -3.146136e-07 7.316276e-05 4.685951e-04 -1.967966e-07 3.479123e-05
 8968.000000 -3.114644e-05 -3.676887e-07 -2.444423e-07 -3.147709e-07 7.487154e-05 4.724823e-04 1.566992e-05 4.903895e-05
 8968.200000 -3.113182e-05 -3.693311e-07 -2.454550e-07 -3.147993e-07 8.204603e-05 4.700322e-04 1.280425e-05 4.937635e-05
 8968.400000 -3.111015e-05 -3.676028e-07 -2.444269e-07 -3.147763e-07 9.419442e-05 4.795468e-04 1.521977e-05 5.031813e-05
 8968.600000 -3.110159e-05 -3.686462e-07 -2.450701e-07 -3.148079e-07 9.755126e-05 4.780656e-04 2.193115e-05 3.997707e-05
 8968.800000 -3.113461e-05 -3.687866e-07 -2.449006e-07 -3.152598e-07 9.409648e-05 4.748260e-04 1.012210e-05 4.968961e-05
 8969.000000 -3.112647e-05 -3.691181e-07 -2.447890e-07 -3.152943e-07 9.649280e-05 4.747046e-04 6.402819e-06 3.831974e-05
 8969.200000 -3.111731e-05 -3.693164e-07 -2.445358e-07 -3.152537e-07 9.738107e-05 4.866694e-04 1.269197e-05 3.952194e-05
 8969.400000 -3.107720e-05 -3.689525e-07 -2.443122e-07 -3.151328e-07 1.121211e-04 4.979732e-04 1.250308e-05 3.330523e-05
 8969.600000 -3.098860e-05 -3.706905e-07 -2.454553e-07 -3.145532e-07 9.781411e-05 5.005026e-04 -2.313230e-06 2.896394e-05
 8969.800000 -3.101460e-05 -3.685037e-07 -2.439200e-07 -3.150240e-07 8.993468e-05 4.938972e-04 -1.079425e-05 2.756048e-05
 8970.000000 -3.105827e-05 -3.689336e-07 -2.441285e-07 -3.153577e-07 9.898305e-05 4.841251e-04 -3.273581e-06 3.704841e-05
 8970.200000 -3.107062e-05 -3.697901e-07 -2.444754e-07 -3.156391e-07 9.446906e-05 4.817238e-04 1.147508e-05 3.894245e-05
 8970.400000 -3.105658e-05 -3.694150e-07 -2.438894e-07 -3.157034e-07 9.707135e-05 4.831149e-04 4.195727e-06 3.911898e-05
 8970.600000 -3.109205e-05 -3.702280e-07 -2.441350e-07 -3.158749e-07 9.598308e-05 4.858247e-04 -3.776272e-06 2.974936e-05
 8970.800000 -3.102744e-05 -3.716801e-07 -2.451803e-07 -3.156643e-07 8.030111e-05 4.788968e-04 -2.381842e-06 3.269998e-05
 8971.000000 -3.090993e-05 -3.722855e-07 -2.454454e-07 -3.150653e-07 8.421787e-05 4.711482e-04 -1.659675e-05 3.622010e-05
 8971.200000 -3.090177e-05 -3.725032e-07 -2.453508e-07 -3.150017e-07 9.030198e-05 4.762827e-04 -1.963650e-06 3.932716e-05
 8971.400000 -3.096313e-05 -3.704167e-07 -2.438543e-07 -3.156004e-07 8.753259e-05 4.675514e-04 -1.838058e-05 3.152893e-05
 8971.600000 -3.099666e-05 -3.715540e-07 -2.442491e-07 -3.159998e-07 8.441099e-05 4.710675e-04 -2.491748e-05 2.203449e-05
 8971.800000 -3.104792e-05 -3.686209e-07 -2.419296e-07 -3.166014e-07 9.052533e-05 4.685299e-04 -2.443100e-05 2.407915e-05
 8972.000000 -3.108511e-05 -3.697501e-07 -2.424217e-07 -3.168812e-07 8.794562e-05 4.476496e-04 -1.543941e-05 4.155815e-05
 8972.200000 -3.106300e-05 -3.690757e-07 -2.418928e-07 -3.168491e-07 9.415676e-05 4.879472e-04 -2.960084e-05 2.935755e-05
 8972.400000 -3.099464e-05 -3.699075e-07 -2.421365e-07 -3.166461e-07 9.328324e-05 4.714652e-04 -1.535500e-05 4.157758e-05
 8972.600000 -3.098706e-05 -3.685855e-07 -2.409223e-07 -3.168621e-07 9.147043e-05 4.883352e-04 -2.528403e-05 4.558201e-05
 8972.800000 -3.101212e-05 -3.690221e-07 -2.408265e-07 -3.172763e-07 8.598284e-05 5.056939e-04 -1.591911e-05 4.996288e-05
 8973.000000 -3.105453e-05 -3.686353e-07 -2.401377e-07 -3.178182e-07 8.561684e-05 5.064915e-04 -1.075587e-05 4.235261e-05
 8973.200000 -3.104799e-05 -3.683449e-07 -2.392684e-07 -3.177650e-07 8.396856e-05 5.008467e-04 -2.335835e-05 3.813923e-05
 8973.400000 -3.105220e-05 -3.695618e-07 -2.400185e-07 -3.177684e-07 8.025846e-05 4.842728e-04 -1.829757e-05 3.511839e-05
 8973.600000 -3.105174e-05 -3.685391e-07 -2.389821e-07 -3.181200e-07 8.874894e-05 4.834143e-04 -1.216050e-05 3.398767e-05
 8973.800000 -3.102328e-05 -3.696026e-07 -2.391694e-07 -3.182282e-07 9.362216e-05 4.857810e-04 -1.428498e-05 3.514215e-05
 8974.000000 -3.102448e-05 -3.684034e-07 -2.377934e-07 -3.187255e-07 9.704105e-05 4.867510e-04 -7.078549e-06 3.795804e-05
 8974.200000 -3.102447e-05 -3.691380e-07 -2.374458e-07 -3.191576e-07 9.110058e-05 5.158173e-04 -1.240305e-05 2.780816e-05
 8974.400000 -3.100941e-05 -3.688524e-07 -2.364917e-07 -3.193550e-07 9.624883e-05 5.353343e-04 -4.435607e-06 2.756313e-05
 8974.600000 -3.098911e-05 -3.690865e-07 -2.360015e-07 -3.193398e-07 8.678920e-05 4.997992e-04 -2.012659e-05 2.587233e-05
 8974.800000 -3.093627e-05 -3.709474e-07 -2.366738e-07 -3.190972e-07 7.688410e-05 4.921937e-04 -1.339257e-05 2.618866e-05
 8975.000000 -3.095039e-05 -3.694162e-07 -2.349191e-07 -3.197698e-07 8.128965e-05 4.639282e-04 -2.586135e-06 2.637989e-05
 8975.200000 -3.091477e-05 -3.695965e-07 -2.340819e-07 -3.197104e-07 8.238047e-05 4.557252e-04 -2.464210e-07 1.536796e-05
 8975.400000 -3.091533e-05 -3.700798e-07 -2.332530e-07 -3.202892e-07 7.947949e-05 4.671398e-04 -5.186366e-07 1.574417e-05
 8975.600000 -3.089543e-05 -3.702147e-07 -2.321935e-07 -3.210111e-07 7.092996e-05 4.684115e-04 -5.048380e-06 2.603428e-05
 8975.800000 -3.087563e-05 -3.711272e-07 -2.310916e-07 -3.213692e-07 7.032399e-05 4.647852e-04 -7.691923e-06 1.924979e-05
 8976.000000 -3.094565e-05 -3.668738e-07 -2.266558e-07 -3.225568e-07 7.880948e-05 4.610934e-04 -1.585733e-05 1.822354e-05
 8976.200000 -3.096119e-05 -3.681710e-07 -2.256548e-07 -3.233392e-07 7.544947e-05 4.557267e-04 -6.001050e-06 2.625013e-05
 8976.400000 -3.091303e-05 -3.665597e-07 -2.224941e-07 -3.236656e-07 7.794547e-05 4.700260e-04 4.225596e-06 2.314151e-05
 8976.600000 -3.090124e-05 -3.675860e-07 -2.204805e-07 -3.243197e-07 8.499220e-05 4.753502e-04 -6.488186e-06 1.930800e-05
 8976.800000 -3.089022e-05 -3.672775e-07 -2.170031e-07 -3.249151e-07 8.360053e-05 4.723824e-04 -8.862226e-06 1.184427e-06
 8977.000000 -3.087714e-05 -3.666968e-07 -2.130565e-07 -3.259771e-07 9.219493e-05 4.628048e-04 -5.376741e-06 1.605899e-05
 8977.200000 -3.090793e-05 -3.663474e-07 -2.082393e-07 -3.275018e-07 8.962721e-05 4.632170e-04 1.070112e-06 2.349003e-05
