# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.7444549448139
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000732
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1650.003174
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370979
# Scan.uid: 374ee819-28da-497f-93fe-bbfe2e81c8f0
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:19:03.084022
# Scan.end_time: 06/23/2023  04:19:37.467830
# Scan.name: CuGaO2-4th PP+O2-50C (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 25.0
# SampleHeater.temperature2.readback: 27.400000000000002
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.81
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.08544921875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.476214e-05 -3.420634e-07 -2.270988e-07 -3.131901e-07 9.065201e-05 4.427893e-04 -1.897843e-05 2.897031e-05
 8784.000000 -3.484129e-05 -3.375372e-07 -2.241236e-07 -3.147917e-07 9.601025e-05 4.597528e-04 -2.175018e-05 2.874905e-05
 8789.000000 -3.480763e-05 -3.352750e-07 -2.226395e-07 -3.153424e-07 9.131939e-05 4.415201e-04 -3.421736e-05 2.641781e-05
 8794.000000 -3.469486e-05 -3.333124e-07 -2.214780e-07 -3.149477e-07 8.694237e-05 4.394298e-04 -3.226590e-05 2.794223e-05
 8799.000000 -3.429740e-05 -3.300701e-07 -2.194412e-07 -3.122214e-07 8.134621e-05 4.314692e-04 -3.152551e-05 3.368162e-05
 8804.000000 -3.460898e-05 -3.319142e-07 -2.204802e-07 -3.156154e-07 7.997675e-05 4.357681e-04 -2.413623e-05 3.991418e-05
 8809.000000 -3.454563e-05 -3.322630e-07 -2.210147e-07 -3.156106e-07 8.073447e-05 4.564080e-04 -2.440628e-05 3.871102e-05
 8814.000000 -3.432045e-05 -3.332061e-07 -2.220567e-07 -3.139354e-07 8.505433e-05 4.614173e-04 -1.778715e-05 4.262411e-05
 8819.000000 -3.433472e-05 -3.346890e-07 -2.234461e-07 -3.144490e-07 8.645036e-05 4.701744e-04 -2.140621e-05 3.961203e-05
 8824.000000 -3.422575e-05 -3.373261e-07 -2.252981e-07 -3.144147e-07 9.501195e-05 4.633841e-04 -2.067773e-05 4.018879e-05
 8829.000000 -3.416044e-05 -3.381648e-07 -2.258868e-07 -3.147695e-07 9.682269e-05 4.745679e-04 -2.677097e-05 4.718503e-05
 8834.000000 -3.414382e-05 -3.368416e-07 -2.250641e-07 -3.155163e-07 9.799459e-05 4.827898e-04 -2.628434e-05 4.712271e-05
 8839.000000 -3.399664e-05 -3.395358e-07 -2.271038e-07 -3.151252e-07 8.995619e-05 4.909257e-04 -1.939366e-05 4.772511e-05
 8844.000000 -3.391168e-05 -3.390869e-07 -2.269443e-07 -3.156784e-07 9.601231e-05 4.660122e-04 -1.119830e-05 4.707703e-05
 8849.000000 -3.380381e-05 -3.393359e-07 -2.273465e-07 -3.160252e-07 9.547946e-05 4.552822e-04 -3.000271e-06 4.210273e-05
 8854.000000 -3.369583e-05 -3.390755e-07 -2.271148e-07 -3.161706e-07 8.753610e-05 4.492709e-04 -8.417547e-06 4.952732e-05
 8859.000000 -3.356556e-05 -3.390322e-07 -2.273704e-07 -3.160672e-07 8.908307e-05 4.533971e-04 -1.308246e-05 3.775970e-05
 8864.000000 -3.345215e-05 -3.404021e-07 -2.283181e-07 -3.159485e-07 8.767710e-05 4.870456e-04 -1.599384e-05 3.946043e-05
 8869.000000 -3.325877e-05 -3.433559e-07 -2.305460e-07 -3.150790e-07 8.769163e-05 4.564569e-04 -9.176124e-06 5.058973e-05
 8874.000000 -3.318530e-05 -3.430860e-07 -2.303909e-07 -3.151027e-07 8.066210e-05 4.545760e-04 -9.268057e-06 3.509035e-05
 8879.000000 -3.311411e-05 -3.426800e-07 -2.302068e-07 -3.154651e-07 8.685072e-05 4.594934e-04 -1.585543e-05 2.879395e-05
 8884.000000 -3.286772e-05 -3.420276e-07 -2.298913e-07 -3.144028e-07 7.771058e-05 4.431155e-04 -6.415086e-06 3.371369e-05
 8889.000000 -3.266243e-05 -3.414548e-07 -2.295590e-07 -3.137225e-07 6.765243e-05 4.244195e-04 -1.166277e-05 3.640537e-05
 8894.000000 -3.284153e-05 -3.441187e-07 -2.315539e-07 -3.157455e-07 7.071443e-05 4.434594e-04 -1.246712e-05 3.152117e-05
 8899.000000 -3.273787e-05 -3.460447e-07 -2.330709e-07 -3.155577e-07 7.779067e-05 4.443563e-04 -1.885820e-05 3.127297e-05
 8904.000000 -3.259908e-05 -3.481728e-07 -2.347334e-07 -3.146995e-07 8.103406e-05 4.593068e-04 -5.377083e-06 2.765006e-05
 8909.000000 -3.246890e-05 -3.496625e-07 -2.358238e-07 -3.137840e-07 7.336182e-05 4.635462e-04 -7.276448e-06 3.429660e-05
 8914.000000 -3.222652e-05 -3.497243e-07 -2.358729e-07 -3.120519e-07 7.223857e-05 4.628966e-04 -1.744052e-05 4.728169e-05
 8919.000000 -3.213134e-05 -3.522155e-07 -2.375590e-07 -3.119489e-07 7.596643e-05 4.775276e-04 -1.818090e-05 4.673998e-05
 8924.000000 -3.193581e-05 -3.548370e-07 -2.394021e-07 -3.111494e-07 8.274838e-05 4.707425e-04 -1.079830e-05 4.955522e-05
 8929.000000 -3.191685e-05 -3.593817e-07 -2.426765e-07 -3.123803e-07 7.332333e-05 4.519248e-04 -8.584918e-06 4.884032e-05
 8934.000000 -3.181579e-05 -3.624051e-07 -2.446072e-07 -3.128246e-07 8.160918e-05 4.374696e-04 -8.102755e-06 4.864769e-05
 8939.000000 -3.169028e-05 -3.648714e-07 -2.464369e-07 -3.126092e-07 8.439121e-05 4.460272e-04 -1.931571e-05 4.889505e-05
 8944.000000 -3.156727e-05 -3.651532e-07 -2.466036e-07 -3.122600e-07 7.651607e-05 4.622262e-04 -2.133554e-05 5.239417e-05
 8949.000000 -3.143403e-05 -3.634291e-07 -2.450837e-07 -3.121152e-07 7.282444e-05 4.561710e-04 -1.218634e-05 5.028006e-05
 8953.000000 -3.139883e-05 -3.631908e-07 -2.447785e-07 -3.127239e-07 7.196005e-05 4.614851e-04 -1.290419e-05 5.115343e-05
 8956.000000 -3.129349e-05 -3.641223e-07 -2.450979e-07 -3.126908e-07 6.744752e-05 4.701354e-04 -9.165890e-06 4.395198e-05
 8958.000000 -3.126794e-05 -3.632094e-07 -2.442531e-07 -3.129703e-07 7.586772e-05 4.405532e-04 -1.020565e-05 3.898651e-05
 8959.000000 -3.127085e-05 -3.630347e-07 -2.439249e-07 -3.131678e-07 7.131471e-05 4.417749e-04 -7.566106e-06 3.612255e-05
 8959.200000 -3.125731e-05 -3.624434e-07 -2.435952e-07 -3.132421e-07 6.897706e-05 4.373698e-04 -1.131723e-05 3.846827e-05
 8959.400000 -3.126401e-05 -3.629901e-07 -2.439680e-07 -3.133402e-07 7.896346e-05 4.449537e-04 -2.350621e-05 3.711581e-05
 8959.600000 -3.125716e-05 -3.633729e-07 -2.442360e-07 -3.134128e-07 7.713237e-05 4.699583e-04 -2.410221e-05 3.508627e-05
