# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.0445954010384
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.001953
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370983
# Scan.uid: a7e6b25f-736e-49ef-a37a-487d17648af0
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:25:33.532080
# Scan.end_time: 06/23/2023  04:26:08.103896
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 50.935234759913556
# SampleHeater.temperature2.readback: 47.5
# SampleHeater.voltage.setpoint: 0.3197349250469386
# SampleHeater.voltage.readback: 0.323
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.950000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0244140625
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.458919e-05 -3.293429e-07 -2.183738e-07 -3.128262e-07 7.385661e-05 5.171661e-04 -3.014287e-05 1.857704e-05
 8784.000000 -3.461163e-05 -3.261938e-07 -2.164203e-07 -3.139188e-07 7.620617e-05 5.227075e-04 -2.886146e-05 1.068039e-05
 8789.000000 -3.461393e-05 -3.218193e-07 -2.135135e-07 -3.150973e-07 8.488070e-05 5.329684e-04 -3.471726e-05 1.274105e-05
 8794.000000 -3.449174e-05 -3.189275e-07 -2.118060e-07 -3.149549e-07 8.467223e-05 5.214397e-04 -2.961989e-05 9.446340e-06
 8799.000000 -3.404681e-05 -3.174546e-07 -2.111882e-07 -3.115764e-07 8.755554e-05 5.263579e-04 -2.883679e-05 1.179194e-05
 8804.000000 -3.427595e-05 -3.221904e-07 -2.144368e-07 -3.140523e-07 8.711169e-05 5.518077e-04 -2.697377e-05 1.011279e-05
 8809.000000 -3.415695e-05 -3.237490e-07 -2.153247e-07 -3.135140e-07 8.750828e-05 5.506445e-04 -2.866301e-05 9.233444e-06
 8814.000000 -3.406672e-05 -3.203291e-07 -2.131782e-07 -3.132281e-07 9.176550e-05 5.327398e-04 -2.488508e-05 1.413459e-05
 8819.000000 -3.412141e-05 -3.196736e-07 -2.129221e-07 -3.143383e-07 8.252007e-05 5.283689e-04 -1.493468e-05 1.781181e-05
 8824.000000 -3.400418e-05 -3.225307e-07 -2.150630e-07 -3.139928e-07 7.207008e-05 5.637442e-04 -2.411983e-05 7.379347e-06
 8829.000000 -3.395778e-05 -3.215926e-07 -2.145842e-07 -3.145955e-07 6.866495e-05 5.593527e-04 -2.720990e-05 9.340417e-06
 8834.000000 -3.387029e-05 -3.224201e-07 -2.154268e-07 -3.148063e-07 6.999547e-05 5.565105e-04 -2.503519e-05 5.399358e-06
 8839.000000 -3.369373e-05 -3.270478e-07 -2.187307e-07 -3.142518e-07 6.881938e-05 5.445122e-04 -2.444903e-05 9.663860e-06
 8844.000000 -3.364350e-05 -3.253773e-07 -2.178149e-07 -3.149755e-07 6.973999e-05 5.294252e-04 -1.809249e-05 3.195488e-05
 8849.000000 -3.341636e-05 -3.294959e-07 -2.207390e-07 -3.139229e-07 7.388577e-05 5.452712e-04 -2.649192e-05 2.712959e-05
 8854.000000 -3.326302e-05 -3.313818e-07 -2.221233e-07 -3.135152e-07 7.237932e-05 5.428305e-04 -1.886261e-05 2.092146e-05
 8859.000000 -3.331718e-05 -3.275422e-07 -2.195781e-07 -3.152372e-07 8.148231e-05 5.512520e-04 -2.016353e-05 2.328279e-05
 8864.000000 -3.310256e-05 -3.318366e-07 -2.227395e-07 -3.140076e-07 8.370507e-05 5.582265e-04 -2.335710e-05 4.029425e-05
 8869.000000 -3.308461e-05 -3.312297e-07 -2.224544e-07 -3.147140e-07 7.995137e-05 5.729116e-04 -1.768754e-05 4.001440e-05
 8874.000000 -3.309691e-05 -3.294598e-07 -2.211578e-07 -3.157977e-07 8.312657e-05 5.329299e-04 -1.010495e-05 4.570050e-05
 8879.000000 -3.297771e-05 -3.311848e-07 -2.223473e-07 -3.156297e-07 8.425577e-05 5.311769e-04 -1.794247e-05 4.374530e-05
 8884.000000 -3.273203e-05 -3.323954e-07 -2.233819e-07 -3.143013e-07 8.960274e-05 5.745031e-04 -1.722124e-05 5.081177e-05
 8889.000000 -3.252556e-05 -3.317566e-07 -2.232909e-07 -3.138768e-07 8.217750e-05 5.631217e-04 -2.061768e-05 5.456640e-05
 8894.000000 -3.267628e-05 -3.354682e-07 -2.259325e-07 -3.157731e-07 7.656641e-05 5.258837e-04 -1.345517e-05 5.120592e-05
 8899.000000 -3.259923e-05 -3.361306e-07 -2.265233e-07 -3.156469e-07 8.394222e-05 5.289407e-04 -1.145218e-05 6.034501e-05
 8904.000000 -3.246047e-05 -3.385321e-07 -2.281517e-07 -3.146007e-07 8.200595e-05 5.199834e-04 -1.537909e-05 4.480669e-05
 8909.000000 -3.230936e-05 -3.417714e-07 -2.305439e-07 -3.135874e-07 6.941784e-05 5.145614e-04 -2.250285e-05 4.676025e-05
 8914.000000 -3.202456e-05 -3.430654e-07 -2.314199e-07 -3.115399e-07 7.725771e-05 5.198625e-04 -1.842271e-05 5.571042e-05
 8919.000000 -3.181326e-05 -3.483067e-07 -2.349643e-07 -3.104129e-07 7.333177e-05 5.117689e-04 -2.499593e-05 5.720496e-05
 8924.000000 -3.163622e-05 -3.491057e-07 -2.356276e-07 -3.097922e-07 7.307113e-05 4.978121e-04 -2.724377e-05 6.221269e-05
 8929.000000 -3.179243e-05 -3.497507e-07 -2.362278e-07 -3.125546e-07 6.900907e-05 5.330841e-04 -2.692768e-05 5.552641e-05
 8934.000000 -3.174327e-05 -3.514647e-07 -2.373539e-07 -3.134367e-07 7.455096e-05 5.459743e-04 -2.246228e-05 5.997169e-05
 8939.000000 -3.159649e-05 -3.532703e-07 -2.384869e-07 -3.132126e-07 7.490432e-05 5.395114e-04 -2.266855e-05 6.095018e-05
 8944.000000 -3.143856e-05 -3.528012e-07 -2.380879e-07 -3.127778e-07 6.682255e-05 5.206393e-04 -2.908777e-05 6.241493e-05
 8949.000000 -3.133596e-05 -3.519181e-07 -2.373616e-07 -3.128443e-07 6.730653e-05 5.088588e-04 -2.684985e-05 6.282539e-05
 8953.000000 -3.124639e-05 -3.521286e-07 -2.371963e-07 -3.130440e-07 6.492288e-05 5.404662e-04 -2.694149e-05 6.526325e-05
 8956.000000 -3.120019e-05 -3.533390e-07 -2.377809e-07 -3.133804e-07 6.755068e-05 5.534704e-04 -2.736071e-05 5.488853e-05
 8958.000000 -3.117702e-05 -3.529906e-07 -2.372460e-07 -3.135597e-07 7.367337e-05 5.514102e-04 -3.399772e-05 6.736235e-05
 8959.000000 -3.110359e-05 -3.548094e-07 -2.383909e-07 -3.131279e-07 7.430226e-05 5.497373e-04 -4.030477e-05 6.798062e-05
 8959.200000 -3.106337e-05 -3.550406e-07 -2.384903e-07 -3.128637e-07 6.952710e-05 5.492592e-04 -4.321330e-05 6.202185e-05
 8959.400000 -3.115197e-05 -3.520848e-07 -2.362633e-07 -3.138499e-07 6.932228e-05 5.490221e-04 -3.716176e-05 5.348694e-05
 8959.600000 -3.112836e-05 -3.534736e-07 -2.371309e-07 -3.135781e-07 6.574323e-05 5.351899e-04 -3.560394e-05 5.459491e-05
