# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.65494001437906
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00293
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370987
# Scan.uid: 9b52f6dd-25e6-4e4b-aa57-16a577c400a4
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:29:37.527796
# Scan.end_time: 06/23/2023  04:30:11.346125
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 79.14388812015086
# SampleHeater.temperature2.readback: 80.5
# SampleHeater.voltage.setpoint: 0.27577622316307543
# SampleHeater.voltage.readback: 0.302
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.85
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.08544921875
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.460716e-05 -3.311564e-07 -2.197251e-07 -3.133841e-07 9.098868e-05 4.087047e-04 -3.443705e-05 -3.243430e-06
 8784.000000 -3.468401e-05 -3.263107e-07 -2.164940e-07 -3.150551e-07 8.461548e-05 4.008333e-04 -3.452929e-05 -3.501563e-06
 8789.000000 -3.459851e-05 -3.260254e-07 -2.165019e-07 -3.150271e-07 8.319518e-05 4.054329e-04 -2.811753e-05 2.184781e-06
 8794.000000 -3.445610e-05 -3.239525e-07 -2.151275e-07 -3.145000e-07 8.799288e-05 4.131587e-04 -3.057313e-05 2.548237e-06
 8799.000000 -3.402967e-05 -3.213648e-07 -2.137054e-07 -3.114257e-07 8.885709e-05 3.990120e-04 -4.173064e-05 2.033354e-06
 8804.000000 -3.437567e-05 -3.229669e-07 -2.151285e-07 -3.151706e-07 8.215210e-05 4.284943e-04 -4.341410e-05 5.990073e-06
 8809.000000 -3.429933e-05 -3.242319e-07 -2.157866e-07 -3.152203e-07 7.398534e-05 4.192564e-04 -3.593143e-05 6.203450e-06
 8814.000000 -3.413686e-05 -3.226955e-07 -2.149085e-07 -3.141074e-07 7.463627e-05 3.942594e-04 -2.850903e-05 8.835197e-06
 8819.000000 -3.412854e-05 -3.255977e-07 -2.168798e-07 -3.144376e-07 7.879535e-05 4.087927e-04 -2.709763e-05 6.411770e-06
 8824.000000 -3.388364e-05 -3.319712e-07 -2.214300e-07 -3.130332e-07 8.408707e-05 3.904011e-04 -2.495430e-05 1.413970e-05
 8829.000000 -3.378006e-05 -3.326483e-07 -2.221174e-07 -3.130908e-07 8.353694e-05 3.858426e-04 -3.344103e-05 8.907053e-06
 8834.000000 -3.368067e-05 -3.328309e-07 -2.224998e-07 -3.131440e-07 9.011822e-05 4.084552e-04 -4.061966e-05 4.057759e-06
 8839.000000 -3.367188e-05 -3.309012e-07 -2.212867e-07 -3.142125e-07 8.998005e-05 4.393797e-04 -3.121790e-05 1.196462e-05
 8844.000000 -3.366201e-05 -3.293287e-07 -2.205378e-07 -3.152180e-07 8.837401e-05 4.090336e-04 -3.018926e-05 1.788932e-05
 8849.000000 -3.358148e-05 -3.304775e-07 -2.212105e-07 -3.156550e-07 8.464409e-05 4.171812e-04 -4.905274e-05 1.487699e-05
 8854.000000 -3.351559e-05 -3.302702e-07 -2.212545e-07 -3.161802e-07 8.150242e-05 4.333511e-04 -3.551591e-05 1.086055e-05
 8859.000000 -3.343152e-05 -3.304582e-07 -2.216783e-07 -3.165598e-07 7.547747e-05 4.003548e-04 -3.980411e-05 1.595469e-05
 8864.000000 -3.335765e-05 -3.309084e-07 -2.220483e-07 -3.167643e-07 7.273217e-05 3.947427e-04 -3.005738e-05 1.562584e-05
 8869.000000 -3.323938e-05 -3.329450e-07 -2.236856e-07 -3.164768e-07 8.447901e-05 3.829411e-04 -3.297585e-05 7.601412e-06
 8874.000000 -3.302523e-05 -3.358555e-07 -2.256701e-07 -3.151785e-07 9.142606e-05 3.939836e-04 -3.646478e-05 7.942884e-06
 8879.000000 -3.281204e-05 -3.389724e-07 -2.276236e-07 -3.141131e-07 8.652476e-05 4.012164e-04 -3.992607e-05 1.258966e-05
 8884.000000 -3.273014e-05 -3.344981e-07 -2.248230e-07 -3.145091e-07 8.222228e-05 3.982024e-04 -5.909012e-05 1.160930e-05
 8889.000000 -3.251876e-05 -3.341136e-07 -2.249777e-07 -3.138590e-07 8.062012e-05 4.077732e-04 -5.708172e-05 1.011124e-05
 8894.000000 -3.258441e-05 -3.410052e-07 -2.297594e-07 -3.147254e-07 7.753345e-05 3.977481e-04 -4.297778e-05 2.026322e-05
 8899.000000 -3.255602e-05 -3.404392e-07 -2.294385e-07 -3.151984e-07 7.560923e-05 3.992564e-04 -3.976911e-05 2.746549e-05
 8904.000000 -3.245842e-05 -3.418905e-07 -2.304679e-07 -3.145817e-07 7.851267e-05 4.055397e-04 -3.785106e-05 1.804653e-05
 8909.000000 -3.229896e-05 -3.444550e-07 -2.324112e-07 -3.136890e-07 9.359886e-05 4.044230e-04 -3.645291e-05 2.114281e-05
 8914.000000 -3.205718e-05 -3.447985e-07 -2.324308e-07 -3.120440e-07 9.459465e-05 4.132214e-04 -3.702913e-05 1.522759e-05
 8919.000000 -3.200188e-05 -3.453459e-07 -2.329339e-07 -3.125699e-07 8.551091e-05 3.882760e-04 -3.904126e-05 -5.175557e-06
 8924.000000 -3.184839e-05 -3.461745e-07 -2.337212e-07 -3.121209e-07 8.413363e-05 3.910762e-04 -3.003518e-05 -1.478149e-06
 8929.000000 -3.184045e-05 -3.501292e-07 -2.363573e-07 -3.133540e-07 8.129161e-05 4.183942e-04 -3.206745e-05 -6.370059e-06
 8934.000000 -3.173831e-05 -3.525129e-07 -2.381527e-07 -3.136270e-07 8.627799e-05 4.274701e-04 -3.282301e-05 -5.914424e-06
 8939.000000 -3.158796e-05 -3.538972e-07 -2.388617e-07 -3.132767e-07 8.629618e-05 4.270262e-04 -4.656833e-05 1.679593e-05
 8944.000000 -3.140234e-05 -3.553946e-07 -2.398235e-07 -3.124624e-07 8.820741e-05 4.083250e-04 -4.960230e-05 7.270713e-06
 8949.000000 -3.134742e-05 -3.547016e-07 -2.391411e-07 -3.130828e-07 8.093081e-05 3.326683e-04 -6.815767e-05 6.508016e-06
 8953.000000 -3.126910e-05 -3.556019e-07 -2.396232e-07 -3.133231e-07 8.355869e-05 2.784626e-04 -6.762120e-05 2.059040e-05
 8956.000000 -3.121341e-05 -3.550601e-07 -2.389061e-07 -3.134982e-07 8.644724e-05 2.698776e-04 -6.916794e-05 3.423619e-05
 8958.000000 -3.120451e-05 -3.541293e-07 -2.381336e-07 -3.138619e-07 8.498676e-05 2.821445e-04 -6.076925e-05 2.988484e-05
 8959.000000 -3.115958e-05 -3.540942e-07 -2.380989e-07 -3.139836e-07 7.342771e-05 2.800721e-04 -5.341376e-05 2.454188e-05
 8959.200000 -3.113590e-05 -3.545519e-07 -2.383531e-07 -3.140315e-07 7.699563e-05 2.603382e-04 -3.896762e-05 2.302627e-05
 8959.400000 -3.116567e-05 -3.536581e-07 -2.372119e-07 -3.140645e-07 6.981800e-05 2.803376e-04 -4.320249e-05 2.041908e-05
 8959.600000 -3.108955e-05 -3.541247e-07 -2.378986e-07 -3.134811e-07 6.643813e-05 2.837867e-04 -5.932363e-05 1.747869e-05
