# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6644195878984
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000488
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1649.997803
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370997
# Scan.uid: f0e97998-1910-4e91-99e8-aa24698c6e0b
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:39:35.551440
# Scan.end_time: 06/23/2023  04:40:08.703171
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 101.30000000000001
# SampleHeater.voltage.setpoint: 0.3136489258460687
# SampleHeater.voltage.readback: 0.325
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.457899e-05 -3.255138e-07 -2.158493e-07 -3.134274e-07 5.740639e-05 3.008127e-04 -1.061290e-05 2.970531e-05
 8784.000000 -3.463920e-05 -3.230854e-07 -2.140563e-07 -3.148208e-07 6.273790e-05 2.923882e-04 -1.285947e-05 5.309709e-05
 8789.000000 -3.462040e-05 -3.209012e-07 -2.126499e-07 -3.155694e-07 5.318213e-05 2.972410e-04 -2.116181e-05 7.527402e-05
 8794.000000 -3.450044e-05 -3.190444e-07 -2.116372e-07 -3.151483e-07 5.457249e-05 3.246077e-04 -1.643803e-05 6.179847e-05
 8799.000000 -3.405363e-05 -3.182185e-07 -2.114921e-07 -3.118695e-07 5.262940e-05 3.276024e-04 -1.948402e-05 3.912147e-05
 8804.000000 -3.434986e-05 -3.203615e-07 -2.132466e-07 -3.151625e-07 5.591307e-05 3.188534e-04 -1.762919e-05 3.636878e-05
 8809.000000 -3.430953e-05 -3.176409e-07 -2.114461e-07 -3.153614e-07 5.014748e-05 3.180053e-04 -1.801476e-05 3.720494e-05
 8814.000000 -3.411644e-05 -3.181501e-07 -2.118913e-07 -3.138924e-07 5.910225e-05 3.355773e-04 -1.116666e-05 3.702470e-05
 8819.000000 -3.411920e-05 -3.193911e-07 -2.128755e-07 -3.145909e-07 5.949808e-05 3.449995e-04 -1.317280e-05 4.223060e-05
 8824.000000 -3.406494e-05 -3.191717e-07 -2.129592e-07 -3.151949e-07 6.708553e-05 3.217215e-04 -1.007621e-05 4.613299e-05
 8829.000000 -3.395030e-05 -3.204572e-07 -2.140984e-07 -3.152491e-07 5.658830e-05 3.162719e-04 -1.547098e-05 3.515805e-05
 8834.000000 -3.388785e-05 -3.199059e-07 -2.136840e-07 -3.156823e-07 6.178715e-05 3.158799e-04 -2.697506e-05 4.578508e-05
 8839.000000 -3.375127e-05 -3.207592e-07 -2.143324e-07 -3.155263e-07 5.992818e-05 2.944950e-04 -2.402925e-05 5.578185e-05
 8844.000000 -3.365784e-05 -3.211168e-07 -2.146822e-07 -3.158213e-07 6.263142e-05 2.867823e-04 -2.573084e-05 3.933228e-05
 8849.000000 -3.357400e-05 -3.222740e-07 -2.157039e-07 -3.161695e-07 6.744877e-05 2.908586e-04 -2.807882e-05 3.386105e-05
 8854.000000 -3.340859e-05 -3.254250e-07 -2.180279e-07 -3.156720e-07 6.092764e-05 2.954276e-04 -3.544325e-05 2.819611e-05
 8859.000000 -3.333329e-05 -3.267286e-07 -2.189884e-07 -3.159954e-07 6.717985e-05 3.003210e-04 -2.765042e-05 2.783845e-05
 8864.000000 -3.327634e-05 -3.288438e-07 -2.205089e-07 -3.162285e-07 6.230417e-05 3.029139e-04 -2.814699e-05 3.174260e-05
 8869.000000 -3.296100e-05 -3.352111e-07 -2.251651e-07 -3.140323e-07 6.542692e-05 2.814182e-04 -2.468700e-05 2.740430e-05
 8874.000000 -3.273818e-05 -3.394677e-07 -2.280637e-07 -3.125850e-07 6.502186e-05 2.857609e-04 -2.206141e-05 2.509398e-05
 8879.000000 -3.275490e-05 -3.388658e-07 -2.277086e-07 -3.136718e-07 6.068901e-05 2.926645e-04 -2.670917e-05 3.303804e-05
 8884.000000 -3.264803e-05 -3.358749e-07 -2.258727e-07 -3.138660e-07 6.092823e-05 2.990395e-04 -2.417995e-05 4.146483e-05
 8889.000000 -3.248754e-05 -3.332475e-07 -2.242177e-07 -3.138364e-07 5.238177e-05 2.969416e-04 -1.436317e-05 4.487740e-05
 8894.000000 -3.265752e-05 -3.362107e-07 -2.262682e-07 -3.156692e-07 4.563459e-05 2.962779e-04 -2.414656e-05 3.727298e-05
 8899.000000 -3.238212e-05 -3.410555e-07 -2.296906e-07 -3.137061e-07 5.871628e-05 2.815958e-04 -1.699804e-05 3.190434e-05
 8904.000000 -3.226467e-05 -3.419897e-07 -2.304050e-07 -3.130659e-07 5.873616e-05 3.090608e-04 -1.338786e-05 2.798803e-05
 8909.000000 -3.216521e-05 -3.426225e-07 -2.307531e-07 -3.126050e-07 4.994413e-05 3.279510e-04 -2.075528e-05 3.128837e-05
 8914.000000 -3.200110e-05 -3.395692e-07 -2.285338e-07 -3.119888e-07 5.504874e-05 3.090772e-04 -2.869056e-05 3.022318e-05
 8919.000000 -3.194067e-05 -3.410758e-07 -2.299652e-07 -3.122399e-07 6.023645e-05 2.873483e-04 -2.928504e-05 2.946819e-05
 8924.000000 -3.181905e-05 -3.403776e-07 -2.295683e-07 -3.120992e-07 5.958601e-05 3.025708e-04 -3.001865e-05 2.954208e-05
 8929.000000 -3.184225e-05 -3.435060e-07 -2.317027e-07 -3.134818e-07 6.622981e-05 3.092220e-04 -2.753008e-05 3.184792e-05
 8934.000000 -3.171621e-05 -3.460027e-07 -2.333391e-07 -3.136015e-07 6.311025e-05 3.075653e-04 -1.519453e-05 3.197001e-05
 8939.000000 -3.149009e-05 -3.488473e-07 -2.352614e-07 -3.128103e-07 5.848200e-05 3.246276e-04 -1.938562e-05 4.111143e-05
 8944.000000 -3.143641e-05 -3.485782e-07 -2.351241e-07 -3.131547e-07 5.470892e-05 2.884338e-04 -1.071637e-05 4.362296e-05
 8949.000000 -3.132892e-05 -3.474125e-07 -2.341787e-07 -3.131749e-07 5.565431e-05 2.785080e-04 -2.116166e-05 4.447693e-05
 8953.000000 -3.120954e-05 -3.482190e-07 -2.345495e-07 -3.132897e-07 6.341802e-05 3.024892e-04 -2.493131e-05 3.964766e-05
 8956.000000 -3.116087e-05 -3.469768e-07 -2.334004e-07 -3.136208e-07 6.692602e-05 2.791295e-04 -3.436167e-05 4.396576e-05
 8958.000000 -3.109933e-05 -3.469316e-07 -2.332924e-07 -3.133807e-07 7.110951e-05 2.636306e-04 -3.215234e-05 4.030260e-05
 8959.000000 -3.111415e-05 -3.453635e-07 -2.321523e-07 -3.139134e-07 6.415723e-05 2.529558e-04 -2.797090e-05 4.127827e-05
 8959.200000 -3.111912e-05 -3.452678e-07 -2.320558e-07 -3.139428e-07 6.437838e-05 2.499100e-04 -2.938539e-05 3.663304e-05
 8959.400000 -3.112606e-05 -3.442862e-07 -2.311792e-07 -3.140810e-07 5.912782e-05 2.731045e-04 -2.352934e-05 4.157269e-05
 8959.600000 -3.109636e-05 -3.482824e-07 -2.339166e-07 -3.139236e-07 5.759508e-05 2.654774e-04 -1.941416e-05 4.723095e-05
 8959.800000 -3.105689e-05 -3.454759e-07 -2.321008e-07 -3.138803e-07 6.115699e-05 2.413953e-04 -2.686033e-05 4.500620e-05
 8960.000000 -3.097217e-05 -3.477042e-07 -2.338165e-07 -3.127870e-07 5.682201e-05 2.347905e-04 -3.280775e-05 4.985492e-05
