# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6268680751025
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1649.999756
# Detector.I2.voltage: -1650.000732
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371007
# Scan.uid: d2e197c0-e704-4296-81ad-42a74f0cd224
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:49:32.062038
# Scan.end_time: 06/23/2023  04:50:05.203580
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 124.45741911729176
# SampleHeater.temperature2.readback: 127.0
# SampleHeater.voltage.setpoint: 0.337680914124039
# SampleHeater.voltage.readback: 0.362
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.97
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.468103e-05 -3.379493e-07 -2.240178e-07 -3.135453e-07 5.998381e-05 2.444133e-04 -4.817372e-05 -7.014514e-06
 8784.000000 -3.476708e-05 -3.368318e-07 -2.234077e-07 -3.150294e-07 4.653347e-05 2.276430e-04 -3.561571e-05 3.620925e-06
 8789.000000 -3.465363e-05 -3.374098e-07 -2.238404e-07 -3.148381e-07 5.247008e-05 2.239345e-04 -3.081911e-05 5.586897e-06
 8794.000000 -3.458808e-05 -3.338179e-07 -2.217394e-07 -3.151504e-07 5.605347e-05 2.147137e-04 -3.582903e-05 -6.723805e-06
 8799.000000 -3.402202e-05 -3.346395e-07 -2.225134e-07 -3.107294e-07 5.506171e-05 1.851030e-04 -3.117178e-05 -4.327970e-06
 8804.000000 -3.424142e-05 -3.402709e-07 -2.264569e-07 -3.130101e-07 5.087825e-05 2.051689e-04 -4.375652e-05 -3.901837e-06
 8809.000000 -3.425783e-05 -3.371426e-07 -2.243668e-07 -3.137829e-07 5.051053e-05 2.139203e-04 -4.115418e-05 -1.524801e-05
 8814.000000 -3.410547e-05 -3.329505e-07 -2.216838e-07 -3.128422e-07 5.862371e-05 2.319207e-04 -4.561861e-05 -6.395862e-06
 8819.000000 -3.414086e-05 -3.324166e-07 -2.215575e-07 -3.137030e-07 6.050472e-05 2.044275e-04 -3.282970e-05 8.780156e-07
 8824.000000 -3.403659e-05 -3.339948e-07 -2.226824e-07 -3.136557e-07 6.477695e-05 1.798470e-04 -2.707807e-05 3.034653e-06
 8829.000000 -3.397214e-05 -3.331718e-07 -2.221535e-07 -3.140665e-07 6.775326e-05 1.805441e-04 -2.607512e-05 1.645308e-06
 8834.000000 -3.384366e-05 -3.349403e-07 -2.236892e-07 -3.137243e-07 6.488194e-05 1.799918e-04 -3.625489e-05 -9.480110e-06
 8839.000000 -3.378732e-05 -3.342881e-07 -2.234530e-07 -3.142634e-07 7.225047e-05 1.765903e-04 -2.740095e-05 4.286383e-06
 8844.000000 -3.367548e-05 -3.324351e-07 -2.223887e-07 -3.146215e-07 6.923654e-05 1.827097e-04 -4.364813e-05 1.186669e-05
 8849.000000 -3.350581e-05 -3.343270e-07 -2.238356e-07 -3.143990e-07 7.401796e-05 1.866358e-04 -4.279384e-05 2.338350e-06
 8854.000000 -3.352912e-05 -3.309944e-07 -2.217026e-07 -3.157154e-07 7.236413e-05 1.756195e-04 -4.309828e-05 1.386133e-06
 8859.000000 -3.345150e-05 -3.307395e-07 -2.215099e-07 -3.162245e-07 6.476252e-05 1.795299e-04 -4.605159e-05 8.855894e-06
 8864.000000 -3.334964e-05 -3.320402e-07 -2.226259e-07 -3.164027e-07 6.871681e-05 1.840312e-04 -5.238512e-05 1.116774e-05
 8869.000000 -3.317260e-05 -3.350536e-07 -2.247201e-07 -3.156255e-07 6.811378e-05 1.847996e-04 -5.835499e-05 1.390042e-05
 8874.000000 -3.293452e-05 -3.394565e-07 -2.280677e-07 -3.140379e-07 6.103121e-05 2.016148e-04 -5.187668e-05 7.805720e-06
 8879.000000 -3.291631e-05 -3.369521e-07 -2.262463e-07 -3.149126e-07 5.647311e-05 1.765550e-04 -5.489630e-05 1.515070e-05
 8884.000000 -3.264617e-05 -3.381572e-07 -2.271026e-07 -3.136815e-07 6.025713e-05 1.793556e-04 -5.078659e-05 1.276738e-05
 8889.000000 -3.238350e-05 -3.390647e-07 -2.277527e-07 -3.124855e-07 6.057514e-05 2.058905e-04 -3.796351e-05 1.702025e-05
 8894.000000 -3.259072e-05 -3.419462e-07 -2.301172e-07 -3.146071e-07 5.477353e-05 2.011641e-04 -5.085203e-05 2.261791e-05
 8899.000000 -3.256963e-05 -3.418409e-07 -2.302146e-07 -3.151083e-07 6.355527e-05 1.855766e-04 -4.905470e-05 1.691470e-05
 8904.000000 -3.247307e-05 -3.421851e-07 -2.306139e-07 -3.147548e-07 5.593225e-05 2.080386e-04 -5.320078e-05 9.170157e-06
 8909.000000 -3.235045e-05 -3.426351e-07 -2.308963e-07 -3.141303e-07 5.535398e-05 2.238172e-04 -4.981074e-05 6.835898e-06
 8914.000000 -3.209276e-05 -3.432593e-07 -2.314999e-07 -3.122657e-07 6.863965e-05 2.145595e-04 -4.549999e-05 1.159705e-05
 8919.000000 -3.200146e-05 -3.461289e-07 -2.334416e-07 -3.121717e-07 6.928588e-05 2.044085e-04 -4.750580e-05 6.831204e-06
 8924.000000 -3.184770e-05 -3.466542e-07 -2.337669e-07 -3.116870e-07 6.427254e-05 2.017303e-04 -3.938321e-05 -3.071177e-06
 8929.000000 -3.182773e-05 -3.520650e-07 -2.375707e-07 -3.128669e-07 5.488935e-05 1.928525e-04 -4.641066e-05 -8.157970e-06
 8934.000000 -3.172352e-05 -3.548914e-07 -2.396422e-07 -3.130880e-07 5.752052e-05 1.689716e-04 -5.074215e-05 -4.453426e-06
 8939.000000 -3.167970e-05 -3.540693e-07 -2.390246e-07 -3.134986e-07 5.539511e-05 1.576293e-04 -4.762777e-05 -3.265210e-06
 8944.000000 -3.151589e-05 -3.569400e-07 -2.407963e-07 -3.127680e-07 5.903621e-05 1.661608e-04 -5.282874e-05 -3.972595e-06
 8949.000000 -3.137431e-05 -3.580381e-07 -2.413003e-07 -3.128559e-07 5.499274e-05 1.578496e-04 -4.795183e-05 -8.103422e-06
 8953.000000 -3.129276e-05 -3.590656e-07 -2.419493e-07 -3.131236e-07 5.161528e-05 1.580800e-04 -3.986248e-05 -5.510969e-06
 8956.000000 -3.122729e-05 -3.577840e-07 -2.406826e-07 -3.133100e-07 4.690458e-05 1.691040e-04 -3.543488e-05 -4.469255e-06
 8958.000000 -3.115392e-05 -3.587731e-07 -2.413205e-07 -3.130447e-07 4.658799e-05 1.723166e-04 -2.673080e-05 -9.708911e-06
 8959.000000 -3.104776e-05 -3.610371e-07 -2.427309e-07 -3.121184e-07 4.025345e-05 2.033026e-04 -1.317407e-05 -2.508542e-06
 8959.200000 -3.100313e-05 -3.631780e-07 -2.442084e-07 -3.115784e-07 4.022352e-05 1.976666e-04 -2.242059e-06 2.425175e-06
 8959.400000 -3.105687e-05 -3.616205e-07 -2.431027e-07 -3.122478e-07 3.415092e-05 2.029433e-04 -1.994570e-05 -5.248130e-06
 8959.600000 -3.114411e-05 -3.591784e-07 -2.415101e-07 -3.133145e-07 4.323186e-05 2.432369e-04 -3.017317e-05 -1.175054e-05
