# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.35060310595475
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999634
# Detector.I1.voltage: -1649.999512
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371009
# Scan.uid: 23170120-3f5f-40fb-be6a-80ae4f214db0
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:51:31.536454
# Scan.end_time: 06/23/2023  04:52:04.863256
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 134.4177303512891
# SampleHeater.temperature2.readback: 134.70000000000002
# SampleHeater.voltage.setpoint: 0.41012384398239365
# SampleHeater.voltage.readback: 0.41600000000000004
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.463889e-05 -3.379205e-07 -2.240505e-07 -3.134185e-07 4.851225e-05 8.499398e-05 -1.403439e-05 -1.167368e-06
 8784.000000 -3.480509e-05 -3.374177e-07 -2.238461e-07 -3.153878e-07 4.679782e-05 7.976665e-05 -1.410188e-05 7.214782e-07
 8789.000000 -3.478650e-05 -3.365265e-07 -2.233584e-07 -3.158871e-07 4.916153e-05 5.630210e-05 -1.556031e-05 -9.961310e-07
 8794.000000 -3.454432e-05 -3.378332e-07 -2.244294e-07 -3.145886e-07 5.437340e-05 7.207513e-05 -1.132664e-05 -3.182760e-06
 8799.000000 -3.418456e-05 -3.336172e-07 -2.217487e-07 -3.119952e-07 5.386486e-05 6.522916e-05 -1.593099e-05 1.953817e-05
 8804.000000 -3.455208e-05 -3.343343e-07 -2.224107e-07 -3.157151e-07 4.845681e-05 6.506456e-05 -1.359809e-05 5.493927e-05
 8809.000000 -3.446201e-05 -3.338593e-07 -2.222034e-07 -3.156487e-07 5.687725e-05 5.610450e-05 -1.236421e-05 5.980452e-05
 8814.000000 -3.427119e-05 -3.326967e-07 -2.216767e-07 -3.141901e-07 5.933726e-05 7.461554e-05 -1.245606e-05 4.311180e-05
 8819.000000 -3.425425e-05 -3.329577e-07 -2.219533e-07 -3.149011e-07 6.288881e-05 5.657256e-05 -7.661106e-06 5.868907e-06
 8824.000000 -3.421205e-05 -3.341545e-07 -2.230546e-07 -3.153330e-07 7.026280e-05 5.391948e-05 -7.077563e-06 5.657740e-06
 8829.000000 -3.416727e-05 -3.327913e-07 -2.220073e-07 -3.159815e-07 6.365722e-05 8.074576e-05 -2.352581e-05 -3.193497e-06
 8834.000000 -3.406929e-05 -3.335807e-07 -2.228254e-07 -3.162639e-07 5.859176e-05 9.243726e-05 -2.360724e-05 1.174581e-06
 8839.000000 -3.395847e-05 -3.339604e-07 -2.232096e-07 -3.165243e-07 6.393241e-05 8.014054e-05 -1.707174e-05 3.560642e-06
 8844.000000 -3.385840e-05 -3.332860e-07 -2.229027e-07 -3.169654e-07 5.436839e-05 7.777588e-05 -4.813871e-06 1.085893e-06
 8849.000000 -3.374089e-05 -3.342090e-07 -2.234922e-07 -3.169371e-07 5.728649e-05 7.652445e-05 -6.732655e-06 -3.806659e-06
 8854.000000 -3.357885e-05 -3.364877e-07 -2.253544e-07 -3.163918e-07 5.434625e-05 7.000820e-05 -8.779372e-06 1.787046e-06
 8859.000000 -3.349394e-05 -3.357538e-07 -2.250327e-07 -3.168781e-07 5.244607e-05 7.942956e-05 -4.846472e-06 1.652491e-05
 8864.000000 -3.344043e-05 -3.349402e-07 -2.248195e-07 -3.173378e-07 5.476910e-05 8.944427e-05 -5.458740e-06 2.757863e-05
 8869.000000 -3.331770e-05 -3.356532e-07 -2.254215e-07 -3.169216e-07 6.106523e-05 1.002538e-04 3.187662e-06 2.666859e-05
 8874.000000 -3.317728e-05 -3.382301e-07 -2.273347e-07 -3.162061e-07 6.472554e-05 1.007547e-04 -6.029029e-06 2.157665e-05
 8879.000000 -3.305695e-05 -3.392288e-07 -2.280780e-07 -3.159196e-07 6.405411e-05 1.354394e-04 -2.993766e-06 1.805035e-05
 8884.000000 -3.280876e-05 -3.395337e-07 -2.283101e-07 -3.148651e-07 6.545080e-05 1.382303e-04 -2.949888e-06 1.296383e-05
 8889.000000 -3.244335e-05 -3.428449e-07 -2.306567e-07 -3.128144e-07 6.365883e-05 1.253573e-04 1.034239e-06 2.231128e-05
 8894.000000 -3.270233e-05 -3.449970e-07 -2.322450e-07 -3.155586e-07 5.966357e-05 1.037407e-04 -4.167463e-07 1.405918e-05
 8899.000000 -3.262066e-05 -3.458886e-07 -2.330978e-07 -3.154398e-07 6.185939e-05 8.458674e-05 -2.150645e-06 1.123967e-05
 8904.000000 -3.246359e-05 -3.478574e-07 -2.342916e-07 -3.147697e-07 5.495112e-05 8.377078e-05 -1.048471e-05 1.220376e-05
 8909.000000 -3.238707e-05 -3.476930e-07 -2.341917e-07 -3.145706e-07 5.983529e-05 1.071836e-04 -1.518312e-05 1.912099e-05
 8914.000000 -3.213393e-05 -3.479993e-07 -2.345855e-07 -3.125652e-07 6.285547e-05 1.181516e-04 -1.138909e-05 6.688441e-06
 8919.000000 -3.209325e-05 -3.488730e-07 -2.353836e-07 -3.130066e-07 6.638970e-05 1.160120e-04 -6.853677e-06 1.243697e-05
 8924.000000 -3.192862e-05 -3.514177e-07 -2.373020e-07 -3.121947e-07 6.789515e-05 9.800971e-05 -9.243628e-06 8.419276e-06
 8929.000000 -3.191851e-05 -3.559249e-07 -2.403051e-07 -3.132183e-07 6.124527e-05 1.052640e-04 -1.169254e-05 1.234558e-05
 8934.000000 -3.182330e-05 -3.575400e-07 -2.411646e-07 -3.136967e-07 5.407774e-05 1.169872e-04 -2.153920e-05 1.471726e-05
 8939.000000 -3.166424e-05 -3.581804e-07 -2.416770e-07 -3.135604e-07 6.320944e-05 1.232134e-04 -1.825691e-05 7.573769e-06
 8944.000000 -3.152403e-05 -3.581169e-07 -2.415665e-07 -3.133530e-07 6.304035e-05 1.276329e-04 -2.430460e-05 7.349008e-06
 8949.000000 -3.141546e-05 -3.576935e-07 -2.413063e-07 -3.133171e-07 6.300145e-05 1.128285e-04 -1.926978e-05 1.917123e-05
 8953.000000 -3.131323e-05 -3.582733e-07 -2.413614e-07 -3.134370e-07 5.799775e-05 1.216647e-04 -2.326996e-05 1.270421e-05
 8956.000000 -3.126580e-05 -3.579168e-07 -2.409449e-07 -3.136619e-07 6.473962e-05 1.631350e-04 -2.779165e-05 8.771616e-06
 8958.000000 -3.119032e-05 -3.586025e-07 -2.410028e-07 -3.134517e-07 5.834320e-05 1.558511e-04 -3.741676e-05 1.019882e-05
 8959.000000 -3.118126e-05 -3.578682e-07 -2.403974e-07 -3.136982e-07 5.682143e-05 1.455276e-04 -3.740759e-05 7.045821e-06
 8959.200000 -3.124710e-05 -3.545376e-07 -2.379865e-07 -3.142745e-07 6.600100e-05 1.621416e-04 -3.866879e-05 9.017651e-06
 8959.400000 -3.124636e-05 -3.562882e-07 -2.391481e-07 -3.143772e-07 6.565464e-05 1.435612e-04 -3.022495e-05 1.122911e-05
 8959.600000 -3.123294e-05 -3.568023e-07 -2.397253e-07 -3.144882e-07 5.853529e-05 1.528320e-04 -3.296505e-05 8.303557e-06
