# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.45940493626324
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.00293
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.000244
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371011
# Scan.uid: 55b4b7ae-2ed6-4e0a-8a8e-46ece4383723
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:53:30.530161
# Scan.end_time: 06/23/2023  04:54:04.674814
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 144.34150272607803
# SampleHeater.temperature2.readback: 145.8
# SampleHeater.voltage.setpoint: 0.39290891547337375
# SampleHeater.voltage.readback: 0.496
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.93
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.467449e-05 -3.410190e-07 -2.260064e-07 -3.133067e-07 4.234222e-05 1.653968e-04 -1.781135e-05 3.720969e-07
 8784.000000 -3.470977e-05 -3.404489e-07 -2.257598e-07 -3.143812e-07 4.063616e-05 1.476150e-04 -2.119361e-05 7.626236e-06
 8789.000000 -3.468455e-05 -3.382331e-07 -2.245045e-07 -3.147739e-07 4.422787e-05 1.615734e-04 -2.620066e-05 1.796942e-05
 8794.000000 -3.455959e-05 -3.350914e-07 -2.226895e-07 -3.145774e-07 4.963838e-05 1.608284e-04 -1.827653e-05 1.598985e-05
 8799.000000 -3.415339e-05 -3.302846e-07 -2.195324e-07 -3.116877e-07 4.610244e-05 2.013169e-04 -1.980483e-05 9.291663e-06
 8804.000000 -3.435643e-05 -3.347682e-07 -2.224472e-07 -3.138766e-07 4.255954e-05 1.918793e-04 -2.315855e-05 1.711638e-05
 8809.000000 -3.433691e-05 -3.337325e-07 -2.219520e-07 -3.143161e-07 3.832697e-05 1.693537e-04 -2.415804e-05 1.329131e-05
 8814.000000 -3.392081e-05 -3.379811e-07 -2.252191e-07 -3.110245e-07 4.510378e-05 1.578201e-04 -2.378612e-05 5.432573e-06
 8819.000000 -3.402973e-05 -3.373869e-07 -2.249420e-07 -3.127099e-07 4.929258e-05 1.806643e-04 -2.963438e-05 1.037483e-05
 8824.000000 -3.403187e-05 -3.378485e-07 -2.255067e-07 -3.136290e-07 4.768288e-05 1.982876e-04 -3.174011e-05 1.448801e-05
 8829.000000 -3.395179e-05 -3.398338e-07 -2.268879e-07 -3.138647e-07 4.766565e-05 1.632306e-04 -3.084025e-05 6.184569e-06
 8834.000000 -3.399382e-05 -3.371440e-07 -2.252181e-07 -3.155025e-07 5.106019e-05 1.619639e-04 -2.827553e-05 6.073510e-06
 8839.000000 -3.389166e-05 -3.392042e-07 -2.268108e-07 -3.155443e-07 5.189107e-05 1.566851e-04 -2.858094e-05 5.291583e-06
 8844.000000 -3.374872e-05 -3.406011e-07 -2.281653e-07 -3.155157e-07 5.161477e-05 1.761392e-04 -3.588461e-05 9.549279e-06
 8849.000000 -3.363457e-05 -3.425267e-07 -2.297173e-07 -3.155457e-07 5.664038e-05 1.762705e-04 -3.020628e-05 1.032724e-05
 8854.000000 -3.352701e-05 -3.437520e-07 -2.305174e-07 -3.157324e-07 6.381367e-05 1.757247e-04 -2.548548e-05 -4.953175e-07
 8859.000000 -3.329522e-05 -3.468917e-07 -2.326521e-07 -3.147204e-07 6.532178e-05 1.666343e-04 -3.499158e-05 1.008161e-05
 8864.000000 -3.334667e-05 -3.447944e-07 -2.312385e-07 -3.161514e-07 6.853235e-05 1.756952e-04 -5.189006e-05 2.165432e-06
 8869.000000 -3.329047e-05 -3.445311e-07 -2.312350e-07 -3.163531e-07 5.906459e-05 1.801452e-04 -4.073919e-05 4.172178e-06
 8874.000000 -3.319091e-05 -3.449819e-07 -2.316669e-07 -3.162947e-07 5.415732e-05 1.596959e-04 -3.725014e-05 -2.746831e-06
 8879.000000 -3.308754e-05 -3.457962e-07 -2.322406e-07 -3.162721e-07 3.985879e-05 1.251007e-04 -4.286942e-05 -1.471568e-05
 8884.000000 -3.284699e-05 -3.469219e-07 -2.331923e-07 -3.151817e-07 4.610357e-05 1.325065e-04 -3.843579e-05 -1.563115e-05
 8889.000000 -3.257381e-05 -3.488503e-07 -2.347932e-07 -3.138667e-07 5.042532e-05 1.451916e-04 -3.311462e-05 -1.362496e-05
 8894.000000 -3.266044e-05 -3.543890e-07 -2.386677e-07 -3.149369e-07 4.797216e-05 1.362512e-04 -2.932971e-05 -1.323277e-05
 8899.000000 -3.263659e-05 -3.527851e-07 -2.377756e-07 -3.153905e-07 5.585810e-05 1.324637e-04 -3.537472e-05 -1.734065e-05
 8904.000000 -3.254825e-05 -3.522569e-07 -2.375579e-07 -3.151476e-07 6.681888e-05 1.101307e-04 -4.060807e-05 -1.112330e-05
 8909.000000 -3.237212e-05 -3.542556e-07 -2.389696e-07 -3.140274e-07 6.668792e-05 1.178291e-04 -3.470698e-05 5.367609e-07
 8914.000000 -3.213141e-05 -3.527028e-07 -2.377786e-07 -3.123316e-07 6.935948e-05 1.326743e-04 -3.127999e-05 4.517578e-06
 8919.000000 -3.202988e-05 -3.552302e-07 -2.394581e-07 -3.122727e-07 6.671322e-05 1.463306e-04 -3.123352e-05 -3.181870e-06
 8924.000000 -3.179978e-05 -3.570814e-07 -2.408191e-07 -3.111286e-07 5.728862e-05 1.403088e-04 -2.489654e-05 4.171538e-07
 8929.000000 -3.184055e-05 -3.582301e-07 -2.416680e-07 -3.129010e-07 5.370190e-05 1.269779e-04 -2.233059e-05 6.410750e-06
 8934.000000 -3.181702e-05 -3.584044e-07 -2.417329e-07 -3.139104e-07 4.939128e-05 1.162030e-04 -1.940148e-05 1.015515e-05
 8939.000000 -3.168317e-05 -3.609831e-07 -2.436271e-07 -3.136655e-07 5.413426e-05 1.102967e-04 -1.341795e-05 1.058864e-05
 8944.000000 -3.156322e-05 -3.614917e-07 -2.438201e-07 -3.134507e-07 5.824950e-05 1.075591e-04 -3.145278e-05 2.555116e-05
 8949.000000 -3.143963e-05 -3.635273e-07 -2.451274e-07 -3.134693e-07 4.373631e-05 1.173999e-04 -3.017510e-05 1.749320e-05
 8953.000000 -3.132590e-05 -3.649203e-07 -2.458692e-07 -3.133235e-07 4.693657e-05 1.476676e-04 -3.378837e-05 1.479925e-05
 8956.000000 -3.121090e-05 -3.656536e-07 -2.461958e-07 -3.130213e-07 4.778264e-05 1.339376e-04 -4.060959e-05 1.383613e-05
 8958.000000 -3.112369e-05 -3.658556e-07 -2.462228e-07 -3.128652e-07 3.988918e-05 1.297071e-04 -3.708565e-05 7.088811e-06
 8959.000000 -3.106841e-05 -3.661216e-07 -2.461463e-07 -3.127711e-07 4.026511e-05 1.381003e-04 -2.936911e-05 1.142057e-05
 8959.200000 -3.122682e-05 -3.635324e-07 -2.443260e-07 -3.144226e-07 3.778316e-05 1.409114e-04 -2.705552e-05 1.772340e-05
 8959.400000 -3.126422e-05 -3.614608e-07 -2.426299e-07 -3.149222e-07 3.431447e-05 1.484142e-04 -3.071647e-05 1.707456e-05
 8959.600000 -3.121827e-05 -3.622577e-07 -2.427949e-07 -3.145137e-07 3.261930e-05 1.488102e-04 -3.383356e-05 1.565298e-05
