# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.01612769533966
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002075
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.001709
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371013
# Scan.uid: 6455de8e-e030-406d-ba41-13befa62dcdb
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  04:55:31.998240
# Scan.end_time: 06/23/2023  04:56:04.331245
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 154.459291378657
# SampleHeater.temperature2.readback: 156.3
# SampleHeater.voltage.setpoint: 0.41660762365718973
# SampleHeater.voltage.readback: 0.427
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.97
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.445466e-05 -3.276047e-07 -2.171574e-07 -3.132379e-07 6.346127e-05 5.501541e-05 -1.988917e-05 1.422559e-05
 8784.000000 -3.457979e-05 -3.250641e-07 -2.154299e-07 -3.153408e-07 6.344359e-05 4.959843e-05 -1.950845e-05 1.579079e-05
 8789.000000 -3.456423e-05 -3.235193e-07 -2.147228e-07 -3.160775e-07 6.045163e-05 2.356319e-05 -2.935710e-05 1.869623e-05
 8794.000000 -3.442275e-05 -3.218923e-07 -2.137620e-07 -3.155657e-07 5.760585e-05 3.164183e-05 -2.729232e-05 1.133114e-05
 8799.000000 -3.399705e-05 -3.210524e-07 -2.133636e-07 -3.123645e-07 5.343561e-05 1.174514e-05 -3.396379e-05 2.001830e-05
 8804.000000 -3.431643e-05 -3.224542e-07 -2.145262e-07 -3.158631e-07 6.936546e-05 -5.748575e-06 -3.151178e-05 1.300396e-05
 8809.000000 -3.415481e-05 -3.258810e-07 -2.168222e-07 -3.147619e-07 7.666068e-05 -1.630004e-05 -2.748671e-05 1.723507e-05
 8814.000000 -3.405122e-05 -3.222509e-07 -2.144119e-07 -3.142259e-07 7.613260e-05 -3.162817e-05 -3.734257e-05 1.400141e-05
 8819.000000 -3.403769e-05 -3.252278e-07 -2.165284e-07 -3.146708e-07 7.847839e-05 -3.832872e-05 -5.523911e-05 4.355899e-05
 8824.000000 -3.402146e-05 -3.246661e-07 -2.165107e-07 -3.153058e-07 7.294416e-05 -3.076840e-05 -4.819138e-05 5.653744e-05
 8829.000000 -3.392864e-05 -3.250022e-07 -2.170369e-07 -3.154408e-07 7.326751e-05 -1.904125e-05 -4.430722e-05 5.524183e-05
 8834.000000 -3.382693e-05 -3.254477e-07 -2.176268e-07 -3.157521e-07 7.463421e-05 -3.306719e-05 -4.541583e-05 6.195990e-05
 8839.000000 -3.372622e-05 -3.245903e-07 -2.169506e-07 -3.159495e-07 7.292045e-05 -4.268643e-05 -5.216127e-05 5.859135e-05
 8844.000000 -3.358602e-05 -3.242421e-07 -2.168551e-07 -3.156622e-07 8.173621e-05 -3.258751e-05 -4.763895e-05 2.461146e-05
 8849.000000 -3.341091e-05 -3.262830e-07 -2.183521e-07 -3.152468e-07 7.316146e-05 -2.053662e-05 -3.412775e-05 1.972544e-05
 8854.000000 -3.330548e-05 -3.266990e-07 -2.189098e-07 -3.153648e-07 7.063540e-05 -2.374127e-05 -3.178650e-05 2.506579e-05
 8859.000000 -3.327080e-05 -3.257642e-07 -2.182633e-07 -3.161045e-07 6.991999e-05 -2.965192e-05 -2.529399e-05 2.052774e-05
 8864.000000 -3.317602e-05 -3.273394e-07 -2.196728e-07 -3.162422e-07 6.491250e-05 -2.748723e-05 -2.823980e-05 1.906270e-05
 8869.000000 -3.312344e-05 -3.269872e-07 -2.194431e-07 -3.166206e-07 6.343297e-05 -3.939905e-05 -3.895768e-05 1.969868e-05
 8874.000000 -3.297554e-05 -3.294555e-07 -2.211893e-07 -3.161028e-07 6.850778e-05 -1.254187e-05 -3.606403e-05 1.594897e-05
 8879.000000 -3.284077e-05 -3.305574e-07 -2.219264e-07 -3.157630e-07 7.179194e-05 -1.752091e-05 -3.720497e-05 8.195812e-06
 8884.000000 -3.259559e-05 -3.291365e-07 -2.210900e-07 -3.146243e-07 6.893721e-05 -3.394868e-05 -3.544325e-05 1.378784e-05
 8889.000000 -3.240698e-05 -3.289643e-07 -2.212119e-07 -3.142253e-07 7.531100e-05 -4.113911e-05 -4.362231e-05 1.579021e-05
 8894.000000 -3.257878e-05 -3.329648e-07 -2.242589e-07 -3.160041e-07 7.828729e-05 -4.295840e-05 -4.190306e-05 1.737021e-05
 8899.000000 -3.247489e-05 -3.350981e-07 -2.256901e-07 -3.158795e-07 7.620402e-05 -3.789867e-05 -4.691096e-05 1.174993e-05
 8904.000000 -3.235162e-05 -3.368598e-07 -2.267788e-07 -3.153341e-07 7.247118e-05 -2.158571e-05 -5.134545e-05 1.120058e-05
 8909.000000 -3.222887e-05 -3.377323e-07 -2.274661e-07 -3.146370e-07 6.866664e-05 -3.811919e-05 -4.535960e-05 1.349393e-05
 8914.000000 -3.200078e-05 -3.375855e-07 -2.276089e-07 -3.130416e-07 7.251456e-05 -4.560783e-06 -5.052142e-05 1.066015e-05
 8919.000000 -3.189250e-05 -3.399188e-07 -2.293342e-07 -3.128532e-07 6.970635e-05 4.261690e-06 -4.458915e-05 1.134257e-05
 8924.000000 -3.171259e-05 -3.401539e-07 -2.294936e-07 -3.123666e-07 7.312602e-05 -1.351619e-05 -3.221125e-05 1.318474e-05
 8929.000000 -3.175601e-05 -3.420146e-07 -2.306829e-07 -3.141004e-07 7.331356e-05 -1.993390e-05 -2.842458e-05 2.079176e-05
 8934.000000 -3.164873e-05 -3.441675e-07 -2.319721e-07 -3.142739e-07 7.327562e-05 2.642398e-07 -1.768114e-05 1.856695e-05
 8939.000000 -3.153689e-05 -3.437711e-07 -2.319121e-07 -3.143971e-07 7.902471e-05 -8.967647e-06 -1.301832e-05 1.837925e-05
 8944.000000 -3.128864e-05 -3.481003e-07 -2.349383e-07 -3.128580e-07 7.916020e-05 8.029117e-06 -1.297867e-05 3.016200e-05
 8949.000000 -3.117604e-05 -3.500390e-07 -2.360337e-07 -3.127772e-07 7.149109e-05 1.683568e-05 -7.439345e-06 6.117614e-05
 8953.000000 -3.109326e-05 -3.532384e-07 -2.380055e-07 -3.128020e-07 7.172789e-05 -1.008381e-08 -6.245433e-06 5.211618e-05
 8956.000000 -3.103206e-05 -3.526902e-07 -2.372097e-07 -3.129769e-07 7.122805e-05 1.460848e-07 -1.663739e-05 2.725512e-05
 8958.000000 -3.100451e-05 -3.514277e-07 -2.361658e-07 -3.133404e-07 6.851234e-05 2.775234e-05 -2.108825e-05 1.562122e-05
 8959.000000 -3.105880e-05 -3.494825e-07 -2.346674e-07 -3.141442e-07 6.800494e-05 5.180956e-05 -3.083625e-05 1.952509e-05
 8959.200000 -3.105601e-05 -3.496605e-07 -2.347680e-07 -3.141735e-07 6.423812e-05 6.280617e-05 -2.859870e-05 2.347655e-05
 8959.400000 -3.105039e-05 -3.493215e-07 -2.346887e-07 -3.141669e-07 5.849312e-05 8.015342e-05 -2.298469e-05 2.554436e-05
 8959.600000 -3.106262e-05 -3.498132e-07 -2.349752e-07 -3.138850e-07 6.438064e-05 6.515831e-05 -2.616944e-05 2.005541e-05
