# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.46798999320043
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001587
# Detector.I1.voltage: -1650.002441
# Detector.I2.voltage: -1649.999023
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371025
# Scan.uid: 9b0f2af0-4718-40b0-b3ee-70ec79ce6227
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:07:31.498124
# Scan.end_time: 06/23/2023  05:08:05.583493
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 200.20000000000002
# SampleHeater.voltage.setpoint: 0.5122420688421164
# SampleHeater.voltage.readback: 0.52
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.22
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.476972e-05 -3.418057e-07 -2.267465e-07 -3.150460e-07 2.619939e-05 -1.034430e-04 -5.577958e-05 3.500700e-06
 8784.000000 -3.488225e-05 -3.387140e-07 -2.248676e-07 -3.166969e-07 2.735130e-05 -1.301481e-04 -4.493765e-05 3.675979e-06
 8789.000000 -3.487007e-05 -3.359933e-07 -2.231152e-07 -3.173777e-07 2.446937e-05 -1.389585e-04 -4.959685e-05 4.001576e-06
 8794.000000 -3.472522e-05 -3.351662e-07 -2.227145e-07 -3.169512e-07 2.673939e-05 -1.243652e-04 -5.299242e-05 3.584703e-06
 8799.000000 -3.431171e-05 -3.328402e-07 -2.212110e-07 -3.140947e-07 2.624988e-05 -1.084929e-04 -5.646527e-05 2.575550e-06
 8804.000000 -3.462609e-05 -3.372736e-07 -2.240977e-07 -3.173069e-07 2.772869e-05 -1.310796e-04 -4.685559e-05 6.111211e-06
 8809.000000 -3.451804e-05 -3.394932e-07 -2.259469e-07 -3.167699e-07 2.640448e-05 -1.224211e-04 -4.760569e-05 7.911922e-07
 8814.000000 -3.429804e-05 -3.403135e-07 -2.267748e-07 -3.155388e-07 2.568709e-05 -9.843765e-05 -4.996684e-05 6.966320e-07
 8819.000000 -3.431006e-05 -3.414977e-07 -2.277651e-07 -3.162666e-07 1.265130e-05 -9.386249e-05 -5.888085e-05 -6.245694e-07
 8824.000000 -3.432145e-05 -3.406079e-07 -2.272374e-07 -3.170192e-07 2.240528e-05 -1.029839e-04 -5.916932e-05 2.145455e-06
 8829.000000 -3.427181e-05 -3.392847e-07 -2.266551e-07 -3.176045e-07 2.080017e-05 -9.659859e-05 -6.043632e-05 -2.703469e-06
 8834.000000 -3.415564e-05 -3.405299e-07 -2.274568e-07 -3.175614e-07 2.846144e-05 -9.792826e-05 -5.924624e-05 1.663292e-06
 8839.000000 -3.401033e-05 -3.415595e-07 -2.282342e-07 -3.173393e-07 2.360420e-05 -1.250741e-04 -5.505760e-05 8.472748e-06
 8844.000000 -3.380483e-05 -3.433229e-07 -2.295125e-07 -3.168430e-07 3.124025e-05 -1.166676e-04 -4.800700e-05 1.519540e-05
 8849.000000 -3.377031e-05 -3.418846e-07 -2.287750e-07 -3.175503e-07 3.652190e-05 -1.294398e-04 -4.109862e-05 1.831678e-05
 8854.000000 -3.365592e-05 -3.421539e-07 -2.291487e-07 -3.175827e-07 4.464372e-05 -1.410928e-04 -4.366421e-05 1.002583e-05
 8859.000000 -3.359361e-05 -3.424385e-07 -2.294767e-07 -3.180644e-07 4.652673e-05 -1.286106e-04 -4.330578e-05 3.305437e-06
 8864.000000 -3.349713e-05 -3.436600e-07 -2.304222e-07 -3.183714e-07 3.543170e-05 -1.318950e-04 -4.963956e-05 5.266687e-06
 8869.000000 -3.332790e-05 -3.469648e-07 -2.328391e-07 -3.176005e-07 2.772667e-05 -1.329242e-04 -4.791744e-05 1.919175e-07
 8874.000000 -3.305957e-05 -3.519703e-07 -2.365576e-07 -3.158836e-07 4.264753e-05 -1.356585e-04 -4.546767e-05 2.743383e-06
 8879.000000 -3.309399e-05 -3.487325e-07 -2.343669e-07 -3.172806e-07 3.841924e-05 -1.497675e-04 -4.729229e-05 2.296637e-06
 8884.000000 -3.293846e-05 -3.468090e-07 -2.331563e-07 -3.168364e-07 3.090650e-05 -1.278657e-04 -5.346320e-05 3.619286e-06
 8889.000000 -3.267457e-05 -3.474109e-07 -2.335459e-07 -3.157566e-07 2.957611e-05 -1.483993e-04 -5.791049e-05 8.070761e-06
 8894.000000 -3.282051e-05 -3.510884e-07 -2.361791e-07 -3.172917e-07 1.884414e-05 -1.673518e-04 -6.830701e-05 -5.834648e-07
 8899.000000 -3.271544e-05 -3.521348e-07 -2.369138e-07 -3.170173e-07 2.548157e-05 -1.337116e-04 -6.589446e-05 2.173139e-07
 8904.000000 -3.258351e-05 -3.539445e-07 -2.383487e-07 -3.162416e-07 2.814750e-05 -1.211467e-04 -5.777075e-05 -7.175514e-06
 8909.000000 -3.242775e-05 -3.560738e-07 -2.398750e-07 -3.152171e-07 2.503082e-05 -1.356495e-04 -4.983012e-05 1.776498e-06
 8914.000000 -3.219267e-05 -3.559057e-07 -2.399986e-07 -3.134838e-07 1.634211e-05 -1.168025e-04 -5.380151e-05 -6.115162e-07
 8919.000000 -3.214436e-05 -3.557089e-07 -2.398600e-07 -3.139105e-07 1.932176e-05 -1.278231e-04 -5.451823e-05 3.477790e-06
 8924.000000 -3.199076e-05 -3.559260e-07 -2.401141e-07 -3.135723e-07 2.502838e-05 -1.412987e-04 -4.803293e-05 9.829169e-06
 8929.000000 -3.188448e-05 -3.614218e-07 -2.439018e-07 -3.139959e-07 2.331125e-05 -1.497115e-04 -4.986318e-05 1.411337e-05
 8934.000000 -3.182605e-05 -3.620461e-07 -2.444766e-07 -3.146842e-07 2.018587e-05 -1.661690e-04 -4.521486e-05 8.750885e-06
 8939.000000 -3.170773e-05 -3.622116e-07 -2.445183e-07 -3.146564e-07 1.959630e-05 -1.472353e-04 -4.790156e-05 -1.260995e-06
 8944.000000 -3.160184e-05 -3.624082e-07 -2.444111e-07 -3.147176e-07 2.171150e-05 -1.501615e-04 -4.852398e-05 1.525812e-06
 8949.000000 -3.144677e-05 -3.625745e-07 -2.445271e-07 -3.142589e-07 2.399560e-05 -1.168284e-04 -4.248120e-05 -5.906914e-06
 8953.000000 -3.136116e-05 -3.614042e-07 -2.434460e-07 -3.146245e-07 1.779614e-05 -1.012717e-04 -4.400942e-05 3.497271e-06
 8956.000000 -3.131797e-05 -3.588869e-07 -2.415130e-07 -3.151048e-07 1.711639e-05 -9.439610e-05 -5.271883e-05 4.315295e-06
 8958.000000 -3.124015e-05 -3.597028e-07 -2.417332e-07 -3.149105e-07 1.258934e-05 -9.630562e-05 -5.923832e-05 -1.327643e-07
 8959.000000 -3.120468e-05 -3.608687e-07 -2.424488e-07 -3.148648e-07 -1.570099e-06 -8.425019e-05 -6.143096e-05 1.198196e-06
 8959.200000 -3.120772e-05 -3.603375e-07 -2.421820e-07 -3.148747e-07 -1.339570e-06 -7.847113e-05 -6.110633e-05 5.564647e-06
 8959.400000 -3.128297e-05 -3.581905e-07 -2.406104e-07 -3.155865e-07 1.565825e-06 -7.573016e-05 -6.468926e-05 2.068673e-06
