# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.5446848420193
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002686
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1649.998901
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371029
# Scan.uid: cc7b3009-1b71-4aec-b513-58a6893f8aad
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:11:32.544256
# Scan.end_time: 06/23/2023  05:12:06.892728
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 202.0
# SampleHeater.voltage.setpoint: 0.47179209176501385
# SampleHeater.voltage.readback: 0.481
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.481135e-05 -3.447894e-07 -2.285226e-07 -3.149772e-07 1.619212e-05 -1.799597e-05 -5.890592e-05 1.500719e-05
 8784.000000 -3.490194e-05 -3.417305e-07 -2.267213e-07 -3.163888e-07 1.628699e-05 -5.948395e-06 -4.735913e-05 3.519880e-05
 8789.000000 -3.484497e-05 -3.389447e-07 -2.251229e-07 -3.169990e-07 7.981674e-06 -2.851753e-05 -4.723706e-05 4.481603e-05
 8794.000000 -3.475616e-05 -3.347925e-07 -2.223614e-07 -3.171072e-07 1.177426e-05 -1.398513e-05 -5.692804e-05 4.036750e-05
 8799.000000 -3.434748e-05 -3.324779e-07 -2.208177e-07 -3.140235e-07 1.880977e-05 2.739973e-06 -5.787822e-05 2.905265e-05
 8804.000000 -3.465578e-05 -3.351996e-07 -2.228742e-07 -3.175258e-07 2.836322e-05 -1.780510e-08 -4.664492e-05 -1.587009e-05
 8809.000000 -3.458867e-05 -3.354059e-07 -2.231608e-07 -3.176355e-07 3.398633e-05 1.101400e-05 -4.654130e-05 -2.015787e-05
 8814.000000 -3.438552e-05 -3.343929e-07 -2.226624e-07 -3.162001e-07 2.993049e-05 3.034091e-05 -5.055884e-05 -1.501018e-05
 8819.000000 -3.440290e-05 -3.357025e-07 -2.237164e-07 -3.169739e-07 2.637567e-05 1.513809e-05 -4.947146e-05 -1.511758e-05
 8824.000000 -3.435714e-05 -3.370106e-07 -2.248603e-07 -3.174097e-07 1.029437e-05 2.082675e-05 -5.028631e-05 -1.173762e-05
 8829.000000 -3.414956e-05 -3.410607e-07 -2.274662e-07 -3.165496e-07 2.006947e-05 1.293981e-05 -5.429574e-05 -1.018734e-05
 8834.000000 -3.392020e-05 -3.449546e-07 -2.303764e-07 -3.155819e-07 2.583051e-05 -3.445479e-05 -5.555111e-05 -1.302365e-05
 8839.000000 -3.396045e-05 -3.437455e-07 -2.296540e-07 -3.171471e-07 2.826243e-05 -2.761445e-05 -4.988468e-05 -1.617613e-05
 8844.000000 -3.385309e-05 -3.442476e-07 -2.301897e-07 -3.171586e-07 3.268086e-05 -1.360030e-05 -4.762342e-05 -1.193880e-05
 8849.000000 -3.381417e-05 -3.437736e-07 -2.298180e-07 -3.177704e-07 3.166791e-05 -1.487422e-05 -6.345411e-05 -1.242210e-05
 8854.000000 -3.372726e-05 -3.455404e-07 -2.313746e-07 -3.180428e-07 2.792721e-05 -1.063222e-05 -6.704726e-05 -1.999520e-05
 8859.000000 -3.357178e-05 -3.470710e-07 -2.325008e-07 -3.176840e-07 2.176271e-05 -4.259568e-06 -5.939114e-05 -2.837653e-05
 8864.000000 -3.348288e-05 -3.474256e-07 -2.330121e-07 -3.178203e-07 1.588697e-05 -3.303784e-05 -5.781813e-05 -3.506617e-05
 8869.000000 -3.337991e-05 -3.478661e-07 -2.334933e-07 -3.177536e-07 1.955990e-05 -3.518846e-05 -5.979810e-05 -3.273293e-05
 8874.000000 -3.324324e-05 -3.492727e-07 -2.347232e-07 -3.173536e-07 2.055351e-05 -4.785938e-05 -5.079710e-05 -1.991227e-05
 8879.000000 -3.315332e-05 -3.486267e-07 -2.343295e-07 -3.173509e-07 2.652779e-05 -4.779376e-05 -5.247360e-05 -1.657971e-05
 8884.000000 -3.293856e-05 -3.477547e-07 -2.337077e-07 -3.163121e-07 1.480475e-05 -4.661202e-05 -4.857638e-05 -1.851742e-05
 8889.000000 -3.264190e-05 -3.488953e-07 -2.345476e-07 -3.149335e-07 1.193153e-05 -1.951899e-05 -5.326381e-05 -2.428960e-05
 8894.000000 -3.286300e-05 -3.510481e-07 -2.362444e-07 -3.171547e-07 1.008657e-05 -3.710894e-05 -5.039806e-05 -2.740710e-05
 8899.000000 -3.275300e-05 -3.538224e-07 -2.383213e-07 -3.168121e-07 5.384908e-06 -2.506391e-05 -5.712712e-05 -3.016825e-05
 8904.000000 -3.257604e-05 -3.567561e-07 -2.405086e-07 -3.155700e-07 1.317333e-05 6.057745e-06 -5.570065e-05 -2.667878e-05
 8909.000000 -3.241996e-05 -3.586482e-07 -2.419743e-07 -3.146193e-07 1.800970e-05 5.244846e-06 -5.423861e-05 -1.312373e-05
 8914.000000 -3.219506e-05 -3.576819e-07 -2.413828e-07 -3.132158e-07 1.772172e-05 1.906378e-06 -5.183912e-05 -1.792195e-05
 8919.000000 -3.208563e-05 -3.595924e-07 -2.424844e-07 -3.130238e-07 1.749339e-05 -3.740790e-06 -5.752256e-05 -3.809796e-05
 8924.000000 -3.195102e-05 -3.593790e-07 -2.425226e-07 -3.126132e-07 1.813235e-05 -4.812143e-06 -5.560308e-05 -4.788458e-05
 8929.000000 -3.197472e-05 -3.619772e-07 -2.443582e-07 -3.142728e-07 2.090965e-05 1.959887e-05 -5.233631e-05 -4.976825e-05
 8934.000000 -3.184510e-05 -3.655712e-07 -2.467508e-07 -3.142954e-07 1.831158e-05 1.800659e-05 -5.255294e-05 -3.896379e-05
 8939.000000 -3.172939e-05 -3.664485e-07 -2.474912e-07 -3.143489e-07 2.622213e-05 9.615652e-06 -5.353211e-05 -2.915361e-05
 8944.000000 -3.164501e-05 -3.649142e-07 -2.462487e-07 -3.146834e-07 2.290235e-05 -1.210715e-05 -5.976570e-05 -1.852741e-05
 8949.000000 -3.151352e-05 -3.649151e-07 -2.460351e-07 -3.142616e-07 1.389924e-05 -6.775352e-06 -6.524163e-05 1.723978e-05
 8953.000000 -3.139978e-05 -3.662205e-07 -2.467172e-07 -3.140286e-07 1.695842e-05 1.027429e-05 -6.442529e-05 -1.299815e-05
 8956.000000 -3.131827e-05 -3.662828e-07 -2.464006e-07 -3.142573e-07 1.036927e-05 7.548277e-06 -6.426635e-05 -1.856074e-05
 8958.000000 -3.132628e-05 -3.644239e-07 -2.449018e-07 -3.147933e-07 7.328023e-06 3.958412e-06 -6.243632e-05 -2.323766e-05
 8959.000000 -3.126473e-05 -3.654505e-07 -2.455464e-07 -3.143985e-07 1.118223e-05 6.486421e-06 -6.167896e-05 -2.329195e-05
 8959.200000 -3.123107e-05 -3.666380e-07 -2.462073e-07 -3.141519e-07 9.596866e-06 1.154792e-05 -6.565711e-05 -3.121324e-05
 8959.400000 -3.130269e-05 -3.634039e-07 -2.440009e-07 -3.149046e-07 1.249928e-05 4.445121e-06 -5.875334e-05 -3.331064e-05
