# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6072567314706
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000366
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1650.000854
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371031
# Scan.uid: 32c13cae-c85c-4f9e-b164-b5de7e268813
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:13:32.508618
# Scan.end_time: 06/23/2023  05:14:05.346577
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 200.5
# SampleHeater.voltage.setpoint: 0.4910045032251627
# SampleHeater.voltage.readback: 0.49
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.15
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.482717e-05 -3.425944e-07 -2.272722e-07 -3.151285e-07 1.439115e-05 -5.292168e-05 -4.498887e-05 5.667798e-05
 8784.000000 -3.483989e-05 -3.417971e-07 -2.267426e-07 -3.162188e-07 1.979198e-05 -3.463991e-05 -5.012783e-05 4.753761e-05
 8789.000000 -3.487521e-05 -3.406184e-07 -2.262394e-07 -3.175295e-07 2.397365e-05 -4.370617e-05 -5.521922e-05 1.309895e-05
 8794.000000 -3.468273e-05 -3.400832e-07 -2.261863e-07 -3.166282e-07 2.801660e-05 -5.280387e-05 -5.565812e-05 -5.380624e-06
 8799.000000 -3.428456e-05 -3.360904e-07 -2.235580e-07 -3.136422e-07 4.213480e-05 -8.052554e-05 -6.364679e-05 -9.707943e-06
 8804.000000 -3.464750e-05 -3.381528e-07 -2.248415e-07 -3.172036e-07 3.827981e-05 -9.185093e-05 -5.673763e-05 -1.354896e-05
 8809.000000 -3.459845e-05 -3.382555e-07 -2.251961e-07 -3.173647e-07 3.382465e-05 -8.047333e-05 -4.329106e-05 -1.240717e-05
 8814.000000 -3.441904e-05 -3.383280e-07 -2.253419e-07 -3.162483e-07 2.696939e-05 -7.171018e-05 -2.821083e-05 -2.058985e-06
 8819.000000 -3.442935e-05 -3.397889e-07 -2.264458e-07 -3.168627e-07 2.675704e-05 -8.489208e-05 -2.937392e-05 4.993329e-06
 8824.000000 -3.424624e-05 -3.434056e-07 -2.291316e-07 -3.162172e-07 3.392712e-05 -7.816152e-05 -4.187044e-05 7.351084e-06
 8829.000000 -3.408315e-05 -3.456411e-07 -2.306543e-07 -3.157625e-07 3.918084e-05 -9.770026e-05 -4.569945e-05 1.173042e-06
 8834.000000 -3.409914e-05 -3.441372e-07 -2.298121e-07 -3.169016e-07 3.620105e-05 -9.775100e-05 -3.057578e-05 1.261793e-05
 8839.000000 -3.393787e-05 -3.459243e-07 -2.311765e-07 -3.164797e-07 2.946455e-05 -9.244197e-05 -2.974791e-05 2.573849e-05
 8844.000000 -3.378316e-05 -3.464199e-07 -2.318537e-07 -3.161318e-07 2.665957e-05 -4.550650e-05 -4.536909e-05 3.015057e-05
 8849.000000 -3.380877e-05 -3.445310e-07 -2.304901e-07 -3.175759e-07 1.621420e-05 -3.965224e-05 -4.169109e-05 2.812246e-05
 8854.000000 -3.377538e-05 -3.434717e-07 -2.297575e-07 -3.185583e-07 9.799263e-06 -4.719783e-05 -4.349132e-05 1.040713e-05
 8859.000000 -3.361688e-05 -3.461222e-07 -2.318997e-07 -3.182454e-07 7.948599e-06 -3.064593e-05 -3.857180e-05 1.363682e-05
 8864.000000 -3.334947e-05 -3.512156e-07 -2.356073e-07 -3.169575e-07 1.804230e-05 -3.864790e-05 -3.759767e-05 1.466683e-05
 8869.000000 -3.328309e-05 -3.506616e-07 -2.355038e-07 -3.169841e-07 2.344611e-05 -3.366674e-05 -3.317173e-05 2.626249e-05
 8874.000000 -3.326360e-05 -3.496311e-07 -2.348381e-07 -3.175003e-07 2.651440e-05 -3.286976e-05 -3.711436e-05 2.754122e-05
 8879.000000 -3.306843e-05 -3.514255e-07 -2.363316e-07 -3.165322e-07 3.400220e-05 -4.305382e-05 -3.984810e-05 2.275135e-05
 8884.000000 -3.270143e-05 -3.519083e-07 -2.366890e-07 -3.143173e-07 2.851921e-05 -5.721708e-05 -2.766764e-05 1.046225e-05
 8889.000000 -3.248676e-05 -3.510844e-07 -2.360920e-07 -3.136843e-07 2.958532e-05 -2.255574e-05 -2.135785e-05 6.702950e-06
 8894.000000 -3.276801e-05 -3.520569e-07 -2.366699e-07 -3.167557e-07 2.249112e-05 -3.705267e-05 -2.604781e-05 3.479484e-06
 8899.000000 -3.269571e-05 -3.524692e-07 -2.372418e-07 -3.166032e-07 2.971736e-05 -3.800706e-05 -2.545170e-05 7.941492e-06
 8904.000000 -3.262847e-05 -3.528276e-07 -2.375597e-07 -3.164144e-07 2.864804e-05 -1.890019e-05 -2.485270e-05 1.230814e-05
 8909.000000 -3.249388e-05 -3.546330e-07 -2.389416e-07 -3.154347e-07 3.203986e-05 -4.354057e-05 -2.796139e-05 1.761824e-05
 8914.000000 -3.225164e-05 -3.542346e-07 -2.389215e-07 -3.136244e-07 2.803868e-05 -6.323174e-05 -3.847958e-05 1.618115e-05
 8919.000000 -3.218160e-05 -3.560630e-07 -2.401511e-07 -3.139973e-07 2.919747e-05 -7.228883e-05 -3.085780e-05 1.557678e-05
 8924.000000 -3.200382e-05 -3.569773e-07 -2.407744e-07 -3.134127e-07 2.732787e-05 -5.940280e-05 -3.266687e-05 2.174450e-05
 8929.000000 -3.201425e-05 -3.599357e-07 -2.429385e-07 -3.150942e-07 2.347597e-05 -6.851775e-05 -2.399920e-05 4.645949e-05
 8934.000000 -3.191487e-05 -3.615569e-07 -2.438877e-07 -3.154087e-07 2.061832e-05 -5.551925e-05 -2.749098e-05 6.118740e-05
 8939.000000 -3.178133e-05 -3.627325e-07 -2.447916e-07 -3.154264e-07 1.640066e-05 -5.902232e-05 -3.398223e-05 5.714917e-05
 8944.000000 -3.161471e-05 -3.637267e-07 -2.453817e-07 -3.149628e-07 2.150350e-05 -4.881127e-05 -3.503402e-05 5.052924e-05
 8949.000000 -3.146577e-05 -3.632569e-07 -2.448505e-07 -3.144752e-07 2.304915e-05 -4.304760e-05 -3.339174e-05 5.671303e-05
 8953.000000 -3.142392e-05 -3.626837e-07 -2.442667e-07 -3.147379e-07 1.693272e-05 -7.360829e-05 -3.205131e-05 3.800447e-05
 8956.000000 -3.135974e-05 -3.640218e-07 -2.448493e-07 -3.149562e-07 1.839328e-05 -9.410806e-05 -3.136227e-05 4.734481e-05
 8958.000000 -3.133212e-05 -3.647397e-07 -2.452394e-07 -3.154486e-07 1.749863e-05 -9.523553e-05 -3.955101e-05 1.720034e-05
 8959.000000 -3.130687e-05 -3.651669e-07 -2.453279e-07 -3.156453e-07 2.206858e-05 -7.724933e-05 -3.303922e-05 1.862681e-05
 8959.200000 -3.125055e-05 -3.658268e-07 -2.456981e-07 -3.154426e-07 1.350368e-05 -8.412679e-05 -3.784490e-05 1.644687e-05
 8959.400000 -3.129133e-05 -3.658902e-07 -2.454123e-07 -3.157110e-07 5.660540e-06 -8.897588e-05 -3.769744e-05 2.062202e-05
 8959.600000 -3.128887e-05 -3.651507e-07 -2.451073e-07 -3.154240e-07 1.930693e-06 -9.731569e-05 -3.031092e-05 1.816192e-05
 8959.800000 -3.130546e-05 -3.635176e-07 -2.439497e-07 -3.157346e-07 -2.802842e-07 -1.253735e-04 -3.861330e-05 1.573021e-05
 8960.000000 -3.132424e-05 -3.646926e-07 -2.449573e-07 -3.156415e-07 3.435144e-06 -1.231239e-04 -3.342778e-05 2.285326e-05
 8960.200000 -3.131634e-05 -3.646698e-07 -2.450807e-07 -3.158031e-07 9.720291e-06 -1.429579e-04 -3.137235e-05 2.402301e-05
 8960.400000 -3.126242e-05 -3.668124e-07 -2.464684e-07 -3.153985e-07 2.296701e-05 -1.224312e-04 -2.538216e-05 2.012021e-05
 8960.600000 -3.128515e-05 -3.646026e-07 -2.447659e-07 -3.154433e-07 2.035889e-05 -9.602287e-05 -2.691467e-05 1.081799e-05
 8960.800000 -3.129306e-05 -3.654203e-07 -2.452383e-07 -3.157266e-07 2.773371e-05 -1.025932e-04 -4.396381e-05 7.465167e-07
 8961.000000 -3.129905e-05 -3.641902e-07 -2.444536e-07 -3.156415e-07 2.780463e-05 -7.787432e-05 -5.221784e-05 1.980116e-06
 8961.200000 -3.129310e-05 -3.641484e-07 -2.443335e-07 -3.160620e-07 2.474809e-05 -8.183113e-05 -3.991954e-05 1.080870e-05
 8961.400000 -3.124098e-05 -3.658621e-07 -2.454091e-07 -3.153422e-07 2.780621e-05 -9.561405e-05 -5.298027e-05 3.199392e-06
 8961.600000 -3.121763e-05 -3.661577e-07 -2.456179e-07 -3.153740e-07 2.346205e-05 -1.020087e-04 -5.667270e-05 6.326092e-06
 8961.800000 -3.123984e-05 -3.668564e-07 -2.459787e-07 -3.155666e-07 1.697197e-05 -9.305343e-05 -5.231750e-05 1.000015e-05
 8962.000000 -3.123955e-05 -3.661779e-07 -2.452802e-07 -3.155915e-07 1.740761e-05 -9.164512e-05 -5.686072e-05 1.074890e-06
 8962.200000 -3.124182e-05 -3.657798e-07 -2.451314e-07 -3.154604e-07 2.801737e-05 -1.065024e-04 -5.823953e-05 -7.917322e-07
 8962.400000 -3.125603e-05 -3.668569e-07 -2.458289e-07 -3.154055e-07 2.537742e-05 -9.569237e-05 -5.409386e-05 -7.649774e-07
 8962.600000 -3.126702e-05 -3.655065e-07 -2.450199e-07 -3.157424e-07 4.235922e-05 -1.310680e-04 -5.087208e-05 6.940026e-06
 8962.800000 -3.122046e-05 -3.664505e-07 -2.458271e-07 -3.155923e-07 4.198370e-05 -1.256452e-04 -4.989202e-05 1.974689e-06
 8963.000000 -3.120863e-05 -3.658451e-07 -2.451170e-07 -3.152919e-07 3.179246e-05 -1.193684e-04 -4.960271e-05 -1.420416e-07
 8963.200000 -3.114837e-05 -3.673623e-07 -2.460087e-07 -3.151368e-07 2.726860e-05 -1.355805e-04 -5.499886e-05 1.126524e-05
 8963.400000 -3.105481e-05 -3.668776e-07 -2.453983e-07 -3.144326e-07 2.649657e-05 -1.314980e-04 -4.189421e-05 2.341907e-05
 8963.600000 -3.110043e-05 -3.686446e-07 -2.466500e-07 -3.145317e-07 1.762745e-05 -1.311515e-04 -4.218448e-05 1.317774e-05
 8963.800000 -3.114219e-05 -3.665539e-07 -2.454133e-07 -3.151752e-07 2.805133e-05 -1.351031e-04 -5.967115e-05 -3.934317e-06
 8964.000000 -3.116469e-05 -3.672114e-07 -2.457875e-07 -3.151118e-07 2.884859e-05 -1.274610e-04 -5.402367e-05 -1.949552e-06
 8964.200000 -3.116893e-05 -3.647374e-07 -2.440418e-07 -3.152055e-07 2.947088e-05 -1.381543e-04 -4.211843e-05 -3.152285e-06
 8964.400000 -3.119403e-05 -3.655634e-07 -2.445348e-07 -3.153575e-07 1.642946e-05 -1.633863e-04 -3.437577e-05 3.136903e-06
 8964.600000 -3.119797e-05 -3.661856e-07 -2.450028e-07 -3.153097e-07 1.166130e-05 -1.702668e-04 -4.166062e-05 4.047222e-06
