# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.6070131901755
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.996948
# Detector.I1.voltage: -1650.001221
# Detector.I2.voltage: -1650.001221
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371037
# Scan.uid: ee57b337-fdab-4100-a53a-548c287d1490
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:19:25.536373
# Scan.end_time: 06/23/2023  05:19:59.750373
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 213.93118447065353
# SampleHeater.temperature2.readback: 214.70000000000002
# SampleHeater.voltage.setpoint: 0.526429563865668
# SampleHeater.voltage.readback: 0.536
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.950000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.465945e-05 -3.443099e-07 -2.283961e-07 -3.145252e-07 3.026865e-05 -1.535661e-04 -4.603469e-05 4.168511e-05
 8784.000000 -3.483491e-05 -3.388376e-07 -2.247630e-07 -3.169962e-07 2.636076e-05 -1.246476e-04 -4.450957e-05 3.912635e-05
 8789.000000 -3.470650e-05 -3.377659e-07 -2.241800e-07 -3.166829e-07 3.412386e-05 -1.266328e-04 -4.619456e-05 4.381633e-05
 8794.000000 -3.461300e-05 -3.335441e-07 -2.216092e-07 -3.166805e-07 3.499584e-05 -1.040781e-04 -4.519318e-05 3.333095e-05
 8799.000000 -3.419423e-05 -3.294580e-07 -2.191008e-07 -3.137882e-07 4.184777e-05 -1.095202e-04 -4.052246e-05 3.528309e-05
 8804.000000 -3.419288e-05 -3.386270e-07 -2.252700e-07 -3.143027e-07 4.563656e-05 -1.195923e-04 -3.806754e-05 3.707236e-05
 8809.000000 -3.423817e-05 -3.371077e-07 -2.244404e-07 -3.152429e-07 4.289095e-05 -1.156405e-04 -3.174371e-05 4.509527e-05
 8814.000000 -3.401316e-05 -3.366814e-07 -2.242828e-07 -3.135918e-07 4.032491e-05 -1.434619e-04 -3.925910e-05 3.987185e-05
 8819.000000 -3.419115e-05 -3.349904e-07 -2.231741e-07 -3.157928e-07 4.127435e-05 -1.298530e-04 -4.765107e-05 3.257849e-05
 8824.000000 -3.421038e-05 -3.347874e-07 -2.234546e-07 -3.168296e-07 4.077190e-05 -1.159706e-04 -5.141651e-05 3.399990e-05
 8829.000000 -3.409766e-05 -3.352563e-07 -2.238509e-07 -3.169365e-07 3.996709e-05 -1.152669e-04 -4.598875e-05 3.539165e-05
 8834.000000 -3.396989e-05 -3.359757e-07 -2.244346e-07 -3.165391e-07 4.696622e-05 -1.257354e-04 -6.005457e-05 3.569879e-05
 8839.000000 -3.384326e-05 -3.366261e-07 -2.250539e-07 -3.164089e-07 5.122853e-05 -1.325208e-04 -5.013040e-05 4.384725e-05
 8844.000000 -3.377704e-05 -3.368988e-07 -2.253941e-07 -3.169786e-07 4.881839e-05 -1.386200e-04 -4.222916e-05 5.460137e-05
 8849.000000 -3.362481e-05 -3.386226e-07 -2.266068e-07 -3.169018e-07 5.279680e-05 -1.337018e-04 -5.180919e-05 4.757136e-05
 8854.000000 -3.356039e-05 -3.381701e-07 -2.263088e-07 -3.175733e-07 4.778909e-05 -1.325911e-04 -6.475565e-05 3.902353e-05
 8859.000000 -3.337687e-05 -3.406563e-07 -2.281971e-07 -3.170822e-07 5.114904e-05 -1.255009e-04 -6.516888e-05 4.854440e-05
 8864.000000 -3.326260e-05 -3.420927e-07 -2.293555e-07 -3.172758e-07 5.729522e-05 -1.227549e-04 -5.357130e-05 4.790700e-05
 8869.000000 -3.322883e-05 -3.422501e-07 -2.296679e-07 -3.175920e-07 5.478323e-05 -1.201535e-04 -5.902645e-05 4.938654e-05
 8874.000000 -3.317583e-05 -3.422399e-07 -2.296520e-07 -3.177692e-07 4.161077e-05 -1.140101e-04 -5.986694e-05 4.485737e-05
 8879.000000 -3.306278e-05 -3.431977e-07 -2.306282e-07 -3.174145e-07 4.112721e-05 -1.035153e-04 -5.536288e-05 4.653222e-05
 8884.000000 -3.282475e-05 -3.418970e-07 -2.298852e-07 -3.162661e-07 4.672378e-05 -8.603468e-05 -6.287875e-05 4.545442e-05
 8889.000000 -3.254646e-05 -3.425017e-07 -2.303874e-07 -3.148171e-07 4.607386e-05 -8.380059e-05 -5.998348e-05 4.815939e-05
 8894.000000 -3.257816e-05 -3.492428e-07 -2.348510e-07 -3.154415e-07 4.027243e-05 -9.109591e-05 -5.890076e-05 3.794379e-05
 8899.000000 -3.251135e-05 -3.494212e-07 -2.352979e-07 -3.154512e-07 3.079107e-05 -9.719213e-05 -5.070431e-05 3.023792e-05
 8904.000000 -3.249875e-05 -3.476798e-07 -2.341032e-07 -3.159193e-07 2.359185e-05 -6.832956e-05 -4.932863e-05 2.488022e-05
 8909.000000 -3.237600e-05 -3.487442e-07 -2.348966e-07 -3.151517e-07 3.570758e-05 -6.620461e-05 -5.060857e-05 2.537775e-05
 8914.000000 -3.210422e-05 -3.498442e-07 -2.358426e-07 -3.132399e-07 3.379361e-05 -1.042836e-04 -4.628356e-05 3.137725e-05
 8919.000000 -3.204340e-05 -3.507717e-07 -2.365999e-07 -3.134061e-07 3.609275e-05 -1.033066e-04 -4.576108e-05 2.846308e-05
 8924.000000 -3.186969e-05 -3.526310e-07 -2.378102e-07 -3.129082e-07 4.590655e-05 -1.000643e-04 -4.957783e-05 2.875032e-05
 8929.000000 -3.187715e-05 -3.559355e-07 -2.401915e-07 -3.144524e-07 6.219609e-05 -1.025934e-04 -4.755492e-05 3.524884e-05
 8934.000000 -3.175300e-05 -3.585335e-07 -2.419145e-07 -3.144824e-07 5.940340e-05 -1.153951e-04 -4.871689e-05 3.931867e-05
 8939.000000 -3.159593e-05 -3.599774e-07 -2.430447e-07 -3.140514e-07 5.437345e-05 -1.123975e-04 -5.384389e-05 3.157817e-05
 8944.000000 -3.147004e-05 -3.604443e-07 -2.432344e-07 -3.137807e-07 4.665768e-05 -1.212490e-04 -5.697495e-05 3.089305e-05
 8949.000000 -3.135489e-05 -3.596425e-07 -2.426004e-07 -3.134612e-07 4.878502e-05 -1.016084e-04 -4.400505e-05 5.132973e-05
 8953.000000 -3.121681e-05 -3.612325e-07 -2.434473e-07 -3.133511e-07 4.812743e-05 -7.774451e-05 -4.472112e-05 5.866945e-05
 8956.000000 -3.124112e-05 -3.606725e-07 -2.427567e-07 -3.145851e-07 4.359937e-05 -7.215208e-05 -4.959627e-05 5.208282e-05
 8958.000000 -3.119580e-05 -3.620763e-07 -2.435214e-07 -3.145055e-07 4.075332e-05 -5.677660e-05 -4.688157e-05 5.785621e-05
 8959.000000 -3.120797e-05 -3.613995e-07 -2.430228e-07 -3.146124e-07 3.756950e-05 -7.850002e-05 -3.814387e-05 5.999585e-05
 8959.200000 -3.120329e-05 -3.627061e-07 -2.438560e-07 -3.144991e-07 4.529830e-05 -1.028736e-04 -4.514543e-05 5.515663e-05
 8959.400000 -3.118721e-05 -3.612625e-07 -2.427364e-07 -3.145297e-07 3.600398e-05 -8.085010e-05 -5.447908e-05 4.783145e-05
