# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.40704146087916
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -347.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001709
# Detector.I1.voltage: -1650.002563
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371041
# Scan.uid: 83906748-2a03-4bc8-ba05-0a70370696f0
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:23:25.547439
# Scan.end_time: 06/23/2023  05:24:01.776944
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 233.9164473613103
# SampleHeater.temperature2.readback: 237.0
# SampleHeater.voltage.setpoint: 0.48447389664650004
# SampleHeater.voltage.readback: 0.482
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.78
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.474411e-05 -3.330995e-07 -2.209037e-07 -3.161392e-07 3.799971e-05 -6.273001e-05 -3.442964e-05 8.985442e-06
 8784.000000 -3.479019e-05 -3.332855e-07 -2.210668e-07 -3.172679e-07 4.066569e-05 -6.191086e-05 -3.005004e-05 1.171481e-05
 8789.000000 -3.476270e-05 -3.343751e-07 -2.218836e-07 -3.179397e-07 4.331209e-05 -8.559467e-05 -3.343788e-05 9.759457e-06
 8794.000000 -3.467077e-05 -3.308670e-07 -2.198161e-07 -3.180305e-07 3.576142e-05 -1.009315e-04 -4.068066e-05 9.945542e-06
 8799.000000 -3.424944e-05 -3.267567e-07 -2.173324e-07 -3.149236e-07 3.131800e-05 -1.277407e-04 -4.301185e-05 1.710449e-05
 8804.000000 -3.456919e-05 -3.290170e-07 -2.191311e-07 -3.183206e-07 3.916143e-05 -1.369127e-04 -3.633798e-05 2.237385e-05
 8809.000000 -3.446623e-05 -3.292710e-07 -2.192830e-07 -3.181414e-07 3.143983e-05 -1.245321e-04 -3.355798e-05 2.677118e-05
 8814.000000 -3.424893e-05 -3.292195e-07 -2.190649e-07 -3.165459e-07 2.123184e-05 -1.244878e-04 -4.617811e-05 2.054469e-05
 8819.000000 -3.425804e-05 -3.310456e-07 -2.206189e-07 -3.172860e-07 2.054857e-05 -1.044976e-04 -4.314975e-05 5.632726e-06
 8824.000000 -3.420864e-05 -3.326054e-07 -2.217318e-07 -3.176289e-07 2.567920e-05 -1.100910e-04 -4.260722e-05 2.837840e-05
 8829.000000 -3.411269e-05 -3.343703e-07 -2.232299e-07 -3.175186e-07 2.723757e-05 -1.109951e-04 -4.604238e-05 5.870016e-05
 8834.000000 -3.408164e-05 -3.322011e-07 -2.218513e-07 -3.185666e-07 2.205705e-05 -1.082280e-04 -3.841531e-05 5.842020e-05
 8839.000000 -3.399187e-05 -3.324440e-07 -2.223545e-07 -3.186332e-07 2.020109e-05 -1.000268e-04 -3.697318e-05 5.931155e-05
 8844.000000 -3.387281e-05 -3.335915e-07 -2.230406e-07 -3.188954e-07 2.626482e-05 -8.501437e-05 -4.071695e-05 5.836277e-05
 8849.000000 -3.377565e-05 -3.345487e-07 -2.237844e-07 -3.190651e-07 2.735848e-05 -9.451961e-05 -4.255043e-05 5.586962e-05
 8854.000000 -3.366141e-05 -3.356826e-07 -2.247067e-07 -3.189902e-07 3.432089e-05 -8.423772e-05 -3.003299e-05 6.071502e-05
 8859.000000 -3.354456e-05 -3.360771e-07 -2.251565e-07 -3.190264e-07 3.837908e-05 -1.183955e-04 -3.722710e-05 6.453401e-05
 8864.000000 -3.343138e-05 -3.376298e-07 -2.261715e-07 -3.191730e-07 3.855917e-05 -1.300797e-04 -4.073516e-05 2.526315e-05
 8869.000000 -3.330697e-05 -3.383962e-07 -2.269239e-07 -3.187010e-07 3.648928e-05 -9.537946e-05 -5.832930e-05 1.319623e-05
 8874.000000 -3.315261e-05 -3.407722e-07 -2.287272e-07 -3.179631e-07 4.237984e-05 -9.187980e-05 -4.790251e-05 2.659045e-05
 8879.000000 -3.310257e-05 -3.393007e-07 -2.279443e-07 -3.182481e-07 3.752476e-05 -9.382572e-05 -4.360302e-05 3.079867e-05
 8884.000000 -3.285376e-05 -3.384188e-07 -2.276124e-07 -3.170649e-07 4.316719e-05 -9.599467e-05 -3.607564e-05 2.239946e-05
 8889.000000 -3.254428e-05 -3.405159e-07 -2.291833e-07 -3.156523e-07 4.200235e-05 -9.435476e-05 -3.476318e-05 1.319352e-05
 8894.000000 -3.272590e-05 -3.442720e-07 -2.317953e-07 -3.178190e-07 3.431304e-05 -1.132281e-04 -3.400502e-05 1.768678e-05
 8899.000000 -3.266920e-05 -3.449674e-07 -2.321148e-07 -3.179315e-07 3.482514e-05 -1.079111e-04 -4.048976e-05 1.550575e-05
 8904.000000 -3.254554e-05 -3.465602e-07 -2.334598e-07 -3.171794e-07 3.326948e-05 -1.149738e-04 -4.680665e-05 1.976129e-05
 8909.000000 -3.240161e-05 -3.482735e-07 -2.348232e-07 -3.161561e-07 3.190775e-05 -1.105379e-04 -5.385909e-05 1.682196e-05
 8914.000000 -3.215848e-05 -3.468540e-07 -2.339013e-07 -3.146436e-07 2.673110e-05 -1.079226e-04 -5.145822e-05 2.638540e-05
 8919.000000 -3.207336e-05 -3.482359e-07 -2.351965e-07 -3.147123e-07 2.480212e-05 -1.014955e-04 -4.694962e-05 2.038090e-05
 8924.000000 -3.191914e-05 -3.489353e-07 -2.355194e-07 -3.142522e-07 2.986493e-05 -1.118808e-04 -4.677816e-05 5.075376e-05
 8929.000000 -3.193665e-05 -3.518524e-07 -2.373453e-07 -3.157766e-07 2.794086e-05 -1.232729e-04 -3.436797e-05 5.446850e-05
 8934.000000 -3.185050e-05 -3.537553e-07 -2.387642e-07 -3.162187e-07 2.224779e-05 -1.091367e-04 -3.891173e-05 2.625256e-05
 8939.000000 -3.171348e-05 -3.560397e-07 -2.401761e-07 -3.159462e-07 2.759309e-05 -9.521905e-05 -4.956518e-05 1.875710e-05
 8944.000000 -3.157659e-05 -3.564355e-07 -2.404275e-07 -3.154373e-07 2.945245e-05 -1.010899e-04 -5.482559e-05 2.005082e-05
 8949.000000 -3.144033e-05 -3.559386e-07 -2.399504e-07 -3.152052e-07 2.179705e-05 -8.019971e-05 -5.273008e-05 2.946431e-05
 8953.000000 -3.134771e-05 -3.558768e-07 -2.396786e-07 -3.155081e-07 1.296258e-05 -6.077133e-05 -4.976308e-05 3.037843e-05
 8956.000000 -3.128033e-05 -3.554993e-07 -2.391730e-07 -3.157129e-07 1.284138e-05 -6.667514e-05 -5.611347e-05 2.428678e-05
 8958.000000 -3.125525e-05 -3.531159e-07 -2.372856e-07 -3.162049e-07 2.002145e-05 -7.843662e-05 -5.545161e-05 2.724338e-05
 8959.000000 -3.123471e-05 -3.524097e-07 -2.368241e-07 -3.164374e-07 2.963607e-05 -6.341357e-05 -5.366231e-05 3.047952e-05
 8959.200000 -3.121436e-05 -3.522699e-07 -2.367285e-07 -3.163358e-07 3.650818e-05 -5.728298e-05 -4.954468e-05 3.373172e-05
 8959.400000 -3.112808e-05 -3.558366e-07 -2.391877e-07 -3.155617e-07 3.055845e-05 -4.425758e-05 -3.954321e-05 3.785941e-05
