# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.96140910965136
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99939
# Detector.I1.voltage: -1650.000488
# Detector.I2.voltage: -1650.000488
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371053
# Scan.uid: cebdeefd-2cb0-4302-b026-e7f2665f4ae7
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:35:28.078862
# Scan.end_time: 06/23/2023  05:36:01.787231
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 294.11926104625064
# SampleHeater.temperature2.readback: 297.0
# SampleHeater.voltage.setpoint: 0.6052623597507502
# SampleHeater.voltage.readback: 0.61
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.75
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453299e-05 -3.158079e-07 -2.094767e-07 -3.178251e-07 1.801818e-05 -1.754316e-04 -3.682258e-05 2.426870e-05
 8784.000000 -3.462974e-05 -3.142459e-07 -2.085684e-07 -3.191537e-07 1.600130e-05 -1.815141e-04 -3.501823e-05 1.681516e-05
 8789.000000 -3.450460e-05 -3.145619e-07 -2.087935e-07 -3.189296e-07 1.902994e-05 -1.888676e-04 -4.854543e-05 2.110428e-05
 8794.000000 -3.432382e-05 -3.156597e-07 -2.096246e-07 -3.179949e-07 1.501141e-05 -1.948298e-04 -4.615631e-05 2.267680e-05
 8799.000000 -3.390519e-05 -3.136194e-07 -2.082751e-07 -3.149066e-07 1.193071e-05 -1.925838e-04 -4.056156e-05 2.047137e-05
 8804.000000 -3.416132e-05 -3.154489e-07 -2.096336e-07 -3.178002e-07 1.517330e-05 -1.864532e-04 -3.623302e-05 2.754016e-05
 8809.000000 -3.398515e-05 -3.162211e-07 -2.104286e-07 -3.166928e-07 1.567619e-05 -1.827524e-04 -4.054189e-05 2.697302e-05
 8814.000000 -3.387771e-05 -3.141583e-07 -2.091697e-07 -3.163549e-07 1.441350e-05 -1.807563e-04 -3.679581e-05 3.576050e-05
 8819.000000 -3.396318e-05 -3.145108e-07 -2.093831e-07 -3.178651e-07 5.290893e-06 -1.785649e-04 -3.585511e-05 2.833681e-05
 8824.000000 -3.400440e-05 -3.139112e-07 -2.092133e-07 -3.187742e-07 1.758387e-05 -1.970724e-04 -3.564876e-05 3.303506e-05
 8829.000000 -3.390557e-05 -3.160681e-07 -2.110781e-07 -3.187718e-07 1.955944e-05 -1.935468e-04 -3.511399e-05 2.727938e-05
 8834.000000 -3.385601e-05 -3.164095e-07 -2.113900e-07 -3.192331e-07 2.060082e-05 -2.117710e-04 -4.601840e-05 2.476587e-05
 8839.000000 -3.372813e-05 -3.170299e-07 -2.119336e-07 -3.191484e-07 2.252949e-05 -2.109149e-04 -5.054298e-05 2.885095e-05
 8844.000000 -3.364490e-05 -3.175728e-07 -2.123902e-07 -3.197653e-07 1.258085e-05 -2.139204e-04 -4.292463e-05 4.222218e-05
 8849.000000 -3.351760e-05 -3.186954e-07 -2.133176e-07 -3.197687e-07 1.258139e-05 -2.141680e-04 -4.244024e-05 3.543522e-05
 8854.000000 -3.340331e-05 -3.205193e-07 -2.146881e-07 -3.195445e-07 1.261396e-05 -2.269356e-04 -4.508780e-05 2.855040e-05
 8859.000000 -3.333701e-05 -3.206754e-07 -2.148931e-07 -3.199882e-07 1.777478e-05 -2.006226e-04 -4.709381e-05 2.863282e-05
 8864.000000 -3.325387e-05 -3.214297e-07 -2.155488e-07 -3.204331e-07 1.394076e-05 -1.867355e-04 -3.328761e-05 2.849888e-05
 8869.000000 -3.313065e-05 -3.237374e-07 -2.171675e-07 -3.202357e-07 1.810160e-05 -2.055566e-04 -2.514160e-05 2.611157e-05
 8874.000000 -3.302519e-05 -3.245230e-07 -2.178231e-07 -3.199475e-07 2.219017e-05 -2.085674e-04 -2.519003e-05 2.325862e-05
 8879.000000 -3.289795e-05 -3.256606e-07 -2.185568e-07 -3.195454e-07 1.417627e-05 -2.401385e-04 -2.038873e-05 2.973384e-05
 8884.000000 -3.265689e-05 -3.250974e-07 -2.183488e-07 -3.183834e-07 9.095136e-06 -2.457181e-04 -2.203390e-05 2.657047e-05
 8889.000000 -3.242926e-05 -3.255704e-07 -2.189847e-07 -3.175280e-07 1.276430e-05 -2.418690e-04 -3.656966e-05 2.805921e-05
 8894.000000 -3.259026e-05 -3.303264e-07 -2.226603e-07 -3.190022e-07 2.112191e-05 -2.238979e-04 -3.541830e-05 3.096179e-05
 8899.000000 -3.246398e-05 -3.317842e-07 -2.236200e-07 -3.185482e-07 1.779260e-05 -1.954411e-04 -2.729799e-05 2.071133e-05
 8904.000000 -3.229929e-05 -3.338820e-07 -2.250047e-07 -3.177531e-07 1.251134e-05 -2.014006e-04 -2.628946e-05 1.793517e-05
 8909.000000 -3.216751e-05 -3.341634e-07 -2.251363e-07 -3.169381e-07 1.169357e-05 -2.328735e-04 -2.580362e-05 1.701778e-05
 8914.000000 -3.193325e-05 -3.338229e-07 -2.250416e-07 -3.151306e-07 2.011480e-05 -2.196512e-04 -2.738580e-05 2.235554e-05
 8919.000000 -3.188824e-05 -3.348108e-07 -2.257396e-07 -3.156471e-07 1.848343e-05 -2.180565e-04 -2.163981e-05 2.495006e-05
 8924.000000 -3.170889e-05 -3.361843e-07 -2.267379e-07 -3.151529e-07 1.448802e-05 -2.235635e-04 -2.898538e-05 1.563254e-05
 8929.000000 -3.174228e-05 -3.383129e-07 -2.282137e-07 -3.170717e-07 2.312787e-05 -2.171312e-04 -2.712597e-05 1.961099e-05
 8934.000000 -3.168356e-05 -3.385349e-07 -2.283290e-07 -3.179711e-07 3.023929e-05 -2.234256e-04 -3.561875e-05 1.479434e-05
 8939.000000 -3.153406e-05 -3.402730e-07 -2.294959e-07 -3.177378e-07 2.727191e-05 -2.324473e-04 -3.244936e-05 1.723888e-05
 8944.000000 -3.140268e-05 -3.409602e-07 -2.300903e-07 -3.172693e-07 2.001119e-05 -2.234969e-04 -2.936660e-05 3.326563e-05
 8949.000000 -3.122255e-05 -3.418842e-07 -2.305379e-07 -3.162510e-07 2.382924e-05 -2.211821e-04 -3.498872e-05 3.674994e-05
 8953.000000 -3.116829e-05 -3.404730e-07 -2.294543e-07 -3.168456e-07 1.866384e-05 -2.156581e-04 -2.520006e-05 9.168643e-06
 8956.000000 -3.110061e-05 -3.404070e-07 -2.289600e-07 -3.172656e-07 3.971538e-06 -2.283577e-04 -2.524602e-05 5.235856e-06
 8958.000000 -3.108271e-05 -3.397336e-07 -2.283649e-07 -3.177769e-07 6.350706e-06 -2.191700e-04 -3.139123e-05 -7.478587e-06
 8959.000000 -3.106854e-05 -3.397176e-07 -2.280573e-07 -3.181120e-07 1.307391e-05 -1.977000e-04 -3.174998e-05 7.356387e-07
 8959.200000 -3.108288e-05 -3.381821e-07 -2.269755e-07 -3.184307e-07 1.930636e-05 -1.920718e-04 -3.298452e-05 8.774714e-06
 8959.400000 -3.103473e-05 -3.407523e-07 -2.288558e-07 -3.177543e-07 1.923148e-05 -2.028245e-04 -3.703144e-05 1.804954e-05
