# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.3814258461173
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000122
# Detector.I1.voltage: -1650.002808
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371059
# Scan.uid: 6e2b61f9-cc49-465a-8a77-74dfcc5380de
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:41:24.131226
# Scan.end_time: 06/23/2023  05:41:58.873236
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 300.0
# SampleHeater.temperature2.readback: 299.0
# SampleHeater.voltage.setpoint: 0.7112667131123274
# SampleHeater.voltage.readback: 0.71
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.08
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.459174e-05 -3.272704e-07 -2.170717e-07 -3.165424e-07 1.649272e-05 -2.855856e-04 -4.289478e-05 4.377450e-05
 8784.000000 -3.467492e-05 -3.259714e-07 -2.161516e-07 -3.181238e-07 1.572937e-05 -2.830819e-04 -4.353200e-05 5.478322e-05
 8789.000000 -3.460952e-05 -3.242747e-07 -2.151318e-07 -3.187326e-07 1.719661e-05 -2.440958e-04 -4.280357e-05 5.455025e-05
 8794.000000 -3.439140e-05 -3.233270e-07 -2.147083e-07 -3.175882e-07 2.077922e-05 -2.352877e-04 -4.301119e-05 5.532246e-05
 8799.000000 -3.407308e-05 -3.190826e-07 -2.119897e-07 -3.154499e-07 2.135361e-05 -2.327087e-04 -3.967911e-05 5.708655e-05
 8804.000000 -3.432751e-05 -3.236984e-07 -2.150032e-07 -3.183609e-07 2.011003e-05 -2.440551e-04 -4.606625e-05 5.753644e-05
 8809.000000 -3.404992e-05 -3.281978e-07 -2.184924e-07 -3.164303e-07 2.093611e-05 -2.707466e-04 -4.721077e-05 4.696537e-05
 8814.000000 -3.390403e-05 -3.260953e-07 -2.172402e-07 -3.156542e-07 2.751559e-05 -2.507094e-04 -4.203857e-05 5.023433e-05
 8819.000000 -3.383836e-05 -3.290867e-07 -2.196204e-07 -3.156971e-07 3.252124e-05 -2.330144e-04 -4.355688e-05 5.246786e-05
 8824.000000 -3.390472e-05 -3.270587e-07 -2.182552e-07 -3.172261e-07 2.817938e-05 -2.512453e-04 -4.210621e-05 5.158463e-05
 8829.000000 -3.390153e-05 -3.244750e-07 -2.164556e-07 -3.182606e-07 2.671097e-05 -2.640039e-04 -4.350184e-05 4.851946e-05
 8834.000000 -3.387369e-05 -3.225390e-07 -2.152892e-07 -3.190848e-07 3.304172e-05 -2.582732e-04 -4.663291e-05 4.722263e-05
 8839.000000 -3.379090e-05 -3.223377e-07 -2.153917e-07 -3.194825e-07 3.073787e-05 -2.508809e-04 -4.426350e-05 5.407899e-05
 8844.000000 -3.365996e-05 -3.221842e-07 -2.155757e-07 -3.194461e-07 3.215370e-05 -2.451667e-04 -4.513018e-05 6.087060e-05
 8849.000000 -3.345235e-05 -3.253069e-07 -2.179094e-07 -3.184168e-07 3.663473e-05 -2.355712e-04 -4.478677e-05 4.940619e-05
 8854.000000 -3.326818e-05 -3.283247e-07 -2.199698e-07 -3.178866e-07 3.401231e-05 -2.482485e-04 -5.161580e-05 5.042900e-05
 8859.000000 -3.327981e-05 -3.264321e-07 -2.189201e-07 -3.190733e-07 3.695565e-05 -2.562357e-04 -3.866888e-05 5.120838e-05
 8864.000000 -3.320596e-05 -3.274413e-07 -2.193224e-07 -3.193546e-07 2.773826e-05 -2.576411e-04 -5.699327e-05 4.158415e-05
 8869.000000 -3.312401e-05 -3.276702e-07 -2.198907e-07 -3.190409e-07 2.497871e-05 -2.758432e-04 -5.050115e-05 4.818515e-05
 8874.000000 -3.299974e-05 -3.291961e-07 -2.209011e-07 -3.186025e-07 3.236370e-05 -2.747533e-04 -5.261996e-05 5.840511e-05
 8879.000000 -3.290863e-05 -3.298550e-07 -2.216791e-07 -3.186505e-07 2.738272e-05 -2.812810e-04 -5.441633e-05 5.162037e-05
 8884.000000 -3.268954e-05 -3.291090e-07 -2.211944e-07 -3.181311e-07 2.559461e-05 -2.931712e-04 -5.707120e-05 5.426588e-05
 8889.000000 -3.245628e-05 -3.288690e-07 -2.210034e-07 -3.172694e-07 2.647768e-05 -2.978397e-04 -5.499519e-05 4.999695e-05
 8894.000000 -3.264057e-05 -3.322391e-07 -2.233428e-07 -3.192451e-07 2.319916e-05 -2.950846e-04 -5.099495e-05 5.045347e-05
 8899.000000 -3.253199e-05 -3.344672e-07 -2.250851e-07 -3.187250e-07 2.500837e-05 -2.748777e-04 -4.541383e-05 5.057241e-05
 8904.000000 -3.239863e-05 -3.352632e-07 -2.259660e-07 -3.181386e-07 2.502965e-05 -2.966135e-04 -3.757563e-05 5.356906e-05
 8909.000000 -3.225505e-05 -3.363282e-07 -2.268240e-07 -3.171219e-07 1.748068e-05 -2.816629e-04 -4.431170e-05 5.559169e-05
 8914.000000 -3.200244e-05 -3.356591e-07 -2.264186e-07 -3.154437e-07 1.640717e-05 -2.711234e-04 -5.290529e-05 6.064067e-05
 8919.000000 -3.192629e-05 -3.376785e-07 -2.277192e-07 -3.155589e-07 1.777866e-05 -2.808732e-04 -4.480994e-05 6.364529e-05
 8924.000000 -3.173063e-05 -3.394052e-07 -2.290682e-07 -3.145629e-07 1.489563e-05 -2.866125e-04 -4.523000e-05 6.146250e-05
 8929.000000 -3.169660e-05 -3.444341e-07 -2.324834e-07 -3.155500e-07 1.542308e-05 -2.702697e-04 -4.342001e-05 5.886272e-05
 8934.000000 -3.158272e-05 -3.463373e-07 -2.337358e-07 -3.158938e-07 1.299899e-05 -2.867924e-04 -4.671756e-05 6.018524e-05
 8939.000000 -3.146061e-05 -3.471690e-07 -2.342737e-07 -3.158776e-07 1.835864e-05 -2.996228e-04 -5.853015e-05 6.400807e-05
 8944.000000 -3.133934e-05 -3.475090e-07 -2.344583e-07 -3.157630e-07 1.453204e-05 -2.886477e-04 -5.861482e-05 6.912949e-05
 8949.000000 -3.123312e-05 -3.466273e-07 -2.336576e-07 -3.158442e-07 1.451390e-05 -2.935829e-04 -5.018220e-05 6.562678e-05
 8953.000000 -3.118961e-05 -3.472989e-07 -2.338663e-07 -3.164675e-07 2.085768e-05 -3.257296e-04 -4.912866e-05 6.331452e-05
 8956.000000 -3.099505e-05 -3.529792e-07 -2.376301e-07 -3.154636e-07 1.779739e-05 -3.219735e-04 -5.215053e-05 7.142163e-05
 8958.000000 -3.091299e-05 -3.544266e-07 -2.385587e-07 -3.149509e-07 2.251775e-05 -3.285225e-04 -4.819335e-05 7.684574e-05
 8959.000000 -3.097307e-05 -3.533631e-07 -2.374158e-07 -3.161448e-07 1.431441e-05 -3.239531e-04 -4.027131e-05 6.611830e-05
 8959.200000 -3.092188e-05 -3.545414e-07 -2.381686e-07 -3.156180e-07 1.444265e-05 -3.245896e-04 -4.235576e-05 6.119964e-05
 8959.400000 -3.091896e-05 -3.542717e-07 -2.378810e-07 -3.157361e-07 2.172730e-05 -3.440899e-04 -4.403096e-05 6.663724e-05
