# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.28860912946993
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001099
# Detector.I1.voltage: -1649.999146
# Detector.I2.voltage: -1649.998413
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371063
# Scan.uid: 408b2b6d-fbb1-490c-9841-313fb635a9ce
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:45:24.087719
# Scan.end_time: 06/23/2023  05:45:59.102832
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 300.0
# SampleHeater.temperature2.readback: 300.1
# SampleHeater.voltage.setpoint: 0.7022967999588721
# SampleHeater.voltage.readback: 0.6920000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.16
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.447093e-05 -3.128176e-07 -2.074014e-07 -3.176251e-07 -1.040396e-05 -1.030737e-04 -5.480287e-05 1.781969e-07
 8784.000000 -3.453867e-05 -3.106685e-07 -2.062482e-07 -3.192275e-07 -1.819215e-05 -1.201964e-04 -5.965310e-05 -4.696969e-07
 8789.000000 -3.451649e-05 -3.076694e-07 -2.041564e-07 -3.198631e-07 -1.391857e-05 -1.389992e-04 -7.148635e-05 -8.852032e-06
 8794.000000 -3.436579e-05 -3.063157e-07 -2.033497e-07 -3.190378e-07 -4.964207e-06 -1.501863e-04 -6.408665e-05 -3.015546e-06
 8799.000000 -3.390687e-05 -3.052152e-07 -2.029420e-07 -3.156451e-07 -7.522373e-06 -1.663587e-04 -5.594470e-05 1.531496e-07
 8804.000000 -3.418492e-05 -3.077965e-07 -2.047476e-07 -3.187797e-07 -4.502613e-06 -1.584795e-04 -5.242762e-05 -1.822193e-06
 8809.000000 -3.409160e-05 -3.079440e-07 -2.050160e-07 -3.186560e-07 -4.836866e-06 -1.304216e-04 -5.291238e-05 -5.620721e-06
 8814.000000 -3.392835e-05 -3.058545e-07 -2.038239e-07 -3.175777e-07 -1.073602e-05 -1.518819e-04 -4.774289e-05 4.570382e-06
 8819.000000 -3.395193e-05 -3.064924e-07 -2.043587e-07 -3.182655e-07 -8.110896e-06 -1.577519e-04 -4.149462e-05 -2.466938e-07
 8824.000000 -3.391429e-05 -3.063605e-07 -2.043099e-07 -3.187080e-07 -5.385112e-06 -1.443723e-04 -4.084658e-05 -1.026880e-06
 8829.000000 -3.373531e-05 -3.086034e-07 -2.059831e-07 -3.179817e-07 -3.183869e-06 -1.375774e-04 -4.446554e-05 -9.175634e-06
 8834.000000 -3.370138e-05 -3.079975e-07 -2.055895e-07 -3.189610e-07 -3.474616e-06 -1.529460e-04 -4.155075e-05 -8.768689e-06
 8839.000000 -3.351672e-05 -3.101193e-07 -2.070954e-07 -3.181037e-07 -7.726457e-06 -1.833339e-04 -3.800159e-05 -1.510373e-05
 8844.000000 -3.320340e-05 -3.154572e-07 -2.110796e-07 -3.159486e-07 -1.003802e-05 -1.876790e-04 -2.965833e-05 -6.208575e-06
 8849.000000 -3.322774e-05 -3.134974e-07 -2.099389e-07 -3.175463e-07 -1.135320e-05 -2.030550e-04 -3.564410e-05 -7.955665e-06
 8854.000000 -3.317211e-05 -3.136947e-07 -2.101225e-07 -3.181168e-07 -9.431807e-06 -1.995010e-04 -3.749809e-05 -9.892588e-06
 8859.000000 -3.314734e-05 -3.125772e-07 -2.095825e-07 -3.189936e-07 -1.634573e-05 -1.915503e-04 -3.681606e-05 -7.020646e-06
 8864.000000 -3.313414e-05 -3.114374e-07 -2.089254e-07 -3.200868e-07 -1.222881e-05 -1.961549e-04 -3.496981e-05 -1.313167e-06
 8869.000000 -3.301920e-05 -3.137994e-07 -2.106858e-07 -3.196610e-07 -7.455472e-06 -2.191312e-04 -3.504885e-05 -2.591543e-06
 8874.000000 -3.284525e-05 -3.168780e-07 -2.125839e-07 -3.185357e-07 -2.161771e-06 -2.103856e-04 -4.633956e-05 -7.833735e-06
 8879.000000 -3.280590e-05 -3.159189e-07 -2.121897e-07 -3.193976e-07 -4.355259e-06 -1.750930e-04 -4.222396e-05 -1.319239e-05
 8884.000000 -3.246345e-05 -3.186224e-07 -2.141860e-07 -3.172710e-07 -4.654655e-06 -1.963951e-04 -4.311106e-05 -1.149927e-05
 8889.000000 -3.221123e-05 -3.192926e-07 -2.148078e-07 -3.163163e-07 -4.459441e-06 -1.994370e-04 -3.966283e-05 -8.767754e-06
 8894.000000 -3.251416e-05 -3.186216e-07 -2.144128e-07 -3.198589e-07 -3.281088e-06 -1.836590e-04 -4.538316e-05 -1.283603e-05
 8899.000000 -3.243487e-05 -3.193804e-07 -2.149736e-07 -3.200226e-07 -5.411450e-07 -2.154520e-04 -4.729704e-05 -7.974545e-06
 8904.000000 -3.224562e-05 -3.231744e-07 -2.174903e-07 -3.182725e-07 -9.023099e-06 -2.224431e-04 -5.679731e-05 -6.708639e-06
 8909.000000 -3.211944e-05 -3.241197e-07 -2.182579e-07 -3.173687e-07 -3.511797e-06 -2.283207e-04 -6.556980e-05 -1.150739e-05
 8914.000000 -3.186074e-05 -3.250120e-07 -2.189509e-07 -3.155549e-07 -9.472127e-06 -2.137169e-04 -5.860798e-05 -1.030255e-05
 8919.000000 -3.182066e-05 -3.255566e-07 -2.194889e-07 -3.163269e-07 -6.653878e-06 -2.166589e-04 -5.108430e-05 -1.109184e-05
 8924.000000 -3.156465e-05 -3.301246e-07 -2.227876e-07 -3.149330e-07 -7.043677e-06 -2.250317e-04 -5.667894e-05 -1.651212e-05
 8929.000000 -3.159639e-05 -3.331073e-07 -2.247727e-07 -3.165322e-07 -1.704674e-05 -2.057697e-04 -5.359324e-05 -1.422454e-05
 8934.000000 -3.157845e-05 -3.324684e-07 -2.244482e-07 -3.177229e-07 -2.259135e-05 -1.874584e-04 -5.365718e-05 -2.072396e-05
 8939.000000 -3.147791e-05 -3.334203e-07 -2.250002e-07 -3.178389e-07 -8.334752e-06 -1.988754e-04 -6.020950e-05 -2.314408e-05
 8944.000000 -3.131325e-05 -3.348616e-07 -2.258356e-07 -3.173281e-07 2.805032e-07 -1.912603e-04 -6.719946e-05 -1.568058e-05
 8949.000000 -3.116706e-05 -3.340520e-07 -2.250916e-07 -3.167762e-07 9.172191e-06 -1.398512e-04 -5.927463e-05 -1.044668e-05
 8953.000000 -3.109644e-05 -3.340928e-07 -2.248919e-07 -3.172822e-07 5.732101e-06 -1.174355e-04 -4.896018e-05 -1.359101e-05
 8956.000000 -3.092726e-05 -3.376717e-07 -2.271932e-07 -3.165120e-07 7.244867e-06 -1.385159e-04 -3.711947e-05 -1.333400e-05
 8958.000000 -3.096289e-05 -3.356624e-07 -2.256143e-07 -3.174294e-07 4.583921e-06 -9.460909e-05 -4.613682e-05 -1.320820e-05
 8959.000000 -3.101251e-05 -3.338008e-07 -2.244451e-07 -3.182608e-07 5.109586e-06 -6.375730e-05 -5.117460e-05 -1.170358e-05
 8959.200000 -3.100514e-05 -3.345761e-07 -2.250965e-07 -3.179602e-07 1.289850e-05 -6.404454e-05 -5.881604e-05 -1.796837e-05
 8959.400000 -3.096430e-05 -3.344426e-07 -2.247260e-07 -3.177975e-07 1.886650e-05 -5.124457e-05 -5.278814e-05 -1.549245e-05
