# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5659140662866
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.000122
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371067
# Scan.uid: 4d19f09e-daf4-4a77-98bc-4147ce5cf232
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:49:26.593372
# Scan.end_time: 06/23/2023  05:49:59.518363
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 303.98822830120724
# SampleHeater.temperature2.readback: 304.0
# SampleHeater.voltage.setpoint: 0.6896927710829631
# SampleHeater.voltage.readback: 0.659
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.02
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.421478e-05 -3.114162e-07 -2.065287e-07 -3.146724e-07 3.008985e-05 -3.296741e-04 -3.632975e-05 3.613271e-05
 8784.000000 -3.431626e-05 -3.082866e-07 -2.044037e-07 -3.164095e-07 2.597152e-05 -3.134623e-04 -3.002966e-05 3.873430e-05
 8789.000000 -3.425487e-05 -3.060747e-07 -2.031984e-07 -3.169926e-07 2.007526e-05 -2.849709e-04 -2.966346e-05 3.276066e-05
 8794.000000 -3.406627e-05 -3.047842e-07 -2.023790e-07 -3.162704e-07 1.654243e-05 -2.709865e-04 -3.872028e-05 3.262822e-05
 8799.000000 -3.367141e-05 -3.006398e-07 -1.997213e-07 -3.134878e-07 2.008523e-05 -2.286900e-04 -3.975922e-05 3.140449e-05
 8804.000000 -3.397293e-05 -3.037063e-07 -2.016817e-07 -3.169353e-07 1.241327e-05 -2.597037e-04 -3.899664e-05 2.822287e-05
 8809.000000 -3.390095e-05 -3.040323e-07 -2.023652e-07 -3.166964e-07 2.203832e-05 -2.743190e-04 -4.606429e-05 2.986831e-05
 8814.000000 -3.371257e-05 -3.036918e-07 -2.022015e-07 -3.152509e-07 1.650358e-05 -2.809425e-04 -4.699234e-05 2.991818e-05
 8819.000000 -3.370909e-05 -3.051037e-07 -2.033411e-07 -3.156643e-07 1.858859e-05 -2.921133e-04 -4.434268e-05 3.684568e-05
 8824.000000 -3.370867e-05 -3.056097e-07 -2.035374e-07 -3.165965e-07 1.469651e-05 -2.760308e-04 -4.214345e-05 3.215103e-05
 8829.000000 -3.351845e-05 -3.096853e-07 -2.063998e-07 -3.155588e-07 1.566218e-05 -2.787080e-04 -3.856439e-05 3.847085e-05
 8834.000000 -3.341782e-05 -3.125918e-07 -2.084548e-07 -3.155350e-07 2.122627e-05 -2.668497e-04 -4.031559e-05 3.124863e-05
 8839.000000 -3.336045e-05 -3.129223e-07 -2.091867e-07 -3.160164e-07 1.801343e-05 -2.944027e-04 -5.256885e-05 3.569564e-05
 8844.000000 -3.318874e-05 -3.152306e-07 -2.107292e-07 -3.156169e-07 2.083401e-05 -3.045485e-04 -4.837575e-05 3.678927e-05
 8849.000000 -3.320004e-05 -3.137834e-07 -2.101248e-07 -3.168053e-07 2.350760e-05 -3.086948e-04 -3.931624e-05 4.477889e-05
 8854.000000 -3.313755e-05 -3.132367e-07 -2.097643e-07 -3.171528e-07 1.780850e-05 -2.869054e-04 -3.705139e-05 4.244547e-05
 8859.000000 -3.298624e-05 -3.156900e-07 -2.115047e-07 -3.169706e-07 1.920004e-05 -3.141102e-04 -3.610946e-05 3.972185e-05
 8864.000000 -3.286304e-05 -3.179395e-07 -2.132175e-07 -3.167709e-07 2.396843e-05 -3.054374e-04 -3.483282e-05 2.733458e-05
 8869.000000 -3.285953e-05 -3.163148e-07 -2.121934e-07 -3.178593e-07 1.876119e-05 -2.985127e-04 -3.191390e-05 4.147909e-05
 8874.000000 -3.275379e-05 -3.172180e-07 -2.129197e-07 -3.176598e-07 2.273173e-05 -2.898911e-04 -4.063332e-05 4.645187e-05
 8879.000000 -3.262431e-05 -3.179680e-07 -2.138504e-07 -3.177653e-07 1.594458e-05 -3.259373e-04 -4.792321e-05 4.091860e-05
 8884.000000 -3.239599e-05 -3.164996e-07 -2.127712e-07 -3.168356e-07 2.375918e-05 -3.291765e-04 -3.806388e-05 4.374855e-05
 8889.000000 -3.218222e-05 -3.164975e-07 -2.129354e-07 -3.163754e-07 2.123811e-05 -3.309456e-04 -3.249690e-05 4.505305e-05
 8894.000000 -3.233403e-05 -3.201473e-07 -2.154514e-07 -3.180766e-07 3.026974e-05 -2.852004e-04 -3.432330e-05 4.535953e-05
 8899.000000 -3.221973e-05 -3.223883e-07 -2.169281e-07 -3.178260e-07 2.456737e-05 -2.871378e-04 -3.626554e-05 5.140690e-05
 8904.000000 -3.209741e-05 -3.244987e-07 -2.184716e-07 -3.171190e-07 2.903701e-05 -2.944133e-04 -2.285734e-05 6.244582e-05
 8909.000000 -3.193533e-05 -3.261701e-07 -2.196606e-07 -3.161155e-07 3.390567e-05 -2.920469e-04 -2.944417e-05 6.174223e-05
 8914.000000 -3.172116e-05 -3.247432e-07 -2.187711e-07 -3.147564e-07 2.937149e-05 -2.843494e-04 -4.290970e-05 5.348563e-05
 8919.000000 -3.166177e-05 -3.266296e-07 -2.201066e-07 -3.153253e-07 2.898771e-05 -3.180585e-04 -4.826324e-05 6.158674e-05
 8924.000000 -3.145528e-05 -3.286965e-07 -2.215784e-07 -3.144415e-07 3.006632e-05 -2.952751e-04 -4.595415e-05 6.851278e-05
 8929.000000 -3.131940e-05 -3.359869e-07 -2.266564e-07 -3.141567e-07 1.702597e-05 -2.837216e-04 -5.273120e-05 5.114981e-05
 8934.000000 -3.130324e-05 -3.358264e-07 -2.266678e-07 -3.151157e-07 2.057937e-05 -2.845233e-04 -5.597508e-05 5.170038e-05
 8939.000000 -3.126483e-05 -3.348898e-07 -2.260602e-07 -3.161536e-07 2.379428e-05 -2.595798e-04 -4.865714e-05 4.663356e-05
 8944.000000 -3.117322e-05 -3.344979e-07 -2.256920e-07 -3.160050e-07 2.202743e-05 -2.396051e-04 -4.128909e-05 3.574063e-05
 8949.000000 -3.102815e-05 -3.330524e-07 -2.244314e-07 -3.157877e-07 1.255941e-05 -2.679189e-04 -3.578272e-05 3.486657e-05
 8953.000000 -3.091840e-05 -3.327713e-07 -2.241334e-07 -3.158539e-07 2.335996e-05 -2.890289e-04 -3.370650e-05 3.328096e-05
 8956.000000 -3.085739e-05 -3.336148e-07 -2.245303e-07 -3.161741e-07 2.664863e-05 -2.845281e-04 -2.810756e-05 3.656633e-05
 8958.000000 -3.086569e-05 -3.327448e-07 -2.235453e-07 -3.164422e-07 2.535290e-05 -2.874258e-04 -2.065903e-05 3.120789e-05
 8959.000000 -3.078680e-05 -3.356924e-07 -2.254469e-07 -3.157266e-07 2.464057e-05 -2.930245e-04 -2.324457e-05 3.424511e-05
 8959.200000 -3.070096e-05 -3.378434e-07 -2.269499e-07 -3.148717e-07 2.147218e-05 -3.017323e-04 -2.874198e-05 3.247925e-05
 8959.400000 -3.069980e-05 -3.378113e-07 -2.267306e-07 -3.148602e-07 2.717059e-05 -3.113352e-04 -2.987968e-05 3.503163e-05
