# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.806786030472
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.994629
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.001343
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371075
# Scan.uid: 610cfa0b-380f-48da-9b8e-689248fba790
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  05:57:24.532740
# Scan.end_time: 06/23/2023  05:58:00.392297
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 343.8536756038666
# SampleHeater.temperature2.readback: 343.6
# SampleHeater.voltage.setpoint: 0.7860777983658295
# SampleHeater.voltage.readback: 0.784
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.78
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.439437e-05 -3.060333e-07 -2.027829e-07 -3.183917e-07 4.763806e-05 -1.541450e-04 -4.285690e-05 5.097670e-05
 8784.000000 -3.441493e-05 -3.041461e-07 -2.017058e-07 -3.194680e-07 4.438129e-05 -1.425347e-04 -4.805032e-05 5.822796e-05
 8789.000000 -3.440796e-05 -3.012376e-07 -1.998042e-07 -3.206298e-07 4.455473e-05 -1.466197e-04 -5.010201e-05 6.194311e-05
 8794.000000 -3.424982e-05 -2.992301e-07 -1.986404e-07 -3.201520e-07 4.852290e-05 -1.616383e-04 -6.013182e-05 6.342328e-05
 8799.000000 -3.380700e-05 -2.966078e-07 -1.970738e-07 -3.164803e-07 5.001277e-05 -1.529353e-04 -5.117362e-05 6.885136e-05
 8804.000000 -3.413782e-05 -2.991166e-07 -1.988948e-07 -3.203351e-07 4.676023e-05 -1.455488e-04 -5.560416e-05 5.803390e-05
 8809.000000 -3.400974e-05 -3.008887e-07 -1.999956e-07 -3.198055e-07 4.298281e-05 -1.671574e-04 -5.208659e-05 5.796692e-05
 8814.000000 -3.378054e-05 -3.028066e-07 -2.015333e-07 -3.177159e-07 4.464933e-05 -2.039336e-04 -5.188535e-05 5.063299e-05
 8819.000000 -3.375051e-05 -3.072414e-07 -2.046897e-07 -3.178136e-07 4.325061e-05 -2.030736e-04 -5.636825e-05 4.310764e-05
 8824.000000 -3.376721e-05 -3.049936e-07 -2.034484e-07 -3.186642e-07 4.250152e-05 -2.007920e-04 -5.895738e-05 4.510135e-05
 8829.000000 -3.372751e-05 -3.037482e-07 -2.027058e-07 -3.194710e-07 4.222471e-05 -1.752329e-04 -5.402010e-05 4.674386e-05
 8834.000000 -3.351339e-05 -3.075852e-07 -2.053601e-07 -3.181805e-07 3.881476e-05 -1.833270e-04 -5.847910e-05 5.040110e-05
 8839.000000 -3.341126e-05 -3.090125e-07 -2.063700e-07 -3.184228e-07 3.260068e-05 -1.840069e-04 -6.919542e-05 5.221196e-05
 8844.000000 -3.336464e-05 -3.094363e-07 -2.068281e-07 -3.193842e-07 2.809447e-05 -1.906160e-04 -6.214143e-05 5.943426e-05
 8849.000000 -3.335336e-05 -3.076229e-07 -2.057279e-07 -3.209320e-07 3.170862e-05 -1.908117e-04 -5.570257e-05 5.475485e-05
 8854.000000 -3.325315e-05 -3.077707e-07 -2.062342e-07 -3.211869e-07 3.891370e-05 -1.975323e-04 -3.787074e-05 5.670112e-05
 8859.000000 -3.317823e-05 -3.074829e-07 -2.061001e-07 -3.218889e-07 3.983984e-05 -2.174027e-04 -3.468912e-05 5.023514e-05
 8864.000000 -3.307281e-05 -3.084191e-07 -2.067929e-07 -3.220663e-07 4.328914e-05 -2.196071e-04 -5.017003e-05 4.999852e-05
 8869.000000 -3.293504e-05 -3.100667e-07 -2.080349e-07 -3.213001e-07 4.447187e-05 -2.137598e-04 -5.044833e-05 4.739341e-05
 8874.000000 -3.285093e-05 -3.096106e-07 -2.077171e-07 -3.212461e-07 3.973993e-05 -2.034872e-04 -5.493390e-05 5.736483e-05
 8879.000000 -3.268751e-05 -3.112484e-07 -2.091360e-07 -3.204290e-07 3.940532e-05 -2.138839e-04 -6.103437e-05 5.808340e-05
 8884.000000 -3.243939e-05 -3.106007e-07 -2.087068e-07 -3.194633e-07 3.982946e-05 -2.324984e-04 -5.520593e-05 5.208364e-05
 8889.000000 -3.223580e-05 -3.094506e-07 -2.082115e-07 -3.187333e-07 5.052394e-05 -2.301617e-04 -4.888717e-05 5.327171e-05
 8894.000000 -3.214758e-05 -3.180137e-07 -2.141577e-07 -3.177188e-07 5.084326e-05 -2.334824e-04 -5.590401e-05 5.207065e-05
 8899.000000 -3.202685e-05 -3.193438e-07 -2.150377e-07 -3.170551e-07 4.186847e-05 -2.368230e-04 -6.027228e-05 5.243165e-05
 8904.000000 -3.192214e-05 -3.200832e-07 -2.155135e-07 -3.167681e-07 3.917261e-05 -2.361574e-04 -5.952077e-05 5.528190e-05
 8909.000000 -3.180587e-05 -3.210654e-07 -2.162314e-07 -3.163624e-07 4.827882e-05 -2.167012e-04 -6.094749e-05 4.510058e-05
 8914.000000 -3.175603e-05 -3.157404e-07 -2.127730e-07 -3.171625e-07 4.694999e-05 -2.276792e-04 -5.562774e-05 5.342403e-05
 8919.000000 -3.166971e-05 -3.166129e-07 -2.135237e-07 -3.171608e-07 4.503036e-05 -2.389232e-04 -5.689802e-05 5.409333e-05
 8924.000000 -3.151381e-05 -3.174680e-07 -2.141322e-07 -3.166728e-07 4.603651e-05 -2.530423e-04 -6.080791e-05 5.588923e-05
 8929.000000 -3.154492e-05 -3.199256e-07 -2.156915e-07 -3.186557e-07 4.500204e-05 -2.416633e-04 -6.435872e-05 5.417860e-05
 8934.000000 -3.146075e-05 -3.213733e-07 -2.168977e-07 -3.191027e-07 4.302119e-05 -2.459485e-04 -5.523375e-05 4.992987e-05
 8939.000000 -3.129403e-05 -3.245765e-07 -2.190337e-07 -3.181134e-07 3.839092e-05 -2.459864e-04 -5.579311e-05 5.283073e-05
 8944.000000 -3.117733e-05 -3.251775e-07 -2.193618e-07 -3.184747e-07 4.282264e-05 -1.924389e-04 -6.253499e-05 5.174008e-05
 8949.000000 -3.108170e-05 -3.246935e-07 -2.187918e-07 -3.184765e-07 4.127429e-05 -1.752107e-04 -6.047000e-05 4.654017e-05
 8953.000000 -3.097472e-05 -3.240613e-07 -2.182461e-07 -3.183816e-07 4.539488e-05 -1.782955e-04 -6.017089e-05 3.428919e-05
 8956.000000 -3.089721e-05 -3.244933e-07 -2.183898e-07 -3.185407e-07 4.620151e-05 -1.797602e-04 -5.947420e-05 3.421424e-05
 8958.000000 -3.082473e-05 -3.266930e-07 -2.196054e-07 -3.186535e-07 3.977695e-05 -2.214424e-04 -5.780186e-05 3.836592e-05
 8959.000000 -3.076711e-05 -3.272951e-07 -2.196975e-07 -3.182392e-07 4.278300e-05 -2.287129e-04 -5.625398e-05 4.541132e-05
 8959.200000 -3.077061e-05 -3.261479e-07 -2.188572e-07 -3.185270e-07 4.740722e-05 -2.213153e-04 -5.868491e-05 4.262562e-05
 8959.400000 -3.074153e-05 -3.270933e-07 -2.197667e-07 -3.181204e-07 5.970373e-05 -2.253319e-04 -6.286375e-05 4.044318e-05
