# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1033315110752
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.99585
# Detector.I1.voltage: -1649.999634
# Detector.I2.voltage: -1650.002075
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371079
# Scan.uid: b3218747-3d52-44bc-a010-31f27537b227
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:01:24.537517
# Scan.end_time: 06/23/2023  06:01:59.711864
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 363.83355871836346
# SampleHeater.temperature2.readback: 364.8
# SampleHeater.voltage.setpoint: 0.7842208559814045
# SampleHeater.voltage.readback: 0.772
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.69
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.008138020522892475
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.453306e-05 -3.088224e-07 -2.046678e-07 -3.198637e-07 8.798167e-06 -4.190156e-04 -5.316924e-05 3.794940e-05
 8784.000000 -3.457268e-05 -3.061859e-07 -2.029995e-07 -3.213911e-07 7.182301e-06 -3.970855e-04 -5.063605e-05 4.492263e-05
 8789.000000 -3.451951e-05 -3.035476e-07 -2.013296e-07 -3.219347e-07 7.995126e-06 -4.208422e-04 -6.167920e-05 4.195874e-05
 8794.000000 -3.435160e-05 -3.024636e-07 -2.006459e-07 -3.208102e-07 6.631207e-06 -4.072816e-04 -6.735218e-05 3.482487e-05
 8799.000000 -3.396442e-05 -2.992543e-07 -1.985907e-07 -3.183514e-07 -4.292263e-06 -3.683712e-04 -6.869634e-05 3.563869e-05
 8804.000000 -3.425407e-05 -3.021231e-07 -2.008234e-07 -3.216721e-07 -3.860479e-07 -3.749663e-04 -7.074724e-05 3.307903e-05
 8809.000000 -3.419931e-05 -3.024999e-07 -2.013659e-07 -3.217851e-07 -1.166519e-06 -3.941715e-04 -5.914730e-05 4.655324e-05
 8814.000000 -3.400667e-05 -3.015631e-07 -2.007239e-07 -3.206833e-07 5.338105e-06 -3.913638e-04 -5.955294e-05 4.704622e-05
 8819.000000 -3.398436e-05 -3.020367e-07 -2.012970e-07 -3.210674e-07 8.619818e-07 -3.892936e-04 -5.398781e-05 5.194870e-05
 8824.000000 -3.395981e-05 -3.030320e-07 -2.020232e-07 -3.216340e-07 -6.864435e-06 -3.879345e-04 -5.799549e-05 4.663327e-05
 8829.000000 -3.386629e-05 -3.036805e-07 -2.026694e-07 -3.217429e-07 2.176045e-07 -3.986718e-04 -5.340387e-05 4.467806e-05
 8834.000000 -3.378102e-05 -3.047429e-07 -2.033335e-07 -3.218293e-07 -4.750570e-06 -3.712640e-04 -5.463055e-05 3.869037e-05
 8839.000000 -3.369446e-05 -3.050786e-07 -2.037196e-07 -3.222359e-07 -7.224717e-06 -3.461951e-04 -5.357731e-05 4.227610e-05
 8844.000000 -3.360123e-05 -3.057641e-07 -2.040892e-07 -3.223598e-07 -1.518092e-05 -3.425697e-04 -6.016658e-05 5.197024e-05
 8849.000000 -3.349213e-05 -3.068378e-07 -2.052316e-07 -3.223322e-07 -8.381441e-06 -3.552062e-04 -7.545975e-05 4.677338e-05
 8854.000000 -3.339840e-05 -3.077936e-07 -2.060825e-07 -3.227166e-07 -1.699523e-07 -3.578442e-04 -7.710184e-05 5.020630e-05
 8859.000000 -3.327128e-05 -3.098668e-07 -2.075135e-07 -3.226654e-07 -3.745755e-06 -3.807089e-04 -7.601561e-05 5.322630e-05
 8864.000000 -3.321833e-05 -3.102847e-07 -2.080333e-07 -3.231563e-07 -7.519439e-06 -3.585600e-04 -7.840215e-05 5.416201e-05
 8869.000000 -3.311258e-05 -3.116406e-07 -2.090896e-07 -3.228560e-07 -5.536670e-06 -3.566941e-04 -7.583216e-05 6.071476e-05
 8874.000000 -3.297611e-05 -3.135153e-07 -2.104452e-07 -3.223997e-07 -5.782686e-06 -3.699283e-04 -7.460339e-05 6.029458e-05
 8879.000000 -3.285370e-05 -3.132465e-07 -2.100565e-07 -3.220902e-07 -9.011384e-06 -3.728238e-04 -6.941464e-05 5.990865e-05
 8884.000000 -3.262721e-05 -3.126226e-07 -2.099223e-07 -3.212848e-07 -1.109900e-05 -3.693026e-04 -6.959644e-05 5.512796e-05
 8889.000000 -3.238540e-05 -3.126173e-07 -2.099032e-07 -3.205367e-07 -7.100986e-07 -3.529669e-04 -6.693267e-05 6.552952e-05
 8894.000000 -3.254646e-05 -3.159722e-07 -2.125170e-07 -3.222576e-07 3.411689e-06 -3.521382e-04 -7.483300e-05 5.240963e-05
 8899.000000 -3.243783e-05 -3.173982e-07 -2.134777e-07 -3.220942e-07 3.646266e-06 -3.713414e-04 -7.178608e-05 4.800806e-05
 8904.000000 -3.230325e-05 -3.190963e-07 -2.148393e-07 -3.214837e-07 9.585715e-07 -3.615714e-04 -6.819961e-05 5.058631e-05
 8909.000000 -3.209365e-05 -3.223097e-07 -2.171866e-07 -3.197948e-07 -8.657341e-06 -3.574383e-04 -6.550077e-05 4.992752e-05
 8914.000000 -3.188985e-05 -3.208622e-07 -2.163685e-07 -3.187671e-07 -1.021145e-05 -3.610151e-04 -7.154296e-05 4.789066e-05
 8919.000000 -3.188474e-05 -3.204421e-07 -2.159731e-07 -3.197274e-07 -3.680806e-06 -3.884266e-04 -6.393815e-05 5.295038e-05
 8924.000000 -3.165111e-05 -3.222024e-07 -2.172574e-07 -3.184399e-07 -1.663773e-06 -4.198479e-04 -6.082826e-05 5.310420e-05
 8929.000000 -3.165944e-05 -3.250915e-07 -2.190906e-07 -3.195791e-07 5.487406e-06 -4.140261e-04 -5.935117e-05 5.129909e-05
 8934.000000 -3.160871e-05 -3.254571e-07 -2.195679e-07 -3.200622e-07 1.407898e-06 -4.143547e-04 -5.898573e-05 4.990306e-05
 8939.000000 -3.144508e-05 -3.268779e-07 -2.205387e-07 -3.200620e-07 8.727127e-06 -4.187168e-04 -6.226940e-05 5.282532e-05
 8944.000000 -3.134120e-05 -3.274399e-07 -2.207161e-07 -3.204871e-07 2.329578e-06 -4.048277e-04 -6.422122e-05 5.211811e-05
 8949.000000 -3.120581e-05 -3.261485e-07 -2.196791e-07 -3.200300e-07 1.372305e-05 -4.042506e-04 -5.265803e-05 4.341268e-05
 8953.000000 -3.111772e-05 -3.254762e-07 -2.190808e-07 -3.200820e-07 -6.182235e-08 -4.084523e-04 -5.289404e-05 3.910458e-05
 8956.000000 -3.103258e-05 -3.268487e-07 -2.196948e-07 -3.200328e-07 1.179012e-06 -4.077114e-04 -5.148714e-05 4.746705e-05
 8958.000000 -3.102155e-05 -3.271645e-07 -2.196937e-07 -3.204166e-07 5.121580e-06 -4.117818e-04 -4.853011e-05 5.880948e-05
 8959.000000 -3.104747e-05 -3.259513e-07 -2.188793e-07 -3.209049e-07 1.919619e-06 -4.191302e-04 -5.118755e-05 4.927138e-05
 8959.200000 -3.104472e-05 -3.251299e-07 -2.184126e-07 -3.209624e-07 3.559754e-06 -4.087993e-04 -5.826371e-05 3.933583e-05
 8959.400000 -3.102116e-05 -3.257024e-07 -2.188293e-07 -3.208709e-07 -2.338518e-06 -4.418149e-04 -5.675997e-05 4.546059e-05
