# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.18872657046387
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.997437
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1649.999634
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371081
# Scan.uid: 744b8ebc-d5fc-4d22-b862-4747f0b3e85a
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:03:23.063817
# Scan.end_time: 06/23/2023  06:03:59.471789
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 373.7388921578725
# SampleHeater.temperature2.readback: 372.8
# SampleHeater.voltage.setpoint: 0.8545653227028596
# SampleHeater.voltage.readback: 0.849
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.75
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.455453e-05 -3.188644e-07 -2.114299e-07 -3.192260e-07 3.217746e-05 -4.766060e-04 -5.913725e-05 1.914008e-05
 8784.000000 -3.465708e-05 -3.172137e-07 -2.103626e-07 -3.210949e-07 2.692682e-05 -4.697227e-04 -6.768827e-05 1.981251e-05
 8789.000000 -3.471240e-05 -3.133345e-07 -2.078127e-07 -3.228659e-07 3.210501e-05 -4.711929e-04 -6.469322e-05 1.674393e-05
 8794.000000 -3.447553e-05 -3.137845e-07 -2.083127e-07 -3.215365e-07 3.257851e-05 -4.899925e-04 -5.919478e-05 2.874012e-05
 8799.000000 -3.412673e-05 -3.082019e-07 -2.048726e-07 -3.193698e-07 3.059933e-05 -4.951913e-04 -6.509949e-05 2.347472e-05
 8804.000000 -3.432370e-05 -3.119719e-07 -2.074847e-07 -3.217430e-07 3.803904e-05 -5.012663e-04 -5.829112e-05 2.628744e-05
 8809.000000 -3.435243e-05 -3.095678e-07 -2.061711e-07 -3.230666e-07 3.660149e-05 -5.087575e-04 -4.985321e-05 2.640658e-05
 8814.000000 -3.418544e-05 -3.074953e-07 -2.048199e-07 -3.221496e-07 3.516358e-05 -5.185153e-04 -5.250981e-05 2.902204e-05
 8819.000000 -3.418759e-05 -3.096288e-07 -2.063164e-07 -3.226914e-07 3.295996e-05 -4.981794e-04 -4.750431e-05 1.882857e-05
 8824.000000 -3.415997e-05 -3.106887e-07 -2.069733e-07 -3.229643e-07 3.347495e-05 -4.894281e-04 -5.112479e-05 1.606930e-05
 8829.000000 -3.405541e-05 -3.105443e-07 -2.070826e-07 -3.230465e-07 3.990120e-05 -5.031067e-04 -6.408831e-05 1.837131e-05
 8834.000000 -3.392764e-05 -3.110873e-07 -2.076730e-07 -3.229452e-07 4.939323e-05 -5.221468e-04 -7.179387e-05 2.022040e-05
 8839.000000 -3.369572e-05 -3.139147e-07 -2.097946e-07 -3.218062e-07 4.743236e-05 -5.024721e-04 -7.052819e-05 2.719720e-05
 8844.000000 -3.356208e-05 -3.158898e-07 -2.111946e-07 -3.213513e-07 3.896994e-05 -4.944502e-04 -7.027575e-05 1.946601e-05
 8849.000000 -3.358819e-05 -3.139353e-07 -2.099785e-07 -3.229544e-07 2.521917e-05 -4.828117e-04 -7.624883e-05 1.001571e-05
 8854.000000 -3.331375e-05 -3.189345e-07 -2.135934e-07 -3.212962e-07 1.465902e-05 -4.791649e-04 -7.383397e-05 9.376748e-06
 8859.000000 -3.319816e-05 -3.202134e-07 -2.145384e-07 -3.213489e-07 1.765472e-05 -4.978513e-04 -7.618859e-05 1.180055e-05
 8864.000000 -3.313826e-05 -3.220756e-07 -2.161143e-07 -3.216211e-07 1.536865e-05 -5.050964e-04 -7.194541e-05 4.496198e-06
 8869.000000 -3.310750e-05 -3.219686e-07 -2.159328e-07 -3.223898e-07 2.089301e-05 -5.054203e-04 -7.516415e-05 1.274966e-05
 8874.000000 -3.308424e-05 -3.211026e-07 -2.154832e-07 -3.231558e-07 2.470579e-05 -5.134198e-04 -7.444277e-05 2.155409e-05
 8879.000000 -3.301986e-05 -3.200463e-07 -2.149632e-07 -3.236253e-07 3.173170e-05 -5.017129e-04 -7.266533e-05 1.715971e-05
 8884.000000 -3.277815e-05 -3.190079e-07 -2.144883e-07 -3.224385e-07 3.324247e-05 -4.950082e-04 -6.973643e-05 1.653713e-05
 8889.000000 -3.249583e-05 -3.200397e-07 -2.154320e-07 -3.210631e-07 2.374049e-05 -4.943177e-04 -7.828065e-05 1.337171e-05
 8894.000000 -3.254709e-05 -3.262045e-07 -2.195988e-07 -3.213342e-07 3.154775e-05 -5.009548e-04 -7.092909e-05 1.651326e-05
 8899.000000 -3.236347e-05 -3.288355e-07 -2.214933e-07 -3.204375e-07 3.171044e-05 -4.896611e-04 -6.723806e-05 2.081604e-05
 8904.000000 -3.237999e-05 -3.274228e-07 -2.203555e-07 -3.215173e-07 3.643519e-05 -4.850070e-04 -6.470632e-05 1.531228e-05
 8909.000000 -3.230189e-05 -3.275081e-07 -2.206338e-07 -3.210029e-07 3.857936e-05 -4.759976e-04 -6.371393e-05 2.115849e-05
 8914.000000 -3.205415e-05 -3.277057e-07 -2.208549e-07 -3.194030e-07 3.980348e-05 -4.637441e-04 -6.119231e-05 1.868439e-05
 8919.000000 -3.181904e-05 -3.338090e-07 -2.251037e-07 -3.179460e-07 4.425216e-05 -4.415058e-04 -6.095631e-05 7.463767e-06
 8924.000000 -3.175730e-05 -3.317313e-07 -2.235384e-07 -3.186736e-07 4.173304e-05 -4.371591e-04 -6.752558e-05 7.053539e-06
 8929.000000 -3.174063e-05 -3.356217e-07 -2.265110e-07 -3.199760e-07 4.827589e-05 -4.293267e-04 -6.280064e-05 1.522390e-05
 8934.000000 -3.173901e-05 -3.352335e-07 -2.263599e-07 -3.215702e-07 3.560637e-05 -4.385946e-04 -6.424243e-05 4.957314e-06
 8939.000000 -3.158626e-05 -3.375277e-07 -2.277889e-07 -3.211940e-07 3.140099e-05 -4.330784e-04 -6.605324e-05 1.415928e-05
 8944.000000 -3.135297e-05 -3.406410e-07 -2.299132e-07 -3.198303e-07 3.735573e-05 -4.408604e-04 -6.206695e-05 3.755018e-05
 8949.000000 -3.133731e-05 -3.381045e-07 -2.278977e-07 -3.210662e-07 4.024251e-05 -4.891119e-04 -4.701440e-05 1.051267e-05
 8953.000000 -3.124151e-05 -3.383865e-07 -2.277987e-07 -3.209409e-07 3.187491e-05 -4.785656e-04 -4.231616e-05 7.994868e-06
 8956.000000 -3.116122e-05 -3.403442e-07 -2.289561e-07 -3.206881e-07 4.161169e-05 -4.379117e-04 -4.342721e-05 1.360934e-05
 8958.000000 -3.100730e-05 -3.426844e-07 -2.305158e-07 -3.195306e-07 5.401539e-05 -4.448701e-04 -5.082795e-05 5.985100e-06
 8959.000000 -3.112017e-05 -3.379523e-07 -2.272050e-07 -3.211428e-07 5.705147e-05 -4.347623e-04 -4.603443e-05 4.813066e-06
 8959.200000 -3.114690e-05 -3.362363e-07 -2.259555e-07 -3.215887e-07 5.972276e-05 -4.120956e-04 -4.615818e-05 3.369408e-06
 8959.400000 -3.109326e-05 -3.397451e-07 -2.284467e-07 -3.210646e-07 6.585953e-05 -4.119802e-04 -4.108260e-05 6.612504e-06
