# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.1467039597267
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: f950a534-6fd5.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.004517
# Detector.I1.voltage: -1649.99939
# Detector.I2.voltage: -1650.000366
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Cu
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371103
# Scan.uid: 52a8eaba-84fb-428d-b674-603eb5fd4413
# Scan.edge_energy: 8979.0
# Scan.start_time: 06/23/2023  06:25:20.515163
# Scan.end_time: 06/23/2023  06:25:55.786384
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Cu-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 52.14698403676351
# SampleHeater.temperature2.readback: 80.7
# SampleHeater.voltage.setpoint: 0.0
# SampleHeater.voltage.readback: 0.0
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 0.0
# SampleGasCart.MFC.CH4.readback: 0.0
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.6
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0732421875
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.01220703125
# SampleGasHandlingSystem.MFC6.setpoint: 0.0
# SampleGasHandlingSystem.MFC6.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
 8779.000000 -3.415957e-05 -3.002218e-07 -1.989610e-07 -3.084168e-07 4.762337e-05 -6.407025e-04 -6.011357e-05 -2.300160e-05
 8784.000000 -3.417816e-05 -2.993660e-07 -1.984130e-07 -3.092249e-07 4.636329e-05 -6.756004e-04 -6.074318e-05 -1.828159e-05
 8789.000000 -3.411803e-05 -2.986908e-07 -1.981990e-07 -3.095676e-07 4.077850e-05 -6.790340e-04 -5.529673e-05 -1.031957e-05
 8794.000000 -3.397864e-05 -2.970588e-07 -1.972423e-07 -3.091285e-07 3.695060e-05 -6.503784e-04 -4.901964e-05 -1.003795e-05
 8799.000000 -3.356012e-05 -2.951203e-07 -1.959265e-07 -3.062937e-07 4.299346e-05 -6.283799e-04 -4.961630e-05 -1.091547e-05
 8804.000000 -3.388969e-05 -2.972033e-07 -1.974542e-07 -3.099333e-07 5.217291e-05 -6.471537e-04 -4.857096e-05 -1.458232e-05
 8809.000000 -3.386296e-05 -2.958622e-07 -1.967844e-07 -3.103079e-07 5.003157e-05 -6.374176e-04 -4.557711e-05 -1.475156e-05
 8814.000000 -3.364315e-05 -2.958180e-07 -1.970190e-07 -3.084189e-07 5.307076e-05 -6.631600e-04 -4.808847e-05 -1.527489e-05
 8819.000000 -3.366959e-05 -2.968313e-07 -1.977687e-07 -3.091850e-07 4.555039e-05 -6.643158e-04 -5.954350e-05 -7.978491e-06
 8824.000000 -3.363919e-05 -2.977506e-07 -1.985689e-07 -3.096167e-07 4.432620e-05 -6.585298e-04 -5.659564e-05 -1.448682e-05
 8829.000000 -3.354539e-05 -2.991305e-07 -1.994997e-07 -3.100134e-07 4.079179e-05 -6.582164e-04 -6.300679e-05 -2.058638e-05
 8834.000000 -3.346939e-05 -2.985975e-07 -1.992261e-07 -3.107318e-07 4.338927e-05 -6.602967e-04 -6.207860e-05 -2.030976e-05
 8839.000000 -3.333176e-05 -2.982438e-07 -1.993312e-07 -3.107737e-07 5.032408e-05 -6.623853e-04 -6.171061e-05 -1.929733e-05
 8844.000000 -3.315215e-05 -3.011010e-07 -2.014960e-07 -3.104912e-07 4.908378e-05 -6.772160e-04 -4.964117e-05 -1.973724e-05
 8849.000000 -3.306750e-05 -3.006642e-07 -2.011083e-07 -3.108183e-07 3.498906e-05 -6.883741e-04 -4.301648e-05 -2.038764e-05
 8854.000000 -3.300668e-05 -3.002407e-07 -2.012090e-07 -3.113479e-07 3.824360e-05 -6.906121e-04 -3.685352e-05 -1.826279e-05
 8859.000000 -3.291145e-05 -3.012226e-07 -2.016645e-07 -3.117397e-07 3.795041e-05 -6.793315e-04 -4.999936e-05 -1.335625e-05
 8864.000000 -3.282411e-05 -3.014113e-07 -2.020622e-07 -3.116551e-07 3.297307e-05 -6.749094e-04 -4.508174e-05 -1.343839e-05
 8869.000000 -3.274307e-05 -3.024227e-07 -2.027912e-07 -3.113378e-07 3.458197e-05 -6.625933e-04 -5.183065e-05 -1.233656e-05
 8874.000000 -3.256852e-05 -3.066159e-07 -2.059363e-07 -3.099820e-07 3.336821e-05 -6.704418e-04 -5.486897e-05 -2.059374e-08
 8879.000000 -3.250988e-05 -3.061550e-07 -2.056749e-07 -3.102520e-07 3.120834e-05 -6.785998e-04 -5.280050e-05 -4.521458e-06
 8884.000000 -3.228205e-05 -3.054945e-07 -2.055788e-07 -3.092959e-07 3.010313e-05 -6.456987e-04 -5.563021e-05 -1.462719e-05
 8889.000000 -3.197432e-05 -3.083850e-07 -2.074878e-07 -3.078436e-07 3.669856e-05 -6.429019e-04 -5.089548e-05 -1.406867e-05
 8894.000000 -3.216277e-05 -3.108231e-07 -2.091332e-07 -3.101910e-07 3.942909e-05 -6.503305e-04 -4.510089e-05 -1.469994e-05
 8899.000000 -3.198410e-05 -3.147334e-07 -2.117815e-07 -3.090468e-07 4.041128e-05 -6.595655e-04 -5.574402e-05 -5.219034e-06
 8904.000000 -3.202217e-05 -3.119406e-07 -2.097961e-07 -3.098973e-07 4.508714e-05 -6.615609e-04 -5.188743e-05 -9.784167e-06
 8909.000000 -3.189925e-05 -3.130936e-07 -2.108597e-07 -3.091132e-07 5.344673e-05 -6.604302e-04 -5.209778e-05 -1.612801e-05
 8914.000000 -3.163105e-05 -3.138175e-07 -2.115821e-07 -3.071776e-07 4.384625e-05 -6.517048e-04 -4.800829e-05 -1.218878e-05
 8919.000000 -3.155825e-05 -3.156477e-07 -2.129228e-07 -3.076144e-07 5.423333e-05 -6.671825e-04 -5.069512e-05 -1.261340e-05
 8924.000000 -3.138580e-05 -3.169035e-07 -2.136884e-07 -3.072455e-07 4.965592e-05 -6.836007e-04 -5.162833e-05 -1.495659e-05
 8929.000000 -3.137850e-05 -3.207887e-07 -2.163002e-07 -3.088118e-07 3.897084e-05 -6.839317e-04 -3.960510e-05 -7.528708e-06
 8934.000000 -3.135463e-05 -3.198964e-07 -2.157403e-07 -3.101629e-07 3.493360e-05 -6.807243e-04 -3.875639e-05 -9.705236e-06
 8939.000000 -3.121652e-05 -3.225236e-07 -2.176213e-07 -3.097520e-07 3.407377e-05 -6.774448e-04 -4.538986e-05 -8.793759e-06
 8944.000000 -3.103205e-05 -3.256777e-07 -2.197762e-07 -3.087152e-07 3.412707e-05 -6.727689e-04 -4.411719e-05 -1.078340e-06
 8949.000000 -3.090949e-05 -3.249336e-07 -2.191217e-07 -3.084831e-07 3.089875e-05 -6.709647e-04 -4.176039e-05 -5.268798e-07
 8953.000000 -3.088611e-05 -3.227640e-07 -2.173194e-07 -3.092946e-07 2.813660e-05 -6.716647e-04 -4.700328e-05 -5.072863e-06
 8956.000000 -3.082691e-05 -3.223759e-07 -2.168512e-07 -3.095291e-07 3.845013e-05 -6.712572e-04 -4.912922e-05 -1.467739e-05
 8958.000000 -3.078039e-05 -3.236235e-07 -2.174633e-07 -3.096042e-07 4.111719e-05 -7.045910e-04 -4.615696e-05 -1.063726e-05
 8959.000000 -3.074370e-05 -3.247321e-07 -2.181585e-07 -3.094435e-07 3.310395e-05 -7.325829e-04 -3.844602e-05 -8.701927e-06
 8959.200000 -3.077428e-05 -3.229179e-07 -2.169126e-07 -3.098974e-07 4.274103e-05 -7.309901e-04 -3.872672e-05 -1.030173e-05
 8959.400000 -3.076844e-05 -3.248443e-07 -2.181035e-07 -3.100723e-07 3.315203e-05 -7.569276e-04 -3.508782e-05 -1.178375e-05
 8959.600000 -3.068221e-05 -3.258851e-07 -2.189086e-07 -3.088438e-07 3.213333e-05 -7.288399e-04 -4.189545e-05 -1.838484e-05
 8959.800000 -3.070071e-05 -3.254173e-07 -2.184476e-07 -3.091962e-07 3.132280e-05 -7.075504e-04 -4.002217e-05 -1.937493e-05
 8960.000000 -3.075652e-05 -3.236620e-07 -2.171723e-07 -3.097143e-07 3.164816e-05 -7.173814e-04 -3.350999e-05 -1.523629e-05
 8960.200000 -3.076093e-05 -3.240779e-07 -2.172459e-07 -3.098581e-07 2.724693e-05 -7.281784e-04 -4.730920e-05 -2.491732e-05
 8960.400000 -3.072673e-05 -3.255014e-07 -2.185336e-07 -3.098124e-07 3.378380e-05 -7.394546e-04 -3.540539e-05 -1.268385e-05
 8960.600000 -3.065011e-05 -3.273411e-07 -2.197997e-07 -3.089968e-07 4.019287e-05 -7.664170e-04 -4.212853e-05 -1.079399e-05
 8960.800000 -3.064503e-05 -3.289774e-07 -2.206915e-07 -3.088764e-07 4.336760e-05 -7.724810e-04 -2.536203e-05 -8.201495e-06
 8961.000000 -3.070974e-05 -3.248131e-07 -2.178237e-07 -3.096509e-07 4.733282e-05 -7.663132e-04 -2.241787e-05 -1.188163e-05
 8961.200000 -3.071745e-05 -3.261795e-07 -2.188641e-07 -3.095117e-07 4.022946e-05 -7.508669e-04 -2.765383e-05 -2.237470e-05
 8961.400000 -3.063216e-05 -3.300146e-07 -2.213741e-07 -3.087179e-07 4.444716e-05 -7.452718e-04 -2.561413e-05 -1.591323e-05
 8961.600000 -3.062366e-05 -3.278600e-07 -2.198321e-07 -3.088022e-07 4.026848e-05 -7.483412e-04 -3.723869e-05 -1.362156e-05
 8961.800000 -3.061001e-05 -3.285533e-07 -2.203517e-07 -3.090639e-07 3.782179e-05 -7.643172e-04 -3.630664e-05 -1.251826e-05
 8962.000000 -3.058052e-05 -3.285787e-07 -2.202295e-07 -3.089142e-07 3.270361e-05 -7.584137e-04 -4.783340e-05 -1.779532e-05
 8962.200000 -3.062002e-05 -3.274573e-07 -2.194123e-07 -3.095023e-07 2.963742e-05 -7.574028e-04 -4.756578e-05 -2.031905e-05
 8962.400000 -3.063283e-05 -3.259485e-07 -2.185731e-07 -3.097862e-07 3.575970e-05 -7.653175e-04 -4.356197e-05 -1.135500e-05
 8962.600000 -3.060719e-05 -3.276596e-07 -2.197475e-07 -3.095435e-07 3.437331e-05 -7.557412e-04 -5.368947e-05 -1.927453e-05
 8962.800000 -3.058316e-05 -3.294308e-07 -2.207033e-07 -3.092411e-07 3.481311e-05 -7.699874e-04 -5.795065e-05 -1.240497e-05
 8963.000000 -3.054044e-05 -3.287107e-07 -2.202803e-07 -3.088269e-07 3.591980e-05 -7.516301e-04 -5.094542e-05 -1.016252e-05
 8963.200000 -3.060406e-05 -3.270798e-07 -2.190729e-07 -3.098001e-07 3.377995e-05 -7.613873e-04 -5.844521e-05 -6.828816e-06
 8963.400000 -3.061035e-05 -3.259436e-07 -2.181661e-07 -3.102063e-07 1.654895e-05 -7.616013e-04 -5.285579e-05 -1.424495e-05
 8963.600000 -3.055752e-05 -3.268112e-07 -2.187484e-07 -3.097363e-07 1.444075e-05 -7.604658e-04 -5.652594e-05 -1.800178e-05
 8963.800000 -3.054923e-05 -3.276203e-07 -2.192929e-07 -3.096905e-07 9.872175e-06 -7.613445e-04 -4.882551e-05 -1.248043e-05
 8964.000000 -3.062471e-05 -3.262331e-07 -2.181999e-07 -3.105087e-07 2.052574e-05 -7.689219e-04 -3.905442e-05 -1.594546e-05
 8964.200000 -3.068404e-05 -3.235903e-07 -2.163217e-07 -3.110892e-07 3.223222e-05 -7.652566e-04 -3.018773e-05 -1.465705e-05
 8964.400000 -3.069282e-05 -3.231643e-07 -2.161451e-07 -3.113633e-07 2.988791e-05 -7.561508e-04 -2.345085e-05 -4.055081e-06
 8964.600000 -3.068125e-05 -3.230853e-07 -2.160294e-07 -3.114924e-07 3.160864e-05 -7.721075e-04 -2.709580e-05 -4.232389e-06
 8964.800000 -3.067352e-05 -3.233252e-07 -2.159772e-07 -3.114292e-07 3.510028e-05 -7.612736e-04 -2.066156e-05 -9.971619e-06
 8965.000000 -3.067094e-05 -3.233225e-07 -2.158481e-07 -3.113868e-07 3.290364e-05 -7.458550e-04 -2.537789e-05 -1.315426e-05
 8965.200000 -3.067559e-05 -3.227996e-07 -2.152369e-07 -3.115143e-07 3.898438e-05 -7.530060e-04 -2.513521e-05 -1.620956e-05
 8965.400000 -3.065865e-05 -3.224853e-07 -2.149692e-07 -3.114883e-07 4.556679e-05 -7.562477e-04 -3.749306e-05 -2.338284e-05
 8965.600000 -3.063587e-05 -3.235819e-07 -2.156650e-07 -3.110211e-07 3.352936e-05 -7.131000e-04 -4.449642e-05 -2.787192e-05
 8965.800000 -3.060171e-05 -3.243197e-07 -2.163655e-07 -3.107164e-07 3.326355e-05 -7.167007e-04 -3.863686e-05 -1.939748e-05
 8966.000000 -3.060953e-05 -3.231056e-07 -2.157523e-07 -3.110244e-07 2.557699e-05 -7.265942e-04 -4.414453e-05 -2.212723e-05
 8966.200000 -3.058372e-05 -3.234796e-07 -2.159533e-07 -3.108444e-07 2.144078e-05 -7.316120e-04 -3.530141e-05 -1.925955e-05
 8966.400000 -3.043286e-05 -3.300688e-07 -2.202622e-07 -3.094238e-07 3.082976e-05 -7.255201e-04 -4.065506e-05 -1.290799e-05
 8966.600000 -3.042383e-05 -3.270882e-07 -2.180972e-07 -3.094499e-07 3.401639e-05 -7.271678e-04 -4.056333e-05 -1.824774e-05
 8966.800000 -3.031535e-05 -3.303477e-07 -2.201253e-07 -3.083141e-07 3.626370e-05 -7.222325e-04 -5.028334e-05 -2.184290e-05
 8967.000000 -3.035183e-05 -3.285170e-07 -2.185975e-07 -3.088888e-07 3.509369e-05 -7.184752e-04 -4.233013e-05 -1.581440e-05
 8967.200000 -3.041310e-05 -3.276689e-07 -2.181751e-07 -3.091228e-07 2.980925e-05 -7.054152e-04 -4.375428e-05 -1.935354e-05
 8967.400000 -3.052736e-05 -3.250718e-07 -2.164510e-07 -3.108151e-07 3.217680e-05 -6.966607e-04 -5.953109e-05 -2.375220e-05
 8967.600000 -3.052648e-05 -3.245021e-07 -2.160293e-07 -3.111227e-07 3.924806e-05 -7.040130e-04 -5.334213e-05 -1.250608e-05
 8967.800000 -3.053388e-05 -3.244583e-07 -2.159844e-07 -3.109598e-07 3.264789e-05 -6.982154e-04 -6.360514e-05 -2.110835e-05
 8968.000000 -3.054970e-05 -3.228554e-07 -2.146594e-07 -3.110960e-07 3.512028e-05 -7.152902e-04 -3.937640e-05 -5.764671e-06
 8968.200000 -3.051598e-05 -3.244859e-07 -2.153806e-07 -3.110458e-07 3.786226e-05 -6.823447e-04 -2.397780e-05 7.549698e-07
 8968.400000 -3.044969e-05 -3.285557e-07 -2.181277e-07 -3.103669e-07 3.243603e-05 -6.912011e-04 -2.531950e-05 -4.852836e-06
 8968.600000 -3.048331e-05 -3.264966e-07 -2.165044e-07 -3.105586e-07 2.828502e-05 -7.040416e-04 -4.116766e-05 -3.783537e-06
 8968.800000 -3.040132e-05 -3.282360e-07 -2.177502e-07 -3.098579e-07 3.358366e-05 -6.921444e-04 -5.039859e-05 -1.876368e-06
 8969.000000 -3.035012e-05 -3.299395e-07 -2.186099e-07 -3.092523e-07 2.830584e-05 -7.025849e-04 -5.474067e-05 -2.155687e-05
 8969.200000 -3.042455e-05 -3.280088e-07 -2.172029e-07 -3.102898e-07 1.973563e-05 -7.174940e-04 -3.854786e-05 -2.414582e-05
 8969.400000 -3.052661e-05 -3.234750e-07 -2.139641e-07 -3.116251e-07 2.775646e-05 -7.370480e-04 -3.548352e-05 -2.009240e-05
 8969.600000 -3.054636e-05 -3.222071e-07 -2.127990e-07 -3.119862e-07 4.216001e-05 -7.410899e-04 -4.018035e-05 -9.177907e-06
 8969.800000 -3.054157e-05 -3.223533e-07 -2.128772e-07 -3.119095e-07 3.981358e-05 -7.281808e-04 -4.664563e-05 -1.392821e-05
 8970.000000 -3.055146e-05 -3.229762e-07 -2.133796e-07 -3.120772e-07 3.499590e-05 -7.330937e-04 -4.721935e-05 -1.262649e-05
 8970.200000 -3.052981e-05 -3.229609e-07 -2.131871e-07 -3.120536e-07 2.952991e-05 -7.336092e-04 -3.838969e-05 -1.595063e-05
 8970.400000 -3.052889e-05 -3.227173e-07 -2.128671e-07 -3.119730e-07 2.918086e-05 -7.283784e-04 -4.101210e-05 -2.147616e-05
 8970.600000 -3.047208e-05 -3.255165e-07 -2.146740e-07 -3.114048e-07 2.998230e-05 -6.995572e-04 -3.307997e-05 -1.620335e-05
 8970.800000 -3.044333e-05 -3.256850e-07 -2.145891e-07 -3.111887e-07 2.622939e-05 -6.732906e-04 -4.456338e-05 -1.952489e-05
 8971.000000 -3.048024e-05 -3.236311e-07 -2.129510e-07 -3.119500e-07 2.514560e-05 -6.811268e-04 -5.301439e-05 -2.166326e-05
 8971.200000 -3.050882e-05 -3.227742e-07 -2.122946e-07 -3.124556e-07 2.837159e-05 -6.756964e-04 -3.986148e-05 -1.557817e-05
 8971.400000 -3.046217e-05 -3.240686e-07 -2.129556e-07 -3.122463e-07 2.004104e-05 -6.670579e-04 -4.500195e-05 -2.381840e-05
 8971.600000 -3.038054e-05 -3.255273e-07 -2.136719e-07 -3.113690e-07 1.077474e-05 -6.633150e-04 -4.244762e-05 -2.454759e-05
