# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.5779033384436
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999634
# Detector.I1.voltage: -1650.002075
# Detector.I2.voltage: -1650.002686
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370984
# Scan.uid: 8ca5a5a8-3273-4788-9873-be8f9e482ab0
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:26:35.086334
# Scan.end_time: 06/23/2023  04:27:10.146247
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 57.79890557203764
# SampleHeater.temperature2.readback: 55.900000000000006
# SampleHeater.voltage.setpoint: 0.29728588497179925
# SampleHeater.voltage.readback: 0.306
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.06103515625
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.992156e-05 -7.032096e-07 -2.060286e-07 -9.999612e-07 8.473124e-05 5.448575e-04 -2.113953e-05 8.100650e-05
10172.000000 -2.977686e-05 -6.944789e-07 -2.026830e-07 -9.958028e-07 8.232940e-05 5.532638e-04 -2.300304e-05 7.239273e-05
10177.000000 -2.969065e-05 -6.928313e-07 -2.002111e-07 -9.936045e-07 8.746983e-05 5.387995e-04 -3.249203e-05 7.584126e-05
10182.000000 -2.964537e-05 -6.924235e-07 -1.962109e-07 -9.940809e-07 9.590404e-05 5.046351e-04 -3.048975e-05 7.886782e-05
10187.000000 -2.961883e-05 -6.917062e-07 -1.890662e-07 -9.957832e-07 9.787488e-05 4.905783e-04 -3.581668e-05 8.291224e-05
10192.000000 -2.970996e-05 -6.961335e-07 -1.740770e-07 -1.001034e-06 9.495062e-05 5.013590e-04 -3.129664e-05 9.742963e-05
10197.000000 -2.969802e-05 -6.982516e-07 -1.283824e-07 -1.003190e-06 8.566656e-05 5.196519e-04 -2.724085e-05 8.585811e-05
10202.000000 -2.964225e-05 -6.998187e-07 -4.098623e-08 -1.003778e-06 7.942181e-05 5.183200e-04 -3.693640e-05 9.005774e-05
10207.000000 -2.960483e-05 -7.012571e-07 -1.744044e-08 -1.004850e-06 8.284025e-05 4.871499e-04 -3.113985e-05 8.905052e-05
10212.000000 -2.958411e-05 -7.030945e-07 -3.557393e-08 -1.006645e-06 8.642383e-05 4.663617e-04 -3.176530e-05 8.339205e-05
10217.000000 -2.954832e-05 -7.041799e-07 -4.576740e-08 -1.008181e-06 8.739908e-05 4.937678e-04 -3.556998e-05 8.541793e-05
10222.000000 -2.951798e-05 -7.066678e-07 -5.387025e-08 -1.009538e-06 8.478886e-05 5.030125e-04 -3.146525e-05 8.567626e-05
10227.000000 -2.944806e-05 -7.077754e-07 -5.907171e-08 -1.009478e-06 8.998620e-05 4.936756e-04 -3.326550e-05 7.842851e-05
10232.000000 -2.935661e-05 -7.088567e-07 -6.111242e-08 -1.008691e-06 9.575760e-05 5.007442e-04 -4.096411e-05 8.006508e-05
10237.000000 -2.937837e-05 -7.127439e-07 -6.267357e-08 -1.012975e-06 9.665220e-05 4.734640e-04 -4.006202e-05 8.083321e-05
10242.000000 -2.933128e-05 -7.148167e-07 -6.410595e-08 -1.013953e-06 9.996380e-05 4.617298e-04 -3.858900e-05 8.975299e-05
10247.000000 -2.929721e-05 -7.176136e-07 -6.697664e-08 -1.015190e-06 1.021830e-04 4.879146e-04 -3.829212e-05 8.633863e-05
10252.000000 -2.927193e-05 -7.204520e-07 -6.688431e-08 -1.016500e-06 1.052008e-04 4.890249e-04 -3.488724e-05 8.362044e-05
10257.000000 -2.925281e-05 -7.232833e-07 -6.448120e-08 -1.018573e-06 9.665135e-05 4.710393e-04 -3.211262e-05 7.678216e-05
10262.000000 -2.916186e-05 -7.238777e-07 -6.395392e-08 -1.018219e-06 1.039434e-04 4.753793e-04 -2.962883e-05 8.067959e-05
10267.000000 -2.919121e-05 -7.270954e-07 -6.522524e-08 -1.022563e-06 9.887880e-05 4.869357e-04 -2.800281e-05 7.504065e-05
10272.000000 -2.915576e-05 -7.297584e-07 -6.585408e-08 -1.024159e-06 1.055841e-04 4.891693e-04 -1.659598e-05 7.580482e-05
10277.000000 -2.906754e-05 -7.306832e-07 -6.558503e-08 -1.024055e-06 1.070655e-04 4.613140e-04 -2.705923e-05 7.096673e-05
10282.000000 -2.893292e-05 -7.317054e-07 -6.470391e-08 -1.022045e-06 1.038307e-04 4.795321e-04 -3.493814e-05 6.285321e-05
10287.000000 -2.896803e-05 -7.358390e-07 -6.555221e-08 -1.026662e-06 1.077006e-04 4.997829e-04 -3.316598e-05 6.080572e-05
10292.000000 -2.888897e-05 -7.374192e-07 -6.729890e-08 -1.026633e-06 9.924068e-05 4.818210e-04 -4.620157e-05 5.654236e-05
10297.000000 -2.886753e-05 -7.410154e-07 -6.840821e-08 -1.028929e-06 8.766011e-05 4.725942e-04 -2.958656e-05 5.259033e-05
10302.000000 -2.878397e-05 -7.424396e-07 -6.816322e-08 -1.028224e-06 9.225066e-05 4.904012e-04 -2.393409e-05 6.203960e-05
10307.000000 -2.884831e-05 -7.482038e-07 -6.886295e-08 -1.033733e-06 1.008258e-04 4.788369e-04 -1.867223e-05 5.789124e-05
10312.000000 -2.882419e-05 -7.529455e-07 -6.921798e-08 -1.035934e-06 9.630103e-05 4.921421e-04 -2.091828e-05 5.208462e-05
10317.000000 -2.878809e-05 -7.555348e-07 -6.890371e-08 -1.038330e-06 9.323703e-05 4.979660e-04 -2.972249e-05 6.220003e-05
10322.000000 -2.877185e-05 -7.584074e-07 -6.870597e-08 -1.041226e-06 9.649315e-05 4.843720e-04 -3.688094e-05 6.545345e-05
10327.000000 -2.866973e-05 -7.580841e-07 -6.771602e-08 -1.040701e-06 9.243107e-05 4.942161e-04 -2.558297e-05 6.360763e-05
10332.000000 -2.862840e-05 -7.625355e-07 -6.744207e-08 -1.043883e-06 7.643406e-05 5.287720e-04 -2.868824e-05 6.705394e-05
10337.000000 -2.872202e-05 -7.672746e-07 -6.771381e-08 -1.050668e-06 6.917210e-05 5.326813e-04 -3.663476e-05 7.677544e-05
10341.000000 -2.867850e-05 -7.680213e-07 -6.814243e-08 -1.052591e-06 7.952850e-05 5.091138e-04 -3.944625e-05 6.745177e-05
10344.000000 -2.866124e-05 -7.687148e-07 -6.904478e-08 -1.055114e-06 8.317485e-05 4.977867e-04 -3.254708e-05 7.417351e-05
10346.000000 -2.861771e-05 -7.668227e-07 -6.971920e-08 -1.055773e-06 7.832729e-05 5.029831e-04 -3.612801e-05 7.763490e-05
10347.000000 -2.856900e-05 -7.652745e-07 -6.999224e-08 -1.055258e-06 7.212786e-05 5.080634e-04 -4.018089e-05 7.941202e-05
10347.200000 -2.857828e-05 -7.670834e-07 -7.012044e-08 -1.055943e-06 7.855714e-05 5.131375e-04 -2.218937e-05 8.367569e-05
10347.400000 -2.848923e-05 -7.635744e-07 -6.984789e-08 -1.052545e-06 7.966422e-05 4.921240e-04 -3.489761e-05 8.548258e-05
10347.600000 -2.847111e-05 -7.615525e-07 -6.981967e-08 -1.051565e-06 7.216746e-05 5.054574e-04 -4.952888e-05 8.122882e-05
10347.800000 -2.854870e-05 -7.664159e-07 -7.037881e-08 -1.055473e-06 7.121385e-05 5.146165e-04 -5.402392e-05 7.329400e-05
