# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.658889499873
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003052
# Detector.I1.voltage: -1650.001709
# Detector.I2.voltage: -1650.002319
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370992
# Scan.uid: 06bc9703-ea4d-46ac-8fc6-250a1cc1a091
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:34:38.104186
# Scan.end_time: 06/23/2023  04:35:11.565665
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 102.4
# SampleHeater.voltage.setpoint: 0.2763130878886728
# SampleHeater.voltage.readback: 0.28200000000000003
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.040000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.993640e-05 -6.934434e-07 -2.007560e-07 -1.001368e-06 8.764092e-05 2.056418e-04 -6.335772e-05 7.867213e-05
10172.000000 -2.976591e-05 -6.886695e-07 -1.983635e-07 -9.967847e-07 8.709745e-05 2.055033e-04 -6.212544e-05 8.750156e-05
10177.000000 -2.968742e-05 -6.895751e-07 -1.965425e-07 -9.950219e-07 8.502771e-05 1.759990e-04 -5.621055e-05 9.472830e-05
10182.000000 -2.967567e-05 -6.914871e-07 -1.935912e-07 -9.967755e-07 9.177870e-05 1.807586e-04 -5.287675e-05 9.584131e-05
10187.000000 -2.969822e-05 -6.924327e-07 -1.869965e-07 -1.000197e-06 9.702060e-05 1.912072e-04 -6.408311e-05 9.398884e-05
10192.000000 -2.976025e-05 -6.955589e-07 -1.711776e-07 -1.005037e-06 9.538781e-05 1.854513e-04 -6.631680e-05 8.923013e-05
10197.000000 -2.969315e-05 -6.970256e-07 -1.256249e-07 -1.005007e-06 9.930317e-05 1.752770e-04 -6.275993e-05 8.371658e-05
10202.000000 -2.959062e-05 -6.964671e-07 -3.989268e-08 -1.003524e-06 9.868321e-05 1.556065e-04 -6.125758e-05 8.111270e-05
10207.000000 -2.960823e-05 -6.990342e-07 -1.670163e-08 -1.006962e-06 9.903598e-05 1.641649e-04 -5.990568e-05 8.497181e-05
10212.000000 -2.964057e-05 -7.024097e-07 -3.455217e-08 -1.010659e-06 9.173716e-05 1.962884e-04 -6.297314e-05 7.475788e-05
10217.000000 -2.962835e-05 -7.053071e-07 -4.488861e-08 -1.012267e-06 9.250445e-05 1.560162e-04 -6.365879e-05 8.191056e-05
10222.000000 -2.959067e-05 -7.064984e-07 -5.282385e-08 -1.013329e-06 8.627232e-05 1.510506e-04 -6.355630e-05 8.486337e-05
10227.000000 -2.953917e-05 -7.073991e-07 -5.805098e-08 -1.014154e-06 8.377567e-05 1.704058e-04 -6.693957e-05 9.120162e-05
10232.000000 -2.944089e-05 -7.080175e-07 -6.014711e-08 -1.013212e-06 8.064951e-05 1.810817e-04 -6.294301e-05 8.710694e-05
10237.000000 -2.943585e-05 -7.103414e-07 -6.164884e-08 -1.015911e-06 8.218197e-05 1.716453e-04 -6.585498e-05 8.158031e-05
10242.000000 -2.942253e-05 -7.132631e-07 -6.281609e-08 -1.018162e-06 8.321338e-05 1.536806e-04 -6.376131e-05 8.444778e-05
10247.000000 -2.925379e-05 -7.136392e-07 -6.522933e-08 -1.014558e-06 8.330778e-05 1.614003e-04 -6.029748e-05 8.168056e-05
10252.000000 -2.923198e-05 -7.156068e-07 -6.513630e-08 -1.016413e-06 7.609222e-05 1.484995e-04 -5.836694e-05 8.567320e-05
10257.000000 -2.928349e-05 -7.191395e-07 -6.298722e-08 -1.021304e-06 6.896547e-05 1.739674e-04 -5.811267e-05 8.672261e-05
10262.000000 -2.911704e-05 -7.192540e-07 -6.245434e-08 -1.017838e-06 7.124275e-05 1.671803e-04 -6.088437e-05 8.675345e-05
10267.000000 -2.923040e-05 -7.248977e-07 -6.396209e-08 -1.025096e-06 7.338458e-05 1.511922e-04 -6.531640e-05 8.297372e-05
10272.000000 -2.924206e-05 -7.289850e-07 -6.484548e-08 -1.028712e-06 7.364244e-05 1.421266e-04 -7.498268e-05 9.441971e-05
10277.000000 -2.918073e-05 -7.315483e-07 -6.440903e-08 -1.029425e-06 7.725781e-05 1.385925e-04 -6.677829e-05 9.925166e-05
10282.000000 -2.902851e-05 -7.318424e-07 -6.350823e-08 -1.026982e-06 7.330042e-05 1.541907e-04 -6.370765e-05 1.022636e-04
10287.000000 -2.909157e-05 -7.358967e-07 -6.433711e-08 -1.032223e-06 7.260600e-05 1.542602e-04 -6.720739e-05 1.006692e-04
10292.000000 -2.905953e-05 -7.382216e-07 -6.634739e-08 -1.033909e-06 7.588743e-05 1.610844e-04 -5.848953e-05 9.956908e-05
10297.000000 -2.901099e-05 -7.405367e-07 -6.731265e-08 -1.035218e-06 8.209779e-05 1.696346e-04 -4.983808e-05 9.508775e-05
10302.000000 -2.898779e-05 -7.431668e-07 -6.736951e-08 -1.037066e-06 7.702216e-05 1.392338e-04 -5.158341e-05 9.274036e-05
10307.000000 -2.896262e-05 -7.463282e-07 -6.764340e-08 -1.039026e-06 8.463281e-05 1.165277e-04 -4.656506e-05 8.790386e-05
10312.000000 -2.892035e-05 -7.496486e-07 -6.791548e-08 -1.040614e-06 8.233703e-05 1.406534e-04 -4.309217e-05 8.485102e-05
10317.000000 -2.883196e-05 -7.502743e-07 -6.751814e-08 -1.040604e-06 8.504547e-05 1.334947e-04 -5.017666e-05 8.986689e-05
10322.000000 -2.883653e-05 -7.536984e-07 -6.699361e-08 -1.044345e-06 8.082236e-05 1.362411e-04 -5.835951e-05 8.913870e-05
10327.000000 -2.878820e-05 -7.568979e-07 -6.669835e-08 -1.046338e-06 8.699075e-05 1.429095e-04 -7.265428e-05 9.331881e-05
10332.000000 -2.866662e-05 -7.566824e-07 -6.597903e-08 -1.046253e-06 9.028848e-05 1.571110e-04 -6.492675e-05 9.170759e-05
10337.000000 -2.876981e-05 -7.614867e-07 -6.598980e-08 -1.053902e-06 8.953403e-05 1.708211e-04 -5.506852e-05 8.257170e-05
10341.000000 -2.872545e-05 -7.617880e-07 -6.661098e-08 -1.055880e-06 9.172037e-05 1.878062e-04 -5.383111e-05 8.057319e-05
10344.000000 -2.870611e-05 -7.646079e-07 -6.761293e-08 -1.058454e-06 9.139568e-05 1.802400e-04 -5.220820e-05 7.950254e-05
10346.000000 -2.869575e-05 -7.665822e-07 -6.840391e-08 -1.060644e-06 7.895504e-05 2.062106e-04 -5.319029e-05 7.246016e-05
10347.000000 -2.870301e-05 -7.674390e-07 -6.871135e-08 -1.062515e-06 6.674614e-05 2.199133e-04 -4.861353e-05 6.679240e-05
10347.200000 -2.870486e-05 -7.689042e-07 -6.908330e-08 -1.062949e-06 5.494189e-05 2.119122e-04 -5.663672e-05 6.531138e-05
10347.400000 -2.870420e-05 -7.683815e-07 -6.896732e-08 -1.062926e-06 6.948882e-05 2.103466e-04 -5.291575e-05 7.632658e-05
10347.600000 -2.869258e-05 -7.671553e-07 -6.874855e-08 -1.062588e-06 6.800697e-05 1.915206e-04 -5.461149e-05 7.813197e-05
10347.800000 -2.866655e-05 -7.657572e-07 -6.847259e-08 -1.061600e-06 6.029666e-05 2.078887e-04 -5.493633e-05 7.828771e-05
10348.000000 -2.866956e-05 -7.666867e-07 -6.919666e-08 -1.062207e-06 6.210810e-05 2.203910e-04 -6.610434e-05 6.535637e-05
10348.200000 -2.863781e-05 -7.651865e-07 -6.929350e-08 -1.060737e-06 7.783956e-05 2.336070e-04 -5.980901e-05 7.830341e-05
10348.400000 -2.865775e-05 -7.657727e-07 -6.968117e-08 -1.062411e-06 8.251567e-05 2.246946e-04 -4.216346e-05 8.914129e-05
10348.600000 -2.867416e-05 -7.665855e-07 -6.946719e-08 -1.063389e-06 8.264552e-05 2.104363e-04 -6.602196e-05 8.838188e-05
10348.800000 -2.868133e-05 -7.683262e-07 -6.959049e-08 -1.063367e-06 8.944858e-05 2.037866e-04 -6.594232e-05 1.003010e-04
10349.000000 -2.868361e-05 -7.670147e-07 -6.982544e-08 -1.064133e-06 9.955357e-05 2.174660e-04 -7.716656e-05 8.983894e-05
10349.200000 -2.866028e-05 -7.666705e-07 -7.015182e-08 -1.063332e-06 9.761343e-05 2.103911e-04 -7.105766e-05 8.049078e-05
10349.400000 -2.863199e-05 -7.659953e-07 -6.996884e-08 -1.062398e-06 8.726472e-05 2.154887e-04 -6.698636e-05 8.006055e-05
10349.600000 -2.859969e-05 -7.640030e-07 -6.963395e-08 -1.061420e-06 8.710210e-05 1.805989e-04 -6.302264e-05 7.669023e-05
10349.800000 -2.862600e-05 -7.644971e-07 -6.959715e-08 -1.063159e-06 8.305710e-05 1.636544e-04 -6.767039e-05 6.792111e-05
10350.000000 -2.864359e-05 -7.659834e-07 -6.997848e-08 -1.064038e-06 7.828697e-05 1.718857e-04 -5.531301e-05 6.770486e-05
