# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.77351213342274
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998291
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.003906
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 370994
# Scan.uid: 6e57063d-c3df-4135-8c47-45698cdcd093
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:36:36.513503
# Scan.end_time: 06/23/2023  04:37:11.346495
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 100.0
# SampleHeater.temperature2.readback: 102.30000000000001
# SampleHeater.voltage.setpoint: 0.2624986098497958
# SampleHeater.voltage.readback: 0.266
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.990560054779053
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.048828125
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.994948e-05 -6.983966e-07 -2.019882e-07 -1.000390e-06 7.676494e-05 3.772805e-04 -9.205183e-06 8.872949e-05
10172.000000 -2.984598e-05 -6.948103e-07 -1.998936e-07 -9.984116e-07 7.995270e-05 3.688856e-04 -2.051273e-05 8.565138e-05
10177.000000 -2.975070e-05 -6.931797e-07 -1.976675e-07 -9.962410e-07 9.314777e-05 3.557677e-04 -2.713180e-05 7.837997e-05
10182.000000 -2.969792e-05 -6.921798e-07 -1.938643e-07 -9.964757e-07 9.947120e-05 3.338891e-04 -1.456393e-05 7.184043e-05
10187.000000 -2.970986e-05 -6.910383e-07 -1.866278e-07 -9.999855e-07 9.694611e-05 3.341570e-04 -1.624386e-05 7.435457e-05
10192.000000 -2.970798e-05 -6.926354e-07 -1.705429e-07 -1.002330e-06 9.937530e-05 3.099772e-04 -2.231827e-05 6.237616e-05
10197.000000 -2.975954e-05 -6.949210e-07 -1.252798e-07 -1.007006e-06 9.620304e-05 2.996729e-04 -1.400064e-05 6.323345e-05
10202.000000 -2.972665e-05 -6.963726e-07 -3.972845e-08 -1.008357e-06 1.043434e-04 3.124278e-04 -8.538581e-06 6.914409e-05
10207.000000 -2.967590e-05 -6.966070e-07 -1.663975e-08 -1.008895e-06 1.066087e-04 3.091656e-04 -7.266066e-06 6.565938e-05
10212.000000 -2.966539e-05 -6.972367e-07 -3.411783e-08 -1.011090e-06 1.037843e-04 3.018858e-04 -1.772642e-05 6.507085e-05
10217.000000 -2.957790e-05 -6.991637e-07 -4.440344e-08 -1.010300e-06 1.055722e-04 3.010440e-04 -3.235004e-05 7.541949e-05
10222.000000 -2.954208e-05 -7.008093e-07 -5.243421e-08 -1.011879e-06 1.031294e-04 2.957621e-04 -2.435295e-05 9.320437e-05
10227.000000 -2.936213e-05 -7.010585e-07 -5.753568e-08 -1.007447e-06 1.040836e-04 2.855386e-04 -3.479746e-05 9.443602e-05
10232.000000 -2.931092e-05 -7.034948e-07 -5.966393e-08 -1.008533e-06 9.730351e-05 2.886202e-04 -3.050764e-05 8.967689e-05
10237.000000 -2.944037e-05 -7.095844e-07 -6.135276e-08 -1.017723e-06 1.052688e-04 2.851886e-04 -1.845869e-05 8.725972e-05
10242.000000 -2.936643e-05 -7.159257e-07 -6.284996e-08 -1.018320e-06 1.159914e-04 2.784612e-04 -1.473907e-05 8.473414e-05
10247.000000 -2.929135e-05 -7.122734e-07 -6.529068e-08 -1.015829e-06 1.229261e-04 2.864156e-04 -1.599178e-05 8.730223e-05
10252.000000 -2.927092e-05 -7.154066e-07 -6.515012e-08 -1.017268e-06 1.223825e-04 2.898905e-04 -1.445969e-05 8.165415e-05
10257.000000 -2.923265e-05 -7.169186e-07 -6.270345e-08 -1.019016e-06 1.143143e-04 2.750020e-04 -2.074525e-05 7.587398e-05
10262.000000 -2.913033e-05 -7.181201e-07 -6.222688e-08 -1.018245e-06 1.126247e-04 2.790148e-04 -2.971644e-06 7.800424e-05
10267.000000 -2.918592e-05 -7.225369e-07 -6.363472e-08 -1.023385e-06 1.206201e-04 3.039403e-04 -6.218034e-06 8.070208e-05
10272.000000 -2.918017e-05 -7.252553e-07 -6.444464e-08 -1.025995e-06 1.192865e-04 2.889442e-04 -4.870039e-06 7.719445e-05
10277.000000 -2.907558e-05 -7.265709e-07 -6.414024e-08 -1.024829e-06 1.181497e-04 2.991923e-04 -1.392288e-05 8.292841e-05
10282.000000 -2.887956e-05 -7.266267e-07 -6.330912e-08 -1.020499e-06 1.213066e-04 3.064283e-04 -1.836823e-05 8.056247e-05
10287.000000 -2.897944e-05 -7.320260e-07 -6.424174e-08 -1.027171e-06 1.202005e-04 3.008274e-04 -1.886150e-05 8.967103e-05
10292.000000 -2.898135e-05 -7.357973e-07 -6.631851e-08 -1.030373e-06 1.082940e-04 3.020676e-04 -3.174289e-05 8.948646e-05
10297.000000 -2.895488e-05 -7.388241e-07 -6.730319e-08 -1.032403e-06 9.823013e-05 3.103652e-04 -3.207705e-05 8.563415e-05
10302.000000 -2.894033e-05 -7.420528e-07 -6.699509e-08 -1.034835e-06 9.346944e-05 3.019459e-04 -2.844785e-05 8.361180e-05
10307.000000 -2.886233e-05 -7.436158e-07 -6.690371e-08 -1.034461e-06 1.025422e-04 3.122564e-04 -3.487310e-05 8.513437e-05
10312.000000 -2.885904e-05 -7.480515e-07 -6.743208e-08 -1.037460e-06 1.083663e-04 3.197833e-04 -2.882272e-05 8.963654e-05
10317.000000 -2.883935e-05 -7.515093e-07 -6.738472e-08 -1.040255e-06 1.012634e-04 3.283135e-04 -2.215028e-05 9.034449e-05
10322.000000 -2.881594e-05 -7.548461e-07 -6.689148e-08 -1.043087e-06 1.099141e-04 3.278851e-04 -2.525672e-05 8.429395e-05
10327.000000 -2.876759e-05 -7.576166e-07 -6.657562e-08 -1.045203e-06 1.036343e-04 3.281612e-04 -2.765572e-05 8.301371e-05
10332.000000 -2.864731e-05 -7.575740e-07 -6.607116e-08 -1.045114e-06 1.032841e-04 3.344283e-04 -2.982697e-05 7.251220e-05
10337.000000 -2.870724e-05 -7.599650e-07 -6.598693e-08 -1.051011e-06 9.400899e-05 2.854274e-04 -3.584073e-05 7.142296e-05
10341.000000 -2.863626e-05 -7.584066e-07 -6.623204e-08 -1.052109e-06 7.632890e-05 2.930480e-04 -4.122432e-05 8.611057e-05
10344.000000 -2.861721e-05 -7.589186e-07 -6.720980e-08 -1.054631e-06 8.036244e-05 3.310303e-04 -3.472648e-05 9.123625e-05
10346.000000 -2.855197e-05 -7.579589e-07 -6.777046e-08 -1.054233e-06 7.545123e-05 3.233496e-04 -3.422651e-05 8.884885e-05
10347.000000 -2.855165e-05 -7.586419e-07 -6.830801e-08 -1.055689e-06 8.153809e-05 3.300268e-04 -4.350603e-05 7.671670e-05
10347.200000 -2.856691e-05 -7.603803e-07 -6.844089e-08 -1.056537e-06 8.306591e-05 3.200086e-04 -4.821190e-05 7.397856e-05
10347.400000 -2.857664e-05 -7.574815e-07 -6.840490e-08 -1.057364e-06 8.502130e-05 3.218492e-04 -3.721161e-05 8.219630e-05
10347.600000 -2.858671e-05 -7.594727e-07 -6.814649e-08 -1.057722e-06 8.135078e-05 3.360057e-04 -3.559800e-05 8.300974e-05
