# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.57855807233017
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1650.003784
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371004
# Scan.uid: 8e1a28b1-6964-4695-a9e2-01916847e1b1
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:46:33.533946
# Scan.end_time: 06/23/2023  04:47:09.786205
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 109.38660963376363
# SampleHeater.temperature2.readback: 110.9
# SampleHeater.voltage.setpoint: 0.31418214122391175
# SampleHeater.voltage.readback: 0.319
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.98
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.02848307229578495
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.997724e-05 -7.176197e-07 -2.072043e-07 -1.004823e-06 8.446284e-05 1.814190e-04 -1.085526e-05 2.066556e-05
10172.000000 -2.987299e-05 -7.127834e-07 -2.049331e-07 -1.003289e-06 8.457493e-05 1.591964e-04 -1.371593e-05 1.817067e-05
10177.000000 -2.980537e-05 -7.139484e-07 -2.029986e-07 -1.001892e-06 9.291108e-05 1.664294e-04 -1.046648e-05 2.743864e-05
10182.000000 -2.972904e-05 -7.141016e-07 -1.993156e-07 -1.001284e-06 8.960006e-05 1.483882e-04 -9.769397e-06 2.468720e-05
10187.000000 -2.968410e-05 -7.163347e-07 -1.927629e-07 -1.003752e-06 7.984915e-05 1.421126e-04 -1.747280e-05 1.267476e-05
10192.000000 -2.968472e-05 -7.171346e-07 -1.763264e-07 -1.003570e-06 7.357086e-05 1.488345e-04 -1.889448e-06 1.543197e-05
10197.000000 -2.958597e-05 -7.166571e-07 -1.292091e-07 -1.001967e-06 7.960261e-05 1.264754e-04 -6.901850e-06 1.566328e-05
10202.000000 -2.958585e-05 -7.186411e-07 -4.079135e-08 -1.004556e-06 8.408197e-05 1.183231e-04 -9.637149e-06 2.225494e-05
10207.000000 -2.957711e-05 -7.211718e-07 -1.706329e-08 -1.006911e-06 9.075815e-05 1.225339e-04 -3.372853e-06 3.278606e-05
10212.000000 -2.958249e-05 -7.237827e-07 -3.513394e-08 -1.009804e-06 7.017865e-05 1.396114e-04 -1.529605e-05 2.535712e-05
10217.000000 -2.958447e-05 -7.259898e-07 -4.591889e-08 -1.012205e-06 6.923241e-05 1.497506e-04 -1.928659e-05 1.790897e-05
10222.000000 -2.949683e-05 -7.274404e-07 -5.399062e-08 -1.011069e-06 6.692620e-05 1.579199e-04 -1.448290e-05 2.085135e-05
10227.000000 -2.936468e-05 -7.269494e-07 -5.933856e-08 -1.007975e-06 6.569006e-05 1.492965e-04 -1.356398e-05 2.102148e-05
10232.000000 -2.935620e-05 -7.303222e-07 -6.161162e-08 -1.011079e-06 6.045246e-05 1.276292e-04 -7.128257e-06 2.190638e-05
10237.000000 -2.934669e-05 -7.328958e-07 -6.305601e-08 -1.013575e-06 6.455670e-05 1.343267e-04 -3.930958e-06 1.773736e-05
10242.000000 -2.933303e-05 -7.359172e-07 -6.440986e-08 -1.016056e-06 6.670822e-05 1.332724e-04 -1.150817e-05 2.392480e-05
10247.000000 -2.930380e-05 -7.376406e-07 -6.731112e-08 -1.018387e-06 6.485429e-05 1.560850e-04 -4.853300e-07 1.443357e-05
10252.000000 -2.929266e-05 -7.400402e-07 -6.692113e-08 -1.020702e-06 6.831771e-05 1.466602e-04 -6.275068e-06 1.831290e-05
10257.000000 -2.926615e-05 -7.419099e-07 -6.455294e-08 -1.022548e-06 6.991517e-05 1.259430e-04 -2.807338e-06 2.999135e-05
10262.000000 -2.917185e-05 -7.428433e-07 -6.417578e-08 -1.022224e-06 8.024881e-05 1.407850e-04 -5.148299e-06 3.751935e-05
10267.000000 -2.920998e-05 -7.475924e-07 -6.579881e-08 -1.026738e-06 8.436251e-05 1.439912e-04 -7.500829e-06 2.741152e-05
10272.000000 -2.919557e-05 -7.507456e-07 -6.648435e-08 -1.029276e-06 8.377693e-05 1.422660e-04 -4.708628e-06 3.167665e-05
10277.000000 -2.904518e-05 -7.506437e-07 -6.581447e-08 -1.026232e-06 7.789879e-05 1.427116e-04 -4.524884e-06 3.100002e-05
10282.000000 -2.883075e-05 -7.493954e-07 -6.489150e-08 -1.020793e-06 7.559384e-05 1.412898e-04 -9.179759e-06 2.541941e-05
10287.000000 -2.900324e-05 -7.573445e-07 -6.614986e-08 -1.030739e-06 8.638600e-05 1.165198e-04 -2.098375e-06 2.533161e-05
10292.000000 -2.894755e-05 -7.600961e-07 -6.823605e-08 -1.031310e-06 8.128801e-05 1.126229e-04 -3.271802e-07 1.730923e-05
10297.000000 -2.896985e-05 -7.647778e-07 -6.927133e-08 -1.035524e-06 8.107583e-05 1.259249e-04 -1.123126e-05 1.065199e-05
10302.000000 -2.896761e-05 -7.667117e-07 -6.928215e-08 -1.037993e-06 8.434268e-05 1.351336e-04 -5.766231e-06 1.709561e-05
10307.000000 -2.892080e-05 -7.685970e-07 -6.926798e-08 -1.039155e-06 8.600971e-05 1.108921e-04 -4.811455e-06 3.264713e-05
10312.000000 -2.886216e-05 -7.711617e-07 -6.947799e-08 -1.040179e-06 9.163947e-05 1.331245e-04 -5.741492e-07 6.283092e-05
10317.000000 -2.880376e-05 -7.726583e-07 -6.927721e-08 -1.040990e-06 8.000827e-05 1.126634e-04 2.473537e-06 6.768589e-05
10322.000000 -2.876374e-05 -7.744168e-07 -6.893139e-08 -1.043287e-06 8.799989e-05 9.887172e-05 -4.831417e-06 6.801920e-05
10327.000000 -2.873769e-05 -7.767777e-07 -6.808053e-08 -1.046523e-06 8.483518e-05 9.371635e-05 -1.152973e-05 6.774412e-05
10332.000000 -2.864924e-05 -7.776289e-07 -6.743138e-08 -1.047929e-06 7.975207e-05 1.222327e-04 -1.464476e-05 6.114923e-05
10337.000000 -2.873595e-05 -7.826489e-07 -6.783388e-08 -1.054695e-06 7.483973e-05 1.307630e-04 -1.344708e-05 2.210634e-05
10341.000000 -2.867112e-05 -7.814698e-07 -6.809919e-08 -1.055866e-06 8.241631e-05 1.293637e-04 -2.484888e-05 2.440510e-05
10344.000000 -2.863586e-05 -7.819855e-07 -6.902871e-08 -1.057445e-06 8.623943e-05 1.257792e-04 -3.226839e-05 5.557090e-05
10346.000000 -2.862997e-05 -7.835930e-07 -7.011505e-08 -1.059780e-06 8.374454e-05 1.404132e-04 -1.903870e-05 5.894188e-05
10347.000000 -2.861914e-05 -7.833092e-07 -7.025495e-08 -1.060766e-06 8.458391e-05 1.201183e-04 -1.195554e-06 6.490846e-05
10347.200000 -2.861599e-05 -7.826075e-07 -7.034959e-08 -1.060665e-06 7.781536e-05 1.142419e-04 -3.405013e-06 6.408358e-05
10347.400000 -2.862641e-05 -7.844128e-07 -7.054161e-08 -1.061604e-06 8.372991e-05 9.802168e-05 -3.999690e-06 6.263655e-05
10347.600000 -2.863066e-05 -7.840983e-07 -7.017727e-08 -1.062157e-06 8.371176e-05 7.797422e-05 -4.276564e-06 5.341946e-05
10347.800000 -2.862615e-05 -7.845411e-07 -7.040586e-08 -1.062655e-06 7.280694e-05 8.794960e-05 -1.243594e-05 5.164342e-05
