# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.4532036775603
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -418.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002563
# Detector.I1.voltage: -1650.00293
# Detector.I2.voltage: -1650.002563
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371012
# Scan.uid: e07ba883-c9b8-4215-a642-da98811598ce
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:54:32.510105
# Scan.end_time: 06/23/2023  04:55:07.555325
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 149.3323278427124
# SampleHeater.temperature2.readback: 151.70000000000002
# SampleHeater.voltage.setpoint: 0.3642984832305539
# SampleHeater.voltage.readback: 0.364
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.870000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0895182266831398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.996216e-05 -7.043668e-07 -2.027578e-07 -1.001609e-06 5.444627e-05 1.018837e-04 -1.566566e-05 -3.772323e-06
10172.000000 -2.984370e-05 -6.990837e-07 -2.003460e-07 -9.990526e-07 5.319365e-05 8.020744e-05 -1.649195e-05 4.777384e-06
10177.000000 -2.976309e-05 -6.992027e-07 -1.981690e-07 -9.978111e-07 5.338639e-05 8.930817e-05 -2.135089e-05 1.730013e-05
10182.000000 -2.970345e-05 -7.010384e-07 -1.953161e-07 -9.977751e-07 5.120171e-05 1.167593e-04 -9.774173e-06 1.641698e-05
10187.000000 -2.970652e-05 -7.019409e-07 -1.885539e-07 -1.000889e-06 5.111071e-05 8.785274e-05 -2.294049e-05 4.542957e-06
10192.000000 -2.975486e-05 -7.049565e-07 -1.725601e-07 -1.004806e-06 5.111828e-05 6.784050e-05 -2.451446e-05 2.875075e-06
10197.000000 -2.964019e-05 -7.049156e-07 -1.265338e-07 -1.002678e-06 5.057849e-05 8.801282e-05 -1.655125e-05 -5.731795e-06
10202.000000 -2.962273e-05 -7.080954e-07 -4.046647e-08 -1.004606e-06 5.022494e-05 8.935550e-05 -2.819409e-05 -8.932730e-06
10207.000000 -2.954933e-05 -7.095304e-07 -1.684753e-08 -1.004187e-06 5.089012e-05 7.519705e-05 -3.206994e-05 -1.145511e-05
10212.000000 -2.965077e-05 -7.138587e-07 -3.456233e-08 -1.010483e-06 5.098414e-05 6.463901e-05 -3.150991e-05 5.106897e-06
10217.000000 -2.965835e-05 -7.175767e-07 -4.479823e-08 -1.013404e-06 5.594101e-05 3.905654e-05 -3.740505e-05 -4.061804e-06
10222.000000 -2.960894e-05 -7.194888e-07 -5.283932e-08 -1.014029e-06 5.968376e-05 3.573901e-05 -3.566391e-05 1.060768e-06
10227.000000 -2.954256e-05 -7.204071e-07 -5.832217e-08 -1.013820e-06 5.347666e-05 5.044324e-05 -2.590352e-05 2.146489e-07
10232.000000 -2.949390e-05 -7.226428e-07 -6.055117e-08 -1.015049e-06 4.912911e-05 3.520520e-05 -2.446979e-05 3.403104e-06
10237.000000 -2.948303e-05 -7.240092e-07 -6.209941e-08 -1.017670e-06 4.776875e-05 3.597014e-05 -2.212856e-05 1.421165e-05
10242.000000 -2.944283e-05 -7.262640e-07 -6.347786e-08 -1.018925e-06 4.741414e-05 3.524379e-05 -2.649736e-05 1.685918e-05
10247.000000 -2.935093e-05 -7.278926e-07 -6.616549e-08 -1.018226e-06 4.859678e-05 4.571638e-05 -3.619408e-05 5.447108e-06
10252.000000 -2.926949e-05 -7.287634e-07 -6.573653e-08 -1.017698e-06 4.428919e-05 4.605889e-05 -2.914791e-05 8.397741e-06
10257.000000 -2.931124e-05 -7.334206e-07 -6.333576e-08 -1.022612e-06 6.165900e-05 6.566408e-05 -2.750745e-05 1.283037e-05
10262.000000 -2.923649e-05 -7.347788e-07 -6.304977e-08 -1.023333e-06 6.306160e-05 6.287591e-05 -2.128136e-05 4.717342e-06
10267.000000 -2.921804e-05 -7.358816e-07 -6.421798e-08 -1.025574e-06 6.299429e-05 4.678542e-05 -1.864070e-05 2.566431e-06
10272.000000 -2.924683e-05 -7.396369e-07 -6.517768e-08 -1.029713e-06 6.516072e-05 5.139156e-05 -1.652144e-05 1.073859e-05
10277.000000 -2.918952e-05 -7.418460e-07 -6.503921e-08 -1.030324e-06 6.233781e-05 4.465546e-05 -1.306094e-05 9.475192e-06
10282.000000 -2.901463e-05 -7.409570e-07 -6.370488e-08 -1.026609e-06 4.833062e-05 3.696820e-05 -9.198956e-06 1.356337e-05
10287.000000 -2.901933e-05 -7.433787e-07 -6.445763e-08 -1.029363e-06 4.594264e-05 3.569634e-05 -1.681249e-05 1.669800e-05
10292.000000 -2.900354e-05 -7.465582e-07 -6.689072e-08 -1.031861e-06 5.713786e-05 3.781128e-05 -1.985108e-05 1.193533e-05
10297.000000 -2.893551e-05 -7.469037e-07 -6.786282e-08 -1.031932e-06 5.831997e-05 4.419456e-05 -1.320185e-05 1.087941e-05
10302.000000 -2.898594e-05 -7.514854e-07 -6.758993e-08 -1.036992e-06 5.279508e-05 4.866350e-05 -1.849159e-05 1.311256e-05
10307.000000 -2.894822e-05 -7.549079e-07 -6.754346e-08 -1.038242e-06 4.088906e-05 5.065374e-05 -2.572252e-05 1.316925e-05
10312.000000 -2.892091e-05 -7.588859e-07 -6.791909e-08 -1.040238e-06 4.474267e-05 5.324270e-05 -3.175385e-05 5.962975e-06
10317.000000 -2.883706e-05 -7.598326e-07 -6.766001e-08 -1.040535e-06 4.551883e-05 5.580335e-05 -4.188161e-05 9.492418e-06
10322.000000 -2.887110e-05 -7.641769e-07 -6.730620e-08 -1.045789e-06 4.352360e-05 5.541382e-05 -3.276271e-05 1.097779e-05
10327.000000 -2.882557e-05 -7.665777e-07 -6.689922e-08 -1.047976e-06 4.857346e-05 6.167251e-05 -2.787004e-05 5.475984e-06
10332.000000 -2.869048e-05 -7.659926e-07 -6.616757e-08 -1.047681e-06 6.125699e-05 7.128743e-05 -2.966025e-05 1.193515e-05
10337.000000 -2.879285e-05 -7.716952e-07 -6.667820e-08 -1.055245e-06 5.817096e-05 6.186063e-05 -4.142601e-05 2.912301e-06
10341.000000 -2.876308e-05 -7.712195e-07 -6.704080e-08 -1.058188e-06 5.809056e-05 2.902482e-05 -3.620098e-05 1.013860e-05
10344.000000 -2.873284e-05 -7.715665e-07 -6.768581e-08 -1.060356e-06 6.210071e-05 1.768675e-05 -3.154792e-05 4.084987e-06
10346.000000 -2.869176e-05 -7.712969e-07 -6.851712e-08 -1.060821e-06 5.641695e-05 -2.533202e-06 -2.726178e-05 1.548506e-05
10347.000000 -2.867609e-05 -7.708891e-07 -6.883572e-08 -1.061455e-06 4.958483e-05 1.509132e-05 -2.719092e-05 1.077239e-05
10347.200000 -2.868391e-05 -7.719139e-07 -6.877914e-08 -1.062216e-06 4.593582e-05 1.782140e-05 -1.927840e-05 1.347482e-05
10347.400000 -2.869873e-05 -7.736518e-07 -6.895303e-08 -1.063133e-06 4.708152e-05 1.884745e-05 -1.994554e-05 1.016100e-05
10347.600000 -2.868455e-05 -7.725244e-07 -6.900472e-08 -1.063279e-06 4.728653e-05 2.424042e-05 -2.583945e-05 1.340555e-05
10347.800000 -2.869489e-05 -7.728922e-07 -6.913504e-08 -1.063404e-06 5.249453e-05 3.803015e-05 -3.007596e-05 1.824918e-05
