# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.55969336119654
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.002197
# Detector.I1.voltage: -1650.003052
# Detector.I2.voltage: -1650.003296
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371014
# Scan.uid: 5c5349ee-fa4b-411f-ad2a-7c013c11c142
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:56:32.095770
# Scan.end_time: 06/23/2023  04:57:07.069112
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 159.2746284008026
# SampleHeater.temperature2.readback: 161.0
# SampleHeater.voltage.setpoint: 0.4013565669296564
# SampleHeater.voltage.readback: 0.395
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.870000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.0244140625
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.986254e-05 -6.962937e-07 -2.001589e-07 -1.000071e-06 7.213426e-05 1.010637e-04 -4.243446e-05 3.373657e-05
10172.000000 -2.971954e-05 -6.907254e-07 -1.975783e-07 -9.959561e-07 6.833801e-05 1.094040e-04 -3.636324e-05 3.320800e-05
10177.000000 -2.967425e-05 -6.916529e-07 -1.961209e-07 -9.955604e-07 6.187698e-05 9.214465e-05 -3.672219e-05 2.966803e-05
10182.000000 -2.957353e-05 -6.905654e-07 -1.922217e-07 -9.943105e-07 5.533620e-05 8.777126e-05 -3.291520e-05 3.580098e-05
10187.000000 -2.961067e-05 -6.904902e-07 -1.851127e-07 -9.986765e-07 6.699596e-05 9.011386e-05 -2.792370e-05 3.527582e-05
10192.000000 -2.958229e-05 -6.933396e-07 -1.696608e-07 -9.997692e-07 5.791771e-05 1.067664e-04 -1.898347e-05 2.388872e-05
10197.000000 -2.956907e-05 -6.965746e-07 -1.247839e-07 -1.002060e-06 5.844781e-05 1.018877e-04 -2.999296e-05 3.492647e-05
10202.000000 -2.954759e-05 -6.994100e-07 -3.976005e-08 -1.003675e-06 5.460518e-05 9.985908e-05 -3.228673e-05 3.610796e-05
10207.000000 -2.948057e-05 -7.004156e-07 -1.653093e-08 -1.003574e-06 5.020583e-05 9.075494e-05 -3.169048e-05 3.361881e-05
10212.000000 -2.952507e-05 -7.042259e-07 -3.412415e-08 -1.007874e-06 3.927535e-05 8.585656e-05 -2.849548e-05 3.699748e-05
10217.000000 -2.948975e-05 -7.061295e-07 -4.421129e-08 -1.008898e-06 3.972829e-05 8.407811e-05 -3.023938e-05 2.877968e-05
10222.000000 -2.947236e-05 -7.088862e-07 -5.215084e-08 -1.010849e-06 5.101686e-05 7.762749e-05 -3.293901e-05 2.405645e-05
10227.000000 -2.939146e-05 -7.107297e-07 -5.772895e-08 -1.010169e-06 5.133155e-05 6.140298e-05 -3.879877e-05 3.200043e-05
10232.000000 -2.931666e-05 -7.122292e-07 -5.970763e-08 -1.009964e-06 6.691076e-05 5.974498e-05 -3.811066e-05 2.632813e-05
10237.000000 -2.936883e-05 -7.157459e-07 -6.127252e-08 -1.015012e-06 6.845759e-05 7.238009e-05 -4.394598e-05 2.531159e-05
10242.000000 -2.934694e-05 -7.175097e-07 -6.253400e-08 -1.017344e-06 6.614168e-05 7.770782e-05 -4.003198e-05 2.048626e-05
10247.000000 -2.925945e-05 -7.182370e-07 -6.530507e-08 -1.016974e-06 5.961746e-05 1.037821e-04 -4.484348e-05 1.557506e-05
10252.000000 -2.925661e-05 -7.206275e-07 -6.483613e-08 -1.019771e-06 6.065001e-05 1.187058e-04 -3.822189e-05 1.720370e-05
10257.000000 -2.919242e-05 -7.219914e-07 -6.232602e-08 -1.020344e-06 6.727531e-05 1.140915e-04 -4.246354e-05 2.866621e-05
10262.000000 -2.913002e-05 -7.236220e-07 -6.222397e-08 -1.021049e-06 6.547768e-05 9.043281e-05 -5.013597e-05 1.860264e-05
10267.000000 -2.916725e-05 -7.265893e-07 -6.366020e-08 -1.025396e-06 7.141270e-05 8.188958e-05 -3.984013e-05 1.499482e-05
10272.000000 -2.913768e-05 -7.287353e-07 -6.415113e-08 -1.027333e-06 6.131166e-05 7.382699e-05 -2.389828e-05 2.200237e-05
10277.000000 -2.903446e-05 -7.276397e-07 -6.341589e-08 -1.025873e-06 6.353289e-05 8.377340e-05 -2.579454e-05 2.363914e-05
10282.000000 -2.891558e-05 -7.282573e-07 -6.283559e-08 -1.024883e-06 5.838516e-05 8.287090e-05 -2.647819e-05 2.332980e-05
10287.000000 -2.897573e-05 -7.328729e-07 -6.344773e-08 -1.030018e-06 5.840660e-05 7.279551e-05 -2.422302e-05 3.584826e-05
10292.000000 -2.894038e-05 -7.349237e-07 -6.555091e-08 -1.031242e-06 5.872856e-05 9.481793e-05 -2.519511e-05 5.153759e-05
10297.000000 -2.890018e-05 -7.383528e-07 -6.681020e-08 -1.032513e-06 5.473249e-05 1.256896e-04 -1.372751e-05 5.979788e-05
10302.000000 -2.890183e-05 -7.420272e-07 -6.691269e-08 -1.035563e-06 5.729850e-05 1.027552e-04 -2.174773e-05 5.697569e-05
10307.000000 -2.887053e-05 -7.454970e-07 -6.687549e-08 -1.037271e-06 5.985069e-05 8.956328e-05 -2.651615e-05 1.768625e-05
10312.000000 -2.883158e-05 -7.494078e-07 -6.719019e-08 -1.039216e-06 5.785251e-05 9.463576e-05 -3.139542e-05 3.787904e-06
10317.000000 -2.877131e-05 -7.516169e-07 -6.695977e-08 -1.040241e-06 6.018050e-05 7.574336e-05 -3.846928e-05 1.332690e-05
10322.000000 -2.870727e-05 -7.537704e-07 -6.662567e-08 -1.041320e-06 6.460135e-05 7.601856e-05 -3.453536e-05 7.351445e-06
10327.000000 -2.867833e-05 -7.565139e-07 -6.607881e-08 -1.044385e-06 5.329272e-05 6.326592e-05 -2.727879e-05 7.783612e-06
10332.000000 -2.858450e-05 -7.571227e-07 -6.547488e-08 -1.045759e-06 5.268772e-05 6.630177e-05 -3.227365e-05 4.631145e-06
10337.000000 -2.869168e-05 -7.632807e-07 -6.584216e-08 -1.052997e-06 5.636035e-05 8.685351e-05 -2.966615e-05 9.860040e-06
10341.000000 -2.866786e-05 -7.654146e-07 -6.646347e-08 -1.055291e-06 5.751085e-05 7.349551e-05 -3.284006e-05 1.024506e-05
10344.000000 -2.861506e-05 -7.647732e-07 -6.711523e-08 -1.056642e-06 5.580186e-05 6.338624e-05 -4.048986e-05 8.934735e-06
10346.000000 -2.855192e-05 -7.642924e-07 -6.762250e-08 -1.056304e-06 5.612100e-05 7.702130e-05 -3.749052e-05 1.110938e-05
10347.000000 -2.856697e-05 -7.656509e-07 -6.839585e-08 -1.058341e-06 5.436268e-05 6.566754e-05 -3.515561e-05 1.052602e-05
10347.200000 -2.850138e-05 -7.625001e-07 -6.813277e-08 -1.055993e-06 5.172800e-05 8.245161e-05 -4.371372e-05 2.929573e-06
10347.400000 -2.849470e-05 -7.634255e-07 -6.827059e-08 -1.055999e-06 4.798295e-05 7.950356e-05 -2.896939e-05 1.046241e-05
10347.600000 -2.850363e-05 -7.647440e-07 -6.839534e-08 -1.056835e-06 4.896162e-05 7.321955e-05 -3.527776e-05 1.009128e-05
10347.800000 -2.851412e-05 -7.667580e-07 -6.850121e-08 -1.057095e-06 5.395957e-05 8.366418e-05 -3.575538e-05 8.684846e-06
