# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.24396039471037
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.001343
# Detector.I1.voltage: -1650.000244
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371016
# Scan.uid: e9a48887-0ca8-4fe1-aa43-4b6958d5df25
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  04:58:31.084679
# Scan.end_time: 06/23/2023  04:59:05.801805
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524008696
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 169.18039319912592
# SampleHeater.temperature2.readback: 169.5
# SampleHeater.voltage.setpoint: 0.455647077278821
# SampleHeater.voltage.readback: 0.45
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.91
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0325520820915699
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0325520820915699
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.990458e-05 -7.055825e-07 -2.037002e-07 -1.001123e-06 7.254664e-05 2.540098e-04 -4.767675e-05 2.550523e-05
10172.000000 -2.979787e-05 -7.003487e-07 -2.010969e-07 -9.992743e-07 6.873511e-05 2.350818e-04 -5.525566e-05 2.751476e-05
10177.000000 -2.970874e-05 -7.015185e-07 -1.996053e-07 -9.972135e-07 7.648785e-05 2.076579e-04 -6.470842e-05 2.392150e-05
10182.000000 -2.959172e-05 -7.004396e-07 -1.957693e-07 -9.951021e-07 7.702897e-05 2.167349e-04 -6.994275e-05 2.344161e-05
10187.000000 -2.957588e-05 -7.000767e-07 -1.883053e-07 -9.976539e-07 8.079009e-05 2.132470e-04 -6.194012e-05 1.500474e-05
10192.000000 -2.971573e-05 -7.040380e-07 -1.730115e-07 -1.005276e-06 7.829897e-05 1.857169e-04 -6.873353e-05 1.383302e-05
10197.000000 -2.964581e-05 -7.049438e-07 -1.272064e-07 -1.004994e-06 8.223356e-05 2.071186e-04 -6.635605e-05 1.647892e-05
10202.000000 -2.963713e-05 -7.064000e-07 -4.055282e-08 -1.007073e-06 8.311295e-05 2.215068e-04 -6.485419e-05 8.340143e-06
10207.000000 -2.965096e-05 -7.096533e-07 -1.692970e-08 -1.010236e-06 8.570444e-05 1.809942e-04 -5.715839e-05 6.685450e-06
10212.000000 -2.962066e-05 -7.121920e-07 -3.485608e-08 -1.011466e-06 8.553781e-05 1.907463e-04 -4.665234e-05 6.948120e-06
10217.000000 -2.955678e-05 -7.131894e-07 -4.491407e-08 -1.011345e-06 7.280771e-05 1.868225e-04 -5.069362e-05 -4.051810e-06
10222.000000 -2.954294e-05 -7.146275e-07 -5.286105e-08 -1.013252e-06 7.638319e-05 1.726559e-04 -5.582881e-05 -1.696754e-08
10227.000000 -2.941711e-05 -7.137759e-07 -5.796049e-08 -1.010949e-06 8.497679e-05 1.884914e-04 -5.754999e-05 -2.853461e-07
10232.000000 -2.910401e-05 -7.102371e-07 -5.963615e-08 -1.002021e-06 7.892364e-05 1.905598e-04 -6.674644e-05 -3.219013e-06
10237.000000 -2.926626e-05 -7.166337e-07 -6.166409e-08 -1.011287e-06 7.291791e-05 1.833727e-04 -6.474801e-05 -6.193736e-07
10242.000000 -2.936129e-05 -7.210388e-07 -6.337741e-08 -1.018172e-06 6.249553e-05 1.610529e-04 -6.450357e-05 2.965560e-06
10247.000000 -2.924628e-05 -7.211576e-07 -6.595402e-08 -1.016714e-06 6.324286e-05 1.466916e-04 -5.205996e-05 7.090737e-06
10252.000000 -2.925667e-05 -7.240849e-07 -6.568987e-08 -1.019822e-06 7.189704e-05 1.615142e-04 -6.483252e-05 2.288232e-06
10257.000000 -2.922219e-05 -7.253581e-07 -6.297866e-08 -1.021358e-06 7.337678e-05 1.504628e-04 -6.398398e-05 -1.199406e-06
10262.000000 -2.916920e-05 -7.268673e-07 -6.272299e-08 -1.022460e-06 7.156528e-05 1.672231e-04 -6.467301e-05 -5.797611e-07
10267.000000 -2.920128e-05 -7.311532e-07 -6.414617e-08 -1.026527e-06 6.997430e-05 1.722130e-04 -7.826971e-05 9.882203e-07
10272.000000 -2.913902e-05 -7.325305e-07 -6.468337e-08 -1.026692e-06 6.285095e-05 1.730422e-04 -8.021613e-05 3.275873e-06
10277.000000 -2.902061e-05 -7.324512e-07 -6.403258e-08 -1.025142e-06 6.527787e-05 1.772288e-04 -8.042461e-05 8.076396e-06
10282.000000 -2.887622e-05 -7.323266e-07 -6.327551e-08 -1.023455e-06 6.213371e-05 1.969741e-04 -5.911521e-05 1.888722e-05
10287.000000 -2.901032e-05 -7.394578e-07 -6.453664e-08 -1.031722e-06 5.969534e-05 2.023306e-04 -6.008135e-05 2.178742e-05
10292.000000 -2.894706e-05 -7.413854e-07 -6.653949e-08 -1.031872e-06 6.169230e-05 1.615240e-04 -6.735159e-05 9.293515e-06
10297.000000 -2.887944e-05 -7.442010e-07 -6.750423e-08 -1.032140e-06 7.198267e-05 1.452413e-04 -6.394259e-05 6.055751e-06
10302.000000 -2.892034e-05 -7.493570e-07 -6.767998e-08 -1.036758e-06 7.867801e-05 1.500917e-04 -6.231616e-05 1.082418e-05
10307.000000 -2.883201e-05 -7.507610e-07 -6.782154e-08 -1.036381e-06 7.513422e-05 1.373439e-04 -6.633254e-05 3.821282e-06
10312.000000 -2.880474e-05 -7.552837e-07 -6.814475e-08 -1.038397e-06 7.886389e-05 1.845786e-04 -7.291392e-05 4.163392e-06
10317.000000 -2.881939e-05 -7.595850e-07 -6.790046e-08 -1.042562e-06 8.590216e-05 2.007904e-04 -6.685213e-05 1.424494e-05
10322.000000 -2.880844e-05 -7.637688e-07 -6.766342e-08 -1.045798e-06 8.333592e-05 2.053581e-04 -7.533407e-05 1.594222e-05
10327.000000 -2.875976e-05 -7.664601e-07 -6.723307e-08 -1.047292e-06 8.120067e-05 2.110862e-04 -6.766630e-05 1.284742e-05
10332.000000 -2.863067e-05 -7.654208e-07 -6.647875e-08 -1.047143e-06 8.397873e-05 1.889103e-04 -5.590551e-05 1.250194e-05
10337.000000 -2.874125e-05 -7.705096e-07 -6.677700e-08 -1.055438e-06 8.273458e-05 1.913677e-04 -5.338982e-05 4.491404e-05
10341.000000 -2.871066e-05 -7.715852e-07 -6.729178e-08 -1.057873e-06 7.704879e-05 2.191886e-04 -5.743565e-05 4.998841e-05
10344.000000 -2.866023e-05 -7.715501e-07 -6.807366e-08 -1.058462e-06 7.636468e-05 1.929289e-04 -5.963559e-05 1.138859e-05
10346.000000 -2.862429e-05 -7.718536e-07 -6.859772e-08 -1.059599e-06 7.425539e-05 1.891369e-04 -6.580863e-05 1.279821e-05
10347.000000 -2.861678e-05 -7.724597e-07 -6.904543e-08 -1.060799e-06 7.837734e-05 1.846955e-04 -7.163689e-05 1.285981e-05
10347.200000 -2.859172e-05 -7.701681e-07 -6.897951e-08 -1.059935e-06 8.560770e-05 1.707204e-04 -6.993391e-05 1.940684e-05
10347.400000 -2.861913e-05 -7.733216e-07 -6.944923e-08 -1.061393e-06 9.023752e-05 1.687129e-04 -6.996204e-05 1.463315e-05
10347.600000 -2.862156e-05 -7.713834e-07 -6.936051e-08 -1.061875e-06 1.012819e-04 1.973831e-04 -6.753902e-05 1.699386e-05
