# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.97242791907695
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000977
# Detector.I1.voltage: -1650.001221
# Detector.I2.voltage: -1649.998901
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371028
# Scan.uid: 1eb522df-584a-45af-969d-e656c43c3b95
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:10:34.533397
# Scan.end_time: 06/23/2023  05:11:07.805477
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 202.10000000000002
# SampleHeater.voltage.setpoint: 0.45629225658526357
# SampleHeater.voltage.readback: 0.457
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.11
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.979898e-05 -6.866079e-07 -1.982743e-07 -1.004286e-06 3.005638e-05 3.236691e-04 -5.153347e-05 4.153472e-05
10172.000000 -2.969299e-05 -6.840422e-07 -1.966972e-07 -1.002249e-06 4.366673e-05 2.992266e-04 -4.650711e-05 4.793620e-05
10177.000000 -2.963532e-05 -6.843189e-07 -1.945743e-07 -1.001835e-06 4.036658e-05 3.025148e-04 -5.070324e-05 4.486270e-05
10182.000000 -2.956119e-05 -6.850198e-07 -1.913631e-07 -1.001452e-06 4.025733e-05 3.064097e-04 -5.073099e-05 4.853247e-05
10187.000000 -2.957300e-05 -6.851124e-07 -1.844905e-07 -1.005349e-06 4.512647e-05 3.242812e-04 -5.458781e-05 5.425458e-05
10192.000000 -2.964418e-05 -6.886960e-07 -1.692529e-07 -1.010254e-06 4.742079e-05 3.160442e-04 -6.092677e-05 3.540433e-05
10197.000000 -2.962979e-05 -6.900155e-07 -1.238120e-07 -1.012526e-06 4.051199e-05 3.305459e-04 -4.556559e-05 3.681519e-05
10202.000000 -2.959546e-05 -6.922576e-07 -3.902776e-08 -1.013833e-06 4.032208e-05 3.258635e-04 -4.778627e-05 4.318045e-05
10207.000000 -2.958334e-05 -6.946540e-07 -1.660113e-08 -1.016098e-06 4.032255e-05 3.171048e-04 -4.579371e-05 4.669389e-05
10212.000000 -2.956255e-05 -6.964854e-07 -3.411909e-08 -1.017628e-06 4.426201e-05 3.231839e-04 -4.876655e-05 1.813319e-05
10217.000000 -2.952343e-05 -6.982098e-07 -4.425086e-08 -1.018423e-06 4.719088e-05 3.366771e-04 -4.862973e-05 -1.570330e-05
10222.000000 -2.948655e-05 -6.998064e-07 -5.214082e-08 -1.019127e-06 4.621360e-05 3.332477e-04 -4.798212e-05 -1.639999e-05
10227.000000 -2.944541e-05 -7.024356e-07 -5.727859e-08 -1.019998e-06 3.615119e-05 3.226596e-04 -5.260154e-05 -2.197974e-05
10232.000000 -2.936859e-05 -7.031161e-07 -5.921662e-08 -1.019993e-06 3.447885e-05 3.237670e-04 -4.920171e-05 -1.882648e-05
10237.000000 -2.934964e-05 -7.047410e-07 -6.078530e-08 -1.022071e-06 4.050297e-05 3.140340e-04 -5.928172e-05 -2.062025e-05
10242.000000 -2.933326e-05 -7.071629e-07 -6.189055e-08 -1.024540e-06 3.159212e-05 2.883968e-04 -5.954308e-05 -6.205043e-06
10247.000000 -2.927719e-05 -7.080937e-07 -6.458005e-08 -1.025424e-06 3.016318e-05 2.871730e-04 -4.969525e-05 -6.171360e-06
10252.000000 -2.925414e-05 -7.105744e-07 -6.440394e-08 -1.027183e-06 3.084601e-05 2.770907e-04 -5.395564e-05 4.973262e-06
10257.000000 -2.920085e-05 -7.127954e-07 -6.188140e-08 -1.027719e-06 2.426135e-05 2.666827e-04 -5.555546e-05 1.168070e-06
10262.000000 -2.911090e-05 -7.145772e-07 -6.159189e-08 -1.026870e-06 3.020930e-05 2.566850e-04 -5.020872e-05 -3.895077e-06
10267.000000 -2.914866e-05 -7.187205e-07 -6.303276e-08 -1.031144e-06 2.155133e-05 2.651543e-04 -5.355064e-05 3.516899e-06
10272.000000 -2.906444e-05 -7.213307e-07 -6.396932e-08 -1.030287e-06 1.079663e-05 2.917440e-04 -4.933299e-05 1.041968e-05
10277.000000 -2.894014e-05 -7.220435e-07 -6.378242e-08 -1.028146e-06 1.866145e-05 2.964072e-04 -4.897447e-05 6.184700e-06
10282.000000 -2.883550e-05 -7.228370e-07 -6.289621e-08 -1.028049e-06 2.720086e-05 2.814884e-04 -4.432423e-05 3.941782e-06
10287.000000 -2.882611e-05 -7.273937e-07 -6.346637e-08 -1.030334e-06 2.587456e-05 2.781244e-04 -4.396256e-05 4.807686e-06
10292.000000 -2.880053e-05 -7.301857e-07 -6.532632e-08 -1.032487e-06 2.500898e-05 2.714438e-04 -3.740956e-05 -4.919817e-06
10297.000000 -2.891573e-05 -7.331281e-07 -6.650085e-08 -1.040912e-06 3.086669e-05 2.598365e-04 -3.755813e-05 -1.744338e-05
10302.000000 -2.894238e-05 -7.356400e-07 -6.670277e-08 -1.044881e-06 3.083521e-05 2.668687e-04 -4.752003e-05 -4.489492e-06
10307.000000 -2.888478e-05 -7.384883e-07 -6.676305e-08 -1.044677e-06 3.633607e-05 2.405470e-04 -4.549824e-05 -9.212145e-06
10312.000000 -2.881579e-05 -7.413529e-07 -6.695122e-08 -1.044518e-06 4.064993e-05 2.240482e-04 -4.598810e-05 -1.326621e-05
10317.000000 -2.876019e-05 -7.435859e-07 -6.674144e-08 -1.045865e-06 4.484827e-05 2.192659e-04 -4.847786e-05 -8.702820e-06
10322.000000 -2.875779e-05 -7.461466e-07 -6.617703e-08 -1.049890e-06 3.738468e-05 2.214593e-04 -4.465735e-05 -7.719917e-06
10327.000000 -2.873947e-05 -7.494171e-07 -6.571720e-08 -1.053206e-06 2.344070e-05 1.909107e-04 -3.633920e-05 -8.114134e-06
10332.000000 -2.860683e-05 -7.497841e-07 -6.512099e-08 -1.052454e-06 3.008391e-05 1.879213e-04 -3.691303e-05 -1.621725e-05
10337.000000 -2.872816e-05 -7.550855e-07 -6.538858e-08 -1.060922e-06 3.703075e-05 2.078793e-04 -4.326604e-05 -1.378316e-05
10341.000000 -2.869164e-05 -7.550910e-07 -6.583670e-08 -1.063500e-06 3.645480e-05 1.974376e-04 -3.308535e-05 8.813514e-06
10344.000000 -2.867185e-05 -7.564605e-07 -6.674099e-08 -1.066417e-06 4.219153e-05 1.938356e-04 -3.258719e-05 2.571015e-05
10346.000000 -2.864079e-05 -7.565501e-07 -6.749941e-08 -1.067347e-06 4.015409e-05 1.898919e-04 -3.720957e-05 4.052113e-05
10347.000000 -2.860510e-05 -7.573589e-07 -6.792366e-08 -1.066579e-06 2.748359e-05 1.953324e-04 -4.192733e-05 3.856390e-05
10347.200000 -2.860084e-05 -7.584408e-07 -6.802114e-08 -1.066612e-06 2.341253e-05 1.971342e-04 -3.612123e-05 4.427011e-05
10347.400000 -2.861841e-05 -7.587823e-07 -6.801599e-08 -1.067714e-06 2.549910e-05 2.046969e-04 -3.851383e-05 4.289377e-05
10347.600000 -2.859469e-05 -7.578002e-07 -6.793625e-08 -1.067138e-06 3.191702e-05 1.878771e-04 -2.816943e-05 4.663866e-05
