# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.33542387581184
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998657
# Detector.I1.voltage: -1650.00061
# Detector.I2.voltage: -1650.000122
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371032
# Scan.uid: 6211f4d9-cc64-44e1-b9b4-775fc9f2f1f5
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:14:32.528295
# Scan.end_time: 06/23/2023  05:15:05.901807
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 199.4
# SampleHeater.voltage.setpoint: 0.5102669104825104
# SampleHeater.voltage.readback: 0.5
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.17
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.048828125
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.0040690102614462376
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.0935872420668602
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.980242e-05 -6.826815e-07 -1.973735e-07 -1.005171e-06 3.567983e-05 -6.081530e-05 -5.254436e-05 6.466315e-05
10172.000000 -2.966576e-05 -6.785390e-07 -1.952097e-07 -1.002146e-06 3.680125e-05 -4.157253e-05 -5.834825e-05 6.318389e-05
10177.000000 -2.959744e-05 -6.802281e-07 -1.936269e-07 -1.001515e-06 2.851794e-05 -5.427360e-05 -5.780518e-05 5.433703e-05
10182.000000 -2.946013e-05 -6.820598e-07 -1.906997e-07 -9.983762e-07 2.382151e-05 -2.759204e-05 -5.066508e-05 5.665576e-05
10187.000000 -2.943946e-05 -6.816381e-07 -1.837757e-07 -1.000642e-06 2.499394e-05 -5.483309e-05 -5.384703e-05 5.309645e-05
10192.000000 -2.947352e-05 -6.858971e-07 -1.686922e-07 -1.003643e-06 2.527172e-05 -8.438572e-05 -4.802985e-05 5.294902e-05
10197.000000 -2.956103e-05 -6.878299e-07 -1.234520e-07 -1.010167e-06 2.995880e-05 -7.851481e-05 -5.069505e-05 4.893814e-05
10202.000000 -2.947514e-05 -6.896785e-07 -3.894169e-08 -1.008903e-06 4.144699e-05 -5.527097e-05 -4.356606e-05 4.887456e-05
10207.000000 -2.947411e-05 -6.898475e-07 -1.648653e-08 -1.011909e-06 4.327992e-05 -4.750120e-05 -4.267923e-05 5.283409e-05
10212.000000 -2.949732e-05 -6.919980e-07 -3.373192e-08 -1.015479e-06 4.066761e-05 -3.911239e-05 -3.645018e-05 5.433815e-05
10217.000000 -2.942748e-05 -6.928760e-07 -4.347481e-08 -1.014949e-06 4.630347e-05 -4.059556e-05 -3.872657e-05 2.847024e-05
10222.000000 -2.938960e-05 -6.946076e-07 -5.145482e-08 -1.015815e-06 4.977945e-05 -6.213367e-05 -5.583690e-05 1.512921e-05
10227.000000 -2.927790e-05 -6.967737e-07 -5.690736e-08 -1.012973e-06 4.252985e-05 -5.168059e-05 -5.447037e-05 2.171110e-05
10232.000000 -2.922900e-05 -6.972400e-07 -5.887977e-08 -1.014226e-06 3.094394e-05 -5.501800e-05 -5.181831e-05 2.815628e-05
10237.000000 -2.927967e-05 -6.992541e-07 -6.040074e-08 -1.019850e-06 4.053670e-05 -4.566799e-05 -4.695764e-05 2.104243e-05
10242.000000 -2.921027e-05 -7.010074e-07 -6.167837e-08 -1.020037e-06 4.441674e-05 -3.858657e-05 -5.502964e-05 -2.303274e-06
10247.000000 -2.897149e-05 -7.022422e-07 -6.441018e-08 -1.012327e-06 3.968528e-05 -5.120379e-05 -4.256478e-05 -6.546479e-07
10252.000000 -2.906507e-05 -7.057684e-07 -6.405194e-08 -1.019735e-06 3.223271e-05 -4.494681e-05 -4.520375e-05 3.766122e-06
10257.000000 -2.900500e-05 -7.076436e-07 -6.151323e-08 -1.019931e-06 3.776533e-05 -5.065019e-05 -4.503162e-05 9.170272e-06
10262.000000 -2.896180e-05 -7.099176e-07 -6.135126e-08 -1.021559e-06 2.955299e-05 -4.954537e-05 -4.790189e-05 2.868093e-05
10267.000000 -2.901285e-05 -7.137577e-07 -6.283871e-08 -1.026185e-06 2.356207e-05 -3.940808e-05 -3.993560e-05 2.980524e-05
10272.000000 -2.907454e-05 -7.162979e-07 -6.354611e-08 -1.032109e-06 2.367204e-05 -3.153497e-05 -2.846849e-05 3.028152e-05
10277.000000 -2.901044e-05 -7.188315e-07 -6.329317e-08 -1.032914e-06 3.410457e-05 -2.982073e-05 -3.814376e-05 2.312621e-05
10282.000000 -2.889682e-05 -7.193290e-07 -6.261857e-08 -1.032236e-06 4.387970e-05 -1.908106e-05 -4.012533e-05 2.853011e-05
10287.000000 -2.893439e-05 -7.236314e-07 -6.323696e-08 -1.036573e-06 5.118024e-05 -5.591398e-05 -4.136093e-05 2.911515e-05
10292.000000 -2.890277e-05 -7.261605e-07 -6.521810e-08 -1.038562e-06 4.680796e-05 -3.904622e-05 -4.746975e-05 3.168740e-05
10297.000000 -2.889525e-05 -7.290580e-07 -6.629785e-08 -1.041081e-06 4.527697e-05 -4.554833e-05 -4.712283e-05 2.949285e-05
10302.000000 -2.889968e-05 -7.325983e-07 -6.612302e-08 -1.044291e-06 3.934041e-05 -2.878824e-05 -4.976198e-05 2.985523e-05
10307.000000 -2.883394e-05 -7.369080e-07 -6.650961e-08 -1.043728e-06 3.740617e-05 -1.302390e-05 -5.612101e-05 3.250373e-05
10312.000000 -2.873712e-05 -7.403686e-07 -6.685768e-08 -1.041965e-06 3.457913e-05 -3.909802e-05 -5.475255e-05 2.847484e-05
10317.000000 -2.879440e-05 -7.426988e-07 -6.647118e-08 -1.048358e-06 3.659042e-05 -4.930255e-05 -5.407963e-05 2.777686e-05
10322.000000 -2.875514e-05 -7.460686e-07 -6.599982e-08 -1.050187e-06 3.466008e-05 -4.065167e-05 -5.215373e-05 2.703542e-05
10327.000000 -2.868437e-05 -7.471942e-07 -6.561905e-08 -1.050681e-06 3.193430e-05 -4.464200e-05 -4.486094e-05 3.425152e-05
10332.000000 -2.856739e-05 -7.447707e-07 -6.482282e-08 -1.051376e-06 3.016374e-05 -4.776643e-05 -4.018022e-05 3.638760e-05
10337.000000 -2.866836e-05 -7.507352e-07 -6.520616e-08 -1.059150e-06 3.017756e-05 -4.201266e-05 -3.968436e-05 4.746123e-05
10341.000000 -2.863475e-05 -7.531408e-07 -6.588304e-08 -1.061276e-06 3.087607e-05 -5.417947e-05 -4.141216e-05 8.181040e-05
10344.000000 -2.862519e-05 -7.534541e-07 -6.641520e-08 -1.064842e-06 4.190145e-05 -8.511155e-05 -4.932071e-05 8.032572e-05
10346.000000 -2.855251e-05 -7.526755e-07 -6.711979e-08 -1.063808e-06 4.041299e-05 -8.709766e-05 -4.389215e-05 7.832349e-05
10347.000000 -2.857772e-05 -7.527085e-07 -6.709692e-08 -1.066569e-06 4.519578e-05 -5.016991e-05 -4.033670e-05 7.198173e-05
10347.200000 -2.858626e-05 -7.527515e-07 -6.715915e-08 -1.067331e-06 4.988070e-05 -4.716696e-05 -4.192644e-05 7.224051e-05
10347.400000 -2.856337e-05 -7.517802e-07 -6.722636e-08 -1.066035e-06 4.671703e-05 -5.085596e-05 -5.549174e-05 7.289941e-05
10347.600000 -2.859830e-05 -7.541051e-07 -6.766762e-08 -1.068254e-06 4.396035e-05 -5.141550e-05 -5.267077e-05 7.852941e-05
10347.800000 -2.860694e-05 -7.545154e-07 -6.761776e-08 -1.068897e-06 3.917304e-05 -5.373608e-05 -5.075732e-05 7.837747e-05
10348.000000 -2.855775e-05 -7.533904e-07 -6.778905e-08 -1.067361e-06 4.181747e-05 -5.357600e-05 -4.783615e-05 4.006131e-05
10348.200000 -2.857040e-05 -7.538846e-07 -6.764760e-08 -1.067949e-06 4.149917e-05 -6.209978e-05 -5.617356e-05 2.340075e-05
10348.400000 -2.852073e-05 -7.519047e-07 -6.780613e-08 -1.066137e-06 4.489580e-05 -5.477302e-05 -5.712415e-05 3.056185e-05
10348.600000 -2.851680e-05 -7.543334e-07 -6.797626e-08 -1.066267e-06 5.150147e-05 -5.703759e-05 -5.586028e-05 4.359953e-05
10348.800000 -2.859376e-05 -7.545129e-07 -6.802471e-08 -1.069703e-06 4.911633e-05 -7.254055e-05 -4.859645e-05 4.017500e-05
10349.000000 -2.858711e-05 -7.534799e-07 -6.798629e-08 -1.070045e-06 4.399471e-05 -7.789932e-05 -4.031771e-05 4.781460e-05
10349.200000 -2.859251e-05 -7.550997e-07 -6.822307e-08 -1.070540e-06 5.082128e-05 -9.156132e-05 -4.533099e-05 4.330328e-05
10349.400000 -2.855837e-05 -7.536659e-07 -6.834619e-08 -1.069530e-06 3.936758e-05 -8.225266e-05 -4.706208e-05 5.527115e-05
10349.600000 -2.854155e-05 -7.551542e-07 -6.865327e-08 -1.068483e-06 3.604789e-05 -8.986821e-05 -4.967099e-05 7.901847e-05
10349.800000 -2.849729e-05 -7.539339e-07 -6.864873e-08 -1.066937e-06 3.303416e-05 -7.932499e-05 -5.329765e-05 8.224257e-05
10350.000000 -2.845805e-05 -7.514029e-07 -6.854117e-08 -1.065518e-06 4.033160e-05 -7.449926e-05 -4.648997e-05 8.777286e-05
10350.200000 -2.853080e-05 -7.565814e-07 -6.902986e-08 -1.068879e-06 3.547529e-05 -7.217564e-05 -6.342330e-05 8.261613e-05
10350.400000 -2.851158e-05 -7.518742e-07 -6.864608e-08 -1.069078e-06 2.922991e-05 -1.002982e-04 -5.684791e-05 8.368871e-05
10350.600000 -2.856521e-05 -7.551590e-07 -6.911486e-08 -1.071975e-06 2.847439e-05 -8.495488e-05 -4.640986e-05 7.811053e-05
10350.800000 -2.855938e-05 -7.547513e-07 -6.914248e-08 -1.071665e-06 3.033560e-05 -2.794033e-05 -4.765903e-05 7.406587e-05
10351.000000 -2.855691e-05 -7.550764e-07 -6.917716e-08 -1.072394e-06 3.813370e-05 -2.168784e-06 -5.441319e-05 7.620855e-05
10351.200000 -2.855862e-05 -7.559648e-07 -6.931866e-08 -1.072522e-06 3.827453e-05 -2.261982e-05 -4.904657e-05 7.130067e-05
10351.400000 -2.855969e-05 -7.571337e-07 -6.935864e-08 -1.072926e-06 3.616066e-05 -5.822832e-05 -5.154888e-05 7.980242e-05
10351.600000 -2.856637e-05 -7.580923e-07 -6.940698e-08 -1.073104e-06 3.291397e-05 -5.919212e-05 -5.363076e-05 7.918702e-05
10351.800000 -2.854534e-05 -7.558350e-07 -6.902751e-08 -1.072837e-06 3.442593e-05 -6.325999e-05 -4.919567e-05 8.647905e-05
10352.000000 -2.854464e-05 -7.567380e-07 -6.940801e-08 -1.072626e-06 3.069950e-05 -5.912592e-05 -5.465173e-05 8.612452e-05
10352.200000 -2.854261e-05 -7.557799e-07 -6.922934e-08 -1.073732e-06 4.101522e-05 -4.836545e-05 -4.740969e-05 8.408267e-05
10352.400000 -2.855096e-05 -7.561222e-07 -6.956305e-08 -1.074293e-06 4.155712e-05 -6.026194e-05 -5.062380e-05 7.710346e-05
10352.600000 -2.857188e-05 -7.588712e-07 -6.977333e-08 -1.074918e-06 3.306632e-05 -8.378345e-05 -4.904775e-05 8.197503e-05
10352.800000 -2.854135e-05 -7.557872e-07 -6.953318e-08 -1.074303e-06 3.472409e-05 -7.886763e-05 -4.511527e-05 7.942796e-05
10353.000000 -2.855534e-05 -7.572051e-07 -6.954595e-08 -1.075433e-06 4.082893e-05 -9.487545e-05 -3.364343e-05 7.810299e-05
10353.200000 -2.853249e-05 -7.569021e-07 -6.976631e-08 -1.074824e-06 3.611504e-05 -9.890877e-05 -3.828417e-05 7.790437e-05
10353.400000 -2.852347e-05 -7.561159e-07 -6.971023e-08 -1.074964e-06 3.729643e-05 -8.340821e-05 -3.623326e-05 8.522707e-05
10353.600000 -2.851455e-05 -7.547670e-07 -6.981846e-08 -1.074594e-06 3.691258e-05 -9.698626e-05 -3.733264e-05 8.469053e-05
10353.800000 -2.852349e-05 -7.540437e-07 -6.970486e-08 -1.076129e-06 4.240486e-05 -1.092056e-04 -4.203816e-05 8.251333e-05
10354.000000 -2.853318e-05 -7.558556e-07 -6.976581e-08 -1.076615e-06 5.041735e-05 -9.724206e-05 -3.344350e-05 8.115926e-05
10354.200000 -2.853423e-05 -7.555323e-07 -6.952198e-08 -1.076607e-06 5.084594e-05 -1.058295e-04 -3.650082e-05 7.575965e-05
10354.400000 -2.851524e-05 -7.554565e-07 -6.959753e-08 -1.076486e-06 4.333923e-05 -1.069703e-04 -3.497357e-05 8.097208e-05
10354.600000 -2.852206e-05 -7.547731e-07 -6.962186e-08 -1.077676e-06 4.354075e-05 -1.126930e-04 -4.289051e-05 7.975874e-05
10354.800000 -2.850411e-05 -7.553352e-07 -6.966824e-08 -1.077226e-06 5.023966e-05 -1.060335e-04 -5.260440e-05 7.687982e-05
