# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.4372374911385
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.998535
# Detector.I1.voltage: -1650.001465
# Detector.I2.voltage: -1650.001099
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371034
# Scan.uid: e9f3c976-9952-4060-957f-14554203c3a8
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:16:29.529423
# Scan.end_time: 06/23/2023  05:17:02.790479
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524046843
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 200.0
# SampleHeater.temperature2.readback: 199.8
# SampleHeater.voltage.setpoint: 0.5101667097919829
# SampleHeater.voltage.readback: 0.51
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 11.200000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0732421875
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.048828125
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1057942733168602
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.03662109375
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.973540e-05 -6.886663e-07 -1.994750e-07 -1.001477e-06 2.618668e-05 -8.433559e-05 -4.426443e-05 1.797112e-05
10172.000000 -2.962070e-05 -6.832794e-07 -1.968502e-07 -9.990831e-07 2.593655e-05 -7.693390e-05 -4.292355e-05 7.204934e-06
10177.000000 -2.944932e-05 -6.835150e-07 -1.951095e-07 -9.932118e-07 1.912070e-05 -7.912563e-05 -3.884601e-05 7.448824e-06
10182.000000 -2.942092e-05 -6.836044e-07 -1.915036e-07 -9.955073e-07 1.198481e-05 -8.348843e-05 -3.911918e-05 -9.532866e-07
10187.000000 -2.948134e-05 -6.835681e-07 -1.846203e-07 -1.002012e-06 7.149693e-06 -9.042610e-05 -3.348129e-05 -9.328020e-06
10192.000000 -2.948846e-05 -6.866441e-07 -1.693574e-07 -1.004494e-06 4.571925e-06 -9.799504e-05 -4.097790e-05 8.441864e-06
10197.000000 -2.942155e-05 -6.878003e-07 -1.242558e-07 -1.003801e-06 9.466753e-06 -1.081884e-04 -4.170334e-05 4.269411e-06
10202.000000 -2.940405e-05 -6.885411e-07 -3.913112e-08 -1.005691e-06 8.914451e-06 -1.344968e-04 -3.485437e-05 -6.872895e-07
10207.000000 -2.941172e-05 -6.891607e-07 -1.649051e-08 -1.008820e-06 3.956721e-06 -1.226452e-04 -4.387821e-05 2.338995e-06
10212.000000 -2.941199e-05 -6.909541e-07 -3.405472e-08 -1.011587e-06 1.228533e-05 -1.216913e-04 -4.429134e-05 -9.995778e-07
10217.000000 -2.938838e-05 -6.946380e-07 -4.418413e-08 -1.012655e-06 2.128077e-05 -1.160231e-04 -4.549974e-05 -4.918567e-06
10222.000000 -2.932101e-05 -6.979997e-07 -5.215267e-08 -1.012021e-06 2.776267e-05 -1.187943e-04 -5.072605e-05 1.620293e-06
10227.000000 -2.926923e-05 -6.996770e-07 -5.744940e-08 -1.012461e-06 2.933453e-05 -1.465960e-04 -5.493782e-05 2.748749e-06
10232.000000 -2.926591e-05 -7.010170e-07 -5.949148e-08 -1.015545e-06 3.123084e-05 -1.664870e-04 -5.500948e-05 -2.757745e-06
10237.000000 -2.924032e-05 -7.033109e-07 -6.116038e-08 -1.017115e-06 3.516265e-05 -1.544728e-04 -6.321962e-05 -3.266723e-06
10242.000000 -2.917746e-05 -7.060580e-07 -6.252180e-08 -1.017872e-06 3.609070e-05 -1.471232e-04 -5.500952e-05 -5.359823e-06
10247.000000 -2.914739e-05 -7.072675e-07 -6.524544e-08 -1.020573e-06 4.111609e-05 -1.358670e-04 -4.702968e-05 -7.944958e-06
10252.000000 -2.902889e-05 -7.098160e-07 -6.480902e-08 -1.018073e-06 4.272628e-05 -1.502952e-04 -4.388203e-05 -3.543416e-06
10257.000000 -2.907988e-05 -7.117857e-07 -6.212040e-08 -1.023529e-06 2.940849e-05 -1.457079e-04 -4.233262e-05 2.866583e-05
10262.000000 -2.902921e-05 -7.122330e-07 -6.168835e-08 -1.025013e-06 3.153547e-05 -1.470076e-04 -3.663558e-05 1.564262e-05
10267.000000 -2.905053e-05 -7.160837e-07 -6.305851e-08 -1.028510e-06 2.695404e-05 -1.384255e-04 -3.183306e-05 6.803103e-06
10272.000000 -2.898594e-05 -7.171747e-07 -6.375173e-08 -1.028814e-06 2.169134e-05 -1.868246e-04 -3.156916e-05 8.986700e-06
10277.000000 -2.890228e-05 -7.178800e-07 -6.336352e-08 -1.028601e-06 1.683170e-05 -1.847808e-04 -3.372332e-05 3.019989e-06
10282.000000 -2.876744e-05 -7.179092e-07 -6.254497e-08 -1.027272e-06 1.075231e-05 -1.880042e-04 -4.278057e-05 8.933690e-06
10287.000000 -2.886242e-05 -7.224216e-07 -6.337713e-08 -1.034277e-06 7.802720e-06 -1.908197e-04 -4.852867e-05 1.055491e-05
10292.000000 -2.883915e-05 -7.253800e-07 -6.552730e-08 -1.036016e-06 6.867938e-06 -1.849518e-04 -4.180383e-05 1.413608e-05
10297.000000 -2.879293e-05 -7.286543e-07 -6.649362e-08 -1.036720e-06 1.729266e-05 -1.746516e-04 -4.188665e-05 1.274620e-05
10302.000000 -2.881328e-05 -7.322470e-07 -6.650174e-08 -1.040367e-06 2.460940e-05 -1.901591e-04 -4.624194e-05 1.348730e-05
10307.000000 -2.874474e-05 -7.344952e-07 -6.663251e-08 -1.040042e-06 1.827120e-05 -1.811579e-04 -4.797501e-05 1.438183e-05
10312.000000 -2.866542e-05 -7.374503e-07 -6.690435e-08 -1.039145e-06 1.636977e-05 -1.729685e-04 -4.354511e-05 5.271054e-06
10317.000000 -2.863895e-05 -7.404409e-07 -6.663641e-08 -1.041601e-06 3.043599e-05 -1.703871e-04 -4.063848e-05 -5.966699e-06
10322.000000 -2.865423e-05 -7.426387e-07 -6.629051e-08 -1.046031e-06 1.913495e-05 -1.802915e-04 -4.180087e-05 -6.265013e-08
10327.000000 -2.861398e-05 -7.448525e-07 -6.568609e-08 -1.048444e-06 1.964455e-05 -1.596635e-04 -4.952768e-05 -7.043132e-07
10332.000000 -2.849957e-05 -7.442731e-07 -6.499731e-08 -1.049081e-06 1.877412e-05 -1.263731e-04 -5.409648e-05 -5.177544e-06
10337.000000 -2.856162e-05 -7.478501e-07 -6.509869e-08 -1.054977e-06 1.886163e-05 -1.218813e-04 -5.117361e-05 8.213414e-08
10341.000000 -2.855189e-05 -7.506150e-07 -6.562128e-08 -1.058145e-06 2.622794e-05 -8.278908e-05 -4.477383e-05 -1.513148e-06
10344.000000 -2.851704e-05 -7.519058e-07 -6.638582e-08 -1.059815e-06 2.855655e-05 -9.182835e-05 -4.774548e-05 3.152614e-06
10346.000000 -2.851202e-05 -7.514929e-07 -6.710185e-08 -1.062273e-06 2.031280e-05 -8.283537e-05 -4.663540e-05 8.422656e-06
10347.000000 -2.851366e-05 -7.509591e-07 -6.752689e-08 -1.063770e-06 1.758167e-05 -6.861283e-05 -3.753709e-05 8.183308e-06
10347.200000 -2.851616e-05 -7.519268e-07 -6.766928e-08 -1.064079e-06 1.500780e-05 -5.285593e-05 -3.604491e-05 1.541780e-06
10347.400000 -2.850214e-05 -7.517043e-07 -6.774495e-08 -1.063769e-06 1.539954e-05 -5.966855e-05 -3.049651e-05 -2.881116e-06
10347.600000 -2.847982e-05 -7.512359e-07 -6.777338e-08 -1.063393e-06 5.704293e-06 -9.767000e-05 -3.190031e-05 1.825496e-06
