# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.36944947209986
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.000244
# Detector.I1.voltage: -1650.000366
# Detector.I2.voltage: -1649.999878
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371052
# Scan.uid: d91f0cce-97cc-4abd-93ee-05c9519e4753
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:34:31.079617
# Scan.end_time: 06/23/2023  05:35:03.983967
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 289.215871989727
# SampleHeater.temperature2.readback: 290.1
# SampleHeater.voltage.setpoint: 0.6478653279396871
# SampleHeater.voltage.readback: 0.648
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.790000000000001
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0447591133415699
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.03662109375
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0773111954331398
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.967280e-05 -6.626770e-07 -1.916467e-07 -1.006597e-06 4.741640e-06 -1.419288e-04 -3.849268e-05 -1.068041e-05
10172.000000 -2.954016e-05 -6.588880e-07 -1.896336e-07 -1.003673e-06 3.079091e-06 -1.500601e-04 -4.340868e-05 -5.271776e-06
10177.000000 -2.945252e-05 -6.595647e-07 -1.880359e-07 -1.002260e-06 9.963503e-06 -1.457965e-04 -4.779549e-05 -1.031228e-05
10182.000000 -2.944478e-05 -6.596342e-07 -1.843163e-07 -1.005409e-06 9.455620e-06 -1.329047e-04 -5.455364e-05 -1.546688e-05
10187.000000 -2.942581e-05 -6.591120e-07 -1.775854e-07 -1.007302e-06 1.502634e-05 -1.417674e-04 -4.925558e-05 -1.234979e-05
10192.000000 -2.949669e-05 -6.624691e-07 -1.628357e-07 -1.012429e-06 3.422045e-05 -1.349589e-04 -5.006555e-05 -1.057840e-05
10197.000000 -2.949034e-05 -6.643942e-07 -1.190886e-07 -1.014938e-06 3.917332e-05 -1.332817e-04 -5.737110e-05 -1.707530e-05
10202.000000 -2.942432e-05 -6.664074e-07 -3.720914e-08 -1.014424e-06 3.368858e-05 -1.475866e-04 -5.290733e-05 -1.417356e-05
10207.000000 -2.935643e-05 -6.683152e-07 -1.580966e-08 -1.014154e-06 4.198849e-05 -1.479688e-04 -4.157639e-05 -7.510243e-06
10212.000000 -2.930115e-05 -6.712404e-07 -3.298107e-08 -1.014210e-06 4.479382e-05 -1.484253e-04 -6.049282e-05 -8.278651e-06
10217.000000 -2.935715e-05 -6.731326e-07 -4.261845e-08 -1.020172e-06 4.781072e-05 -1.790831e-04 -5.814675e-05 -3.915021e-06
10222.000000 -2.919878e-05 -6.740356e-07 -5.023176e-08 -1.015569e-06 3.377459e-05 -2.036991e-04 -5.012449e-05 -3.531828e-06
10227.000000 -2.914999e-05 -6.759340e-07 -5.531894e-08 -1.016322e-06 4.474709e-05 -2.073185e-04 -4.843074e-05 -2.113407e-05
10232.000000 -2.920537e-05 -6.765315e-07 -5.728228e-08 -1.022759e-06 4.223463e-05 -1.751688e-04 -5.312201e-05 -1.688256e-05
10237.000000 -2.918639e-05 -6.789618e-07 -5.873182e-08 -1.024302e-06 3.324539e-05 -1.740931e-04 -5.225633e-05 1.351507e-05
10242.000000 -2.917764e-05 -6.816288e-07 -5.963139e-08 -1.026985e-06 2.581667e-05 -1.783024e-04 -6.058602e-05 1.114817e-05
10247.000000 -2.910333e-05 -6.828074e-07 -6.230435e-08 -1.027495e-06 2.422679e-05 -1.823339e-04 -5.617343e-05 -1.957257e-05
10252.000000 -2.902312e-05 -6.852021e-07 -6.216405e-08 -1.026250e-06 3.766432e-05 -1.803523e-04 -4.198062e-05 -2.037815e-05
10257.000000 -2.898699e-05 -6.878230e-07 -6.001585e-08 -1.027220e-06 3.599060e-05 -1.777430e-04 -4.240389e-05 -7.140511e-06
10262.000000 -2.893516e-05 -6.892240e-07 -5.953149e-08 -1.028166e-06 3.171138e-05 -1.631037e-04 -5.423524e-05 2.762123e-06
10267.000000 -2.900202e-05 -6.922553e-07 -6.090195e-08 -1.034066e-06 2.319975e-05 -1.491607e-04 -5.771175e-05 1.484478e-06
10272.000000 -2.899120e-05 -6.955165e-07 -6.171698e-08 -1.036888e-06 2.410033e-05 -1.661691e-04 -5.136400e-05 -2.016314e-06
10277.000000 -2.891877e-05 -6.978572e-07 -6.135586e-08 -1.036727e-06 2.387076e-05 -1.680261e-04 -4.971245e-05 1.136756e-06
10282.000000 -2.879703e-05 -6.982599e-07 -6.049408e-08 -1.035145e-06 1.769217e-05 -1.680254e-04 -5.422072e-05 3.463560e-06
10287.000000 -2.885215e-05 -7.027560e-07 -6.132184e-08 -1.040212e-06 2.324794e-05 -1.647347e-04 -4.769589e-05 5.239362e-06
10292.000000 -2.877476e-05 -7.047960e-07 -6.319195e-08 -1.039783e-06 2.395519e-05 -1.796853e-04 -4.682421e-05 3.441316e-07
10297.000000 -2.879163e-05 -7.075686e-07 -6.433590e-08 -1.044078e-06 2.250614e-05 -1.771461e-04 -4.366692e-05 -4.057733e-06
10302.000000 -2.872690e-05 -7.106308e-07 -6.423231e-08 -1.043259e-06 2.585904e-05 -1.618981e-04 -4.438373e-05 3.746282e-07
10307.000000 -2.872385e-05 -7.128698e-07 -6.451011e-08 -1.046351e-06 1.514637e-05 -1.505423e-04 -4.370089e-05 1.460541e-06
10312.000000 -2.867313e-05 -7.153494e-07 -6.466835e-08 -1.047288e-06 1.507229e-05 -1.536561e-04 -4.257832e-05 2.133084e-06
10317.000000 -2.861846e-05 -7.179409e-07 -6.421298e-08 -1.048606e-06 1.127251e-05 -1.626442e-04 -5.375941e-05 -1.227805e-06
10322.000000 -2.865404e-05 -7.208133e-07 -6.393397e-08 -1.054496e-06 9.653189e-06 -1.611668e-04 -6.258318e-05 6.991269e-07
10327.000000 -2.861187e-05 -7.239262e-07 -6.363518e-08 -1.056470e-06 5.697003e-06 -1.393901e-04 -5.854158e-05 1.157285e-05
10332.000000 -2.851109e-05 -7.257053e-07 -6.310317e-08 -1.057218e-06 1.936116e-05 -1.268951e-04 -4.594840e-05 1.179811e-05
10337.000000 -2.856905e-05 -7.319278e-07 -6.360707e-08 -1.062734e-06 1.848049e-05 -1.156182e-04 -2.850298e-05 -9.569520e-07
10341.000000 -2.851140e-05 -7.307435e-07 -6.387149e-08 -1.064116e-06 2.711862e-05 -1.092327e-04 -2.832289e-05 9.833923e-06
10344.000000 -2.851564e-05 -7.285340e-07 -6.448635e-08 -1.068375e-06 2.261819e-05 -8.834348e-05 -3.282047e-05 3.758052e-05
10346.000000 -2.847819e-05 -7.270617e-07 -6.483063e-08 -1.069072e-06 2.758999e-05 -1.071622e-04 -3.898893e-05 1.181414e-05
10347.000000 -2.848002e-05 -7.281067e-07 -6.521068e-08 -1.070182e-06 2.801631e-05 -1.198165e-04 -4.751356e-05 -3.382506e-06
10347.200000 -2.849352e-05 -7.293073e-07 -6.548179e-08 -1.070644e-06 2.496053e-05 -1.061647e-04 -4.107167e-05 -7.449451e-06
10347.400000 -2.844114e-05 -7.266578e-07 -6.521207e-08 -1.068812e-06 2.677308e-05 -1.028154e-04 -4.722536e-05 8.385147e-06
10347.600000 -2.842024e-05 -7.275562e-07 -6.534666e-08 -1.067935e-06 2.489834e-05 -1.072173e-04 -3.060801e-05 1.890403e-06
