# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.3647501395888
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1649.999634
# Detector.I1.voltage: -1650.002319
# Detector.I2.voltage: -1650.000977
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371070
# Scan.uid: 788a2f73-c131-463d-a203-791f1fe6842f
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  05:52:27.081424
# Scan.end_time: 06/23/2023  05:53:02.028214
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.523970548999998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 318.87024893363315
# SampleHeater.temperature2.readback: 319.3
# SampleHeater.voltage.setpoint: 0.7115845280803104
# SampleHeater.voltage.readback: 0.713
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.84
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.048828125
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.09765625
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.965876e-05 -6.726164e-07 -1.940454e-07 -1.001294e-06 4.959551e-05 -4.590247e-04 -4.324745e-05 3.487373e-05
10172.000000 -2.951671e-05 -6.696405e-07 -1.922070e-07 -9.981033e-07 4.922869e-05 -4.645803e-04 -5.397911e-05 3.405356e-05
10177.000000 -2.934432e-05 -6.685818e-07 -1.898134e-07 -9.933789e-07 5.205801e-05 -4.582014e-04 -4.239175e-05 3.488782e-05
10182.000000 -2.938119e-05 -6.685659e-07 -1.863429e-07 -9.981893e-07 5.149313e-05 -4.542954e-04 -3.825595e-05 4.283729e-05
10187.000000 -2.942843e-05 -6.687426e-07 -1.794574e-07 -1.002903e-06 5.533415e-05 -4.802669e-04 -4.315973e-05 4.050327e-05
10192.000000 -2.944321e-05 -6.705847e-07 -1.642961e-07 -1.005874e-06 5.798300e-05 -4.940676e-04 -4.746426e-05 4.043918e-05
10197.000000 -2.946406e-05 -6.738968e-07 -1.207959e-07 -1.009429e-06 6.760285e-05 -4.784440e-04 -3.896440e-05 4.639384e-05
10202.000000 -2.945440e-05 -6.754349e-07 -3.826585e-08 -1.012159e-06 7.038377e-05 -4.673812e-04 -3.873484e-05 4.485725e-05
10207.000000 -2.941834e-05 -6.778148e-07 -1.629485e-08 -1.013281e-06 6.288855e-05 -4.857125e-04 -4.618254e-05 4.985157e-05
10212.000000 -2.939847e-05 -6.804992e-07 -3.329091e-08 -1.015143e-06 5.840229e-05 -4.670877e-04 -3.030429e-05 5.216579e-05
10217.000000 -2.936316e-05 -6.834097e-07 -4.307319e-08 -1.016595e-06 5.139025e-05 -4.464999e-04 -2.959899e-05 4.324120e-05
10222.000000 -2.929636e-05 -6.847936e-07 -5.095217e-08 -1.016536e-06 5.296525e-05 -4.562421e-04 -2.927255e-05 3.865051e-05
10227.000000 -2.924916e-05 -6.872724e-07 -5.626112e-08 -1.017272e-06 5.215343e-05 -4.542757e-04 -3.266812e-05 4.669312e-05
10232.000000 -2.919222e-05 -6.877435e-07 -5.819470e-08 -1.018277e-06 4.610715e-05 -4.737605e-04 -3.977400e-05 5.047673e-05
10237.000000 -2.919623e-05 -6.889791e-07 -5.939426e-08 -1.021843e-06 4.847853e-05 -4.748758e-04 -4.877530e-05 4.762043e-05
10242.000000 -2.916672e-05 -6.919419e-07 -6.074871e-08 -1.023561e-06 5.947768e-05 -4.553154e-04 -4.306007e-05 5.170287e-05
10247.000000 -2.910659e-05 -6.934246e-07 -6.319132e-08 -1.024272e-06 5.190481e-05 -4.411410e-04 -4.156796e-05 5.433698e-05
10252.000000 -2.908156e-05 -6.961773e-07 -6.281800e-08 -1.026049e-06 5.506479e-05 -4.604260e-04 -4.590083e-05 5.476837e-05
10257.000000 -2.905875e-05 -6.995695e-07 -6.070619e-08 -1.027523e-06 6.353840e-05 -4.605234e-04 -4.656805e-05 4.670764e-05
10262.000000 -2.892394e-05 -7.004970e-07 -6.066585e-08 -1.025135e-06 6.523289e-05 -4.416062e-04 -5.006228e-05 4.751311e-05
10267.000000 -2.902698e-05 -7.051777e-07 -6.176352e-08 -1.032154e-06 5.854717e-05 -4.484210e-04 -4.906328e-05 4.312868e-05
10272.000000 -2.900919e-05 -7.073748e-07 -6.252648e-08 -1.034278e-06 5.323572e-05 -4.597316e-04 -4.243853e-05 4.119003e-05
10277.000000 -2.893792e-05 -7.100658e-07 -6.241574e-08 -1.034737e-06 3.536723e-05 -4.480086e-04 -3.627903e-05 4.315649e-05
10282.000000 -2.879411e-05 -7.105404e-07 -6.168162e-08 -1.032624e-06 3.861848e-05 -4.512591e-04 -3.175112e-05 4.072903e-05
10287.000000 -2.881547e-05 -7.146367e-07 -6.238045e-08 -1.035858e-06 4.957825e-05 -4.473132e-04 -3.013376e-05 4.496429e-05
10292.000000 -2.877951e-05 -7.169483e-07 -6.424029e-08 -1.037249e-06 4.854519e-05 -4.288313e-04 -2.999701e-05 4.667001e-05
10297.000000 -2.874731e-05 -7.193766e-07 -6.509003e-08 -1.039018e-06 4.870175e-05 -4.352770e-04 -2.545861e-05 4.436540e-05
10302.000000 -2.875722e-05 -7.235740e-07 -6.528537e-08 -1.041746e-06 5.028280e-05 -4.559518e-04 -2.318017e-05 4.086292e-05
10307.000000 -2.873310e-05 -7.268453e-07 -6.532783e-08 -1.043676e-06 5.173685e-05 -4.269591e-04 -1.082172e-05 4.286831e-05
10312.000000 -2.866816e-05 -7.305297e-07 -6.578822e-08 -1.043857e-06 4.767624e-05 -4.213025e-04 -1.427102e-05 4.135890e-05
10317.000000 -2.865889e-05 -7.326823e-07 -6.555479e-08 -1.046696e-06 4.239805e-05 -4.247354e-04 -1.527337e-05 4.808747e-05
10322.000000 -2.863352e-05 -7.347965e-07 -6.502648e-08 -1.049640e-06 4.398956e-05 -4.116377e-04 -1.876485e-05 4.665600e-05
10327.000000 -2.856564e-05 -7.359479e-07 -6.437149e-08 -1.050193e-06 4.676950e-05 -4.335356e-04 -2.062417e-05 4.481840e-05
10332.000000 -2.846784e-05 -7.368034e-07 -6.382842e-08 -1.050600e-06 5.496632e-05 -4.293808e-04 -2.577668e-05 5.042860e-05
10337.000000 -2.854451e-05 -7.413092e-07 -6.404571e-08 -1.057393e-06 5.543080e-05 -4.011291e-04 -3.351956e-05 5.082665e-05
10341.000000 -2.844865e-05 -7.403801e-07 -6.438069e-08 -1.057672e-06 3.957391e-05 -4.002887e-04 -3.320904e-05 3.927673e-05
10344.000000 -2.839970e-05 -7.399929e-07 -6.520325e-08 -1.058515e-06 4.253644e-05 -3.973058e-04 -3.228683e-05 4.101679e-05
10346.000000 -2.844511e-05 -7.409461e-07 -6.592027e-08 -1.063055e-06 5.364572e-05 -3.943883e-04 -2.534602e-05 4.821161e-05
10347.000000 -2.837830e-05 -7.407538e-07 -6.594400e-08 -1.061336e-06 5.130824e-05 -4.044388e-04 -2.737153e-05 5.465909e-05
10347.200000 -2.839771e-05 -7.419446e-07 -6.620473e-08 -1.062184e-06 4.738947e-05 -4.074483e-04 -3.099023e-05 5.559332e-05
10347.400000 -2.839761e-05 -7.406007e-07 -6.624229e-08 -1.062888e-06 5.200866e-05 -3.885266e-04 -3.231802e-05 5.605220e-05
10347.600000 -2.843963e-05 -7.442291e-07 -6.690444e-08 -1.064908e-06 5.612328e-05 -3.787367e-04 -2.793080e-05 5.215777e-05
