# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 400.5412343048683
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -348.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.007568
# Detector.I1.voltage: -1650.001099
# Detector.I2.voltage: -1650.002808
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371078
# Scan.uid: 6963d855-abbf-4162-b0e9-9daa62fe6edc
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:00:27.487931
# Scan.end_time: 06/23/2023  06:00:59.774014
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.524027769499998
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 358.9217955470085
# SampleHeater.temperature2.readback: 357.8
# SampleHeater.voltage.setpoint: 0.8326789198231801
# SampleHeater.voltage.readback: 0.8290000000000001
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.77
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.0569661445915699
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.10986328125
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.963471e-05 -6.571766e-07 -1.902934e-07 -1.008042e-06 4.233442e-05 -3.660814e-04 -5.380687e-05 5.057470e-05
10172.000000 -2.951167e-05 -6.544164e-07 -1.886446e-07 -1.005502e-06 5.189348e-05 -3.544050e-04 -4.963360e-05 4.994227e-05
10177.000000 -2.936486e-05 -6.524695e-07 -1.863066e-07 -1.001506e-06 4.608393e-05 -3.862729e-04 -5.623954e-05 5.437155e-05
10182.000000 -2.933108e-05 -6.506286e-07 -1.820922e-07 -1.003905e-06 3.660995e-05 -3.993774e-04 -5.823608e-05 6.093210e-05
10187.000000 -2.931045e-05 -6.509434e-07 -1.756312e-07 -1.006058e-06 2.136345e-05 -4.043988e-04 -5.570108e-05 5.742362e-05
10192.000000 -2.946560e-05 -6.563412e-07 -1.615900e-07 -1.015146e-06 2.422550e-05 -4.095953e-04 -5.312580e-05 5.367733e-05
10197.000000 -2.942926e-05 -6.591424e-07 -1.185022e-07 -1.016180e-06 2.070052e-05 -3.937066e-04 -5.257258e-05 5.336884e-05
10202.000000 -2.938864e-05 -6.608092e-07 -3.719501e-08 -1.017239e-06 1.845692e-05 -3.716990e-04 -5.076638e-05 5.623406e-05
10207.000000 -2.937711e-05 -6.632649e-07 -1.569105e-08 -1.019663e-06 3.102258e-05 -3.925716e-04 -5.798998e-05 6.121616e-05
10212.000000 -2.934574e-05 -6.652975e-07 -3.270689e-08 -1.020575e-06 2.580241e-05 -3.885359e-04 -5.782643e-05 5.460083e-05
10217.000000 -2.926463e-05 -6.670420e-07 -4.244290e-08 -1.019554e-06 3.163582e-05 -3.834272e-04 -5.554621e-05 5.873099e-05
10222.000000 -2.928994e-05 -6.697534e-07 -5.017494e-08 -1.023983e-06 2.299290e-05 -3.892869e-04 -4.718315e-05 5.740763e-05
10227.000000 -2.925706e-05 -6.719022e-07 -5.502374e-08 -1.025212e-06 2.452516e-05 -4.243359e-04 -4.591790e-05 5.497471e-05
10232.000000 -2.919074e-05 -6.730644e-07 -5.700242e-08 -1.025702e-06 3.327702e-05 -4.170611e-04 -4.942523e-05 6.171880e-05
10237.000000 -2.919927e-05 -6.758970e-07 -5.835567e-08 -1.028871e-06 2.355449e-05 -4.062876e-04 -4.597408e-05 6.243055e-05
10242.000000 -2.916480e-05 -6.784034e-07 -5.971487e-08 -1.030145e-06 3.201686e-05 -4.162707e-04 -4.646773e-05 5.894973e-05
10247.000000 -2.909261e-05 -6.798391e-07 -6.244678e-08 -1.030343e-06 3.662961e-05 -4.188313e-04 -3.651320e-05 6.330697e-05
10252.000000 -2.907212e-05 -6.824203e-07 -6.218856e-08 -1.032636e-06 4.037444e-05 -4.168917e-04 -4.154081e-05 6.834969e-05
10257.000000 -2.901761e-05 -6.842971e-07 -6.014066e-08 -1.033133e-06 4.640168e-05 -4.402035e-04 -5.109405e-05 5.475405e-05
10262.000000 -2.894304e-05 -6.853810e-07 -5.960522e-08 -1.032947e-06 4.042660e-05 -4.525496e-04 -5.994557e-05 4.563278e-05
10267.000000 -2.898872e-05 -6.888605e-07 -6.068484e-08 -1.037400e-06 3.473653e-05 -4.174732e-04 -6.746135e-05 4.856204e-05
10272.000000 -2.896765e-05 -6.913359e-07 -6.132326e-08 -1.039484e-06 3.853257e-05 -4.422056e-04 -6.121901e-05 4.430287e-05
10277.000000 -2.890751e-05 -6.930978e-07 -6.107323e-08 -1.039944e-06 2.726645e-05 -4.333271e-04 -7.234232e-05 4.856533e-05
10282.000000 -2.870974e-05 -6.927350e-07 -6.034858e-08 -1.034926e-06 3.639205e-05 -4.175463e-04 -5.779649e-05 5.837977e-05
10287.000000 -2.876215e-05 -6.973560e-07 -6.129177e-08 -1.039053e-06 3.815902e-05 -3.832854e-04 -6.422663e-05 5.613106e-05
10292.000000 -2.875249e-05 -6.992789e-07 -6.294217e-08 -1.042031e-06 4.389195e-05 -3.828567e-04 -6.440911e-05 4.967475e-05
10297.000000 -2.873728e-05 -7.016682e-07 -6.384030e-08 -1.044774e-06 4.761087e-05 -3.891701e-04 -7.907617e-05 5.358700e-05
10302.000000 -2.863366e-05 -7.048658e-07 -6.370668e-08 -1.042263e-06 3.918723e-05 -4.085185e-04 -7.453528e-05 6.003976e-05
10307.000000 -2.864224e-05 -7.084295e-07 -6.413544e-08 -1.045943e-06 3.446947e-05 -4.191178e-04 -7.056786e-05 6.525568e-05
10312.000000 -2.866856e-05 -7.123308e-07 -6.451330e-08 -1.050962e-06 3.556793e-05 -4.210475e-04 -7.856218e-05 6.811424e-05
10317.000000 -2.860199e-05 -7.152697e-07 -6.429266e-08 -1.052057e-06 4.736408e-05 -3.981897e-04 -7.117370e-05 7.279650e-05
10322.000000 -2.862723e-05 -7.185754e-07 -6.392624e-08 -1.056968e-06 4.004916e-05 -4.249053e-04 -7.692082e-05 6.240352e-05
10327.000000 -2.858335e-05 -7.210258e-07 -6.365003e-08 -1.058365e-06 3.639622e-05 -4.188376e-04 -7.291738e-05 5.310991e-05
10332.000000 -2.847525e-05 -7.215110e-07 -6.296930e-08 -1.058325e-06 3.866754e-05 -4.068907e-04 -6.739286e-05 4.878795e-05
10337.000000 -2.853073e-05 -7.254139e-07 -6.313863e-08 -1.063884e-06 2.413901e-05 -4.188526e-04 -6.574361e-05 4.436475e-05
10341.000000 -2.850061e-05 -7.239719e-07 -6.353193e-08 -1.067174e-06 2.243771e-05 -4.220765e-04 -6.829426e-05 4.770142e-05
10344.000000 -2.845822e-05 -7.248894e-07 -6.425228e-08 -1.068632e-06 2.806352e-05 -4.334046e-04 -5.847533e-05 5.213845e-05
10346.000000 -2.845340e-05 -7.250066e-07 -6.488598e-08 -1.071792e-06 3.677912e-05 -4.140543e-04 -4.772188e-05 5.828959e-05
10347.000000 -2.843968e-05 -7.259486e-07 -6.524874e-08 -1.072127e-06 3.303402e-05 -4.192076e-04 -5.356900e-05 5.647107e-05
10347.200000 -2.844308e-05 -7.269943e-07 -6.529872e-08 -1.072445e-06 2.975309e-05 -4.204966e-04 -5.682421e-05 5.379151e-05
10347.400000 -2.833878e-05 -7.248344e-07 -6.517615e-08 -1.067614e-06 3.553442e-05 -4.072953e-04 -4.580109e-05 5.307507e-05
10347.600000 -2.828114e-05 -7.245048e-07 -6.539150e-08 -1.065082e-06 2.925956e-05 -4.375375e-04 -5.404475e-05 4.549581e-05
