# Facility.name: NSLS-II
# Facility.mode: Beam available
# Facility.current: 399.96383185555646
# Facility.current: 3 GeV
# Facility.year: 2023
# Facility.cycle: 2
# Facility.GUP: 312970
# Facility.SAF: 311402
# Experimenter.name: Esteban Fornero
# Beamline.name: ISS (8-ID)
# Beamline.x-ray_source: damping wiggler
# Beamline.collimation_mirror1.material: Si
# Beamline.collimation_mirror2.material: Pt
# Beamline.collimation_mirror2.bender_loading: -349.0
# Beamline.focusing: toroidal mirror
# Beamline.focusing.material: Pt
# Beamline.focusing.bender_loading: -419.0
# Beamline.harmonic_rejection: Si
# Mono.scan_mode: Si(111)
# Mono.d_spacing: 3.1354951
# Mono.scan_mode: pseudo-channel cut
# Mono.scan_type: fly_scan
# Mono.trajectory_name: 0f397ba2-1519.txt
# Mono.direction: None
# Mono.angle_offset: 0.69366577
# Mono.angle_offset: 39.744 deg
# Mono.encoder_resolution: 48.0 nrad
# Detector.I0: ion chamber
# Detector.I1: ion chamber
# Detector.I2: ion chamber
# Detector.IF: PIPS
# Detector.I0.length: 15 cm
# Detector.I1.length: 28 cm
# Detector.I2.length: 15 cm
# Detector.IF.thickness: 300 um
# Detector.I0.gas.N2: 38.0%
# Detector.I1.gas.N2: 38.0%
# Detector.I2.gas.N2: 38.0%
# Detector.I0.gas.He: 62.0%
# Detector.I1.gas.He: 62.0%
# Detector.I2.gas.He: 62.0%
# Detector.I0.voltage: -1650.003662
# Detector.I1.voltage: -1650.000732
# Detector.I2.voltage: -1650.000244
# Detector.I0.gain: 4
# Detector.I1.gain: 6
# Detector.I2.gain: 6
# Detector.IF.gain: 6
# Detector.aux: {}
# Element.symbol: Ga
# Element.edge: K
# Element.line: None
# Scan.transient_id: 371086
# Scan.uid: c26aabad-12a6-43d9-9e5f-85f120debeac
# Scan.edge_energy: 10367.0
# Scan.start_time: 06/23/2023  06:08:26.086185
# Scan.end_time: 06/23/2023  06:08:59.578219
# Scan.name: CuGaO2-4th PP+O2-ramp (pos 001) Ga-K 0001
# Scan.comment: 
# Sample.name: CuGaO2-4th
# Sample.comment: 
# Sample.position.x: -66.4779948865
# Sample.position.y: 30.5239896225
# Sample.position.z: -10.184937499999995
# Sample.position.theta: 845.5790000000001
# SampleHeater.temperature1.setpoint: 300.0
# SampleHeater.temperature1.readback: 1372.0
# SampleHeater.current.setpoint: 0.0
# SampleHeater.current.readback: 0.0
# SampleHeater.temperature2.setpoint: 398.7906886935234
# SampleHeater.temperature2.readback: 398.8
# SampleHeater.voltage.setpoint: 0.8947543597367877
# SampleHeater.voltage.readback: 0.899
# SampleHeater.PID.P: 0.025
# SampleHeater.PID.I: 0.07
# SampleHeater.PID.D: 0.0
# SampleGasCart.MFC.CH4.setpoint: 3.0
# SampleGasCart.MFC.CH4.readback: 2.998
# SampleGasCart.MFC.CO.setpoint: 0.0
# SampleGasCart.MFC.CO.readback: 0.0
# SampleGasCart.MFC.H2.setpoint: 0.0
# SampleGasCart.MFC.H2.readback: 0.0
# SampleGasCart.MFC.exhaust.setpoint: 100.0
# SampleGasCart.MFC.exhaust.readback: 10.75
# SampleGasHandlingSystem.gas_a.name: None
# SampleGasHandlingSystem.gas_b.name: None
# SampleGasHandlingSystem.gas_c.name: None
# SampleGasHandlingSystem.gas_d.name: None
# SampleGasHandlingSystem.gas_e.name: He
# SampleGasHandlingSystem.MFC1.setpoint: 7.0
# SampleGasHandlingSystem.MFC1.readback: 6.998697757720947
# SampleGasHandlingSystem.MFC2.setpoint: 0.0
# SampleGasHandlingSystem.MFC2.readback: -0.06103515625
# SampleGasHandlingSystem.MFC3.setpoint: 0.0
# SampleGasHandlingSystem.MFC3.readback: 0.02034505270421505
# SampleGasHandlingSystem.MFC4.setpoint: 0.0
# SampleGasHandlingSystem.MFC4.readback: -0.0528971366584301
# SampleGasHandlingSystem.MFC5.setpoint: 0.0
# SampleGasHandlingSystem.MFC5.readback: -0.008138020522892475
# SampleGasHandlingSystem.MFC6.setpoint: 1.5
# SampleGasHandlingSystem.MFC6.readback: 1.50146484375
# SampleGasHandlingSystem.MFC7.setpoint: 0.0
# SampleGasHandlingSystem.MFC7.readback: -0.0406901054084301
# SampleGasHandlingSystem.MFC8.setpoint: 0.0
# SampleGasHandlingSystem.MFC8.readback: -0.0813802108168602
# SampleGasHandlingSystem.MFC9.setpoint: 0.0
# SampleGasHandlingSystem.MFC9.readback: -0.0651041641831398
# SampleGasHandlingSystem.MFC10.setpoint: 0.0
# SampleGasHandlingSystem.MFC10.readback: 0.01220703125
# SampleGasHandlingSystem.MFC11.setpoint: 0.0
# SampleGasHandlingSystem.MFC11.readback: -0.1017252579331398
# SampleGasHandlingSystem.MFC12.setpoint: 0.0
# SampleGasHandlingSystem.MFC12.readback: -0.048828125
# SampleGasHandlingSystem.MFC13.setpoint: 0.0
# SampleGasHandlingSystem.MFC13.readback: -0.06103515625
# SampleGasHandlingSystem.MFC14.setpoint: 0.0
# SampleGasHandlingSystem.MFC14.readback: -0.0691731795668602
# SampleGasHandlingSystem.MFC15.setpoint: 0.0
# SampleGasHandlingSystem.MFC15.readback: -0.1139322891831398
# SampleGasHandlingSystem.MFC16.setpoint: 0.0
# SampleGasHandlingSystem.MFC16.readback: -0.0406901054084301
# SampleGasHandlingSystem.RGA.ch1.mass: 2
# SampleGasHandlingSystem.RGA.ch1.readback: 1.07594e-06
# SampleGasHandlingSystem.RGA.ch2.mass: 4
# SampleGasHandlingSystem.RGA.ch2.readback: 0.0
# SampleGasHandlingSystem.RGA.ch3.mass: 5
# SampleGasHandlingSystem.RGA.ch3.readback: 7.81276e-12
# SampleGasHandlingSystem.RGA.ch4.mass: 5
# SampleGasHandlingSystem.RGA.ch4.readback: 4.78717e-10
# SampleGasHandlingSystem.RGA.ch5.mass: 18
# SampleGasHandlingSystem.RGA.ch5.readback: 2.18695e-09
# SampleGasHandlingSystem.RGA.ch6.mass: 28
# SampleGasHandlingSystem.RGA.ch6.readback: 1.4534e-08
# SampleGasHandlingSystem.RGA.ch7.mass: 32
# SampleGasHandlingSystem.RGA.ch7.readback: 3.07315e-09
# SampleGasHandlingSystem.RGA.ch8.mass: 41
# SampleGasHandlingSystem.RGA.ch8.readback: 1.11477e-11
# SampleGasHandlingSystem.RGA.ch9.mass: 44
# SampleGasHandlingSystem.RGA.ch9.readback: 2.07863e-10
# energy  i0  it  ir  iff  aux1  aux2  aux3  aux4
10167.000000 -2.958295e-05 -6.606035e-07 -1.904848e-07 -1.010590e-06 3.481759e-05 -2.738131e-04 -3.940772e-05 1.845623e-05
10172.000000 -2.948143e-05 -6.582184e-07 -1.888226e-07 -1.009531e-06 3.241377e-05 -2.883052e-04 -4.781715e-05 1.361381e-05
10177.000000 -2.940238e-05 -6.584683e-07 -1.868997e-07 -1.008287e-06 3.222813e-05 -2.540189e-04 -4.647587e-05 1.263416e-05
10182.000000 -2.934634e-05 -6.593382e-07 -1.838132e-07 -1.008605e-06 4.146416e-05 -2.737562e-04 -4.631515e-05 -4.361890e-07
10187.000000 -2.928598e-05 -6.577604e-07 -1.768415e-07 -1.008591e-06 3.997246e-05 -2.937595e-04 -4.595269e-05 8.789546e-06
10192.000000 -2.937167e-05 -6.621324e-07 -1.622757e-07 -1.014546e-06 4.735075e-05 -3.006649e-04 -5.163147e-05 4.117227e-05
10197.000000 -2.934224e-05 -6.642650e-07 -1.188345e-07 -1.016239e-06 4.958597e-05 -3.113988e-04 -5.542069e-05 5.423693e-05
10202.000000 -2.934166e-05 -6.664463e-07 -3.679759e-08 -1.019926e-06 4.555450e-05 -3.137029e-04 -5.540764e-05 5.761502e-05
10207.000000 -2.928670e-05 -6.683406e-07 -1.593484e-08 -1.020350e-06 3.692781e-05 -3.131051e-04 -4.570957e-05 6.047602e-05
10212.000000 -2.919247e-05 -6.696782e-07 -3.271765e-08 -1.017912e-06 3.204674e-05 -3.234748e-04 -4.876508e-05 5.475811e-05
10217.000000 -2.909235e-05 -6.702245e-07 -4.232253e-08 -1.016334e-06 3.094246e-05 -3.450517e-04 -5.239273e-05 5.476454e-05
10222.000000 -2.908363e-05 -6.720883e-07 -5.000645e-08 -1.018675e-06 4.400429e-05 -3.405713e-04 -5.192603e-05 5.490448e-05
10227.000000 -2.911515e-05 -6.737758e-07 -5.530406e-08 -1.023706e-06 5.286074e-05 -3.591735e-04 -5.198643e-05 2.190618e-05
10232.000000 -2.908769e-05 -6.754848e-07 -5.706253e-08 -1.026214e-06 4.857532e-05 -3.759398e-04 -6.190467e-05 9.168232e-06
10237.000000 -2.908050e-05 -6.769936e-07 -5.842366e-08 -1.028928e-06 4.656952e-05 -3.917315e-04 -6.430714e-05 -2.392465e-06
10242.000000 -2.903772e-05 -6.779387e-07 -5.950425e-08 -1.030192e-06 5.265811e-05 -4.145054e-04 -5.736573e-05 -1.727143e-06
10247.000000 -2.894951e-05 -6.785416e-07 -6.195556e-08 -1.029520e-06 4.884559e-05 -4.301031e-04 -4.922790e-05 8.842511e-06
10252.000000 -2.895085e-05 -6.811631e-07 -6.144063e-08 -1.032738e-06 4.782258e-05 -4.208630e-04 -5.356958e-05 1.441219e-05
10257.000000 -2.891842e-05 -6.836704e-07 -5.938451e-08 -1.033996e-06 3.742067e-05 -4.030647e-04 -5.189311e-05 2.171676e-06
10262.000000 -2.871721e-05 -6.834077e-07 -5.919875e-08 -1.027053e-06 3.969512e-05 -4.075455e-04 -4.646839e-05 4.760284e-06
10267.000000 -2.886547e-05 -6.892934e-07 -6.066500e-08 -1.037304e-06 4.075783e-05 -3.926603e-04 -5.281014e-05 6.228558e-06
10272.000000 -2.882917e-05 -6.912336e-07 -6.142785e-08 -1.038424e-06 5.518211e-05 -3.917692e-04 -4.736186e-05 1.319653e-05
10277.000000 -2.880761e-05 -6.936737e-07 -6.102003e-08 -1.041979e-06 5.751148e-05 -3.751081e-04 -4.210151e-05 8.926743e-06
10282.000000 -2.866719e-05 -6.938283e-07 -6.007939e-08 -1.039800e-06 4.266553e-05 -3.640764e-04 -3.858868e-05 2.061381e-05
10287.000000 -2.872539e-05 -6.974650e-07 -6.097581e-08 -1.044715e-06 4.145316e-05 -3.755652e-04 -4.193486e-05 4.417283e-05
10292.000000 -2.867782e-05 -6.992082e-07 -6.274404e-08 -1.045697e-06 4.006813e-05 -3.567318e-04 -3.765362e-05 5.085195e-05
10297.000000 -2.863988e-05 -7.009825e-07 -6.373190e-08 -1.046822e-06 4.243208e-05 -3.212662e-04 -4.133454e-05 4.599740e-05
10302.000000 -2.863955e-05 -7.035073e-07 -6.365537e-08 -1.049908e-06 3.646663e-05 -3.381980e-04 -3.429225e-05 6.251219e-05
10307.000000 -2.860431e-05 -7.060021e-07 -6.373402e-08 -1.051026e-06 3.614037e-05 -3.695604e-04 -3.798997e-05 5.153178e-05
10312.000000 -2.854320e-05 -7.078585e-07 -6.364912e-08 -1.051209e-06 4.422350e-05 -3.612412e-04 -4.761906e-05 5.058746e-05
10317.000000 -2.852196e-05 -7.105594e-07 -6.346184e-08 -1.053772e-06 4.842353e-05 -3.589070e-04 -5.141807e-05 4.956364e-05
10322.000000 -2.850012e-05 -7.138468e-07 -6.325020e-08 -1.056615e-06 3.714119e-05 -3.392443e-04 -4.769017e-05 5.070475e-05
10327.000000 -2.848096e-05 -7.165428e-07 -6.279562e-08 -1.059608e-06 3.672163e-05 -3.058905e-04 -3.654105e-05 5.090802e-05
10332.000000 -2.833841e-05 -7.164030e-07 -6.236869e-08 -1.057458e-06 4.705767e-05 -2.867502e-04 -4.864615e-05 4.437501e-05
10337.000000 -2.846615e-05 -7.234909e-07 -6.285162e-08 -1.066620e-06 4.632944e-05 -2.975016e-04 -5.518312e-05 6.823208e-06
10341.000000 -2.841898e-05 -7.257752e-07 -6.336189e-08 -1.068112e-06 4.328361e-05 -3.334550e-04 -5.547474e-05 2.373791e-05
10344.000000 -2.839261e-05 -7.270066e-07 -6.419079e-08 -1.070788e-06 4.089823e-05 -3.322251e-04 -5.477142e-05 3.164537e-05
10346.000000 -2.840820e-05 -7.273599e-07 -6.475895e-08 -1.074829e-06 3.331678e-05 -3.366054e-04 -5.616171e-05 3.434908e-05
10347.000000 -2.838211e-05 -7.267516e-07 -6.516552e-08 -1.074440e-06 2.481827e-05 -3.596444e-04 -4.693447e-05 3.564110e-05
10347.200000 -2.840743e-05 -7.268404e-07 -6.502031e-08 -1.076201e-06 2.264755e-05 -3.533200e-04 -3.763372e-05 3.852106e-05
10347.400000 -2.838800e-05 -7.265508e-07 -6.520888e-08 -1.075799e-06 2.898785e-05 -3.512453e-04 -3.695254e-05 4.327356e-05
10347.600000 -2.839888e-05 -7.285507e-07 -6.549118e-08 -1.076523e-06 2.787418e-05 -3.428742e-04 -4.035492e-05 4.814169e-05
